time,province,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,上海,54.65,0.89,70.82,25.36,50.06,36.45,19.87
2017-01-01,云南,56.97,1.13,24.16,43.87,59.61,35.24,22.46
2017-01-01,内蒙古,90.11,1.71,41.54,38.47,101.26,61.83,44.91
2017-01-01,北京,447.75,6.44,134.83,4.66,505.47,434.57,8.8
2017-01-01,吉林,151.92,2.03,43.39,36.57,148.57,116.54,58.13
2017-01-01,四川,141.92,1.26,43.14,26.26,157.35,106.72,22.85
2017-01-01,天津,244.56,3.75,81.09,7.66,245.49,191.88,25.68
2017-01-01,宁夏,125.96,2.19,54.65,22.28,148.23,91.07,96.83
2017-01-01,安徽,185.61,1.75,83.61,29.01,191.79,143.03,33.53
2017-01-01,山东,231.47,2.6,68.59,31.91,260.76,187.89,48.88
2017-01-01,山西,248.96,4.44,80.09,15.45,298.43,207.7,250.23
2017-01-01,广东,89.88,1.17,52.25,54.98,94.96,65.05,15.67
2017-01-01,广西,141.89,1.51,50.84,49.96,147.53,107.37,27.24
2017-01-01,新疆,124.0,1.96,37.31,37.61,145.4,88.65,21.46
2017-01-01,江苏,134.76,1.43,71.84,21.74,142.44,100.88,25.24
2017-01-01,江西,131.92,1.46,54.17,37.25,155.09,99.04,45.93
2017-01-01,河北,250.14,4.95,93.81,10.29,336.9,193.01,43.96
2017-01-01,河南,261.13,3.12,75.62,13.44,295.08,214.69,38.25
2017-01-01,浙江,118.44,1.23,62.72,23.57,127.16,85.71,16.34
2017-01-01,海南,37.0,0.51,8.11,80.08,34.29,17.03,3.65
2017-01-01,湖北,174.39,1.79,61.08,26.82,182.59,135.66,24.44
2017-01-01,湖南,149.51,1.61,54.05,29.54,171.88,113.6,31.57
2017-01-01,甘肃,88.76,1.65,48.04,33.13,103.63,62.28,43.36
2017-01-01,福建,55.93,0.88,35.03,36.27,61.96,33.38,12.47
2017-01-01,西藏,46.01,0.77,19.69,59.77,44.87,21.13,12.0
2017-01-01,贵州,101.0,1.22,38.1,33.59,115.19,72.4,32.0
2017-01-01,辽宁,238.72,2.74,61.86,30.29,247.77,192.94,78.42
2017-01-01,重庆,170.32,1.34,62.28,8.4,180.05,128.84,31.2
2017-01-01,陕西,237.22,2.66,73.56,13.23,250.01,197.47,41.25
2017-01-01,青海,59.95,1.29,28.2,47.07,64.28,38.59,42.5
2017-01-01,黑龙江,146.42,2.04,45.09,25.12,154.71,114.35,37.3
2017-01-02,上海,100.47,1.22,67.98,26.87,83.69,74.76,22.52
