time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,临沧,35.82,0.63,21.85,28.76,34.53,16.12,17.06
2017-01-01,丽江,35.19,0.73,14.35,75.96,33.67,15.58,12.9
2017-01-01,保山,66.83,2.0,26.37,56.48,72.88,46.77,13.63
2017-01-01,大理州,38.47,0.82,16.44,79.89,29.83,21.79,11.13
2017-01-01,德宏州,58.5,1.07,20.75,35.71,52.96,39.43,12.39
2017-01-01,怒江州,43.37,1.19,24.89,38.34,44.17,22.19,16.84
2017-01-01,文山州,78.03,0.85,24.94,37.97,79.55,56.43,14.4
2017-01-01,昆明,54.16,1.08,38.39,36.44,66.65,28.28,14.91
2017-01-01,昭通,75.95,1.07,29.97,45.65,78.78,51.37,27.11
2017-01-01,普洱,51.95,0.72,17.92,30.95,58.65,33.89,3.03
2017-01-01,曲靖,47.79,0.88,21.21,60.88,45.29,25.45,16.7
2017-01-01,楚雄州,64.18,1.56,30.61,25.29,61.0,43.13,31.82
2017-01-01,玉溪,48.04,1.54,29.7,32.05,53.69,27.09,31.0
2017-01-01,红河州,104.72,1.6,24.0,45.74,124.18,76.95,117.35
2017-01-01,西双版纳州,67.89,1.05,22.11,22.82,73.29,44.84,8.45
2017-01-01,迪庆州,40.68,1.23,23.13,49.0,44.72,14.53,10.61
2017-01-02,临沧,34.83,0.6,16.69,35.94,32.58,14.57,17.46
2017-01-02,丽江,31.6,0.74,14.66,75.33,28.7,13.22,12.6
2017-01-02,保山,52.85,1.98,19.05,61.85,56.35,34.27,11.57
2017-01-02,大理州,33.02,0.93,20.1,68.45,30.52,17.02,12.8
2017-01-02,德宏州,54.27,0.98,20.55,37.95,56.68,34.77,19.35
2017-01-02,怒江州,46.68,1.23,24.79,43.92,51.62,19.77,16.97
2017-01-02,文山州,53.61,0.95,27.0,18.78,48.15,36.28,16.92
2017-01-02,昆明,67.81,1.23,39.03,27.11,89.22,35.58,17.6
2017-01-02,昭通,77.41,0.89,31.08,56.43,83.37,55.3,31.0
2017-01-02,普洱,48.42,0.71,22.15,19.93,45.45,33.08,3.67
2017-01-02,曲靖,64.17,1.21,29.4,38.67,75.0,38.38,25.48
2017-01-02,楚雄州,51.4,1.38,26.12,26.65,50.79,34.48,23.3
2017-01-02,玉溪,49.15,1.67,33.53,29.1,53.48,27.92,26.58
2017-01-02,红河州,90.4,1.11,27.62,26.58,82.96,66.47,59.2
2017-01-02,西双版纳州,58.52,1.25,24.4,13.65,57.5,36.58,8.15
2017-01-02,迪庆州,34.55,1.0,20.1,60.38,38.09,14.47,13.2
2017-01-03,临沧,23.62,0.57,16.11,20.66,21.58,12.06,17.94
2017-01-03,丽江,38.01,0.83,21.61,59.06,38.94,17.25,13.11
2017-01-03,保山,65.77,2.23,29.35,28.8,73.23,43.38,13.31
2017-01-03,大理州,35.02,1.08,22.75,46.08,34.74,22.54,11.77
2017-01-03,德宏州,68.67,1.02,30.15,6.77,63.86,49.5,14.48
2017-01-03,怒江州,41.21,1.22,24.77,29.5,42.0,19.44,16.85
