time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,临沧,35.82,0.63,21.85,28.76,34.53,16.12,17.06
2017-01-02,临沧,34.83,0.6,16.69,35.94,32.58,14.57,17.46
2017-01-03,临沧,23.62,0.57,16.11,20.66,21.58,12.06,17.94
2017-01-04,临沧,29.07,0.61,13.86,36.77,33.5,11.77,16.93
2017-01-05,临沧,29.36,0.78,14.84,28.55,27.26,14.64,16.5
2017-01-06,临沧,28.07,0.84,16.85,26.5,27.47,13.67,23.67
2017-01-07,临沧,30.7,0.74,16.85,34.33,29.09,13.98,15.96
2017-01-08,临沧,30.04,0.75,18.12,39.5,28.55,14.23,17.42
2017-01-09,临沧,32.96,0.84,22.04,30.67,32.56,13.91,19.35
2017-01-10,临沧,35.27,0.83,19.85,30.92,31.23,20.06,18.25
2017-01-11,临沧,39.38,0.91,22.79,32.52,34.56,22.4,20.42
2017-01-12,临沧,35.68,0.97,20.42,29.74,33.29,18.69,19.16
2017-01-13,临沧,38.89,0.92,19.46,37.15,35.88,22.2,22.13
2017-01-14,临沧,36.63,0.9,18.8,44.85,31.49,21.12,16.88
2017-01-15,临沧,41.21,1.01,19.72,51.03,32.21,21.15,20.31
2017-01-16,临沧,40.29,1.04,21.29,44.65,35.29,23.17,19.35
2017-01-17,临沧,39.09,1.03,20.2,37.98,32.59,21.87,17.67
2017-01-18,临沧,41.48,1.04,20.67,39.79,35.0,23.79,16.88
2017-01-19,临沧,40.92,1.01,19.98,44.29,30.15,25.17,22.85
2017-01-20,临沧,38.08,1.0,18.5,47.35,29.08,22.94,27.31
2017-01-21,临沧,38.26,1.02,18.07,45.09,29.78,23.96,25.2
2017-01-22,临沧,42.44,1.11,19.27,48.31,31.57,26.62,27.77
2017-01-23,临沧,49.48,1.16,18.5,43.67,41.85,30.27,24.79
2017-01-24,临沧,48.02,1.19,15.15,43.79,43.78,26.83,22.08
2017-01-25,临沧,52.56,0.96,12.12,43.83,42.22,31.27,19.1
2017-01-26,临沧,53.44,0.83,12.21,28.35,38.89,34.82,22.03
2017-01-27,临沧,58.19,0.82,9.48,38.52,45.18,40.31,21.15
2017-01-28,临沧,89.79,0.78,8.38,42.4,80.51,67.83,30.19
2017-01-29,临沧,48.89,0.72,7.37,53.5,38.23,29.74,19.5
2017-01-30,临沧,45.5,0.72,6.75,54.08,34.64,28.69,17.1
2017-01-31,临沧,49.71,0.81,9.29,45.42,39.29,31.46,19.0
2017-02-01,临沧,45.48,0.81,8.88,53.62,36.45,27.08,17.06
2017-02-02,临沧,43.0,0.79,9.38,57.81,34.91,25.02,19.1
2017-02-03,临沧,43.94,0.85,11.88,53.56,36.16,25.23,20.08
2017-02-04,临沧,49.89,0.88,13.37,50.52,38.97,31.22,22.67
2017-02-05,临沧,43.41,0.87,14.67,54.52,38.24,23.09,22.24
2017-02-06,临沧,43.54,0.91,16.6,60.56,37.8,24.44,23.56
2017-02-07,临沧,43.46,0.92,15.5,63.87,38.89,24.15,21.41
2017-02-08,临沧,53.62,0.99,17.92,70.35,45.22,31.19,21.5
2017-02-09,临沧,60.83,1.0,18.0,58.1,52.97,38.52,20.27
2017-02-10,临沧,57.04,1.03,17.06,58.96,51.58,34.42,19.52
2017-02-11,临沧,55.58,1.03,17.79,59.65,49.14,34.4,20.77
2017-02-12,临沧,55.15,1.03,16.33,64.46,49.14,34.75,22.08
2017-02-13,临沧,56.15,1.0,16.62,67.15,50.91,33.0,20.79
2017-02-14,临沧,66.15,1.09,19.79,63.19,60.24,45.38,22.67
2017-02-15,临沧,63.48,1.01,18.04,63.58,57.32,42.46,17.54
2017-02-16,临沧,56.13,0.97,18.98,65.93,51.63,35.28,10.15
2017-02-17,临沧,56.96,1.02,22.81,65.54,52.19,33.75,18.08
2017-02-18,临沧,54.23,1.02,21.38,65.4,51.59,30.31,18.79
2017-02-19,临沧,54.44,1.08,20.54,70.06,50.07,33.88,18.29
2017-02-20,临沧,120.25,1.7,53.04,36.48,130.73,88.98,29.9
2017-02-21,临沧,91.6,1.39,30.27,65.23,95.44,65.54,17.75
2017-02-22,临沧,80.9,1.27,27.23,72.92,77.32,55.83,18.04
2017-02-23,临沧,76.81,1.32,24.71,68.81,77.21,49.73,20.52
2017-02-24,临沧,75.4,1.31,21.12,76.35,76.19,49.38,21.23
2017-02-25,临沧,70.5,1.25,21.33,74.19,69.82,46.79,19.12
2017-02-26,临沧,72.19,1.3,22.44,78.06,72.2,47.17,19.92
2017-02-27,临沧,72.78,1.35,23.2,87.5,73.58,47.02,22.7
2017-02-28,临沧,72.23,1.43,23.98,87.58,69.5,50.69,18.58
2017-03-01,临沧,70.92,1.25,24.1,85.46,71.39,45.29,20.17
2017-03-02,临沧,75.83,0.99,22.83,91.02,72.35,50.24,20.91
2017-03-03,临沧,72.25,1.0,23.81,89.77,77.26,46.4,20.15
2017-03-04,临沧,77.4,0.98,20.46,104.75,80.89,52.12,21.96
2017-03-05,临沧,75.92,0.99,23.17,96.38,78.14,49.23,20.25
2017-03-06,临沧,81.08,1.05,25.67,89.25,81.26,57.06,24.44
2017-03-07,临沧,73.65,1.03,20.96,81.84,72.08,51.38,19.56
2017-03-08,临沧,70.13,0.96,24.15,85.92,68.17,46.41,21.04
2017-03-09,临沧,66.79,0.92,23.73,64.46,49.64,46.23,17.48
2017-03-10,临沧,61.23,0.98,23.77,55.58,54.97,41.33,17.23
2017-03-11,临沧,76.4,1.01,32.38,50.9,72.0,48.96,19.54
2017-03-12,临沧,58.81,0.9,19.46,46.29,37.83,39.1,16.19
2017-03-13,临沧,47.27,0.75,12.77,67.71,38.31,30.92,13.21
2017-03-14,临沧,54.09,0.78,20.81,67.17,45.63,30.49,14.68
2017-03-15,临沧,53.03,0.84,23.03,70.51,51.65,29.86,15.13
2017-03-16,临沧,55.75,0.76,24.56,75.81,55.54,31.83,17.02
2017-03-17,临沧,61.04,0.84,22.6,82.67,62.03,37.67,17.7
2017-03-18,临沧,77.92,1.03,22.46,84.67,79.4,51.56,16.15
2017-03-19,临沧,74.92,0.96,21.29,90.27,74.44,49.75,16.25
2017-03-20,临沧,68.31,0.9,21.15,84.1,71.28,40.21,15.69
2017-03-21,临沧,62.88,0.82,15.46,82.77,55.26,39.81,14.06
2017-03-22,临沧,54.83,0.77,19.73,82.47,48.82,32.46,16.02
2017-03-23,临沧,47.96,0.81,23.12,78.5,47.52,24.83,15.35
2017-03-24,临沧,80.42,1.01,31.62,89.94,75.51,54.9,14.35
2017-03-25,临沧,93.19,1.15,29.9,100.75,91.69,65.52,14.27
2017-03-26,临沧,111.77,1.27,36.0,85.79,109.66,81.79,16.17
2017-03-27,临沧,93.34,1.16,26.95,77.11,82.73,67.91,15.09
2017-03-28,临沧,73.92,0.96,20.56,76.29,64.59,50.58,14.4
2017-03-29,临沧,79.71,0.94,26.08,85.33,78.95,53.54,16.75
2017-03-30,临沧,96.38,1.05,26.5,84.73,102.44,64.9,17.75
2017-03-31,临沧,83.76,0.96,23.02,66.19,59.6,59.44,12.52
2017-04-01,临沧,55.32,1.0,21.07,39.73,35.04,37.93,12.3
2017-04-02,临沧,36.94,0.85,12.02,68.06,23.34,21.69,9.71
2017-04-03,临沧,45.48,0.8,11.17,90.17,26.85,27.78,10.83
2017-04-04,临沧,47.96,0.81,10.26,83.07,30.7,29.78,9.83
2017-04-05,临沧,42.46,0.8,19.58,72.79,34.43,23.94,11.71
2017-04-06,临沧,42.46,0.79,18.13,68.65,33.67,24.78,12.89
2017-04-07,临沧,58.83,0.83,24.94,63.44,55.59,33.48,13.21
2017-04-08,临沧,69.4,0.9,25.5,73.92,63.0,43.73,14.56
2017-04-09,临沧,64.83,0.78,19.67,97.06,67.51,36.52,14.75
2017-04-10,临沧,83.81,0.93,25.31,105.19,86.86,51.44,15.71
2017-04-11,临沧,88.35,0.95,21.88,113.85,104.44,59.12,17.1
2017-04-12,临沧,100.0,1.05,24.34,120.62,113.4,67.32,18.02
2017-04-13,临沧,105.85,1.15,26.46,120.17,114.23,77.44,18.42
2017-04-14,临沧,121.25,1.28,20.81,111.52,116.39,89.17,18.12
2017-04-15,临沧,88.21,1.08,13.33,108.08,76.61,63.69,11.92
2017-04-16,临沧,79.85,1.01,19.56,58.96,67.48,55.48,14.02
2017-04-17,临沧,39.98,0.73,10.5,66.58,21.12,24.71,8.62
2017-04-18,临沧,29.93,0.77,8.33,82.02,20.12,16.02,9.44
2017-04-19,临沧,39.35,0.8,9.43,74.8,28.84,22.98,11.05
2017-04-20,临沧,64.62,0.9,19.83,70.29,57.2,37.52,12.54
2017-04-21,临沧,58.69,0.83,15.15,72.19,40.84,37.81,10.4
2017-04-22,临沧,60.28,0.82,18.17,62.93,44.38,38.89,10.74
2017-04-23,临沧,70.26,0.93,23.26,47.7,66.74,43.12,11.76
2017-04-24,临沧,39.75,0.86,18.31,44.46,33.51,25.55,10.67
2017-04-25,临沧,55.31,0.86,20.15,54.21,52.35,29.11,11.6
2017-04-26,临沧,67.12,0.9,25.6,41.94,68.58,40.75,14.46
2017-04-27,临沧,77.06,0.92,26.9,38.42,80.5,51.62,14.65
2017-04-28,临沧,77.96,0.83,19.58,69.9,84.46,48.02,14.42
2017-04-29,临沧,67.09,0.74,16.41,72.37,70.91,37.22,15.07
2017-04-30,临沧,69.02,0.78,17.06,73.42,72.65,38.62,14.38
2017-05-01,临沧,63.46,0.78,18.8,76.09,64.74,33.43,13.52
2017-05-02,临沧,67.24,0.81,18.13,70.02,65.33,40.87,13.0
2017-05-03,临沧,61.4,0.71,13.23,90.46,61.93,28.6,14.15
2017-05-04,临沧,63.17,0.72,16.02,91.71,65.76,35.38,16.65
2017-05-05,临沧,71.79,0.82,16.08,90.65,75.36,41.06,17.42
2017-05-06,临沧,68.88,0.79,13.62,99.65,65.25,42.5,13.88
2017-05-07,临沧,63.86,0.79,12.77,72.39,48.59,39.64,16.27
2017-05-08,临沧,54.02,0.76,10.85,72.5,44.12,30.69,13.77
2017-05-09,临沧,54.21,0.78,13.9,77.52,50.49,30.17,17.0
2017-05-10,临沧,60.9,0.82,16.98,66.52,56.08,34.38,16.98
2017-05-11,临沧,47.02,0.8,18.29,54.92,42.08,27.04,17.46
2017-05-12,临沧,61.56,0.8,19.04,66.5,62.64,31.52,17.9
2017-05-13,临沧,47.31,0.78,14.23,76.54,43.17,26.1,13.79
2017-05-14,临沧,58.42,0.82,19.4,63.31,51.69,30.27,16.69
2017-05-15,临沧,44.68,0.8,18.07,51.11,44.45,23.59,15.09
2017-05-16,临沧,34.48,0.76,15.38,60.85,23.75,21.02,17.67
2017-05-17,临沧,31.91,0.73,12.15,56.5,21.78,18.85,16.07
2017-05-18,临沧,20.79,0.77,9.75,45.71,17.59,12.24,14.02
2017-05-19,临沧,30.5,0.77,11.56,51.48,25.5,13.56,16.25
2017-05-20,临沧,41.9,0.72,15.24,44.55,39.15,20.17,13.31
2017-05-21,临沧,43.57,1.07,19.61,62.41,41.49,19.74,18.63
2017-05-22,临沧,52.47,0.74,20.72,60.47,53.74,23.19,19.83
2017-05-23,临沧,62.61,0.68,15.3,83.89,67.24,28.75,13.64
2017-05-24,临沧,58.52,0.73,18.54,69.6,61.6,28.46,15.27
2017-05-25,临沧,59.42,0.78,20.48,66.65,60.0,32.02,15.06
2017-05-26,临沧,36.76,0.74,10.65,60.35,25.46,21.98,8.5
2017-05-27,临沧,40.21,0.78,15.4,48.46,35.58,20.27,11.88
2017-05-28,临沧,47.12,0.71,17.42,73.42,43.09,21.79,10.35
2017-05-29,临沧,42.81,0.7,15.83,72.77,39.51,18.85,11.04
2017-05-30,临沧,43.27,0.74,14.29,53.9,38.83,23.42,15.29
2017-05-31,临沧,33.6,0.73,16.02,38.25,31.98,18.06,13.83
2017-06-01,临沧,39.0,0.76,15.89,54.43,35.9,19.86,14.95
2017-06-02,临沧,39.02,0.73,16.08,54.77,35.87,20.21,14.69
2017-06-03,临沧,37.81,0.72,17.92,46.38,31.03,20.48,15.15
2017-06-04,临沧,36.27,0.68,14.12,52.25,33.21,19.42,13.04
2017-06-05,临沧,44.83,0.68,15.59,63.83,41.02,18.7,15.11
