time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,丽江,35.19,0.73,14.35,75.96,33.67,15.58,12.9
2017-01-02,丽江,31.6,0.74,14.66,75.33,28.7,13.22,12.6
2017-01-03,丽江,38.01,0.83,21.61,59.06,38.94,17.25,13.11
2017-01-04,丽江,32.11,0.74,16.21,57.29,30.3,15.33,12.69
2017-01-05,丽江,32.67,0.92,19.3,52.93,31.62,15.39,11.63
2017-01-06,丽江,36.11,0.85,15.19,63.7,35.06,17.33,10.89
2017-01-07,丽江,34.37,0.7,14.35,70.05,32.42,15.05,8.77
2017-01-08,丽江,35.07,0.57,11.58,77.06,32.81,15.8,8.77
2017-01-09,丽江,36.93,0.65,15.0,74.43,33.93,15.26,8.95
2017-01-10,丽江,34.64,0.74,11.88,77.08,31.52,15.81,8.63
2017-01-11,丽江,39.53,0.83,14.77,73.3,39.4,18.09,8.66
2017-01-12,丽江,36.03,0.77,13.05,85.67,32.37,14.67,8.67
2017-01-13,丽江,36.46,0.79,13.58,79.19,33.46,15.24,9.04
2017-01-14,丽江,35.0,0.74,8.57,87.26,31.29,13.18,11.05
2017-01-15,丽江,33.67,0.75,12.3,80.07,31.62,11.93,9.89
2017-01-16,丽江,34.48,0.72,10.94,83.4,30.15,15.15,9.77
2017-01-17,丽江,35.04,0.63,11.89,80.68,34.56,13.88,10.6
2017-01-18,丽江,34.28,0.61,9.11,86.26,29.65,13.11,9.02
2017-01-19,丽江,34.42,0.62,10.91,84.61,30.59,13.12,10.53
2017-01-20,丽江,50.46,0.8,14.97,73.05,52.76,27.69,10.92
2017-01-21,丽江,44.29,0.83,13.24,74.91,43.08,21.95,9.04
2017-01-22,丽江,33.17,0.75,13.12,70.03,32.2,14.51,8.92
2017-01-23,丽江,37.59,0.66,11.79,78.62,34.46,16.39,8.8
2017-01-24,丽江,34.22,0.68,10.05,83.69,30.75,14.07,7.98
2017-01-25,丽江,34.49,0.73,12.67,76.51,32.1,13.21,9.05
2017-01-26,丽江,40.88,0.88,19.48,58.35,41.53,22.7,9.12
2017-01-27,丽江,38.56,0.78,13.11,76.98,36.47,18.54,10.96
2017-01-28,丽江,44.14,0.69,7.54,74.8,41.54,23.98,12.66
2017-01-29,丽江,30.15,0.71,8.78,84.07,25.0,12.0,9.31
2017-01-30,丽江,34.05,0.76,12.05,80.73,27.66,16.18,9.31
2017-01-31,丽江,32.34,0.81,9.61,83.53,27.41,14.58,8.79
2017-02-01,丽江,33.32,0.82,15.29,70.89,32.52,14.54,8.88
2017-02-02,丽江,32.21,0.78,9.77,80.39,28.98,14.41,7.91
2017-02-03,丽江,32.3,0.72,8.53,79.55,29.83,14.22,9.04
2017-02-04,丽江,31.19,0.7,13.38,72.79,28.56,11.34,11.36
2017-02-05,丽江,34.14,0.65,11.82,77.89,29.96,15.09,11.05
2017-02-06,丽江,30.32,0.5,7.98,93.08,22.07,11.42,9.98
2017-02-07,丽江,33.42,0.61,6.23,94.96,28.71,12.62,10.04
2017-02-08,丽江,35.02,0.67,12.03,93.03,30.51,12.95,9.34
2017-02-09,丽江,43.34,0.75,15.51,75.95,45.14,21.41,9.14
2017-02-10,丽江,38.84,0.68,10.77,85.79,39.06,15.28,8.7
2017-02-11,丽江,33.51,0.58,8.71,86.64,28.96,13.88,10.72
2017-02-12,丽江,31.9,0.62,10.1,86.49,26.03,14.1,11.12
2017-02-13,丽江,32.71,0.66,8.65,90.43,27.47,13.0,11.29
2017-02-14,丽江,37.32,0.7,9.6,90.81,34.07,17.85,10.89
2017-02-15,丽江,34.74,0.66,11.71,84.33,32.63,15.39,10.56
2017-02-16,丽江,33.04,0.65,13.69,77.65,29.7,12.65,10.58
2017-02-17,丽江,33.78,0.69,12.42,82.12,31.28,12.58,9.78
2017-02-18,丽江,44.68,0.87,15.98,77.59,47.91,19.16,9.61
2017-02-19,丽江,42.48,0.68,9.17,81.25,45.28,14.0,6.9
2017-02-20,丽江,37.33,0.55,9.23,83.98,35.41,16.48,8.26
2017-02-21,丽江,31.31,0.6,11.11,89.0,23.7,13.32,9.06
2017-02-22,丽江,29.97,0.6,13.26,77.75,24.61,15.03,8.19
2017-02-23,丽江,27.04,0.53,11.53,82.06,20.58,10.68,7.62
2017-02-24,丽江,29.26,0.49,9.68,84.53,21.69,12.32,8.97
2017-02-25,丽江,29.85,0.55,9.12,84.74,23.93,12.12,10.92
2017-02-26,丽江,37.94,0.64,16.96,71.39,37.44,17.31,12.31
2017-02-27,丽江,39.71,0.72,18.35,73.86,39.07,19.89,13.04
2017-02-28,丽江,35.43,0.75,11.24,90.4,31.17,14.83,12.92
2017-03-01,丽江,40.17,0.66,13.42,91.69,38.63,18.33,13.54
2017-03-02,丽江,41.0,0.68,14.07,93.04,41.42,18.75,13.26
2017-03-03,丽江,40.24,0.65,13.5,99.43,40.15,15.06,12.85
