time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,大理州,38.47,0.82,16.44,79.89,29.83,21.79,11.13
2017-01-02,大理州,33.02,0.93,20.1,68.45,30.52,17.02,12.8
2017-01-03,大理州,35.02,1.08,22.75,46.08,34.74,22.54,11.77
2017-01-04,大理州,27.44,0.91,20.25,46.85,25.5,18.06,11.65
2017-01-05,大理州,31.44,0.89,16.35,50.62,30.21,19.19,9.27
2017-01-06,大理州,31.5,0.83,13.31,63.5,21.46,18.35,8.12
2017-01-07,大理州,35.51,0.84,16.93,65.91,26.43,19.58,10.13
2017-01-08,大理州,32.62,0.84,16.34,71.06,26.48,17.66,9.02
2017-01-09,大理州,28.24,0.78,13.24,72.06,26.94,14.67,10.27
2017-01-10,大理州,28.67,0.87,13.08,69.0,25.06,15.12,10.08
2017-01-11,大理州,26.86,0.81,14.02,72.63,21.45,12.14,10.16
2017-01-12,大理州,31.17,0.75,14.88,81.69,20.13,15.98,9.44
2017-01-13,大理州,33.47,0.9,15.02,79.47,24.57,18.85,10.66
2017-01-14,大理州,35.94,0.91,13.9,80.21,32.53,19.06,9.73
2017-01-15,大理州,39.52,0.97,18.08,75.12,34.89,24.19,11.83
2017-01-16,大理州,36.12,0.86,13.9,81.85,27.57,20.94,13.0
2017-01-17,大理州,39.08,0.83,12.79,87.4,31.39,25.17,10.1
2017-01-18,大理州,36.04,0.81,13.33,88.04,27.59,21.85,7.79
2017-01-19,大理州,41.7,0.85,17.5,85.09,34.79,26.11,9.87
2017-01-20,大理州,50.77,0.87,17.42,85.77,43.48,32.23,10.31
2017-01-21,大理州,54.96,0.92,19.06,82.42,45.5,37.75,11.0
2017-01-22,大理州,58.73,0.94,18.77,83.23,40.33,41.46,11.56
2017-01-23,大理州,54.73,0.89,14.6,90.17,43.68,37.33,10.38
2017-01-24,大理州,43.67,0.84,14.25,86.73,33.0,28.04,9.48
2017-01-25,大理州,43.62,0.82,18.92,77.4,37.93,28.29,10.88
2017-01-26,大理州,46.21,0.85,16.68,67.68,39.5,29.53,9.29
2017-01-27,大理州,44.82,0.84,12.32,78.39,31.62,29.25,9.95
2017-01-28,大理州,70.1,0.73,7.75,77.35,36.2,49.71,10.77
2017-01-29,大理州,75.09,0.7,10.54,87.93,29.82,53.48,8.48
2017-01-30,大理州,42.5,0.72,11.62,93.08,36.66,24.6,9.0
2017-01-31,大理州,35.35,0.7,9.48,92.12,30.35,20.69,8.83
2017-02-01,大理州,37.96,0.75,10.06,89.08,27.28,22.89,8.46
2017-02-02,大理州,35.48,0.83,9.31,90.42,30.64,21.23,8.35
2017-02-03,大理州,33.73,0.86,14.23,78.77,30.24,18.69,9.27
2017-02-04,大理州,34.78,0.92,21.11,61.72,30.68,17.67,11.5
2017-02-05,大理州,34.5,0.87,15.21,82.71,29.69,15.5,10.02
2017-02-06,大理州,35.27,0.85,14.88,92.79,32.28,15.85,9.4
2017-02-07,大理州,38.24,0.81,11.46,94.15,32.29,21.98,8.57
2017-02-08,大理州,44.85,0.91,19.12,83.0,41.96,28.71,10.0
2017-02-09,大理州,54.52,0.91,14.1,97.92,45.0,36.58,8.79
2017-02-10,大理州,52.96,0.81,11.83,100.33,37.55,35.69,9.69
2017-02-11,大理州,46.31,0.75,12.52,99.54,43.25,31.69,8.19
2017-02-12,大理州,43.31,0.66,13.69,98.08,31.81,25.83,7.85
2017-02-13,大理州,45.08,0.72,14.96,100.69,39.72,28.08,9.17
2017-02-14,大理州,52.6,0.74,15.29,101.75,43.19,35.65,9.96
2017-02-15,大理州,52.48,0.74,16.79,93.65,43.3,33.06,9.46
2017-02-16,大理州,45.92,0.76,22.06,76.73,38.22,29.9,11.52
2017-02-17,大理州,49.58,0.77,20.96,85.73,42.62,31.25,12.31
2017-02-18,大理州,53.52,0.76,19.94,93.1,47.0,34.92,10.44
2017-02-19,大理州,53.83,0.8,18.4,96.12,43.47,33.79,8.67
2017-02-20,大理州,54.9,0.88,17.25,83.69,35.25,38.83,8.79
2017-02-21,大理州,64.27,0.96,13.94,102.56,37.62,45.27,8.02
2017-02-22,大理州,72.33,0.9,12.8,110.35,43.68,52.72,9.02
2017-02-23,大理州,74.08,0.87,13.17,115.48,46.12,53.65,9.38
2017-02-24,大理州,69.0,0.8,14.42,95.73,39.54,49.67,9.4
2017-02-25,大理州,52.15,0.79,16.44,94.54,40.23,34.08,10.85
2017-02-26,大理州,58.98,0.83,15.29,112.77,45.52,40.19,11.06
2017-02-27,大理州,61.1,0.87,14.0,115.6,42.46,41.42,10.48
2017-02-28,大理州,59.38,0.85,18.1,109.31,43.62,40.77,10.5
2017-03-01,大理州,54.81,0.9,23.21,98.15,47.28,36.64,11.85
2017-03-02,大理州,67.24,0.93,15.26,123.76,53.81,47.39,10.43
2017-03-03,大理州,56.91,0.81,12.3,121.96,44.91,37.38,9.19
2017-03-04,大理州,71.1,0.86,13.73,135.27,59.0,50.65,11.75
2017-03-05,大理州,57.44,0.82,14.29,117.79,40.5,39.81,10.46
2017-03-06,大理州,65.31,0.95,16.88,114.4,43.18,46.31,11.04
2017-03-07,大理州,56.92,1.04,12.9,114.33,41.0,37.62,9.12
2017-03-08,大理州,50.11,1.03,16.76,94.52,38.0,32.96,8.76
2017-03-09,大理州,46.69,1.09,17.52,87.1,14.5,31.12,8.19
2017-03-10,大理州,51.12,1.03,13.71,98.27,39.18,34.48,8.04
2017-03-11,大理州,55.5,1.09,20.93,76.11,44.94,38.72,10.87
2017-03-12,大理州,36.31,1.07,16.19,70.19,18.88,24.02,8.04
2017-03-13,大理州,45.75,0.98,11.48,96.77,35.0,30.81,7.96
2017-03-14,大理州,41.53,0.91,18.81,80.26,32.08,26.28,9.11
2017-03-15,大理州,40.72,0.69,13.65,99.04,26.8,23.65,7.41
2017-03-16,大理州,41.92,0.71,16.15,108.08,33.48,24.25,7.31
2017-03-17,大理州,56.76,0.78,18.63,116.59,39.61,37.41,8.61
2017-03-18,大理州,63.79,0.86,17.33,117.6,51.82,45.04,8.6
2017-03-19,大理州,56.69,0.77,13.65,116.56,53.92,37.88,6.73
2017-03-20,大理州,51.1,0.76,20.25,93.02,41.11,33.75,8.25
2017-03-21,大理州,51.48,0.79,15.06,95.33,30.0,35.33,6.6
2017-03-22,大理州,39.69,0.73,18.33,82.15,31.87,23.73,8.67
2017-03-23,大理州,45.0,0.76,19.19,93.56,34.54,28.21,7.15
2017-03-24,大理州,51.62,0.94,14.38,98.19,52.69,31.71,8.04
2017-03-25,大理州,76.64,1.09,20.3,100.19,55.93,55.7,7.36
2017-03-26,大理州,73.25,1.2,27.75,78.65,63.21,53.23,11.56
2017-03-27,大理州,70.24,1.1,16.41,104.33,57.0,50.33,7.63
2017-03-28,大理州,39.58,0.92,15.12,84.04,31.71,23.1,7.04
2017-03-29,大理州,65.9,0.98,17.46,101.5,57.58,45.02,9.51
2017-03-30,大理州,80.54,1.04,17.48,108.54,66.0,58.6,7.46
2017-03-31,大理州,58.56,1.04,26.17,80.35,38.53,39.02,11.17
2017-04-01,大理州,47.98,1.11,30.67,52.61,37.76,31.46,14.39
2017-04-02,大理州,36.25,0.98,18.83,79.23,30.65,23.17,8.77
2017-04-03,大理州,53.3,0.91,13.59,104.35,37.69,35.96,6.07
2017-04-04,大理州,40.82,0.79,13.98,105.73,28.93,26.47,7.07
2017-04-05,大理州,39.9,0.77,18.23,92.94,26.72,23.58,6.5
2017-04-06,大理州,39.3,0.74,18.54,79.37,34.08,20.46,6.35
2017-04-07,大理州,45.06,0.86,17.98,77.92,38.12,26.04,8.12
2017-04-08,大理州,50.89,0.86,17.57,88.13,40.63,31.49,12.09
2017-04-09,大理州,48.48,0.78,18.79,103.04,41.79,25.08,7.44
2017-04-10,大理州,56.29,0.76,14.25,127.88,52.24,32.48,8.08
2017-04-11,大理州,60.58,0.78,13.4,135.25,52.61,41.08,7.04
2017-04-12,大理州,69.6,0.89,18.35,138.31,64.02,46.44,8.08
2017-04-13,大理州,91.81,1.02,24.42,140.08,79.55,65.29,9.27
2017-04-14,大理州,114.85,1.15,22.52,150.06,94.2,86.15,9.88
2017-04-15,大理州,112.11,1.17,22.06,146.28,84.05,84.19,14.45
2017-04-16,大理州,97.5,1.14,23.08,118.0,76.14,72.48,7.48
2017-04-17,大理州,47.94,0.97,20.75,74.5,13.0,32.79,12.02
2017-04-18,大理州,32.74,0.87,19.28,74.57,18.83,16.78,12.57
2017-04-19,大理州,38.15,0.82,14.26,73.96,33.65,23.81,7.68
2017-04-20,大理州,47.48,0.86,16.52,84.9,33.09,32.04,7.58
2017-04-21,大理州,44.65,0.78,15.69,84.67,23.69,28.15,7.54
2017-04-22,大理州,44.19,0.79,17.1,80.35,29.95,28.9,10.85
2017-04-23,大理州,40.6,0.99,15.6,79.65,26.94,26.52,12.69
2017-04-24,大理州,44.4,1.01,15.23,75.71,33.76,30.08,7.73
2017-04-25,大理州,45.23,0.9,13.83,92.32,37.41,29.21,7.68
