time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,德宏州,58.5,1.07,20.75,35.71,52.96,39.43,12.39
2017-01-02,德宏州,54.27,0.98,20.55,37.95,56.68,34.77,19.35
2017-01-03,德宏州,68.67,1.02,30.15,6.77,63.86,49.5,14.48
2017-01-04,德宏州,48.71,0.81,19.08,30.06,36.97,32.75,13.71
2017-01-05,德宏州,45.9,0.82,19.25,21.65,43.5,29.75,10.46
2017-01-06,德宏州,51.12,0.88,17.33,27.67,47.7,33.69,11.0
2017-01-07,德宏州,46.39,0.8,19.2,32.3,46.21,28.7,9.96
2017-01-08,德宏州,53.25,0.87,20.62,35.77,54.3,34.15,11.04
2017-01-09,德宏州,50.84,0.92,23.49,27.56,51.44,31.81,12.05
2017-01-10,德宏州,52.27,0.86,21.42,33.02,51.51,31.29,11.81
2017-01-11,德宏州,49.07,0.95,23.41,37.35,50.91,30.89,10.59
2017-01-12,德宏州,53.15,0.95,23.75,38.96,55.21,31.52,10.17
2017-01-13,德宏州,57.15,0.99,26.29,40.1,57.13,37.17,10.17
2017-01-14,德宏州,61.1,0.98,22.92,44.77,63.17,38.67,9.08
2017-01-15,德宏州,58.19,0.96,25.06,42.6,58.23,37.0,9.6
2017-01-16,德宏州,67.79,1.05,28.65,39.77,69.47,47.02,11.35
2017-01-17,德宏州,70.19,1.06,26.29,40.02,72.07,46.98,10.17
2017-01-18,德宏州,66.85,1.12,23.92,42.85,68.85,43.94,9.4
2017-01-19,德宏州,67.02,0.97,28.02,41.67,70.61,44.94,9.19
2017-01-20,德宏州,64.67,0.75,26.94,44.98,68.29,41.81,10.29
2017-01-21,德宏州,65.06,0.77,26.1,45.88,58.73,45.19,8.52
2017-01-22,德宏州,67.17,0.84,28.75,45.08,71.35,41.58,11.0
2017-01-23,德宏州,72.04,0.87,26.79,45.31,72.14,50.6,12.04
2017-01-24,德宏州,63.6,0.89,21.54,44.48,58.22,42.88,8.29
2017-01-25,德宏州,50.71,0.76,20.94,51.29,45.0,32.04,7.35
