time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,怒江州,43.37,1.19,24.89,38.34,44.17,22.19,16.84
2017-01-02,怒江州,46.68,1.23,24.79,43.92,51.62,19.77,16.97
2017-01-03,怒江州,41.21,1.22,24.77,29.5,42.0,19.44,16.85
2017-01-04,怒江州,46.19,1.34,24.1,24.31,40.26,29.02,16.98
2017-01-05,怒江州,31.72,1.2,19.66,33.36,26.56,17.69,16.53
2017-01-06,怒江州,33.35,1.27,20.96,33.52,30.81,16.91,16.62
2017-01-07,怒江州,39.15,1.39,21.57,37.39,37.05,21.09,16.43
2017-01-08,怒江州,43.83,1.33,23.69,35.27,42.08,24.0,19.12
2017-01-09,怒江州,48.67,1.36,27.35,27.11,53.49,25.27,12.57
2017-01-10,怒江州,54.4,1.37,28.62,27.21,55.9,30.93,12.46
2017-01-11,怒江州,50.25,1.32,28.06,28.58,48.93,27.48,12.69
2017-01-12,怒江州,46.12,1.33,25.65,34.9,47.91,23.8,12.44
2017-01-13,怒江州,47.9,1.39,26.56,34.5,44.19,26.72,12.38
2017-01-14,怒江州,49.79,1.38,29.35,33.35,55.2,24.83,12.19
2017-01-15,怒江州,45.6,0.98,26.71,39.9,49.11,24.02,11.58
2017-01-16,怒江州,49.44,1.04,31.4,36.42,54.16,25.54,11.19
2017-01-17,怒江州,51.67,1.08,31.8,38.11,52.0,28.11,11.53
2017-01-18,怒江州,50.08,1.07,31.4,36.5,57.24,25.74,10.9
2017-01-19,怒江州,41.2,1.19,24.09,34.49,39.3,22.89,11.49
2017-01-20,怒江州,45.29,1.4,24.97,46.42,50.52,21.84,12.26
2017-01-21,怒江州,49.14,1.02,25.89,37.45,54.34,22.63,12.82
2017-01-22,怒江州,54.27,1.04,21.54,35.9,53.97,28.09,14.31
2017-01-23,怒江州,47.27,1.15,21.77,39.23,48.31,24.95,14.45
2017-01-24,怒江州,50.94,1.12,19.03,43.0,49.29,26.53,12.08
2017-01-25,怒江州,47.04,1.28,16.58,41.21,44.07,24.6,11.65
2017-01-26,怒江州,46.76,1.33,17.88,29.29,44.41,25.44,11.24
2017-01-27,怒江州,58.82,1.27,13.86,43.95,56.71,37.22,12.27
2017-01-28,怒江州,94.04,1.31,14.08,40.96,81.97,67.89,14.4
2017-01-29,怒江州,42.72,1.17,9.74,54.89,33.94,26.12,12.2
2017-01-30,怒江州,48.69,1.3,12.04,48.98,38.03,29.21,11.58
2017-01-31,怒江州,46.62,1.86,14.05,38.83,42.1,27.28,12.57
2017-02-01,怒江州,48.41,1.43,13.13,47.5,45.47,27.91,11.5
2017-02-02,怒江州,40.62,1.48,15.4,44.6,41.34,21.7,11.5
2017-02-03,怒江州,46.07,1.47,17.93,41.12,43.35,27.26,11.57
2017-02-04,怒江州,43.73,1.1,17.8,42.3,42.13,21.74,11.65
2017-02-05,怒江州,46.4,1.06,18.67,52.73,45.48,22.58,11.52
2017-02-06,怒江州,56.65,1.16,22.42,56.71,57.6,27.85,11.79
2017-02-07,怒江州,53.48,1.11,22.68,60.91,52.51,31.13,11.52
2017-02-08,怒江州,62.38,1.21,31.29,59.5,71.21,30.11,11.96
2017-02-09,怒江州,66.71,1.22,27.77,56.62,69.22,38.96,11.88
2017-02-10,怒江州,69.1,1.2,25.98,61.31,65.05,44.5,11.71
2017-02-11,怒江州,71.83,1.22,26.94,62.46,55.23,45.82,11.85
2017-02-12,怒江州,59.73,1.04,40.82,63.68,62.36,32.44,11.36
2017-02-13,怒江州,65.08,1.12,37.31,62.94,68.02,36.93,12.1
2017-02-14,怒江州,61.9,1.15,33.17,69.85,66.67,40.0,11.44
2017-02-15,怒江州,62.81,1.13,36.75,68.81,68.66,33.37,11.12
2017-02-16,怒江州,62.92,1.13,39.81,57.48,71.57,31.93,11.08
2017-02-17,怒江州,66.0,1.21,39.0,62.3,72.5,36.2,11.43
2017-02-18,怒江州,67.35,1.19,38.77,64.96,76.7,32.35,11.71
2017-02-19,怒江州,59.76,1.2,29.47,67.07,63.05,28.42,11.22
2017-02-20,怒江州,91.96,1.44,47.46,30.42,88.5,62.21,12.06
2017-02-21,怒江州,69.88,1.36,36.9,39.96,44.38,49.15,10.81
2017-02-22,怒江州,24.94,1.13,25.19,56.06,17.09,15.23,10.25
2017-02-23,怒江州,29.31,1.01,23.21,55.34,20.91,17.12,9.48
2017-02-24,怒江州,30.04,0.75,22.28,63.88,24.93,14.54,10.29
2017-02-25,怒江州,46.89,0.85,26.27,59.48,46.74,23.17,10.11
2017-02-26,怒江州,63.69,0.96,35.71,42.95,68.78,37.42,10.86
2017-02-27,怒江州,49.41,0.85,31.16,70.48,46.0,27.11,10.43
2017-02-28,怒江州,58.93,0.98,46.86,55.83,69.78,27.69,10.69
2017-03-01,怒江州,75.3,0.91,35.17,56.83,70.58,47.85,10.96
2017-03-02,怒江州,65.57,0.71,32.13,59.37,78.62,31.54,9.11
2017-03-03,怒江州,67.91,0.66,28.68,69.66,80.26,35.04,9.02
2017-03-04,怒江州,59.0,0.65,18.67,94.69,61.12,31.81,9.5
2017-03-05,怒江州,33.29,0.71,14.51,76.2,29.6,17.6,10.38
2017-03-06,怒江州,42.96,0.71,22.1,62.92,38.73,20.65,10.54
2017-03-07,怒江州,40.04,0.77,17.48,64.46,40.98,17.96,11.79
