time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,文山州,78.03,0.85,24.94,37.97,79.55,56.43,14.4
2017-01-02,文山州,53.61,0.95,27.0,18.78,48.15,36.28,16.92
2017-01-03,文山州,23.57,0.68,14.8,28.5,21.7,13.5,15.2
2017-01-04,文山州,35.73,0.58,19.23,39.79,30.44,23.09,12.46
2017-01-05,文山州,35.15,0.66,20.54,25.19,36.41,20.04,15.35
2017-01-06,文山州,25.69,0.52,13.5,32.21,22.45,14.35,13.75
2017-01-07,文山州,26.8,0.47,17.89,32.53,25.91,12.52,15.31
2017-01-08,文山州,36.81,0.45,19.04,36.81,37.87,19.67,12.31
2017-01-09,文山州,36.2,0.43,14.83,53.65,34.42,21.44,11.8
2017-01-10,文山州,36.04,0.48,13.31,51.44,34.24,21.46,12.06
2017-01-11,文山州,17.56,0.6,16.88,36.42,15.25,9.96,12.56
2017-01-12,文山州,21.69,0.83,11.4,21.65,19.21,12.92,9.62
2017-01-13,文山州,32.23,0.84,13.85,23.1,29.16,20.62,7.81
2017-01-14,文山州,22.56,0.76,10.23,34.85,22.37,11.85,10.15
2017-01-15,文山州,23.29,0.67,9.21,34.67,24.45,11.88,8.83
2017-01-16,文山州,22.23,0.55,8.72,44.02,20.4,9.75,7.56
2017-01-17,文山州,24.69,0.6,9.6,41.02,23.39,13.75,11.23
2017-01-18,文山州,25.58,0.6,9.92,50.56,23.73,13.1,9.42
2017-01-19,文山州,29.96,0.62,9.62,47.9,28.38,18.73,10.69
2017-01-20,文山州,25.69,0.61,8.38,57.98,22.37,14.38,7.12
2017-01-21,文山州,25.0,0.77,9.23,30.83,22.14,16.5,7.46
2017-01-22,文山州,18.12,0.74,7.77,33.81,16.0,11.04,5.02
2017-01-23,文山州,20.92,0.6,7.27,51.54,16.68,12.12,5.48
2017-01-24,文山州,39.25,0.64,7.54,56.79,31.22,26.9,6.79
2017-01-25,文山州,46.4,0.62,9.44,66.71,37.22,32.0,6.98
2017-01-26,文山州,47.88,0.54,8.18,67.24,38.41,33.29,7.24
2017-01-27,文山州,70.71,0.62,8.79,69.48,58.57,51.31,11.48
2017-01-28,文山州,53.92,0.42,5.08,66.44,50.64,37.9,15.38
2017-01-29,文山州,42.11,0.42,5.59,67.13,36.89,27.7,13.15
2017-01-30,文山州,36.54,0.44,5.98,64.85,31.18,24.77,12.19
2017-01-31,文山州,36.92,0.41,5.67,73.44,31.76,24.0,11.75
2017-02-01,文山州,37.65,0.5,6.4,71.94,31.53,25.17,11.21
2017-02-02,文山州,33.56,0.5,7.02,64.08,29.86,21.88,8.88
2017-02-03,文山州,32.9,0.53,8.75,64.77,28.68,18.5,4.17
2017-02-04,文山州,45.22,0.47,12.39,58.78,45.79,26.51,5.35
2017-02-05,文山州,32.46,0.49,9.52,59.02,27.78,19.79,4.83
2017-02-06,文山州,36.4,0.51,9.06,72.5,31.28,24.35,5.38
2017-02-07,文山州,33.2,0.5,9.57,80.54,28.03,21.5,6.37
2017-02-08,文山州,58.29,0.71,13.44,53.94,58.71,41.25,15.06
2017-02-09,文山州,29.85,0.97,11.62,46.58,28.47,18.42,8.94
2017-02-10,文山州,20.31,0.95,12.29,39.31,17.61,12.69,6.27
2017-02-11,文山州,30.52,0.86,11.58,41.94,29.73,20.73,6.6
2017-02-12,文山州,45.85,0.86,11.79,39.33,40.69,31.85,9.08
2017-02-13,文山州,39.6,0.8,11.73,50.12,36.51,26.1,8.4
2017-02-14,文山州,59.19,0.86,13.77,77.19,52.73,42.09,7.98
2017-02-15,文山州,60.02,0.8,17.39,84.74,55.0,42.29,8.78
2017-02-16,文山州,53.77,0.68,17.44,67.12,51.4,36.67,11.15
2017-02-17,文山州,66.06,0.65,17.08,71.96,66.45,45.77,11.98
2017-02-18,文山州,58.58,0.54,16.44,72.46,57.58,39.38,12.08
2017-02-19,文山州,50.23,0.47,12.38,81.4,50.47,31.12,11.62
2017-02-20,文山州,55.15,0.5,12.58,83.58,54.66,35.67,11.21
2017-02-21,文山州,57.58,0.6,14.25,86.62,57.62,38.0,13.21
2017-02-22,文山州,62.1,0.65,18.77,81.65,63.7,40.9,14.54
2017-02-23,文山州,68.56,0.69,17.6,67.54,75.04,46.83,13.25
2017-02-24,文山州,40.31,0.58,13.71,41.38,38.68,26.88,4.71
2017-02-25,文山州,35.02,0.54,13.71,41.69,33.05,22.42,5.38
2017-02-26,文山州,49.67,0.52,14.5,50.29,49.85,32.33,6.38
2017-02-27,文山州,40.21,0.61,15.56,40.6,37.57,26.98,6.67
2017-02-28,文山州,37.7,0.62,13.85,54.79,36.11,24.98,10.06
2017-03-01,文山州,50.07,0.63,15.3,54.18,50.42,35.27,5.7
2017-03-02,文山州,76.68,0.66,18.1,54.81,86.26,54.29,12.03
2017-03-03,文山州,63.79,0.69,14.27,82.31,65.81,44.31,5.4
2017-03-04,文山州,73.54,0.75,15.27,95.12,76.62,51.38,6.17
2017-03-05,文山州,79.71,0.89,19.73,89.29,88.54,56.69,7.67
2017-03-06,文山州,87.25,0.94,17.85,72.23,93.45,64.31,7.31
2017-03-07,文山州,43.1,0.83,13.0,61.06,42.87,26.19,6.0
2017-03-08,文山州,30.87,0.8,13.0,34.91,29.34,18.04,7.51
2017-03-09,文山州,18.42,0.76,10.1,35.62,16.17,9.65,9.27
2017-03-10,文山州,40.23,0.68,14.0,52.42,42.28,23.69,10.98
2017-03-11,文山州,51.09,0.63,20.56,50.47,56.65,30.33,12.31
