time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,普洱,51.95,0.72,17.92,30.95,58.65,33.89,3.03
2017-01-02,普洱,48.42,0.71,22.15,19.93,45.45,33.08,3.67
2017-01-03,普洱,31.49,0.64,19.04,15.79,24.33,21.68,3.17
2017-01-04,普洱,35.31,0.57,16.38,37.04,22.76,24.64,3.21
2017-01-05,普洱,34.92,0.54,11.58,32.88,33.1,23.19,2.98
2017-01-06,普洱,34.96,0.53,11.19,35.62,37.68,23.06,2.85
2017-01-07,普洱,38.59,0.52,10.98,37.96,39.04,24.63,2.8
2017-01-08,普洱,47.32,0.63,16.72,29.96,55.0,30.51,3.28
2017-01-09,普洱,52.67,0.67,20.09,22.43,68.13,34.98,3.41
2017-01-10,普洱,49.33,0.68,16.0,30.64,57.97,31.9,3.65
2017-01-11,普洱,37.19,0.53,11.56,34.33,39.77,23.71,3.06
2017-01-12,普洱,40.46,0.48,15.78,23.22,44.74,22.3,3.67
2017-01-13,普洱,45.98,0.49,15.65,22.3,54.88,23.26,3.56
2017-01-14,普洱,47.46,0.46,16.52,34.29,58.31,27.52,3.12
2017-01-15,普洱,50.0,0.48,18.27,38.7,51.89,30.33,3.15
2017-01-16,普洱,50.94,0.56,18.02,32.24,56.08,29.75,3.44
2017-01-17,普洱,50.31,0.55,17.62,32.75,59.38,30.92,3.67
2017-01-18,普洱,50.23,0.55,19.21,33.4,55.76,30.79,3.88
2017-01-19,普洱,53.06,0.53,20.58,37.19,59.31,32.15,3.69
2017-01-20,普洱,52.07,0.57,21.78,45.63,57.42,32.13,2.93
2017-01-21,普洱,52.42,0.58,18.98,40.92,56.34,31.9,2.56
2017-01-22,普洱,52.4,0.7,17.88,36.17,52.29,32.06,3.04
2017-01-23,普洱,36.65,0.61,10.65,42.54,35.21,21.42,2.83
2017-01-24,普洱,34.6,0.61,7.48,47.92,31.58,19.38,2.65
2017-01-25,普洱,40.02,0.59,9.96,41.17,40.59,25.04,3.19
2017-01-26,普洱,43.35,0.52,9.97,28.79,37.32,29.15,2.85
2017-01-27,普洱,59.58,0.52,9.06,39.17,59.05,40.44,3.92
2017-01-28,普洱,107.16,0.57,8.68,35.47,76.54,79.76,7.92
2017-01-29,普洱,47.72,0.47,7.54,44.41,43.06,31.39,2.89
2017-01-30,普洱,49.6,0.49,8.58,57.21,45.75,32.46,2.23
2017-01-31,普洱,47.68,0.57,10.85,50.36,41.68,31.53,2.5
2017-02-01,普洱,49.75,0.58,10.85,51.44,46.52,34.15,2.94
2017-02-02,普洱,52.71,0.59,11.21,53.58,47.81,35.62,2.44
2017-02-03,普洱,47.02,0.56,13.52,56.17,40.97,30.96,2.46
2017-02-04,普洱,49.78,0.58,12.41,45.46,49.65,29.35,2.28
2017-02-05,普洱,48.6,0.57,15.04,45.85,52.28,30.23,2.6
2017-02-06,普洱,50.31,0.6,20.08,52.62,57.19,27.06,3.85
2017-02-07,普洱,54.0,0.67,20.52,59.11,59.78,33.54,5.96
2017-02-08,普洱,58.02,0.67,20.98,61.02,60.31,38.12,5.56
2017-02-09,普洱,61.4,0.84,18.81,59.12,67.75,40.12,5.21
2017-02-10,普洱,64.29,0.75,19.94,59.48,69.51,40.68,5.48
2017-02-11,普洱,55.29,0.86,11.58,48.79,58.41,36.54,5.42
2017-02-12,普洱,40.38,1.05,5.71,37.88,39.9,25.62,5.44
2017-02-13,普洱,40.75,1.04,8.1,34.69,43.34,24.42,5.31
2017-02-14,普洱,63.28,0.95,11.74,54.96,70.43,41.72,5.52
2017-02-15,普洱,54.06,0.79,10.04,64.96,55.07,36.79,5.54
2017-02-16,普洱,46.34,0.68,11.0,55.87,48.17,29.02,4.94
2017-02-17,普洱,57.83,0.69,13.86,53.48,59.5,37.36,5.02
2017-02-18,普洱,62.48,0.75,19.15,55.4,70.42,41.77,5.31
2017-02-19,普洱,62.75,0.74,19.96,56.17,66.95,41.88,5.65
2017-02-20,普洱,67.58,0.77,20.83,63.96,83.08,44.77,5.85
2017-02-21,普洱,73.35,0.82,20.92,74.69,85.45,49.85,6.17
2017-02-22,普洱,70.58,0.76,24.69,63.6,80.27,48.33,6.6
2017-02-23,普洱,75.7,0.75,25.51,49.59,100.32,47.5,6.81
2017-02-24,普洱,75.21,0.67,25.77,64.81,94.1,49.38,6.35
2017-02-25,普洱,78.23,0.67,25.88,66.1,100.46,50.25,6.48
2017-02-26,普洱,67.39,0.63,16.13,64.59,82.71,41.37,5.67
2017-02-27,普洱,54.35,0.67,12.04,40.94,65.25,30.79,5.38
2017-02-28,普洱,58.45,0.69,12.32,59.43,70.62,32.79,5.62
2017-03-01,普洱,60.88,0.69,15.15,56.52,65.42,41.06,5.45
2017-03-02,普洱,52.24,0.7,8.78,53.33,52.65,34.46,3.69
2017-03-03,普洱,64.06,0.74,15.67,67.85,75.28,43.56,3.73
2017-03-04,普洱,89.35,0.72,28.29,80.08,112.16,63.48,4.69
2017-03-05,普洱,103.04,0.8,30.08,83.59,124.87,74.83,4.81
2017-03-06,普洱,103.89,0.83,28.66,86.85,123.57,75.57,4.96
2017-03-07,普洱,90.23,0.77,27.91,81.11,109.36,62.7,5.0
2017-03-08,普洱,87.76,0.8,31.59,74.11,105.82,61.83,5.35
2017-03-09,普洱,85.55,0.77,21.04,63.87,105.94,60.13,4.53
2017-03-10,普洱,99.5,0.73,22.92,56.52,128.58,53.81,4.4
2017-03-11,普洱,74.25,0.68,21.92,55.94,93.23,48.31,4.92
2017-03-12,普洱,53.67,0.5,11.85,47.3,58.11,29.69,4.73
2017-03-13,普洱,52.4,0.52,13.43,73.32,61.03,27.41,4.32
2017-03-14,普洱,68.44,0.62,21.9,66.83,86.25,41.83,4.54
2017-03-15,普洱,76.43,0.72,25.87,68.51,96.95,47.37,5.09
2017-03-16,普洱,89.96,0.83,29.72,78.47,119.11,60.21,4.21
2017-03-17,普洱,95.2,0.88,27.59,91.46,115.56,67.52,4.15
2017-03-18,普洱,109.9,1.03,30.48,87.1,122.35,81.56,4.62
2017-03-19,普洱,100.71,0.88,29.96,87.65,123.8,73.79,4.98
2017-03-20,普洱,87.48,0.82,25.92,83.06,101.55,61.42,4.9
2017-03-21,普洱,106.85,0.92,21.15,95.02,120.41,78.08,4.48
2017-03-22,普洱,72.19,0.69,24.23,74.31,82.9,49.27,4.46
2017-03-23,普洱,80.48,0.66,27.56,76.98,107.1,53.75,4.56
2017-03-24,普洱,100.33,0.85,30.12,91.29,122.85,71.65,4.56
2017-03-25,普洱,108.54,0.95,32.02,97.54,127.47,80.94,5.02
2017-03-26,普洱,117.75,1.0,26.56,92.67,127.43,88.9,5.33
2017-03-27,普洱,55.78,0.76,8.22,66.59,62.58,35.67,4.17
2017-03-28,普洱,56.12,0.78,14.9,59.44,61.17,36.23,4.94
