time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,曲靖,47.79,0.88,21.21,60.88,45.29,25.45,16.7
2017-01-02,曲靖,64.17,1.21,29.4,38.67,75.0,38.38,25.48
2017-01-03,曲靖,38.15,0.98,23.27,27.98,38.24,24.5,15.81
2017-01-04,曲靖,36.42,0.87,17.79,55.96,24.54,22.23,16.62
2017-01-05,曲靖,33.29,0.86,15.52,51.52,32.5,18.45,15.79
2017-01-06,曲靖,35.48,0.97,19.88,40.83,34.14,18.81,18.19
2017-01-07,曲靖,50.57,1.15,27.78,39.28,55.56,23.02,26.48
2017-01-08,曲靖,54.6,1.13,27.5,50.56,61.67,28.15,38.33
2017-01-09,曲靖,38.96,0.76,21.96,56.5,39.55,16.65,17.37
2017-01-10,曲靖,35.0,0.67,20.92,57.21,35.45,13.1,25.98
2017-01-11,曲靖,55.98,1.03,35.08,24.83,64.86,30.17,36.75
2017-01-12,曲靖,52.96,1.31,24.4,11.92,57.13,33.81,26.35
2017-01-13,曲靖,56.46,1.32,29.6,17.9,64.58,33.56,24.19
2017-01-14,曲靖,41.92,0.82,18.9,58.29,42.82,22.15,14.56
2017-01-15,曲靖,52.15,0.86,23.46,48.77,57.58,25.17,16.44
2017-01-16,曲靖,35.67,0.79,18.35,64.04,34.62,16.08,13.65
2017-01-17,曲靖,42.4,0.75,17.77,58.52,44.23,17.0,14.23
2017-01-18,曲靖,34.67,0.66,14.17,71.52,33.18,11.67,12.6
2017-01-19,曲靖,42.65,0.84,22.27,65.52,46.23,15.73,15.1
2017-01-20,曲靖,46.06,1.07,21.19,47.52,48.71,24.69,14.98
2017-01-21,曲靖,51.15,1.15,24.83,25.75,54.59,30.02,18.04
2017-01-22,曲靖,54.94,1.35,23.65,36.94,60.31,32.96,23.15
2017-01-23,曲靖,50.62,1.3,19.65,44.19,50.56,29.58,15.17
2017-01-24,曲靖,42.58,0.92,16.52,48.67,42.95,23.25,12.6
2017-01-25,曲靖,37.92,1.09,14.95,49.93,38.93,20.79,12.59
2017-01-26,曲靖,55.26,1.0,15.52,37.44,56.4,33.53,13.12
2017-01-27,曲靖,57.75,0.92,11.65,44.56,64.77,31.96,13.27
2017-01-28,曲靖,57.38,0.75,6.98,50.2,54.65,36.31,16.02
2017-01-29,曲靖,33.89,0.78,8.15,53.96,38.21,16.37,12.41
2017-01-30,曲靖,53.25,0.9,10.17,46.4,52.3,34.9,11.62
2017-01-31,曲靖,32.69,0.74,7.17,59.12,31.0,16.98,10.65
2017-02-01,曲靖,40.42,0.86,13.58,59.76,38.83,21.38,11.98
2017-02-02,曲靖,39.15,0.82,11.15,61.85,37.64,18.88,11.15
2017-02-03,曲靖,33.23,0.75,13.62,61.21,31.57,14.56,11.98
2017-02-04,曲靖,61.37,0.9,28.65,53.67,68.54,31.76,20.76
2017-02-05,曲靖,54.29,0.88,28.15,67.23,60.55,27.17,20.04
2017-02-06,曲靖,43.14,0.67,18.57,84.86,42.05,17.71,22.55
2017-02-07,曲靖,42.83,0.56,18.83,95.3,44.0,15.74,9.7
2017-02-08,曲靖,60.96,1.05,21.54,52.96,69.33,36.25,11.83
2017-02-09,曲靖,50.67,1.19,22.54,40.0,51.14,33.42,10.42
2017-02-10,曲靖,34.54,1.18,23.42,29.62,31.48,20.21,9.33
2017-02-11,曲靖,46.04,1.12,23.29,31.17,51.17,29.29,10.29
2017-02-12,曲靖,73.13,1.37,29.83,34.39,78.41,52.57,15.52
2017-02-13,曲靖,63.94,1.09,24.5,75.62,76.26,41.47,14.81
2017-02-14,曲靖,64.06,0.79,20.35,71.21,69.07,42.71,14.29
2017-02-15,曲靖,60.58,0.75,19.35,74.42,57.96,42.04,13.67
2017-02-16,曲靖,52.52,0.57,16.73,94.67,47.2,27.96,23.48
2017-02-17,曲靖,58.98,0.63,30.06,93.0,59.28,28.46,29.94
2017-02-18,曲靖,67.46,0.66,22.52,96.88,74.89,44.83,19.0
2017-02-19,曲靖,64.23,0.6,19.33,107.62,60.84,35.96,16.75
2017-02-20,曲靖,52.65,0.52,14.17,118.6,54.85,25.48,15.96
2017-02-21,曲靖,58.52,0.69,18.46,115.71,65.12,35.52,14.23
2017-02-22,曲靖,66.27,0.76,23.13,118.93,63.82,34.64,16.2
2017-02-23,曲靖,69.88,0.92,25.15,24.83,78.65,47.06,26.58
2017-02-24,曲靖,42.81,0.94,27.33,14.17,41.48,27.27,15.9
2017-02-25,曲靖,39.92,0.99,25.77,16.5,39.91,25.67,15.33
2017-02-26,曲靖,62.6,1.06,27.5,25.71,65.56,43.42,15.46
2017-02-27,曲靖,48.13,1.04,26.3,31.91,50.72,30.89,15.19
2017-02-28,曲靖,71.88,1.21,28.75,32.5,83.53,48.4,13.27
2017-03-01,曲靖,60.46,0.96,22.19,48.21,64.27,40.71,15.54
2017-03-02,曲靖,80.0,0.97,22.89,79.24,96.95,52.7,15.33
2017-03-03,曲靖,66.9,0.8,14.17,100.45,77.19,37.1,19.57
2017-03-04,曲靖,70.0,0.7,17.81,107.67,89.0,39.29,20.73
2017-03-05,曲靖,76.1,0.53,18.38,128.62,87.31,35.98,24.75
2017-03-06,曲靖,81.92,0.86,24.42,63.48,104.29,57.08,21.94
2017-03-07,曲靖,73.88,0.96,23.12,54.6,91.68,47.81,23.17
2017-03-08,曲靖,57.0,0.94,20.46,56.02,68.04,22.24,22.13
2017-03-09,曲靖,58.79,0.97,22.19,68.54,68.73,34.88,22.5
2017-03-10,曲靖,52.81,0.89,17.9,90.77,58.4,22.58,22.48
2017-03-11,曲靖,57.38,0.74,16.71,98.69,64.42,28.69,25.17
2017-03-12,曲靖,43.17,0.72,12.79,68.29,44.34,19.0,21.15
2017-03-13,曲靖,48.28,0.65,10.96,86.81,55.04,12.17,20.62
2017-03-14,曲靖,50.19,0.7,15.23,102.17,53.94,18.79,18.19
2017-03-15,曲靖,58.0,0.69,15.46,103.39,66.07,21.48,21.22
2017-03-16,曲靖,68.5,0.92,23.23,112.44,84.06,35.73,21.77
2017-03-17,曲靖,70.72,0.97,19.85,122.78,89.59,44.91,16.8
2017-03-18,曲靖,70.31,1.02,21.29,104.04,85.27,44.25,21.12
2017-03-19,曲靖,75.48,1.1,32.56,86.83,99.5,41.67,38.27
2017-03-20,曲靖,72.24,1.1,35.22,81.33,93.74,37.46,32.33
2017-03-21,曲靖,61.48,0.86,24.23,85.94,71.0,32.04,24.52
2017-03-22,曲靖,55.48,0.71,16.2,96.13,62.15,19.96,21.37
2017-03-23,曲靖,57.12,0.83,16.79,104.0,63.38,19.35,17.46
2017-03-24,曲靖,65.33,0.91,17.65,114.54,78.75,29.94,19.1
2017-03-25,曲靖,56.81,1.1,21.4,33.92,66.02,23.04,16.29
2017-03-26,曲靖,63.98,1.18,25.85,31.69,78.02,36.88,18.35
2017-03-27,曲靖,60.02,1.2,25.48,45.65,69.83,32.48,19.11
2017-03-28,曲靖,51.42,1.21,22.92,74.54,56.4,23.75,19.75
2017-03-29,曲靖,64.12,1.2,20.5,76.96,77.73,35.33,15.02
2017-03-30,曲靖,67.79,0.93,20.5,88.31,85.04,39.96,16.77
2017-03-31,曲靖,47.44,0.71,17.48,80.36,50.51,14.27,17.42
2017-04-01,曲靖,58.98,0.83,23.83,64.85,67.59,27.76,22.39
2017-04-02,曲靖,55.69,0.86,22.79,67.73,62.9,25.98,19.77
2017-04-03,曲靖,56.5,0.75,10.74,99.07,64.43,27.46,16.89
2017-04-04,曲靖,49.26,0.69,10.93,106.7,49.41,15.67,17.26
2017-04-05,曲靖,50.67,0.72,12.71,101.04,53.25,19.5,17.08
2017-04-06,曲靖,52.34,0.81,17.05,101.88,54.73,19.1,28.24
2017-04-07,曲靖,58.57,0.72,15.83,100.06,58.02,19.64,21.62
2017-04-08,曲靖,55.96,0.64,11.65,106.85,59.46,20.25,22.54
2017-04-09,曲靖,58.58,0.61,11.75,114.54,66.48,19.48,23.23
2017-04-10,曲靖,69.54,0.68,13.96,128.62,88.46,24.0,26.56
2017-04-11,曲靖,79.48,0.82,18.33,137.6,100.54,35.88,27.0
2017-04-12,曲靖,68.6,1.08,21.31,73.69,87.58,34.04,22.35
2017-04-13,曲靖,73.46,1.22,24.38,91.21,96.31,44.56,24.79
2017-04-14,曲靖,74.04,1.25,22.77,105.35,97.27,46.62,26.71
2017-04-15,曲靖,82.46,1.23,19.73,129.17,113.33,54.44,28.08
2017-04-16,曲靖,79.88,1.31,21.69,99.83,106.02,54.6,27.75
2017-04-17,曲靖,49.88,1.09,21.35,65.87,53.73,23.9,26.04
2017-04-18,曲靖,53.76,1.25,21.61,66.83,59.53,23.28,35.33
2017-04-19,曲靖,51.67,1.14,21.23,71.42,56.26,23.29,27.42
2017-04-20,曲靖,57.19,1.15,27.21,63.85,65.5,25.94,29.73
2017-04-21,曲靖,44.59,1.09,24.52,49.46,47.61,16.93,22.22
2017-04-22,曲靖,54.0,1.15,25.85,54.31,63.34,25.5,29.5
2017-04-23,曲靖,70.33,1.34,30.73,44.89,89.78,42.09,33.27
2017-04-24,曲靖,51.52,1.33,28.25,47.9,55.64,25.46,28.1
2017-04-25,曲靖,50.38,1.21,23.21,46.88,53.29,23.54,27.77
2017-04-26,曲靖,44.5,1.17,26.0,48.35,49.17,19.42,28.77
2017-04-27,曲靖,47.27,1.11,24.9,46.6,51.3,16.6,23.69
2017-04-28,曲靖,60.27,1.2,24.52,45.34,72.33,29.9,24.06
2017-04-29,曲靖,62.37,1.06,18.85,68.64,75.11,28.33,28.76
2017-04-30,曲靖,61.62,0.9,15.25,97.38,72.98,26.12,28.08
2017-05-01,曲靖,63.67,1.05,21.72,104.8,77.07,30.98,33.33
2017-05-02,曲靖,62.59,0.86,14.2,105.48,74.8,22.8,26.15
2017-05-03,曲靖,54.6,0.92,14.94,106.33,60.52,19.25,28.5
2017-05-04,曲靖,56.96,1.04,21.4,105.96,63.83,17.42,32.23
2017-05-05,曲靖,65.79,1.16,20.33,110.73,79.12,29.75,28.81
2017-05-06,曲靖,63.68,1.14,19.66,72.24,77.89,29.82,35.82
2017-05-07,曲靖,64.96,0.79,16.81,96.44,79.5,30.31,22.88
2017-05-08,曲靖,63.48,0.86,21.06,84.27,75.98,30.15,36.5
2017-05-09,曲靖,61.12,0.81,20.25,90.88,70.17,32.65,32.85
2017-05-10,曲靖,57.58,0.77,17.73,95.29,64.67,29.83,24.46
2017-05-11,曲靖,57.06,0.72,15.5,96.31,65.85,23.56,18.85
2017-05-12,曲靖,51.31,0.71,17.21,98.98,56.25,12.21,29.54
2017-05-13,曲靖,56.75,0.81,22.33,98.77,62.77,27.79,25.25
2017-05-14,曲靖,59.14,0.88,19.82,78.48,71.62,28.86,24.14
2017-05-15,曲靖,63.77,0.71,19.8,85.67,79.72,23.48,18.07
2017-05-16,曲靖,64.18,0.97,21.55,69.61,81.74,24.84,22.73
2017-05-17,曲靖,53.72,0.77,23.52,67.48,63.09,22.76,20.33
2017-05-18,曲靖,52.77,0.53,22.52,54.21,58.28,24.52,22.04
2017-05-19,曲靖,46.9,0.56,21.08,56.48,49.94,19.67,21.31
2017-05-20,曲靖,49.68,0.71,18.77,61.59,52.43,22.0,24.16
2017-05-21,曲靖,58.64,0.83,20.75,71.14,69.84,22.48,22.95
2017-05-22,曲靖,56.64,0.87,19.17,73.0,63.33,26.0,24.06
2017-05-23,曲靖,43.89,0.78,20.75,71.36,45.04,13.93,25.54
2017-05-24,曲靖,49.75,0.68,23.96,61.38,53.85,16.96,25.9
2017-05-25,曲靖,46.44,0.61,19.79,72.48,50.93,15.06,22.17
2017-05-26,曲靖,55.26,0.74,27.7,85.91,61.51,20.72,30.87
2017-05-27,曲靖,70.6,0.98,29.69,95.15,90.76,28.48,32.85
2017-05-28,曲靖,65.04,1.01,23.94,106.17,80.1,26.15,21.42
2017-05-29,曲靖,70.29,1.16,22.73,98.06,92.38,24.67,21.71
2017-05-30,曲靖,55.65,1.28,18.98,88.81,61.04,31.73,19.0
2017-05-31,曲靖,41.69,1.01,14.29,67.15,42.08,16.19,9.25
2017-06-01,曲靖,40.77,1.04,16.18,78.55,40.84,14.75,10.98
2017-06-02,曲靖,51.06,1.21,20.56,76.38,54.85,25.17,23.21
2017-06-03,曲靖,45.26,0.91,15.33,85.6,46.14,14.12,13.67
2017-06-04,曲靖,42.46,0.84,14.12,87.44,43.0,11.04,14.38
2017-06-05,曲靖,46.29,1.02,19.83,81.96,46.75,15.15,16.83
2017-06-06,曲靖,42.92,0.99,18.88,88.29,43.08,16.1,20.75
2017-06-07,曲靖,55.5,1.16,24.73,93.96,60.74,21.52,21.6
2017-06-08,曲靖,49.06,0.92,19.08,84.15,48.43,19.04,16.21
2017-06-09,曲靖,39.91,0.73,15.27,74.77,41.14,15.91,15.5
2017-06-10,曲靖,41.42,0.74,15.29,66.21,43.15,16.54,15.48
2017-06-11,曲靖,38.42,0.71,20.23,55.48,39.8,16.42,13.15
2017-06-12,曲靖,45.31,0.82,20.38,48.56,47.65,20.92,16.08
2017-06-13,曲靖,47.48,0.93,23.27,46.96,47.98,23.4,17.69
2017-06-14,曲靖,38.44,0.92,22.79,48.81,38.6,18.04,17.08
2017-06-15,曲靖,48.41,1.06,28.35,38.97,50.65,24.26,16.32
2017-06-16,曲靖,40.98,1.21,23.43,36.46,43.4,16.83,20.12
2017-06-17,曲靖,56.04,1.22,22.11,41.76,62.09,30.93,20.13
2017-06-18,曲靖,40.06,0.67,26.17,44.58,40.02,18.44,15.31
2017-06-19,曲靖,33.4,0.93,26.08,43.69,34.91,14.29,17.29
2017-06-20,曲靖,57.04,1.16,35.5,59.36,61.2,32.12,23.79
2017-06-21,曲靖,44.85,0.96,28.73,42.58,45.78,23.85,15.85
2017-06-22,曲靖,45.21,0.97,33.46,35.79,47.94,22.17,14.92
2017-06-23,曲靖,39.6,0.81,24.25,49.27,40.4,18.94,14.88
2017-06-24,曲靖,40.31,0.74,18.4,48.48,39.8,20.65,14.31
2017-06-25,曲靖,44.42,0.86,22.6,51.17,48.24,22.56,13.98
2017-06-26,曲靖,47.02,0.97,31.96,44.48,47.67,26.94,19.31
2017-06-27,曲靖,50.67,1.03,29.83,49.4,49.4,28.73,18.52
2017-06-28,曲靖,54.14,1.22,26.89,40.11,59.27,25.74,19.0
2017-06-29,曲靖,35.3,0.98,23.78,23.46,36.24,15.0,21.8
2017-06-30,曲靖,40.02,1.04,22.48,24.06,40.37,20.35,17.6
2017-07-01,曲靖,42.22,1.22,23.63,51.02,43.35,20.78,29.87
2017-07-02,曲靖,33.71,0.94,21.69,25.42,33.8,16.85,28.35
2017-07-03,曲靖,39.28,0.92,24.5,48.83,40.45,18.61,30.52
2017-07-04,曲靖,57.46,1.02,24.21,50.83,64.88,28.73,15.67
2017-07-05,曲靖,37.04,1.01,19.75,44.35,38.5,16.83,14.17
2017-07-06,曲靖,30.85,0.88,18.25,35.38,32.09,10.94,13.08
2017-07-07,曲靖,46.36,1.04,24.16,32.27,48.67,19.86,16.91
2017-07-08,曲靖,53.17,1.21,25.57,52.57,56.72,28.15,31.8
2017-07-09,曲靖,52.98,1.27,32.23,54.12,57.43,26.25,29.65
2017-07-10,曲靖,56.1,1.19,29.46,64.17,62.27,26.83,26.0
2017-07-11,曲靖,64.67,1.16,35.69,66.19,78.12,33.65,21.38
2017-07-12,曲靖,47.54,1.3,29.08,32.85,53.81,23.69,18.85
2017-07-13,曲靖,43.52,1.32,30.04,21.0,47.55,17.58,19.25
2017-07-14,曲靖,47.48,0.9,31.56,17.75,53.73,22.06,18.6
2017-07-15,曲靖,46.11,1.14,30.32,14.91,48.64,22.93,13.07
2017-07-16,曲靖,41.36,0.81,28.23,28.05,43.3,19.25,8.93
2017-07-17,曲靖,38.79,0.66,23.73,35.9,41.18,15.83,8.54
2017-07-18,曲靖,37.29,0.68,25.92,38.31,37.87,15.19,9.08
2017-07-19,曲靖,40.6,0.63,21.75,41.08,43.36,16.5,8.73
2017-07-20,曲靖,40.17,0.79,27.96,51.79,41.11,14.92,11.02
2017-07-21,曲靖,38.09,0.88,28.78,24.93,38.2,15.48,14.15
2017-07-22,曲靖,22.19,0.81,24.75,28.73,22.7,10.9,11.0
2017-07-23,曲靖,39.42,0.99,26.6,28.38,42.18,19.4,15.83
2017-07-24,曲靖,56.62,1.08,30.4,36.17,65.71,28.6,17.25
2017-07-25,曲靖,47.06,0.88,29.67,38.4,50.02,22.17,16.94
2017-07-26,曲靖,44.31,0.88,27.25,41.69,52.77,20.38,16.27
2017-07-27,曲靖,49.29,0.93,33.31,35.88,57.17,24.69,13.52
2017-07-28,曲靖,78.42,1.37,38.48,44.98,94.24,47.54,16.73
2017-07-29,曲靖,74.73,1.27,39.9,53.49,87.49,44.61,20.93
2017-07-30,曲靖,77.89,1.41,45.4,61.63,94.23,48.38,16.8
2017-07-31,曲靖,88.98,1.64,45.23,43.16,108.61,59.36,16.3
2017-08-01,曲靖,61.26,1.12,31.26,72.18,63.71,39.06,17.03
2017-08-02,曲靖,65.19,0.97,30.64,64.79,70.14,38.4,18.36
2017-08-03,曲靖,52.54,0.87,27.08,86.69,57.32,29.75,15.4
2017-08-04,曲靖,65.08,0.87,27.42,69.25,70.97,38.12,21.5
2017-08-05,曲靖,41.44,0.85,24.69,54.62,44.24,19.56,13.88
2017-08-06,曲靖,35.94,0.83,26.31,46.69,40.08,14.58,17.38
2017-08-07,曲靖,40.28,0.94,27.04,46.89,42.85,19.17,18.15
2017-08-08,曲靖,41.23,1.05,30.31,36.1,42.02,21.17,17.73
2017-08-09,曲靖,38.15,0.96,33.65,75.28,48.27,17.5,24.57
2017-08-10,曲靖,66.72,1.18,37.83,60.8,80.53,33.35,21.65
2017-08-11,曲靖,49.4,1.07,30.58,34.1,57.63,25.98,20.33
2017-08-12,曲靖,29.52,0.86,24.58,35.27,30.73,16.27,16.21
2017-08-13,曲靖,37.04,0.89,24.02,39.92,40.27,18.02,15.96
2017-08-14,曲靖,42.44,1.22,32.33,45.92,46.74,17.08,17.4
2017-08-15,曲靖,52.54,1.06,30.4,49.88,61.9,26.5,16.71
2017-08-16,曲靖,48.7,0.96,28.11,49.25,55.32,20.89,17.2
2017-08-17,曲靖,37.86,0.99,26.61,34.07,40.05,16.0,19.59
2017-08-18,曲靖,29.21,0.77,20.32,37.51,31.18,12.62,14.19
2017-08-19,曲靖,33.56,0.78,19.72,49.34,35.73,16.19,14.02
2017-08-20,曲靖,38.71,0.88,23.21,40.46,41.4,20.46,15.29
2017-08-21,曲靖,43.89,0.92,25.78,49.09,48.82,22.09,16.4
2017-08-22,曲靖,44.36,1.03,28.36,49.68,45.14,24.32,22.91
2017-08-23,曲靖,56.95,0.81,32.27,69.18,67.85,26.36,17.5
2017-08-24,曲靖,43.88,0.93,29.15,40.9,48.05,27.73,14.08
2017-08-25,曲靖,22.12,0.9,28.38,31.59,22.33,9.0,15.2
2017-08-26,曲靖,27.45,0.96,28.48,33.63,26.78,14.69,20.69
2017-08-27,曲靖,45.21,1.16,30.98,41.21,49.27,22.54,24.64
2017-08-28,曲靖,47.31,1.08,32.17,30.47,48.5,27.35,26.33
2017-08-29,曲靖,31.83,0.86,27.85,31.48,33.67,16.33,20.38
2017-08-30,曲靖,33.38,0.76,26.79,31.29,37.22,15.52,20.62
2017-08-31,曲靖,32.67,0.83,26.5,33.35,39.77,15.6,21.6
2017-09-01,曲靖,41.73,0.87,26.59,38.09,40.74,24.84,19.21
2017-09-02,曲靖,35.75,0.82,19.79,38.79,34.23,20.19,14.49
2017-09-03,曲靖,56.23,1.82,34.7,36.23,58.12,34.92,27.86
2017-09-04,曲靖,43.71,1.46,27.04,34.65,41.88,26.6,18.23
2017-09-05,曲靖,46.96,1.23,22.65,32.15,43.66,29.71,17.83
2017-09-06,曲靖,24.52,1.11,9.77,38.48,23.58,14.97,19.19
2017-09-07,曲靖,48.94,1.35,14.9,50.59,42.85,34.19,21.31
2017-09-08,曲靖,41.17,1.21,13.5,27.78,34.62,27.67,20.11
2017-09-09,曲靖,35.64,1.06,19.14,38.29,32.64,20.36,18.14
2017-09-10,曲靖,33.66,0.93,12.36,45.8,27.44,18.36,17.86
2017-09-11,曲靖,40.83,0.93,17.98,71.5,40.11,22.29,20.75
2017-09-12,曲靖,59.81,1.26,26.4,63.41,60.92,38.21,23.27
2017-09-13,曲靖,54.83,1.15,18.17,64.52,56.83,36.42,17.0
2017-09-14,曲靖,50.15,1.14,17.71,56.54,52.97,31.94,14.19
2017-09-15,曲靖,49.0,1.1,18.66,44.05,49.59,30.23,15.16
2017-09-16,曲靖,35.61,0.95,15.36,48.59,34.0,20.75,12.5
2017-09-17,曲靖,30.38,0.84,11.19,51.98,29.81,16.67,11.79
2017-09-18,曲靖,39.06,0.86,10.83,51.35,36.09,23.58,11.58
2017-09-19,曲靖,33.57,0.85,12.8,41.39,33.42,18.3,12.15
