time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,楚雄州,64.18,1.56,30.61,25.29,61.0,43.13,31.82
2017-01-02,楚雄州,51.4,1.38,26.12,26.65,50.79,34.48,23.3
2017-01-03,楚雄州,30.02,1.45,26.79,20.4,29.82,18.5,19.23
2017-01-04,楚雄州,17.85,1.18,15.25,44.54,13.03,8.62,10.4
2017-01-05,楚雄州,21.92,1.27,13.9,38.98,18.11,9.35,15.67
2017-01-06,楚雄州,43.17,1.49,27.65,19.22,45.0,23.67,33.74
2017-01-07,楚雄州,37.65,1.38,25.54,27.33,36.04,21.17,23.11
2017-01-08,楚雄州,47.75,1.44,28.48,27.48,48.42,26.08,21.04
2017-01-09,楚雄州,44.65,1.52,27.96,22.65,44.5,26.57,26.39
2017-01-10,楚雄州,46.42,1.62,29.06,23.98,50.04,27.69,28.96
2017-01-11,楚雄州,48.88,1.32,28.79,24.81,54.21,27.23,23.17
2017-01-12,楚雄州,49.04,0.96,34.52,25.98,52.23,28.98,21.75
2017-01-13,楚雄州,49.92,0.97,33.52,32.06,52.33,29.04,33.02
2017-01-14,楚雄州,44.38,0.93,32.62,36.64,44.64,25.6,25.23
2017-01-15,楚雄州,44.92,0.92,32.08,36.23,45.15,27.62,27.35
2017-01-16,楚雄州,40.4,1.0,31.56,36.44,40.06,21.48,22.12
2017-01-17,楚雄州,44.44,1.07,32.08,29.56,45.19,27.06,24.65
2017-01-18,楚雄州,45.44,0.98,28.52,32.1,43.72,27.31,20.31
2017-01-19,楚雄州,40.54,0.85,32.69,34.29,39.65,21.81,20.69
2017-01-20,楚雄州,42.27,0.84,31.06,32.35,44.64,24.5,18.44
2017-01-21,楚雄州,40.21,0.87,31.75,29.21,40.0,24.71,21.79
2017-01-22,楚雄州,36.31,0.88,26.1,33.31,35.35,21.62,18.29
2017-01-23,楚雄州,35.85,0.92,23.85,31.85,35.22,21.08,15.67
2017-01-24,楚雄州,35.5,0.92,24.52,33.73,33.35,21.52,17.17
2017-01-25,楚雄州,39.79,0.88,24.4,31.69,39.14,26.38,15.52
2017-01-26,楚雄州,46.24,0.93,17.76,24.71,43.27,30.76,13.59
2017-01-27,楚雄州,43.6,0.84,12.44,35.38,42.76,28.02,16.9
2017-01-28,楚雄州,78.31,0.73,11.1,43.27,83.86,53.58,35.38
2017-01-29,楚雄州,28.67,0.61,9.02,60.61,25.95,18.09,10.57
2017-01-30,楚雄州,41.71,0.71,13.12,45.65,35.08,28.29,13.06
2017-01-31,楚雄州,39.02,0.82,17.69,37.98,38.36,25.94,21.98
2017-02-01,楚雄州,37.19,0.83,19.48,38.38,32.62,24.65,13.02
2017-02-02,楚雄州,42.25,0.83,24.48,36.5,42.94,24.25,13.38
2017-02-03,楚雄州,34.81,0.83,23.79,43.85,32.73,19.52,14.92
2017-02-04,楚雄州,36.8,0.88,24.65,46.46,34.67,20.59,19.59
2017-02-05,楚雄州,41.35,0.97,31.58,35.31,41.55,22.15,18.12
2017-02-06,楚雄州,46.52,0.96,34.35,40.71,49.59,24.88,27.81
2017-02-07,楚雄州,37.09,0.86,27.67,44.33,37.78,18.09,18.8
2017-02-08,楚雄州,43.69,0.94,31.19,55.33,41.88,27.65,19.15
2017-02-09,楚雄州,60.88,1.09,30.85,55.15,63.54,42.6,22.15
2017-02-10,楚雄州,46.38,1.06,20.77,75.71,47.62,30.1,23.4
2017-02-11,楚雄州,42.58,1.17,21.15,57.85,39.66,27.73,14.23
2017-02-12,楚雄州,34.96,1.18,7.83,73.38,30.66,23.04,10.12
2017-02-13,楚雄州,39.15,1.13,9.29,82.23,34.64,26.19,10.6
2017-02-14,楚雄州,46.08,1.14,13.92,85.19,42.0,30.79,15.42
2017-02-15,楚雄州,58.04,1.1,18.98,72.79,54.34,41.06,25.62
2017-02-16,楚雄州,43.52,0.79,18.92,70.85,37.73,27.21,11.88
2017-02-17,楚雄州,49.92,0.84,32.19,50.15,53.94,30.35,22.88
2017-02-18,楚雄州,50.67,0.88,31.69,54.31,53.98,32.48,23.33
2017-02-19,楚雄州,53.1,0.89,31.9,63.73,55.51,34.9,45.1
2017-02-20,楚雄州,45.83,0.9,18.96,86.25,43.79,30.0,17.42
2017-02-21,楚雄州,58.25,1.03,23.75,84.56,57.0,40.73,20.19
2017-02-22,楚雄州,63.08,1.11,38.73,66.19,64.15,43.56,46.44
2017-02-23,楚雄州,63.67,1.08,36.83,74.48,72.15,43.38,40.73
2017-02-24,楚雄州,50.08,0.85,19.88,93.56,47.52,33.71,17.56
2017-02-25,楚雄州,50.69,0.94,26.98,68.06,47.33,34.33,19.75
2017-02-26,楚雄州,60.48,1.08,20.25,49.1,55.41,43.27,17.56
2017-02-27,楚雄州,40.69,0.94,9.21,65.27,35.69,27.54,11.42
2017-02-28,楚雄州,45.13,0.9,12.26,89.15,41.02,29.2,14.37
2017-03-01,楚雄州,72.67,1.17,38.21,46.15,75.78,52.48,42.35
2017-03-02,楚雄州,64.78,1.03,9.85,77.83,64.0,45.63,14.91
2017-03-03,楚雄州,52.06,0.93,12.35,96.6,52.69,29.23,18.31
2017-03-04,楚雄州,60.46,1.1,27.48,113.27,68.25,33.31,31.19
2017-03-05,楚雄州,53.35,1.19,20.77,118.0,52.85,35.42,17.48
2017-03-06,楚雄州,63.48,1.34,29.21,94.23,66.8,44.0,20.83
2017-03-07,楚雄州,64.73,1.47,39.08,77.06,67.54,42.81,28.94
2017-03-08,楚雄州,49.89,1.06,32.0,79.07,50.48,32.35,19.41
2017-03-09,楚雄州,42.96,0.81,23.53,78.34,38.11,25.19,16.23
2017-03-10,楚雄州,42.94,0.78,21.98,83.52,41.47,26.08,32.04
2017-03-11,楚雄州,48.71,0.82,29.58,68.67,47.88,32.4,21.38
2017-03-12,楚雄州,30.19,0.71,11.21,77.98,18.78,14.12,15.02
2017-03-13,楚雄州,31.04,0.72,11.31,91.38,25.84,14.71,15.92
2017-03-14,楚雄州,42.29,0.82,29.67,62.92,38.63,24.46,19.42
2017-03-15,楚雄州,53.35,0.92,38.33,58.41,53.72,31.02,28.41
2017-03-16,楚雄州,52.2,0.95,36.61,66.46,53.76,32.52,28.57
2017-03-17,楚雄州,57.2,1.03,40.17,70.13,55.78,35.93,35.85
2017-03-18,楚雄州,55.69,0.93,36.69,73.19,59.9,35.35,26.02
2017-03-19,楚雄州,53.06,0.89,28.06,100.25,54.71,32.85,30.5
2017-03-20,楚雄州,53.5,0.91,38.15,67.1,56.4,30.29,26.29
2017-03-21,楚雄州,47.25,0.85,19.19,88.62,42.77,28.23,17.92
2017-03-22,楚雄州,42.69,0.85,25.46,76.29,40.98,21.73,21.08
2017-03-23,楚雄州,50.12,0.93,37.69,61.52,53.63,29.21,37.83
2017-03-24,楚雄州,48.73,0.8,16.83,106.08,49.04,31.46,16.56
2017-03-25,楚雄州,76.13,1.06,36.65,89.93,78.57,54.5,30.02
2017-03-26,楚雄州,54.04,1.12,21.27,67.58,46.95,37.71,22.06
2017-03-27,楚雄州,43.59,1.03,11.89,81.93,38.23,28.11,14.91
2017-03-28,楚雄州,34.75,0.85,11.94,86.38,30.11,18.21,19.15
2017-03-29,楚雄州,56.33,0.96,25.6,78.92,59.44,37.17,26.85
2017-03-30,楚雄州,66.67,0.95,15.79,115.62,74.6,46.85,24.1
2017-03-31,楚雄州,46.34,0.86,20.7,74.3,35.35,24.96,24.87
2017-04-01,楚雄州,36.24,0.93,13.04,66.02,32.79,24.63,11.8
2017-04-02,楚雄州,26.21,0.74,7.46,74.71,20.13,11.0,7.96
2017-04-03,楚雄州,30.41,0.68,7.13,94.22,19.36,11.3,9.13
2017-04-04,楚雄州,33.76,0.64,9.54,100.93,25.69,15.13,10.89
2017-04-05,楚雄州,34.12,0.59,10.19,103.25,24.57,13.94,12.56
2017-04-06,楚雄州,38.83,0.68,22.8,69.41,33.91,19.02,23.26
2017-04-07,楚雄州,40.44,0.71,25.04,65.25,38.69,22.1,19.38
2017-04-08,楚雄州,40.81,0.61,13.4,95.23,40.0,22.54,13.06
2017-04-09,楚雄州,42.85,0.57,10.92,108.62,43.15,20.48,11.56
2017-04-10,楚雄州,56.57,0.68,16.52,132.93,63.17,30.65,14.15
2017-04-11,楚雄州,61.64,0.84,28.4,118.19,71.53,36.3,20.26
2017-04-12,楚雄州,65.4,0.9,33.75,110.62,74.42,43.15,17.58
2017-04-13,楚雄州,87.19,1.18,33.31,101.92,92.33,62.92,17.25
2017-04-14,楚雄州,71.98,1.05,13.4,138.42,68.24,52.15,12.31
2017-04-15,楚雄州,77.83,1.04,16.0,145.27,74.64,56.92,13.21
2017-04-16,楚雄州,75.38,1.08,22.75,83.54,65.94,54.94,13.56
2017-04-17,楚雄州,31.27,0.84,21.0,57.31,20.83,16.71,13.5
2017-04-18,楚雄州,27.59,0.76,19.85,62.37,23.93,13.87,16.89
2017-04-19,楚雄州,42.96,0.86,22.77,47.93,38.98,23.9,19.25
2017-04-20,楚雄州,45.56,0.92,29.54,53.83,49.28,27.15,27.5
2017-04-21,楚雄州,35.02,0.81,20.4,65.5,31.58,19.71,17.12
2017-04-22,楚雄州,38.1,0.88,14.98,46.96,32.03,25.77,14.15
2017-04-23,楚雄州,27.9,0.75,8.35,63.58,24.7,17.33,10.69
2017-04-24,楚雄州,23.21,0.75,8.57,62.73,18.17,9.77,12.47
2017-04-25,楚雄州,33.44,0.74,10.87,74.75,32.92,18.29,16.3
2017-04-26,楚雄州,51.0,0.86,31.85,53.31,53.81,28.08,21.44
2017-04-27,楚雄州,54.94,0.99,40.48,33.46,58.47,36.9,20.56
2017-04-28,楚雄州,57.08,0.92,21.96,61.65,58.25,31.81,17.56
2017-04-29,楚雄州,53.3,0.79,33.98,68.17,56.11,28.91,16.91
2017-04-30,楚雄州,53.42,0.76,19.15,88.58,56.9,30.1,15.5
2017-05-01,楚雄州,45.85,0.71,23.0,81.98,44.8,25.52,15.67
2017-05-02,楚雄州,45.11,0.76,18.41,85.39,44.27,23.67,17.78
2017-05-03,楚雄州,38.98,0.71,16.17,86.69,37.28,20.4,17.73
2017-05-04,楚雄州,53.81,0.81,30.15,64.52,58.54,29.29,16.44
2017-05-05,楚雄州,55.81,0.87,32.06,73.33,60.04,31.85,20.83
2017-05-06,楚雄州,53.15,0.84,27.08,83.56,55.81,33.79,18.83
2017-05-07,楚雄州,52.08,0.81,20.44,79.19,55.31,29.96,15.19
2017-05-08,楚雄州,40.06,0.81,23.62,67.67,37.33,21.54,16.62
2017-05-09,楚雄州,42.65,0.92,29.46,60.0,41.23,25.48,17.85
2017-05-10,楚雄州,53.98,0.96,33.04,59.83,60.65,30.2,21.65
2017-05-11,楚雄州,34.77,0.82,9.17,79.71,33.38,20.06,11.73
2017-05-12,楚雄州,36.75,0.77,14.6,80.92,34.69,15.81,10.92
2017-05-13,楚雄州,40.88,0.91,29.98,58.58,41.17,22.35,16.04
2017-05-14,楚雄州,44.77,0.93,22.04,65.67,45.06,26.38,15.06
2017-05-15,楚雄州,28.82,0.75,11.8,74.7,25.14,11.93,10.36
2017-05-16,楚雄州,29.1,0.85,17.35,64.35,27.33,14.85,11.46
2017-05-17,楚雄州,34.78,0.98,20.33,50.17,28.15,23.61,11.76
2017-05-18,楚雄州,24.15,1.02,9.69,51.15,20.15,12.88,12.0
2017-05-19,楚雄州,17.52,0.92,7.14,46.33,15.31,10.24,10.38
2017-05-20,楚雄州,28.2,0.93,12.77,62.27,26.8,13.07,13.11
2017-05-21,楚雄州,37.7,0.97,21.14,64.05,36.63,19.57,15.27
2017-05-22,楚雄州,42.47,1.06,28.08,56.44,42.94,23.17,21.5
2017-05-23,楚雄州,35.36,0.95,10.57,84.0,34.39,18.89,15.18
2017-05-24,楚雄州,49.29,1.08,24.19,61.1,51.0,29.19,17.62
2017-05-25,楚雄州,41.54,0.95,17.52,59.15,39.98,26.04,14.0
2017-05-26,楚雄州,38.3,0.93,17.0,63.96,37.39,24.22,14.93
2017-05-27,楚雄州,49.96,1.05,23.08,50.19,49.57,32.46,17.52
2017-05-28,楚雄州,47.77,0.99,21.0,70.15,48.9,29.62,21.85
2017-05-29,楚雄州,36.09,0.87,11.33,84.48,34.5,19.98,14.13
2017-05-30,楚雄州,33.9,0.91,12.27,60.4,31.9,22.08,15.73
2017-05-31,楚雄州,31.69,0.87,6.76,67.16,23.77,18.42,13.82
