time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,玉溪,48.04,1.54,29.7,32.05,53.69,27.09,31.0
2017-01-02,玉溪,49.15,1.67,33.53,29.1,53.48,27.92,26.58
2017-01-03,玉溪,35.43,1.04,26.06,24.15,32.86,23.65,14.85
2017-01-04,玉溪,21.38,0.95,26.03,53.08,16.69,9.68,11.83
2017-01-05,玉溪,34.19,1.35,28.05,27.81,32.82,19.23,21.27
2017-01-06,玉溪,41.24,1.47,23.14,28.25,44.57,21.24,19.71
2017-01-07,玉溪,43.2,1.39,23.88,36.85,49.0,18.71,19.94
2017-01-08,玉溪,43.04,1.65,27.87,42.52,46.79,21.07,22.55
2017-01-09,玉溪,48.81,1.29,28.25,35.46,43.33,27.37,24.67
2017-01-10,玉溪,44.85,1.09,26.63,33.5,52.79,22.22,26.72
2017-01-11,玉溪,41.38,1.88,30.24,28.41,42.12,25.6,19.59
2017-01-12,玉溪,38.58,1.23,26.81,32.17,42.87,22.04,18.25
2017-01-13,玉溪,43.58,1.18,25.72,38.75,46.71,23.43,20.32
2017-01-14,玉溪,39.94,0.95,24.41,56.95,41.8,17.65,23.89
2017-01-15,玉溪,43.42,1.62,27.82,48.88,46.81,19.82,22.48
2017-01-16,玉溪,41.61,0.9,26.08,48.28,44.99,20.68,22.83
2017-01-17,玉溪,39.81,0.87,24.81,40.64,42.06,20.12,19.64
2017-01-18,玉溪,37.78,0.77,23.6,50.26,37.88,19.42,19.18
2017-01-19,玉溪,45.69,1.58,29.35,47.49,50.0,21.61,20.9
2017-01-20,玉溪,41.15,1.3,25.65,53.98,42.19,21.07,20.45
2017-01-21,玉溪,43.61,2.0,25.3,47.64,44.48,22.55,19.88
2017-01-22,玉溪,39.17,1.17,20.36,44.91,38.12,22.96,16.87
2017-01-23,玉溪,36.32,1.03,19.57,44.06,35.13,20.61,16.13
2017-01-24,玉溪,31.01,0.78,15.68,57.78,27.95,15.78,12.3
2017-01-25,玉溪,40.99,1.33,17.25,45.65,40.23,24.29,21.01
2017-01-26,玉溪,43.21,1.73,17.69,32.48,40.38,26.52,13.25
2017-01-27,玉溪,38.93,0.63,13.6,47.6,43.23,24.12,12.71
2017-01-28,玉溪,84.3,0.64,12.49,42.48,85.45,60.51,26.31
2017-01-29,玉溪,37.65,0.57,10.91,61.58,35.39,21.88,12.74
2017-01-30,玉溪,35.79,0.69,11.65,64.43,31.3,21.12,13.28
2017-01-31,玉溪,33.53,0.61,12.38,51.0,31.47,20.33,13.46
2017-02-01,玉溪,35.06,0.71,11.82,51.69,30.87,21.04,13.22
2017-02-02,玉溪,36.0,0.8,12.65,57.01,33.91,21.11,17.49
2017-02-03,玉溪,32.67,0.76,12.32,61.17,29.7,19.01,17.5
2017-02-04,玉溪,36.43,1.0,15.79,61.83,34.35,18.91,18.59
2017-02-05,玉溪,41.42,1.9,20.67,56.49,38.59,20.06,25.71
2017-02-06,玉溪,42.22,1.66,23.17,63.69,40.87,20.32,21.61
2017-02-07,玉溪,55.0,1.52,22.2,80.77,57.46,34.51,19.62
2017-02-08,玉溪,65.4,1.23,22.9,70.31,62.93,47.01,18.4
2017-02-09,玉溪,57.81,0.79,15.29,76.36,56.66,40.44,13.57
2017-02-10,玉溪,57.84,1.2,19.19,65.26,55.96,40.39,14.94
2017-02-11,玉溪,48.18,0.94,14.81,46.44,44.65,32.68,11.14
2017-02-12,玉溪,54.64,1.0,19.22,54.43,55.18,36.26,14.49
2017-02-13,玉溪,44.15,0.85,18.93,73.46,42.32,27.19,15.1
2017-02-14,玉溪,49.22,0.78,19.1,77.01,50.21,32.21,14.46
2017-02-15,玉溪,47.74,0.72,19.25,65.38,45.85,32.83,15.89
2017-02-16,玉溪,42.61,0.82,21.62,58.32,41.87,25.42,17.15
2017-02-17,玉溪,44.44,1.21,24.51,58.32,45.81,24.03,18.96
2017-02-18,玉溪,49.18,0.95,24.88,61.07,51.01,30.17,22.0
2017-02-19,玉溪,47.07,0.89,24.0,63.57,48.26,29.43,18.99
2017-02-20,玉溪,47.49,0.89,27.31,73.36,49.1,29.68,17.58
2017-02-21,玉溪,49.75,0.68,21.21,90.9,51.01,31.03,12.58
2017-02-22,玉溪,48.92,0.7,19.31,104.44,50.29,30.38,14.53
2017-02-23,玉溪,54.35,1.04,29.32,77.69,59.17,32.83,22.01
2017-02-24,玉溪,58.28,1.1,22.62,74.99,59.96,37.49,17.81
2017-02-25,玉溪,59.76,0.86,13.62,69.79,56.25,41.15,11.81
2017-02-26,玉溪,35.36,0.8,12.33,44.54,42.04,21.67,10.68
2017-02-27,玉溪,57.33,0.74,19.35,36.89,61.96,38.94,12.96
2017-02-28,玉溪,57.32,0.95,29.83,63.29,61.75,38.12,17.26
2017-03-01,玉溪,55.96,1.03,23.1,52.12,57.0,38.21,15.83
2017-03-02,玉溪,61.65,0.79,16.58,75.04,62.77,43.9,13.91
2017-03-03,玉溪,51.35,0.87,19.93,91.72,52.17,31.11,12.32
2017-03-04,玉溪,63.81,1.03,31.78,91.6,75.17,41.47,17.83
2017-03-05,玉溪,66.39,1.18,33.99,91.97,80.21,43.51,25.72
2017-03-06,玉溪,67.83,1.0,34.44,92.36,79.74,46.6,26.29
2017-03-07,玉溪,66.22,1.34,36.24,84.28,73.48,45.51,25.88
2017-03-08,玉溪,56.97,1.45,34.91,72.49,63.28,35.28,28.72
2017-03-09,玉溪,52.43,1.39,35.57,60.6,52.25,35.36,21.44
2017-03-10,玉溪,47.92,1.47,29.93,62.62,49.51,27.65,19.89
2017-03-11,玉溪,52.39,1.43,26.76,66.39,55.74,32.57,19.69
2017-03-12,玉溪,27.0,0.71,15.24,63.5,25.63,16.31,13.51
2017-03-13,玉溪,31.68,0.57,15.81,87.33,26.71,11.53,12.28
2017-03-14,玉溪,46.19,1.43,25.56,75.64,45.17,22.04,21.89
2017-03-15,玉溪,47.83,0.94,26.0,93.54,49.52,26.1,14.42
2017-03-16,玉溪,59.67,1.63,34.69,85.75,66.37,37.9,23.01
2017-03-17,玉溪,61.65,1.82,40.98,83.06,69.17,41.38,24.29
2017-03-18,玉溪,61.74,1.71,35.24,84.06,67.64,40.96,24.93
2017-03-19,玉溪,60.76,1.84,36.22,87.08,68.21,39.11,25.31
2017-03-20,玉溪,59.18,1.43,32.65,79.54,67.33,36.86,28.54
2017-03-21,玉溪,53.32,1.26,27.17,78.74,54.28,34.29,15.32
2017-03-22,玉溪,49.64,1.55,25.49,77.29,48.57,28.74,19.81
2017-03-23,玉溪,55.08,1.26,25.64,82.45,49.68,29.93,23.22
2017-03-24,玉溪,64.03,1.85,35.22,95.18,68.24,40.63,30.93
2017-03-25,玉溪,72.4,2.01,27.78,87.53,81.33,50.53,24.67
2017-03-26,玉溪,50.07,0.93,16.07,65.43,53.8,31.72,10.07
2017-03-27,玉溪,46.9,0.72,18.86,59.59,43.44,32.3,10.96
2017-03-28,玉溪,38.58,0.94,22.74,70.04,36.26,20.58,12.86
2017-03-29,玉溪,59.33,1.32,28.25,68.56,65.2,38.74,23.55
2017-03-30,玉溪,64.25,0.91,29.03,90.36,72.38,45.1,16.7
2017-03-31,玉溪,40.67,0.7,19.54,72.19,47.65,26.94,13.46
2017-04-01,玉溪,31.34,0.61,10.74,80.5,25.58,16.64,15.72
2017-04-02,玉溪,30.6,0.85,17.97,65.28,26.3,18.75,13.43
2017-04-03,玉溪,33.61,0.59,13.2,93.42,29.09,17.01,12.33
2017-04-04,玉溪,38.35,0.74,18.91,78.03,35.65,19.44,14.2
2017-04-05,玉溪,39.67,1.0,19.19,83.07,34.86,19.93,14.29
2017-04-06,玉溪,41.45,1.06,22.19,73.2,40.25,18.87,20.52
2017-04-07,玉溪,48.45,1.09,25.51,66.22,48.39,25.86,18.19
2017-04-08,玉溪,49.59,1.43,27.52,76.63,52.7,26.33,19.38
2017-04-09,玉溪,51.05,1.01,24.22,96.75,53.4,27.57,17.62
2017-04-10,玉溪,64.16,1.5,29.17,103.75,76.61,39.09,17.62
2017-04-11,玉溪,71.4,1.04,27.83,119.64,88.74,48.08,18.54
2017-04-12,玉溪,71.9,1.06,26.78,114.68,85.1,46.78,18.71
2017-04-13,玉溪,63.64,0.85,14.28,101.44,61.97,45.5,9.38
2017-04-14,玉溪,60.58,0.87,20.36,112.65,63.11,42.58,13.74
2017-04-15,玉溪,57.12,0.79,14.78,127.06,57.26,39.83,11.72
2017-04-16,玉溪,54.43,0.8,18.19,81.21,54.68,38.03,14.68
2017-04-17,玉溪,28.11,0.62,20.93,63.51,21.43,15.35,9.76
2017-04-18,玉溪,26.2,0.73,21.43,65.39,23.98,12.8,18.74
2017-04-19,玉溪,36.05,0.98,21.86,50.42,35.35,14.95,21.27
2017-04-20,玉溪,47.15,1.04,23.81,61.55,49.39,25.01,21.57
2017-04-21,玉溪,30.39,0.72,17.96,63.15,28.51,18.78,11.94
2017-04-22,玉溪,30.58,0.61,13.97,68.64,31.93,17.32,9.69
2017-04-23,玉溪,43.4,0.79,22.97,55.62,42.88,27.78,20.6
2017-04-24,玉溪,29.46,0.63,21.19,53.6,27.99,15.86,14.53
2017-04-25,玉溪,47.31,0.69,21.46,48.54,50.49,24.92,16.25
2017-04-26,玉溪,49.04,0.8,21.85,62.61,52.75,28.44,14.36
2017-04-27,玉溪,52.52,1.39,21.97,46.29,58.08,34.61,16.07
2017-04-28,玉溪,42.6,0.65,16.88,67.1,45.67,23.62,12.85
2017-04-29,玉溪,44.74,0.71,16.01,86.99,46.38,24.25,14.13
2017-04-30,玉溪,51.95,0.93,17.52,99.83,54.79,29.11,13.2
2017-05-01,玉溪,53.17,1.09,23.86,88.6,58.14,29.39,15.99
2017-05-02,玉溪,47.59,1.02,20.41,93.09,48.8,26.1,14.99
2017-05-03,玉溪,49.42,0.93,23.75,89.56,52.01,28.03,16.56
2017-05-04,玉溪,51.41,1.49,25.38,93.07,53.16,25.77,22.04
