time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,西双版纳州,67.89,1.05,22.11,22.82,73.29,44.84,8.45
2017-01-02,西双版纳州,58.52,1.25,24.4,13.65,57.5,36.58,8.15
2017-01-03,西双版纳州,45.21,1.14,16.92,10.9,42.89,23.73,8.56
2017-01-04,西双版纳州,23.0,0.71,15.71,27.23,20.93,10.72,7.79
2017-01-05,西双版纳州,32.0,0.8,14.48,18.86,29.0,17.43,9.3
2017-01-06,西双版纳州,39.27,0.77,14.52,20.27,38.79,15.96,8.88
2017-01-07,西双版纳州,39.91,0.79,15.09,19.91,41.4,17.76,9.87
2017-01-08,西双版纳州,43.71,0.78,16.44,24.12,44.44,20.34,9.71
2017-01-09,西双版纳州,53.26,0.91,22.3,24.28,55.63,28.54,9.72
2017-01-10,西双版纳州,53.15,0.92,19.6,22.79,54.3,29.06,10.0
2017-01-11,西双版纳州,45.48,0.88,18.31,15.12,46.0,23.38,8.85
2017-01-12,西双版纳州,43.17,0.82,15.9,19.73,43.32,20.04,7.85
2017-01-13,西双版纳州,44.44,0.84,16.83,25.31,46.04,21.47,8.21
2017-01-14,西双版纳州,42.44,0.66,17.52,34.4,42.44,20.25,7.92
2017-01-15,西双版纳州,47.21,0.68,18.48,34.1,46.44,25.08,7.88
2017-01-16,西双版纳州,49.69,0.7,18.35,34.38,50.3,26.0,7.56
2017-01-17,西双版纳州,52.08,0.68,17.51,36.54,51.96,25.02,7.58
2017-01-18,西双版纳州,58.31,0.88,24.12,37.75,61.56,30.44,9.02
2017-01-19,西双版纳州,55.44,0.84,22.33,39.1,58.56,28.04,9.25
2017-01-20,西双版纳州,55.17,0.88,23.56,37.98,57.96,30.75,9.69
2017-01-21,西双版纳州,54.88,0.87,21.73,40.75,56.0,30.92,9.94
2017-01-22,西双版纳州,54.48,0.89,18.48,35.69,52.82,33.79,9.83
2017-01-23,西双版纳州,40.81,0.82,14.04,33.67,39.91,23.15,9.81
2017-01-24,西双版纳州,35.62,0.77,12.31,34.12,33.26,20.33,10.17
2017-01-25,西双版纳州,37.35,0.74,11.75,32.31,32.19,24.04,9.35
2017-01-26,西双版纳州,41.15,0.8,14.94,25.26,38.5,27.38,9.76
2017-01-27,西双版纳州,62.85,0.75,13.06,36.54,65.21,40.08,19.67
2017-01-28,西双版纳州,102.7,0.73,12.57,33.64,114.61,74.32,32.66
2017-01-29,西双版纳州,46.63,0.78,14.78,39.24,46.37,24.83,12.0
2017-01-30,西双版纳州,46.48,0.76,16.62,42.06,45.06,24.9,11.06
2017-01-31,西双版纳州,44.27,0.78,16.04,45.58,43.57,24.54,10.88
2017-02-01,西双版纳州,50.15,0.86,16.46,48.46,48.94,29.52,11.06
2017-02-02,西双版纳州,48.15,0.8,14.73,49.1,45.6,27.81,11.23
2017-02-03,西双版纳州,50.42,0.83,20.52,45.06,49.0,28.21,9.81
2017-02-04,西双版纳州,51.46,0.79,20.91,45.04,52.09,29.37,6.39
2017-02-05,西双版纳州,50.23,0.78,22.65,47.6,49.08,28.71,6.88
2017-02-06,西双版纳州,53.1,0.81,23.9,44.56,54.19,31.42,8.42
2017-02-07,西双版纳州,57.11,0.91,26.09,53.93,57.96,32.52,6.11
2017-02-08,西双版纳州,60.21,0.89,25.62,56.94,61.77,33.81,6.0
2017-02-09,西双版纳州,59.49,0.83,22.6,55.62,61.3,30.32,5.68
2017-02-10,西双版纳州,60.71,0.97,26.67,52.34,64.33,30.79,5.92
2017-02-11,西双版纳州,62.12,1.01,20.67,38.54,63.6,33.62,6.71
2017-02-12,西双版纳州,41.94,1.11,12.1,30.81,43.87,16.52,5.67
2017-02-13,西双版纳州,53.9,1.22,17.73,27.21,57.91,29.39,5.38
2017-02-14,西双版纳州,66.71,1.37,23.25,31.15,75.56,40.3,5.46
2017-02-15,西双版纳州,51.27,1.21,20.81,31.08,52.11,31.96,5.33
2017-02-16,西双版纳州,38.13,1.1,17.21,37.91,38.11,19.57,4.89
2017-02-17,西双版纳州,52.69,1.44,23.12,40.62,53.96,29.25,6.19
2017-02-18,西双版纳州,60.02,1.41,25.1,46.79,64.19,33.79,7.56
2017-02-19,西双版纳州,71.9,1.61,30.75,49.38,80.98,40.21,8.73
