time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,迪庆州,40.68,1.23,23.13,49.0,44.72,14.53,10.61
2017-01-02,迪庆州,34.55,1.0,20.1,60.38,38.09,14.47,13.2
2017-01-03,迪庆州,39.97,1.29,23.08,50.0,45.82,14.23,9.82
2017-01-04,迪庆州,23.35,0.98,13.97,55.26,23.18,13.06,10.45
2017-01-05,迪庆州,28.96,0.69,15.58,56.92,29.76,13.31,5.6
2017-01-06,迪庆州,32.92,0.64,14.46,58.02,35.0,13.12,5.77
2017-01-07,迪庆州,32.5,0.79,14.78,55.76,33.98,12.65,6.3
2017-01-08,迪庆州,31.23,0.76,15.31,59.04,33.54,12.65,6.33
2017-01-09,迪庆州,33.8,0.75,15.91,62.3,36.63,13.65,8.96
2017-01-10,迪庆州,36.94,0.84,15.23,60.06,40.4,15.38,6.71
2017-01-11,迪庆州,37.54,1.04,15.17,54.21,40.59,13.17,6.62
2017-01-12,迪庆州,35.0,0.83,14.56,66.19,38.63,13.88,6.06
2017-01-13,迪庆州,34.54,0.79,14.71,59.1,39.1,13.52,7.21
2017-01-14,迪庆州,37.75,0.81,14.38,59.65,41.62,15.12,8.0
2017-01-15,迪庆州,33.69,0.7,14.23,60.85,35.78,13.92,7.15
2017-01-16,迪庆州,29.38,0.68,13.62,60.42,29.3,12.54,7.65
2017-01-17,迪庆州,36.15,0.6,12.85,59.06,38.38,15.04,7.17
2017-01-18,迪庆州,33.58,0.77,18.0,54.17,37.1,14.04,6.71
2017-01-19,迪庆州,37.27,0.85,22.0,52.71,43.52,13.25,8.33
2017-01-20,迪庆州,34.06,0.8,21.08,49.31,36.27,13.81,7.58
2017-01-21,迪庆州,35.1,0.76,22.6,52.08,37.63,13.96,8.69
2017-01-22,迪庆州,34.21,0.77,21.98,47.92,36.88,12.92,8.52
2017-01-23,迪庆州,33.56,0.66,20.33,56.04,36.92,13.09,9.08
2017-01-24,迪庆州,28.05,0.66,20.9,53.54,29.15,13.05,8.88
