time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,乌兰察布,86.58,1.04,55.97,36.06,99.6,62.51,57.19
2017-01-01,乌海,82.85,1.98,50.4,26.13,109.68,54.74,64.49
2017-01-01,兴安盟,52.53,0.98,31.63,27.65,52.31,34.51,17.02
2017-01-01,包头,137.52,3.18,65.1,19.26,162.54,104.24,58.05
2017-01-01,呼伦贝尔,77.94,1.22,53.09,11.03,73.0,56.74,10.62
2017-01-01,呼和浩特,144.21,3.55,73.0,14.74,170.52,113.01,76.26
2017-01-01,巴彦淖尔,67.56,1.03,33.6,37.85,80.9,34.85,45.0
2017-01-01,赤峰,126.25,2.85,29.63,33.53,141.54,99.07,92.97
2017-01-01,通辽,160.19,2.01,44.17,28.91,167.52,124.58,43.17
2017-01-01,鄂尔多斯,50.05,0.93,34.35,52.92,55.24,16.94,13.98
2017-01-01,锡林郭勒盟,41.67,1.02,12.39,85.82,42.03,14.67,42.24
2017-01-01,阿拉善盟,54.0,0.68,15.16,87.72,60.26,26.04,17.93
2017-01-02,乌兰察布,72.33,1.06,51.65,43.98,77.08,49.12,56.12
2017-01-02,乌海,172.85,1.84,43.03,39.73,244.45,90.93,150.28
2017-01-02,兴安盟,37.03,0.66,19.1,44.12,31.9,24.27,19.92
2017-01-02,包头,136.75,2.92,68.89,20.04,145.62,103.11,63.73
2017-01-02,呼伦贝尔,24.7,0.51,18.52,52.88,21.98,12.85,5.72
2017-01-02,呼和浩特,117.9,2.87,73.8,19.49,138.85,85.92,86.05
2017-01-02,巴彦淖尔,60.22,0.9,25.6,44.97,68.45,29.4,43.12
2017-01-02,赤峰,52.07,1.69,16.79,54.17,48.11,31.38,43.29
2017-01-02,通辽,56.18,0.91,26.89,45.33,59.23,33.11,18.63
2017-01-02,鄂尔多斯,41.86,0.92,28.93,65.4,43.28,16.81,23.49
2017-01-02,锡林郭勒盟,26.82,0.81,12.25,78.08,18.14,10.28,30.43
2017-01-02,阿拉善盟,61.14,1.01,25.32,86.26,68.28,37.02,34.74
2017-01-03,乌兰察布,82.52,1.03,54.98,47.08,90.47,56.94,59.65
2017-01-03,乌海,175.12,2.94,68.99,20.79,263.99,121.17,217.47
2017-01-03,兴安盟,31.2,0.65,18.75,44.8,29.32,18.77,14.9
2017-01-03,包头,183.83,4.27,84.11,14.38,200.19,142.24,77.46
2017-01-03,呼伦贝尔,39.42,0.7,31.67,39.02,37.96,26.15,7.08
2017-01-03,呼和浩特,162.72,3.66,77.75,15.79,177.86,125.85,83.74
2017-01-03,巴彦淖尔,60.93,1.12,30.74,48.67,72.71,32.06,39.46
2017-01-03,赤峰,80.89,2.34,23.68,44.07,84.12,55.41,76.6
2017-01-03,通辽,79.29,1.02,27.5,42.71,88.07,48.25,28.17
2017-01-03,鄂尔多斯,55.08,1.08,42.91,55.59,62.54,26.2,31.07
2017-01-03,锡林郭勒盟,31.08,1.2,19.77,66.02,27.15,10.31,51.75
2017-01-03,阿拉善盟,45.77,0.85,24.35,81.77,46.54,24.51,26.52
2017-01-04,乌兰察布,99.25,1.68,76.42,23.29,117.06,69.35,67.92
2017-01-04,乌海,151.06,2.53,64.14,16.62,215.14,112.03,116.75
2017-01-04,兴安盟,62.66,1.28,31.9,34.72,60.44,42.79,15.95
2017-01-04,包头,191.67,4.25,84.76,13.11,217.53,148.74,87.98
2017-01-04,呼伦贝尔,65.29,1.15,44.38,30.65,65.0,46.48,7.12
2017-01-04,呼和浩特,132.22,3.75,88.89,16.42,155.86,94.63,93.8
2017-01-04,巴彦淖尔,125.67,2.09,58.74,21.36,153.24,93.0,80.99
2017-01-04,赤峰,108.06,2.54,29.91,27.59,115.75,80.83,89.7
2017-01-04,通辽,69.71,1.02,31.91,42.43,71.3,47.41,25.16
2017-01-04,鄂尔多斯,81.8,1.33,61.91,40.43,106.46,54.98,46.57
