time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,乌兰察布,86.58,1.04,55.97,36.06,99.6,62.51,57.19
2017-01-02,乌兰察布,72.33,1.06,51.65,43.98,77.08,49.12,56.12
2017-01-03,乌兰察布,82.52,1.03,54.98,47.08,90.47,56.94,59.65
2017-01-04,乌兰察布,99.25,1.68,76.42,23.29,117.06,69.35,67.92
2017-01-05,乌兰察布,109.44,1.81,66.83,41.21,121.74,80.98,67.46
2017-01-06,乌兰察布,101.15,1.22,52.08,42.02,101.39,70.62,44.44
2017-01-07,乌兰察布,32.76,0.4,21.89,64.52,33.67,13.83,35.54
2017-01-08,乌兰察布,50.46,0.83,40.62,48.56,50.27,31.73,42.85
2017-01-09,乌兰察布,40.54,0.54,32.76,62.17,37.62,22.48,38.48
2017-01-10,乌兰察布,30.46,0.48,29.44,64.77,21.85,16.02,32.85
2017-01-11,乌兰察布,48.69,0.66,41.81,51.94,44.33,30.98,41.46
2017-01-12,乌兰察布,38.19,0.46,24.58,75.12,36.25,19.56,31.94
2017-01-13,乌兰察布,31.69,0.54,25.94,69.02,25.62,15.29,32.73
2017-01-14,乌兰察布,76.2,1.69,65.64,25.53,83.74,50.59,61.45
2017-01-15,乌兰察布,111.03,2.13,80.06,15.14,126.15,72.23,73.66
2017-01-16,乌兰察布,101.29,1.23,62.04,37.73,110.29,74.65,55.19
2017-01-17,乌兰察布,60.6,0.74,42.75,53.44,64.5,36.52,33.88
2017-01-18,乌兰察布,66.72,1.07,56.59,36.22,71.65,44.41,54.35
2017-01-19,乌兰察布,43.94,0.33,14.12,79.04,46.88,14.19,35.54
2017-01-20,乌兰察布,33.21,0.52,27.19,68.46,27.65,17.5,43.08
2017-01-21,乌兰察布,34.6,0.43,16.58,76.94,30.57,18.17,36.62
2017-01-22,乌兰察布,35.94,0.71,36.6,57.4,30.75,20.73,44.06
2017-01-23,乌兰察布,70.04,1.28,48.79,41.81,69.93,48.85,56.65
2017-01-24,乌兰察布,79.19,1.55,57.23,32.04,84.48,55.42,61.17
2017-01-25,乌兰察布,90.29,1.5,56.23,53.7,95.95,66.29,59.42
2017-01-26,乌兰察布,69.79,0.59,21.44,79.21,87.82,40.29,40.56
2017-01-27,乌兰察布,44.15,0.71,25.71,58.69,45.23,27.88,51.44
2017-01-28,乌兰察布,198.33,1.35,37.24,50.2,403.09,289.85,79.67
2017-01-29,乌兰察布,41.35,0.29,8.39,73.33,48.68,14.63,29.72
2017-01-30,乌兰察布,32.96,0.72,25.25,50.31,28.49,20.23,43.0
2017-01-31,乌兰察布,35.42,0.52,19.04,60.29,32.12,20.64,42.0
2017-02-01,乌兰察布,45.63,0.9,30.72,53.0,45.55,29.41,60.89
2017-02-02,乌兰察布,91.69,1.55,51.19,47.23,96.25,67.69,56.68
2017-02-03,乌兰察布,130.58,1.63,54.77,53.46,134.26,98.81,51.38
2017-02-04,乌兰察布,65.3,0.84,33.96,63.7,69.12,45.43,32.61
2017-02-05,乌兰察布,33.65,0.56,25.91,66.89,27.39,18.3,26.33
2017-02-06,乌兰察布,39.09,0.75,36.59,50.37,36.21,23.5,29.02
2017-02-07,乌兰察布,105.46,1.12,43.0,43.78,107.78,74.98,35.2
2017-02-08,乌兰察布,27.27,0.29,12.04,83.31,21.55,12.75,15.98
2017-02-09,乌兰察布,32.4,0.35,15.46,79.31,28.25,13.0,15.75
2017-02-10,乌兰察布,29.71,0.4,21.58,76.42,18.74,12.85,17.98
2017-02-11,乌兰察布,68.31,0.78,37.12,55.48,60.65,46.17,38.6
2017-02-12,乌兰察布,84.96,1.2,49.48,47.46,85.87,60.0,62.04
2017-02-13,乌兰察布,60.4,1.04,50.9,46.67,64.68,40.52,38.62
2017-02-14,乌兰察布,85.54,1.47,63.56,46.48,87.44,60.27,54.19
2017-02-15,乌兰察布,115.17,1.03,49.1,86.12,137.9,83.83,40.23
2017-02-16,乌兰察布,45.62,0.31,13.98,87.17,49.98,18.08,17.02
2017-02-17,乌兰察布,35.42,0.51,28.92,69.67,29.17,18.38,25.75
2017-02-18,乌兰察布,53.15,0.52,29.94,76.08,58.92,23.71,30.5
2017-02-19,乌兰察布,57.98,0.39,16.79,89.35,69.52,23.9,23.46
2017-02-20,乌兰察布,29.54,0.42,14.46,81.4,23.58,14.56,26.56
2017-02-21,乌兰察布,40.33,0.55,22.28,71.31,38.79,24.44,26.44
2017-02-22,乌兰察布,35.29,0.36,14.04,85.92,30.67,18.04,7.5
2017-02-23,乌兰察布,28.54,0.36,23.08,80.29,20.29,12.79,8.04
2017-02-24,乌兰察布,27.5,0.45,21.88,79.75,19.71,12.25,8.75
2017-02-25,乌兰察布,30.5,0.39,20.67,80.12,20.33,12.21,5.83
2017-02-26,乌兰察布,48.92,0.55,40.21,59.5,55.39,26.46,14.58
2017-02-27,乌兰察布,58.88,0.63,36.04,72.33,63.13,37.46,17.83
2017-02-28,乌兰察布,36.29,0.3,14.29,102.64,27.2,16.14,5.86
2017-03-01,乌兰察布,32.83,0.33,13.67,97.75,24.43,16.17,6.62
2017-03-02,乌兰察布,38.74,0.43,24.66,93.89,34.79,20.26,27.26
2017-03-03,乌兰察布,50.4,0.65,35.79,71.4,46.94,32.4,32.94
2017-03-04,乌兰察布,59.29,0.93,42.4,56.73,57.72,38.27,29.71
2017-03-05,乌兰察布,35.67,0.35,13.94,88.5,35.66,13.65,19.6
2017-03-06,乌兰察布,32.83,0.39,11.38,92.79,27.83,14.48,18.12
2017-03-07,乌兰察布,28.5,0.35,11.0,87.44,19.33,13.35,17.33
2017-03-08,乌兰察布,32.0,0.42,11.11,94.2,15.82,12.89,18.35
2017-03-09,乌兰察布,38.94,0.53,27.44,82.44,32.31,20.85,21.98
2017-03-10,乌兰察布,64.4,0.94,46.46,68.35,65.87,43.54,33.81
2017-03-11,乌兰察布,37.71,0.42,22.38,89.43,33.3,21.38,22.08
2017-03-12,乌兰察布,32.88,0.39,14.83,91.46,17.47,14.29,21.4
2017-03-13,乌兰察布,32.42,0.63,25.79,67.7,23.68,16.27,28.48
2017-03-14,乌兰察布,38.7,0.71,36.45,59.41,35.09,21.11,26.3
2017-03-15,乌兰察布,74.41,1.23,60.96,54.8,79.67,51.83,34.87
2017-03-16,乌兰察布,82.98,1.02,53.78,85.46,93.77,59.11,34.78
2017-03-17,乌兰察布,67.59,0.69,44.11,88.46,57.43,48.52,21.57
2017-03-18,乌兰察布,77.79,1.0,55.56,51.44,77.9,55.27,24.33
2017-03-19,乌兰察布,126.67,1.34,64.38,85.29,140.19,94.79,42.23
2017-03-20,乌兰察布,73.29,0.56,28.19,91.25,74.17,48.88,24.42
2017-03-21,乌兰察布,64.29,0.82,33.12,85.6,59.51,45.1,25.38
2017-03-22,乌兰察布,139.23,1.2,54.81,89.65,120.47,105.58,32.48
2017-03-23,乌兰察布,104.98,1.05,35.29,100.12,91.44,78.54,21.77
2017-03-24,乌兰察布,51.67,0.4,18.81,105.52,56.77,25.62,18.62
2017-03-25,乌兰察布,35.58,0.42,16.35,98.0,27.22,21.29,19.6
