time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,乌海,82.85,1.98,50.4,26.13,109.68,54.74,64.49
2017-01-02,乌海,172.85,1.84,43.03,39.73,244.45,90.93,150.28
2017-01-03,乌海,175.12,2.94,68.99,20.79,263.99,121.17,217.47
2017-01-04,乌海,151.06,2.53,64.14,16.62,215.14,112.03,116.75
2017-01-05,乌海,155.33,2.24,60.68,22.76,199.31,117.61,107.38
2017-01-06,乌海,61.11,0.64,17.83,54.22,63.86,38.72,20.25
2017-01-07,乌海,43.21,0.73,22.12,45.94,44.77,24.95,31.56
2017-01-08,乌海,42.75,0.86,24.76,43.5,42.2,26.14,25.15
2017-01-09,乌海,58.86,1.01,31.59,34.67,73.38,35.78,63.01
2017-01-10,乌海,38.86,0.58,15.99,50.61,36.48,23.19,22.33
2017-01-11,乌海,45.35,0.47,9.9,62.24,45.83,20.04,10.5
2017-01-12,乌海,49.93,0.63,17.03,59.68,53.17,25.67,14.71
2017-01-13,乌海,110.72,1.93,57.68,27.03,158.54,72.31,123.71
2017-01-14,乌海,79.58,1.31,43.28,23.31,99.92,54.22,63.14
2017-01-15,乌海,85.92,1.45,38.44,40.62,108.76,58.99,80.26
2017-01-16,乌海,52.97,0.62,14.77,59.91,57.23,30.02,14.44
2017-01-17,乌海,46.94,0.83,27.81,48.39,51.01,26.97,26.36
2017-01-18,乌海,99.1,1.43,40.38,40.82,142.88,61.75,129.39
2017-01-19,乌海,41.97,0.46,11.07,54.94,45.1,21.81,14.07
2017-01-20,乌海,80.24,1.18,34.07,40.51,106.69,48.35,107.93
2017-01-21,乌海,70.86,1.03,34.12,41.56,87.18,41.81,71.76
2017-01-22,乌海,70.42,1.16,34.8,41.94,85.12,40.54,65.3
2017-01-23,乌海,125.39,2.06,60.19,27.83,169.18,91.3,224.67
2017-01-24,乌海,130.21,1.91,62.54,22.71,168.99,96.9,133.81
2017-01-25,乌海,236.0,1.27,41.65,45.47,333.56,95.07,94.06
2017-01-26,乌海,245.69,0.57,15.18,53.45,351.04,63.82,20.22
2017-01-27,乌海,110.32,0.98,27.35,44.03,168.82,46.89,75.25
2017-01-28,乌海,101.58,0.68,13.93,47.51,137.94,60.8,33.54
2017-01-29,乌海,53.74,0.4,8.91,47.12,57.02,30.26,22.91
2017-01-30,乌海,67.9,0.94,26.5,29.99,81.66,39.43,78.19
2017-01-31,乌海,61.5,0.97,21.99,33.33,63.95,39.11,36.57
2017-02-01,乌海,71.96,1.21,32.51,27.93,87.79,46.99,68.49
2017-02-02,乌海,88.93,1.43,37.31,30.67,115.78,59.89,109.46
2017-02-03,乌海,125.22,1.74,44.42,38.18,168.4,84.14,127.93
2017-02-04,乌海,77.97,1.42,42.03,46.12,97.64,51.06,96.96
2017-02-05,乌海,74.24,0.89,35.56,51.4,98.01,36.15,88.38
2017-02-06,乌海,78.33,0.89,35.24,39.71,105.15,47.33,85.97
2017-02-07,乌海,74.96,0.4,15.81,48.33,99.22,28.03,18.52
2017-02-08,乌海,35.99,0.49,20.04,49.08,31.81,19.81,21.43
2017-02-09,乌海,53.93,0.84,31.03,39.43,66.79,34.69,57.5
2017-02-10,乌海,69.29,1.46,41.75,33.07,90.62,46.75,96.72
2017-02-11,乌海,117.09,1.93,48.52,34.72,163.52,82.99,171.9
