time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,包头,137.52,3.18,65.1,19.26,162.54,104.24,58.05
2017-01-02,包头,136.75,2.92,68.89,20.04,145.62,103.11,63.73
2017-01-03,包头,183.83,4.27,84.11,14.38,200.19,142.24,77.46
2017-01-04,包头,191.67,4.25,84.76,13.11,217.53,148.74,87.98
2017-01-05,包头,176.67,3.3,80.64,16.22,202.63,135.94,74.2
2017-01-06,包头,112.69,1.59,38.46,41.18,109.61,80.51,30.65
2017-01-07,包头,36.66,1.34,25.32,54.83,36.56,21.02,22.23
2017-01-08,包头,60.9,1.55,32.08,44.86,63.79,36.81,27.13
2017-01-09,包头,53.3,1.4,33.67,48.87,52.31,35.21,29.52
2017-01-10,包头,57.87,1.75,41.81,39.74,62.45,38.17,42.4
2017-01-11,包头,94.21,2.43,55.24,28.18,105.02,65.42,49.34
2017-01-12,包头,90.79,2.06,52.2,31.25,104.75,61.43,50.28
2017-01-13,包头,72.17,1.6,48.41,33.12,82.47,50.01,33.03
2017-01-14,包头,125.85,2.86,64.06,16.43,141.6,92.09,61.19
2017-01-15,包头,149.45,3.71,74.31,12.01,170.88,112.37,103.53
2017-01-16,包头,104.3,2.28,51.12,35.42,113.23,75.03,56.11
2017-01-17,包头,77.83,1.89,44.08,42.57,94.11,47.51,43.37
2017-01-18,包头,93.56,2.33,54.47,25.54,113.23,65.83,50.04
2017-01-19,包头,48.24,1.06,17.12,66.42,55.0,18.96,15.16
2017-01-20,包头,72.51,1.79,45.47,32.81,75.48,49.75,34.42
2017-01-21,包头,44.89,1.48,25.63,59.76,44.25,25.69,18.9
2017-01-22,包头,87.17,2.67,58.7,25.18,91.35,63.79,60.08
2017-01-23,包头,133.97,3.22,70.82,18.1,138.43,101.64,81.19
2017-01-24,包头,106.9,2.47,58.38,29.55,112.17,79.27,55.46
2017-01-25,包头,145.78,2.76,64.83,34.47,160.59,109.88,73.84
2017-01-26,包头,161.32,1.14,26.47,61.28,212.43,70.51,25.2
2017-01-27,包头,82.52,1.6,40.01,44.83,88.87,59.36,47.5
2017-01-28,包头,186.95,50.09,46.45,69.23,256.18,115.53,18.02
2017-01-29,包头,46.7,0.52,9.3,69.84,55.57,15.1,11.72
2017-01-30,包头,51.08,1.22,31.31,40.33,47.78,34.97,35.26
2017-01-31,包头,70.55,1.69,36.84,39.15,70.03,48.35,43.44
