time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,呼伦贝尔,77.94,1.22,53.09,11.03,73.0,56.74,10.62
2017-01-02,呼伦贝尔,24.7,0.51,18.52,52.88,21.98,12.85,5.72
2017-01-03,呼伦贝尔,39.42,0.7,31.67,39.02,37.96,26.15,7.08
2017-01-04,呼伦贝尔,65.29,1.15,44.38,30.65,65.0,46.48,7.12
2017-01-05,呼伦贝尔,66.21,1.13,51.54,19.17,60.76,47.65,13.17
2017-01-06,呼伦贝尔,74.15,1.04,36.77,32.92,68.55,54.56,9.31
2017-01-07,呼伦贝尔,35.89,0.67,26.48,51.28,32.88,23.76,8.09
2017-01-08,呼伦贝尔,44.37,0.64,22.28,55.93,42.02,28.7,4.28
2017-01-09,呼伦贝尔,29.07,0.32,13.61,61.07,22.55,17.96,3.5
2017-01-10,呼伦贝尔,33.19,0.42,17.12,56.46,28.93,19.96,4.02
2017-01-11,呼伦贝尔,39.61,0.61,24.58,53.36,35.27,27.17,5.42
2017-01-12,呼伦贝尔,39.65,0.55,18.79,53.12,36.0,25.77,4.65
2017-01-13,呼伦贝尔,27.21,0.44,13.08,63.92,24.06,12.19,3.31
2017-01-14,呼伦贝尔,50.85,0.77,26.43,43.65,46.61,34.96,5.24
2017-01-15,呼伦贝尔,83.52,0.99,36.4,30.62,81.4,61.6,5.85
2017-01-16,呼伦贝尔,92.62,1.16,47.79,13.44,92.91,68.77,8.71
2017-01-17,呼伦贝尔,93.9,1.12,35.33,23.08,88.89,69.31,10.81
2017-01-18,呼伦贝尔,30.85,0.74,15.9,50.96,28.29,18.21,6.52
2017-01-19,呼伦贝尔,31.02,0.76,15.15,50.65,28.0,17.38,6.52
2017-01-20,呼伦贝尔,30.42,0.79,15.9,56.4,28.52,18.54,8.73
2017-01-21,呼伦贝尔,48.17,0.93,23.44,45.58,47.0,31.58,4.9
2017-01-22,呼伦贝尔,46.27,0.92,20.0,48.33,41.94,29.79,5.44
2017-01-23,呼伦贝尔,44.13,1.0,19.65,52.83,39.75,29.46,5.76
2017-01-24,呼伦贝尔,35.31,0.91,19.53,56.36,33.68,22.17,6.56
2017-01-25,呼伦贝尔,57.02,1.23,42.38,30.15,52.22,40.29,11.6
2017-01-26,呼伦贝尔,38.53,0.64,14.74,62.65,36.82,23.88,4.0
2017-01-27,呼伦贝尔,30.65,0.6,12.12,68.08,28.13,18.32,7.67
2017-01-28,呼伦贝尔,103.32,1.22,32.68,39.0,98.24,76.8,13.68
2017-01-29,呼伦贝尔,57.89,0.85,18.65,52.52,53.0,39.41,4.57
2017-01-30,呼伦贝尔,26.62,0.55,9.48,63.73,22.85,13.42,5.02
2017-01-31,呼伦贝尔,26.04,0.54,10.15,66.65,18.86,12.56,3.96
2017-02-01,呼伦贝尔,28.58,0.51,9.67,73.79,23.16,13.83,8.71
2017-02-02,呼伦贝尔,28.52,0.53,13.11,71.43,22.36,16.33,7.52
2017-02-03,呼伦贝尔,47.93,1.1,31.67,49.46,43.86,31.22,7.57
2017-02-04,呼伦贝尔,61.78,1.11,31.59,44.93,58.8,43.37,6.13
2017-02-05,呼伦贝尔,49.52,0.84,26.08,49.1,46.55,33.65,3.69
2017-02-06,呼伦贝尔,36.08,0.68,19.81,60.77,29.85,22.21,3.81
2017-02-07,呼伦贝尔,38.2,0.76,19.65,64.89,36.5,23.04,4.39
2017-02-08,呼伦贝尔,28.29,0.52,12.92,75.15,21.18,12.46,3.58
2017-02-09,呼伦贝尔,31.38,0.55,13.02,75.44,28.63,14.23,3.79
2017-02-10,呼伦贝尔,33.85,0.68,18.08,71.33,28.78,20.12,3.9
2017-02-11,呼伦贝尔,34.1,0.61,16.5,70.42,30.84,19.88,6.55
2017-02-12,呼伦贝尔,48.11,0.82,25.3,64.57,47.02,32.24,5.15
2017-02-13,呼伦贝尔,49.89,0.96,28.7,60.36,50.32,31.75,5.11
2017-02-14,呼伦贝尔,37.5,0.82,34.98,50.52,36.17,24.67,7.4
2017-02-15,呼伦贝尔,56.83,0.6,15.94,74.71,70.88,19.83,3.52
2017-02-16,呼伦贝尔,38.46,0.44,9.56,87.75,39.46,14.15,3.17
2017-02-17,呼伦贝尔,37.15,0.55,14.33,78.71,34.0,20.5,3.6
2017-02-18,呼伦贝尔,40.67,0.68,19.1,72.06,34.17,24.33,5.56
2017-02-19,呼伦贝尔,39.79,0.61,16.52,74.54,38.9,18.69,4.77
2017-02-20,呼伦贝尔,32.65,0.63,16.42,74.46,24.29,17.92,4.33
2017-02-21,呼伦贝尔,27.12,0.64,14.21,76.92,16.43,11.12,3.71
2017-02-22,呼伦贝尔,49.48,0.87,27.92,67.65,41.09,32.12,4.25
2017-02-23,呼伦贝尔,33.35,0.59,15.33,80.43,24.59,18.77,3.5
