time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,巴彦淖尔,67.56,1.03,33.6,37.85,80.9,34.85,45.0
2017-01-02,巴彦淖尔,60.22,0.9,25.6,44.97,68.45,29.4,43.12
2017-01-03,巴彦淖尔,60.93,1.12,30.74,48.67,72.71,32.06,39.46
2017-01-04,巴彦淖尔,125.67,2.09,58.74,21.36,153.24,93.0,80.99
2017-01-05,巴彦淖尔,160.97,2.29,64.67,15.44,185.99,122.4,83.99
2017-01-06,巴彦淖尔,61.57,0.88,23.06,55.15,70.53,27.69,28.88
2017-01-07,巴彦淖尔,44.49,0.99,36.39,37.22,48.55,23.54,35.19
2017-01-08,巴彦淖尔,58.87,0.95,30.71,41.39,64.69,28.62,48.74
2017-01-09,巴彦淖尔,51.18,1.07,30.24,41.8,55.55,27.8,45.04
2017-01-10,巴彦淖尔,43.82,0.94,27.58,42.57,41.49,24.58,32.33
2017-01-11,巴彦淖尔,49.62,0.72,12.3,62.18,55.84,17.17,40.17
2017-01-12,巴彦淖尔,50.0,0.81,18.38,62.08,53.75,20.65,34.5
2017-01-13,巴彦淖尔,58.76,1.44,46.76,35.45,60.86,35.5,60.08
2017-01-14,巴彦淖尔,89.01,1.68,48.06,30.13,104.25,62.93,75.71
2017-01-15,巴彦淖尔,93.79,1.47,40.49,36.31,101.29,65.65,56.9
2017-01-16,巴彦淖尔,55.97,0.8,20.68,63.74,62.54,25.08,25.67
2017-01-17,巴彦淖尔,56.71,0.95,23.78,61.58,64.58,23.35,32.5
2017-01-18,巴彦淖尔,61.6,1.42,34.21,47.99,68.82,31.58,48.14
2017-01-19,巴彦淖尔,37.83,1.1,24.76,65.25,37.26,16.1,29.06
2017-01-20,巴彦淖尔,46.27,1.21,29.53,56.12,50.67,21.2,27.62
2017-01-21,巴彦淖尔,43.02,1.28,29.77,61.23,43.26,21.27,34.5
2017-01-22,巴彦淖尔,61.74,1.61,42.73,43.48,67.29,39.98,56.95
2017-01-23,巴彦淖尔,99.43,2.4,58.07,28.74,115.61,69.57,99.71
2017-01-24,巴彦淖尔,122.74,2.67,63.3,34.62,135.16,92.29,104.65
2017-01-25,巴彦淖尔,158.97,2.54,59.35,40.07,206.1,100.28,78.47
2017-01-26,巴彦淖尔,134.65,1.25,29.8,68.63,213.02,43.29,46.8
2017-01-27,巴彦淖尔,69.92,1.43,31.35,57.22,91.24,23.77,51.07
2017-01-28,巴彦淖尔,178.77,1.55,30.67,58.73,248.55,82.2,39.1
2017-01-29,巴彦淖尔,45.36,1.15,22.22,66.75,49.32,15.39,28.8
2017-01-30,巴彦淖尔,47.1,1.51,38.5,46.81,46.32,23.39,64.42
2017-01-31,巴彦淖尔,73.88,1.84,52.64,42.17,81.17,45.26,69.86
2017-02-01,巴彦淖尔,51.39,1.6,45.51,52.08,57.26,23.11,66.18
2017-02-02,巴彦淖尔,91.71,2.15,58.61,54.01,112.49,62.1,77.11
2017-02-03,巴彦淖尔,132.72,2.54,61.88,49.72,160.42,97.06,68.24
2017-02-04,巴彦淖尔,130.52,2.43,63.24,48.89,146.88,93.11,64.73
2017-02-05,巴彦淖尔,57.51,1.76,52.33,54.68,60.56,33.12,60.69
2017-02-06,巴彦淖尔,101.22,1.78,53.87,52.96,137.8,51.01,65.88
2017-02-07,巴彦淖尔,73.12,1.49,37.26,62.35,89.9,36.88,24.33
2017-02-08,巴彦淖尔,34.79,1.85,41.28,77.74,29.2,17.19,34.15
2017-02-09,巴彦淖尔,42.3,1.89,46.49,65.07,36.1,23.86,33.04
2017-02-10,巴彦淖尔,43.98,1.57,51.36,60.71,42.77,23.23,37.61
2017-02-11,巴彦淖尔,64.58,1.71,52.28,59.45,63.52,41.32,69.32
2017-02-12,巴彦淖尔,91.33,2.34,68.85,46.53,98.33,64.63,64.45
2017-02-13,巴彦淖尔,80.39,2.06,61.91,56.29,82.19,51.84,67.43
2017-02-14,巴彦淖尔,112.33,2.4,72.11,49.15,133.52,71.57,81.9
2017-02-15,巴彦淖尔,112.03,2.04,61.2,57.42,163.62,68.0,54.52
2017-02-16,巴彦淖尔,55.21,1.1,35.87,76.58,66.09,16.06,24.04
2017-02-17,巴彦淖尔,40.18,1.13,42.3,61.88,44.87,22.26,27.01
2017-02-18,巴彦淖尔,79.01,1.32,51.03,55.72,103.27,46.44,33.96
2017-02-19,巴彦淖尔,78.29,1.17,43.36,70.5,104.96,35.51,23.85
2017-02-20,巴彦淖尔,44.01,1.02,40.44,71.39,52.7,19.01,24.83
2017-02-21,巴彦淖尔,67.62,0.91,43.75,71.08,87.84,29.83,23.33
2017-02-22,巴彦淖尔,78.97,1.15,47.38,74.92,112.67,30.12,42.86
2017-02-23,巴彦淖尔,61.51,1.29,55.33,64.89,65.67,37.13,41.13
2017-02-24,巴彦淖尔,113.14,1.87,70.83,53.81,123.39,84.22,58.78
2017-02-25,巴彦淖尔,63.78,1.6,62.93,52.13,60.53,42.62,37.71
2017-02-26,巴彦淖尔,76.65,1.67,62.54,52.11,79.15,47.76,42.62
2017-02-27,巴彦淖尔,68.76,1.17,62.29,50.15,82.53,35.26,42.0
2017-02-28,巴彦淖尔,76.44,1.13,70.54,47.94,97.86,48.42,24.38
2017-03-01,巴彦淖尔,36.83,0.78,61.06,65.19,32.2,15.78,20.6
2017-03-02,巴彦淖尔,72.71,1.24,78.68,44.87,85.36,44.71,51.81
2017-03-03,巴彦淖尔,74.57,0.97,42.8,53.0,82.8,44.67,26.94
2017-03-04,巴彦淖尔,51.92,0.77,24.51,56.42,55.03,27.25,21.17
2017-03-05,巴彦淖尔,36.64,0.71,17.86,62.89,34.69,19.08,21.24
2017-03-06,巴彦淖尔,39.04,0.66,16.43,56.31,39.27,19.53,23.33
2017-03-07,巴彦淖尔,33.58,0.62,14.22,61.38,32.96,17.53,20.25
2017-03-08,巴彦淖尔,53.34,0.95,34.69,44.21,55.64,33.26,27.41
2017-03-09,巴彦淖尔,62.1,1.11,46.86,41.88,65.1,37.99,31.33
2017-03-10,巴彦淖尔,69.08,1.05,42.26,49.63,78.0,46.13,36.45
2017-03-11,巴彦淖尔,64.25,0.72,27.94,52.58,67.68,39.0,24.5
2017-03-12,巴彦淖尔,34.88,0.53,19.39,64.7,35.3,16.57,22.94
2017-03-13,巴彦淖尔,49.55,0.72,26.33,55.05,56.6,27.12,34.68
2017-03-14,巴彦淖尔,93.84,1.01,32.3,58.58,110.77,64.42,43.65
2017-03-15,巴彦淖尔,74.77,0.75,22.45,72.75,85.02,51.43,30.9
2017-03-16,巴彦淖尔,77.58,0.86,30.44,56.42,94.37,51.29,30.07
2017-03-17,巴彦淖尔,96.84,0.96,30.22,54.58,123.49,64.7,19.04
2017-03-18,巴彦淖尔,87.96,0.75,24.39,73.26,124.66,50.18,29.17
2017-03-19,巴彦淖尔,101.68,0.72,19.81,95.14,144.92,68.22,27.79
2017-03-20,巴彦淖尔,96.06,0.76,23.01,82.69,110.18,69.5,21.19
2017-03-21,巴彦淖尔,113.06,0.96,22.65,83.96,122.76,84.62,17.06
2017-03-22,巴彦淖尔,143.0,1.14,23.56,61.24,146.06,109.28,17.76
2017-03-23,巴彦淖尔,105.65,0.52,13.58,71.82,137.63,42.89,7.72
2017-03-24,巴彦淖尔,40.51,0.33,8.47,74.78,42.36,14.76,8.9
2017-03-25,巴彦淖尔,34.04,0.41,13.15,73.03,32.52,15.19,12.43
2017-03-26,巴彦淖尔,36.32,0.45,17.06,66.2,34.63,16.12,13.94
2017-03-27,巴彦淖尔,56.61,0.67,23.97,50.7,66.43,26.74,27.0
2017-03-28,巴彦淖尔,60.04,0.67,30.45,67.62,65.76,32.17,21.26
2017-03-29,巴彦淖尔,46.08,0.94,27.28,57.56,46.69,25.54,18.93
2017-03-30,巴彦淖尔,37.08,0.47,12.67,69.81,36.3,15.92,15.83
2017-03-31,巴彦淖尔,45.75,0.66,29.26,56.17,47.94,23.69,24.39
2017-04-01,巴彦淖尔,50.65,0.7,26.62,66.11,57.29,24.53,26.67
2017-04-02,巴彦淖尔,61.46,0.68,28.5,70.97,70.67,36.64,22.56
2017-04-03,巴彦淖尔,86.0,0.9,38.22,67.32,115.07,56.68,34.67
2017-04-04,巴彦淖尔,75.68,0.71,28.17,77.92,95.27,49.21,23.44
2017-04-05,巴彦淖尔,61.69,0.54,13.9,85.72,71.21,33.01,9.97
2017-04-06,巴彦淖尔,88.46,0.48,14.96,88.57,126.64,31.64,15.17
2017-04-07,巴彦淖尔,59.93,0.41,15.87,74.45,70.1,23.33,8.43
2017-04-08,巴彦淖尔,43.1,0.65,14.01,69.89,45.58,16.04,9.21
2017-04-09,巴彦淖尔,46.35,0.65,15.78,70.44,48.14,21.03,18.6
2017-04-10,巴彦淖尔,50.86,0.73,21.42,60.23,57.14,24.94,16.45
2017-04-11,巴彦淖尔,56.35,0.62,19.24,74.52,64.83,16.79,11.24
2017-04-12,巴彦淖尔,72.85,0.58,32.7,65.09,97.06,26.89,14.39
2017-04-13,巴彦淖尔,119.52,0.49,21.86,80.14,181.02,35.55,9.02
2017-04-14,巴彦淖尔,64.94,0.55,31.49,74.51,81.82,27.58,13.54
2017-04-15,巴彦淖尔,61.21,0.57,31.76,63.84,85.2,29.88,12.75
2017-04-16,巴彦淖尔,202.42,0.44,16.23,76.6,372.06,69.33,7.17
2017-04-17,巴彦淖尔,108.29,0.47,17.68,73.93,192.46,45.65,10.18
2017-04-18,巴彦淖尔,47.1,0.48,21.8,68.03,62.09,19.12,15.24
2017-04-19,巴彦淖尔,163.92,0.58,11.49,81.19,231.62,32.56,7.64
2017-04-20,巴彦淖尔,90.69,0.6,14.78,71.88,124.38,27.85,5.51
2017-04-21,巴彦淖尔,57.53,0.68,24.65,64.47,67.35,20.79,16.82
2017-04-22,巴彦淖尔,87.8,0.76,24.67,74.14,126.4,28.31,26.73
2017-04-23,巴彦淖尔,54.49,0.55,18.38,70.1,60.88,17.99,14.88
2017-04-24,巴彦淖尔,46.86,0.43,15.19,78.39,49.46,16.69,13.14
2017-04-25,巴彦淖尔,34.89,0.46,14.73,71.56,35.39,13.99,9.32
2017-04-26,巴彦淖尔,49.71,0.52,19.07,67.9,55.03,22.03,17.67
2017-04-27,巴彦淖尔,56.33,0.56,29.9,73.0,65.49,24.04,11.68
2017-04-28,巴彦淖尔,69.65,0.53,42.14,65.37,92.3,37.28,15.38
2017-04-29,巴彦淖尔,78.67,0.52,41.97,60.19,104.04,31.97,16.1
2017-04-30,巴彦淖尔,83.24,0.75,45.07,59.14,110.71,42.12,18.88
2017-05-01,巴彦淖尔,98.1,0.69,16.84,98.84,143.0,42.46,12.11
2017-05-02,巴彦淖尔,84.71,0.92,18.03,82.44,116.05,53.75,12.56
2017-05-03,巴彦淖尔,257.77,0.47,10.76,81.24,927.48,245.15,4.59
2017-05-04,巴彦淖尔,450.14,0.46,13.09,85.4,1585.7,330.72,3.61
2017-05-05,巴彦淖尔,135.45,0.43,11.48,80.63,295.02,54.33,3.82
2017-05-06,巴彦淖尔,76.85,0.42,21.12,78.42,102.62,30.72,6.07
2017-05-07,巴彦淖尔,78.65,0.66,42.6,72.4,103.97,41.27,15.75
2017-05-08,巴彦淖尔,105.94,0.54,22.99,84.85,160.49,40.01,13.03
2017-05-09,巴彦淖尔,210.1,0.38,18.19,74.29,299.54,73.49,7.57
2017-05-10,巴彦淖尔,79.31,0.42,30.22,56.36,104.86,32.75,12.06
2017-05-11,巴彦淖尔,121.0,0.29,17.45,83.7,170.31,31.71,5.36
2017-05-12,巴彦淖尔,70.21,0.35,18.78,78.85,90.25,23.22,6.42
2017-05-13,巴彦淖尔,64.84,0.3,17.8,76.33,82.16,24.26,10.78
2017-05-14,巴彦淖尔,52.83,0.39,23.36,72.21,59.19,27.9,9.33
2017-05-15,巴彦淖尔,48.14,0.39,20.47,82.03,49.7,21.51,7.71
2017-05-16,巴彦淖尔,53.97,0.29,16.2,72.15,63.17,14.54,6.23
2017-05-17,巴彦淖尔,57.32,0.44,13.71,77.53,66.66,23.0,8.9
2017-05-18,巴彦淖尔,97.68,0.14,8.89,103.1,139.22,37.6,4.96
2017-05-19,巴彦淖尔,74.36,0.14,7.31,89.79,100.01,27.46,5.4
2017-05-20,巴彦淖尔,59.67,0.13,5.53,105.95,66.85,28.14,3.41
2017-05-21,巴彦淖尔,293.82,0.14,4.55,73.05,995.12,185.82,2.85
2017-05-22,巴彦淖尔,36.85,0.11,5.15,82.76,37.27,12.31,3.17
2017-05-23,巴彦淖尔,51.67,0.16,7.98,120.49,47.95,12.67,2.79
2017-05-24,巴彦淖尔,56.69,0.14,8.06,102.42,62.57,15.68,3.82
2017-05-25,巴彦淖尔,58.26,0.14,10.52,84.24,68.31,18.82,4.13
2017-05-26,巴彦淖尔,60.41,0.29,19.13,82.4,73.04,18.04,4.53
2017-05-27,巴彦淖尔,61.24,0.51,27.35,90.46,74.12,21.47,8.6
2017-05-28,巴彦淖尔,138.52,0.39,18.01,83.1,207.3,40.87,8.28
2017-05-29,巴彦淖尔,71.7,0.36,13.3,85.62,92.51,25.6,6.56
2017-05-30,巴彦淖尔,53.47,0.37,18.82,82.35,60.44,20.47,13.18
2017-05-31,巴彦淖尔,59.81,0.41,28.1,79.67,68.35,20.06,8.58
2017-06-01,巴彦淖尔,66.85,0.39,28.82,80.39,85.05,21.48,12.79
2017-06-02,巴彦淖尔,93.08,0.21,11.53,79.9,127.28,36.38,5.22
2017-06-03,巴彦淖尔,49.64,0.26,18.19,79.35,55.23,15.23,8.13
2017-06-04,巴彦淖尔,74.38,0.37,22.81,91.47,99.06,36.28,13.31
2017-06-05,巴彦淖尔,37.19,0.4,12.1,98.49,34.43,22.56,4.88
2017-06-06,巴彦淖尔,40.96,0.41,17.22,89.21,35.98,21.54,4.86
2017-06-07,巴彦淖尔,45.03,0.41,34.36,67.04,44.96,17.26,9.75
2017-06-08,巴彦淖尔,52.97,0.46,36.96,83.13,60.9,22.81,15.33
2017-06-09,巴彦淖尔,69.01,0.37,29.46,91.49,84.15,27.35,9.07
2017-06-10,巴彦淖尔,74.74,0.33,17.74,104.24,90.39,39.07,5.71
2017-06-11,巴彦淖尔,67.33,0.34,25.0,90.43,84.53,25.64,8.75
2017-06-12,巴彦淖尔,60.93,0.39,27.44,73.11,73.74,25.35,14.14
2017-06-13,巴彦淖尔,51.66,0.41,18.74,102.53,52.44,19.66,10.58
2017-06-14,巴彦淖尔,63.9,0.55,18.9,109.7,74.44,33.65,12.17
2017-06-15,巴彦淖尔,78.73,0.54,17.06,127.88,96.26,34.48,12.81
2017-06-16,巴彦淖尔,66.72,0.49,22.91,107.58,72.61,34.35,10.77
2017-06-17,巴彦淖尔,68.8,0.59,19.95,119.75,78.13,30.61,13.27
2017-06-18,巴彦淖尔,59.32,0.38,16.28,93.26,69.88,24.3,8.61
2017-06-19,巴彦淖尔,48.48,0.35,18.43,79.25,52.19,19.91,10.01
2017-06-20,巴彦淖尔,63.88,0.53,32.57,88.01,77.71,28.11,18.97
2017-06-21,巴彦淖尔,73.43,0.39,19.12,87.08,95.51,34.64,12.6
2017-06-22,巴彦淖尔,44.35,0.4,15.35,81.1,44.12,20.32,8.68
2017-06-23,巴彦淖尔,36.46,0.39,14.22,93.18,33.74,15.01,6.71
2017-06-24,巴彦淖尔,38.03,0.38,13.6,101.99,31.69,12.06,10.64
2017-06-25,巴彦淖尔,57.78,0.43,30.74,82.08,63.23,22.54,13.71
2017-06-26,巴彦淖尔,66.97,0.49,41.9,78.35,80.83,25.53,10.53
2017-06-27,巴彦淖尔,74.96,0.61,38.21,96.69,91.19,31.65,18.9
2017-06-28,巴彦淖尔,74.32,0.53,26.42,108.36,97.4,31.34,12.72
2017-06-29,巴彦淖尔,67.42,0.46,23.58,117.57,77.93,33.9,10.0
2017-06-30,巴彦淖尔,64.35,0.45,23.8,109.49,72.95,33.75,6.8
2017-07-01,巴彦淖尔,70.49,0.47,22.47,123.99,78.02,32.32,7.25
2017-07-02,巴彦淖尔,97.77,0.51,19.86,123.24,115.43,48.35,8.85
2017-07-03,巴彦淖尔,59.41,0.25,16.14,82.61,68.92,28.67,4.8
2017-07-04,巴彦淖尔,66.46,0.65,28.38,89.11,81.36,31.07,21.01
