time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,通辽,160.19,2.01,44.17,28.91,167.52,124.58,43.17
2017-01-02,通辽,56.18,0.91,26.89,45.33,59.23,33.11,18.63
2017-01-03,通辽,79.29,1.02,27.5,42.71,88.07,48.25,28.17
2017-01-04,通辽,69.71,1.02,31.91,42.43,71.3,47.41,25.16
2017-01-05,通辽,109.12,1.12,39.49,36.97,110.7,81.92,31.44
2017-01-06,通辽,105.75,1.07,48.38,27.66,113.3,78.15,30.69
2017-01-07,通辽,87.23,0.77,25.74,41.33,89.62,64.32,18.71
2017-01-08,通辽,103.6,0.72,27.4,50.64,104.4,76.69,20.12
2017-01-09,通辽,51.68,0.53,16.52,59.52,60.77,20.63,9.92
2017-01-10,通辽,51.82,0.37,13.39,61.42,55.99,20.0,9.44
2017-01-11,通辽,39.12,0.48,16.72,58.45,39.07,20.88,13.65
2017-01-12,通辽,48.14,0.43,13.0,63.17,56.07,18.88,11.54
2017-01-13,通辽,61.22,0.56,11.71,59.39,73.67,19.64,11.56
2017-01-14,通辽,35.78,0.55,15.94,52.14,33.87,21.0,13.0
2017-01-15,通辽,78.58,1.17,36.25,31.81,80.75,54.54,25.79
2017-01-16,通辽,145.82,2.12,58.32,20.41,148.25,110.93,39.26
2017-01-17,通辽,123.74,1.46,46.39,30.2,120.14,93.36,37.95
2017-01-18,通辽,60.86,0.72,22.03,44.28,59.73,39.0,15.24
2017-01-19,通辽,40.76,0.6,15.56,52.12,40.57,24.21,13.61
2017-01-20,通辽,48.65,0.62,20.5,49.62,48.74,30.07,19.6
2017-01-21,通辽,76.89,0.67,20.61,44.93,91.2,44.38,23.1
2017-01-22,通辽,49.6,0.63,18.92,51.6,46.94,31.14,15.24
2017-01-23,通辽,65.88,0.9,29.69,43.64,65.81,45.72,19.11
2017-01-24,通辽,63.68,0.88,31.97,40.96,63.4,43.92,22.0
2017-01-25,通辽,117.12,1.45,37.11,42.75,116.67,88.08,44.43
2017-01-26,通辽,200.9,1.72,35.8,50.86,218.22,140.24,50.1
2017-01-27,通辽,69.56,0.57,15.25,61.81,71.86,44.18,20.85
2017-01-28,通辽,168.15,1.09,21.06,38.28,160.39,132.24,36.18
2017-01-29,通辽,74.71,0.45,8.81,64.62,93.21,35.75,9.96
2017-01-30,通辽,39.64,0.49,13.01,58.8,36.97,24.06,17.64
2017-01-31,通辽,45.39,0.54,10.78,58.83,44.01,25.68,18.78
