time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,鄂尔多斯,50.05,0.93,34.35,52.92,55.24,16.94,13.98
2017-01-02,鄂尔多斯,41.86,0.92,28.93,65.4,43.28,16.81,23.49
2017-01-03,鄂尔多斯,55.08,1.08,42.91,55.59,62.54,26.2,31.07
2017-01-04,鄂尔多斯,81.8,1.33,61.91,40.43,106.46,54.98,46.57
2017-01-05,鄂尔多斯,108.0,1.37,59.46,47.92,132.06,80.92,46.65
2017-01-06,鄂尔多斯,81.59,1.13,29.56,56.81,80.65,55.58,18.11
2017-01-07,鄂尔多斯,33.13,0.89,26.61,60.54,32.83,12.51,21.57
2017-01-08,鄂尔多斯,36.03,0.72,23.95,60.51,35.5,14.52,18.9
2017-01-09,鄂尔多斯,30.32,0.92,23.4,64.37,27.35,10.29,18.06
2017-01-10,鄂尔多斯,30.79,0.77,26.07,58.87,28.49,10.81,18.62
2017-01-11,鄂尔多斯,43.07,0.67,18.39,72.4,48.1,11.51,9.71
2017-01-12,鄂尔多斯,48.69,0.63,20.02,68.47,51.92,15.11,10.12
2017-01-13,鄂尔多斯,45.51,0.8,35.5,54.27,49.12,17.14,23.05
2017-01-14,鄂尔多斯,76.19,1.14,58.18,27.65,100.48,42.19,41.14
2017-01-15,鄂尔多斯,77.9,1.1,55.18,26.71,98.35,51.73,43.25
2017-01-16,鄂尔多斯,40.34,0.6,24.16,72.6,40.8,18.15,12.0
2017-01-17,鄂尔多斯,42.57,0.63,22.36,75.81,43.36,13.41,12.38
2017-01-18,鄂尔多斯,52.77,0.83,36.53,55.16,60.68,21.69,30.43
2017-01-19,鄂尔多斯,42.18,0.55,13.84,80.42,45.25,9.86,10.9
2017-01-20,鄂尔多斯,37.28,0.72,25.1,65.47,36.45,13.38,23.09
2017-01-21,鄂尔多斯,33.56,0.61,17.12,77.49,29.98,8.99,12.0
2017-01-22,鄂尔多斯,32.65,0.73,27.87,60.68,31.05,11.85,14.93
2017-01-23,鄂尔多斯,41.67,0.89,35.07,53.96,43.34,18.62,26.61
2017-01-24,鄂尔多斯,56.66,1.31,49.72,47.67,64.25,35.66,40.03
2017-01-25,鄂尔多斯,88.86,1.21,35.88,82.88,113.33,60.17,38.83
2017-01-26,鄂尔多斯,167.61,0.59,15.46,88.91,240.3,45.95,13.86
2017-01-27,鄂尔多斯,55.42,1.09,21.0,71.91,64.81,23.26,26.25
2017-01-28,鄂尔多斯,127.94,54.02,19.75,73.77,232.86,63.37,30.02
2017-01-29,鄂尔多斯,65.66,0.75,12.41,77.05,86.9,12.98,18.05
2017-01-30,鄂尔多斯,40.83,1.04,19.48,63.29,41.39,20.63,23.91
2017-01-31,鄂尔多斯,52.74,0.84,21.6,65.35,57.7,24.29,26.97
2017-02-01,鄂尔多斯,48.41,0.94,24.17,63.97,52.48,22.43,28.2
2017-02-02,鄂尔多斯,98.67,1.39,35.26,65.78,123.72,70.9,48.65
2017-02-03,鄂尔多斯,118.2,1.36,34.48,70.27,136.96,88.85,39.67
2017-02-04,鄂尔多斯,62.62,0.83,27.33,83.72,73.93,34.12,23.57
2017-02-05,鄂尔多斯,44.26,0.81,29.43,71.59,45.05,18.77,22.37
2017-02-06,鄂尔多斯,71.58,1.13,36.33,74.79,89.19,42.35,39.81
2017-02-07,鄂尔多斯,100.96,1.09,24.44,74.97,107.51,68.43,22.59
2017-02-08,鄂尔多斯,31.77,0.65,14.39,88.28,27.62,9.95,15.48
2017-02-09,鄂尔多斯,29.09,0.67,17.25,81.94,22.65,9.94,17.04
2017-02-10,鄂尔多斯,27.19,0.71,22.7,73.92,18.67,9.42,17.19
2017-02-11,鄂尔多斯,34.43,0.84,30.0,66.01,31.08,16.19,20.92
2017-02-12,鄂尔多斯,47.57,0.87,33.08,71.92,47.05,26.94,25.76
2017-02-13,鄂尔多斯,46.56,0.97,37.71,56.87,50.31,19.33,27.55
2017-02-14,鄂尔多斯,60.17,1.05,49.54,54.78,71.49,33.82,34.96
2017-02-15,鄂尔多斯,94.2,1.11,41.86,79.91,111.83,66.76,23.52
2017-02-16,鄂尔多斯,84.38,0.78,29.71,69.28,115.22,30.77,21.44
2017-02-17,鄂尔多斯,45.76,0.73,26.13,72.83,49.86,13.87,18.33
2017-02-18,鄂尔多斯,69.08,0.73,31.02,75.71,87.73,23.04,22.25
2017-02-19,鄂尔多斯,75.47,0.72,28.08,74.96,100.72,22.07,22.37
2017-02-20,鄂尔多斯,53.49,0.61,22.8,77.46,61.56,10.19,17.84
2017-02-21,鄂尔多斯,52.05,0.83,18.1,83.75,54.23,23.68,15.71
2017-02-22,鄂尔多斯,64.5,0.68,12.13,98.59,82.49,17.93,9.08
2017-02-23,鄂尔多斯,33.96,0.82,23.88,87.05,31.15,13.45,14.17
2017-02-24,鄂尔多斯,34.73,0.74,18.31,97.51,25.26,11.58,12.0
2017-02-25,鄂尔多斯,31.85,0.82,28.65,78.18,21.53,10.31,12.91
2017-02-26,鄂尔多斯,36.79,0.87,32.38,75.9,34.62,16.63,15.77
2017-02-27,鄂尔多斯,50.56,1.2,29.63,78.64,54.84,23.49,16.8
2017-02-28,鄂尔多斯,51.22,1.06,27.2,70.8,57.69,17.67,14.01
2017-03-01,鄂尔多斯,39.2,0.94,17.74,91.44,36.63,8.66,9.08
2017-03-02,鄂尔多斯,35.02,0.89,30.29,70.35,30.96,11.86,14.89
