time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,锡林郭勒盟,41.67,1.02,12.39,85.82,42.03,14.67,42.24
2017-01-02,锡林郭勒盟,26.82,0.81,12.25,78.08,18.14,10.28,30.43
2017-01-03,锡林郭勒盟,31.08,1.2,19.77,66.02,27.15,10.31,51.75
2017-01-04,锡林郭勒盟,30.98,1.18,24.85,52.88,30.21,17.5,21.1
2017-01-05,锡林郭勒盟,64.29,1.83,42.79,55.48,69.88,44.17,33.62
2017-01-06,锡林郭勒盟,72.36,0.22,25.38,53.83,75.23,52.0,43.04
2017-01-07,锡林郭勒盟,36.37,0.87,17.53,62.16,35.83,22.81,24.58
2017-01-08,锡林郭勒盟,26.47,0.58,13.34,52.48,25.51,10.87,16.3
2017-01-09,锡林郭勒盟,31.54,0.78,12.95,68.44,29.43,12.03,23.05
2017-01-10,锡林郭勒盟,28.44,0.4,14.85,74.68,22.82,10.09,49.21
2017-01-11,锡林郭勒盟,27.03,0.46,17.15,68.06,23.41,8.35,29.26
2017-01-12,锡林郭勒盟,28.36,0.6,18.71,57.63,27.62,12.4,24.24
2017-01-13,锡林郭勒盟,34.77,0.66,20.94,59.66,33.6,11.51,21.94
2017-01-14,锡林郭勒盟,26.98,0.66,19.32,61.0,24.45,11.61,20.76
2017-01-15,锡林郭勒盟,48.84,1.1,29.0,45.46,52.64,32.24,47.81
2017-01-16,锡林郭勒盟,48.79,1.05,24.27,46.03,52.0,30.42,33.33
2017-01-17,锡林郭勒盟,35.06,0.81,14.53,61.69,35.31,12.12,20.55
2017-01-18,锡林郭勒盟,25.45,0.75,14.1,64.13,20.19,12.48,17.58
2017-01-19,锡林郭勒盟,35.43,0.85,15.46,67.2,34.86,16.4,26.6
2017-01-20,锡林郭勒盟,31.82,0.69,10.42,89.53,24.37,10.45,20.08
2017-01-21,锡林郭勒盟,31.75,0.86,14.21,75.83,30.21,11.29,21.85
2017-01-22,锡林郭勒盟,31.85,0.88,18.62,56.25,29.09,15.25,30.1
2017-01-23,锡林郭勒盟,34.92,0.9,18.06,59.04,33.84,16.38,31.46
2017-01-24,锡林郭勒盟,29.69,0.69,16.31,70.17,26.81,15.4,19.42
2017-01-25,锡林郭勒盟,37.35,1.44,17.17,88.15,38.17,18.31,16.62
2017-01-26,锡林郭勒盟,59.12,0.56,12.15,87.5,71.26,21.0,26.44
2017-01-27,锡林郭勒盟,36.94,1.66,11.1,76.96,34.06,12.31,37.08
2017-01-28,锡林郭勒盟,125.17,1.82,18.67,69.98,160.15,100.09,54.39
2017-01-29,锡林郭勒盟,37.24,0.79,8.67,79.87,35.69,13.57,17.67
2017-01-30,锡林郭勒盟,25.79,0.8,9.0,74.81,18.54,8.81,16.88
2017-01-31,锡林郭勒盟,29.19,0.98,11.77,70.92,26.55,12.62,29.98
2017-02-01,锡林郭勒盟,34.27,1.04,10.15,74.08,30.77,16.96,31.25
2017-02-02,锡林郭勒盟,25.56,1.32,14.44,68.25,21.34,10.71,15.08
2017-02-03,锡林郭勒盟,47.12,1.76,22.23,69.06,49.77,28.1,26.73
2017-02-04,锡林郭勒盟,57.13,1.09,21.11,63.5,59.24,35.8,35.76
2017-02-05,锡林郭勒盟,30.79,1.02,14.67,63.81,27.73,13.83,20.29
2017-02-06,锡林郭勒盟,28.94,0.74,13.31,81.73,19.19,10.21,31.19
2017-02-07,锡林郭勒盟,37.33,1.02,19.52,65.28,37.35,15.74,27.09
2017-02-08,锡林郭勒盟,36.92,0.74,12.29,82.04,34.0,13.94,29.75
2017-02-09,锡林郭勒盟,36.08,0.78,12.06,83.9,35.31,10.44,24.02
2017-02-10,锡林郭勒盟,32.38,1.16,14.83,80.23,29.5,10.52,26.06
2017-02-11,锡林郭勒盟,45.97,1.58,20.33,61.81,40.81,27.3,32.58
2017-02-12,锡林郭勒盟,33.02,1.45,15.1,64.21,30.8,15.88,22.31
2017-02-13,锡林郭勒盟,36.92,1.55,18.46,52.71,36.33,14.33,19.69
2017-02-14,锡林郭勒盟,40.9,1.3,15.15,67.17,43.74,12.75,19.38
2017-02-15,锡林郭勒盟,152.62,0.85,11.6,84.0,209.68,29.58,14.38
2017-02-16,锡林郭勒盟,37.21,0.49,7.44,94.71,31.67,10.62,12.56
2017-02-17,锡林郭勒盟,30.92,1.07,11.52,80.06,25.98,8.69,13.69
2017-02-18,锡林郭勒盟,32.25,1.37,10.52,76.92,28.72,10.31,17.42
2017-02-19,锡林郭勒盟,75.81,0.31,8.6,92.56,103.21,16.27,14.08
2017-02-20,锡林郭勒盟,26.65,1.28,14.33,79.17,19.28,9.04,23.33
2017-02-21,锡林郭勒盟,35.46,1.07,11.31,79.96,32.6,11.88,14.23
2017-02-22,锡林郭勒盟,31.0,0.92,13.08,86.71,20.79,11.5,24.29
2017-02-23,锡林郭勒盟,26.81,0.78,11.33,79.33,16.63,10.04,14.94
2017-02-24,锡林郭勒盟,26.04,1.23,11.17,81.04,16.26,7.1,14.81
2017-02-25,锡林郭勒盟,26.23,1.06,16.12,78.98,17.49,9.98,27.48
2017-02-26,锡林郭勒盟,26.23,0.5,11.44,73.48,17.2,10.67,13.15
2017-02-27,锡林郭勒盟,31.42,0.52,10.54,82.77,23.15,9.79,12.94
2017-02-28,锡林郭勒盟,26.21,0.71,11.38,73.12,20.6,9.85,18.29
