time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,吉林,134.29,1.49,35.52,62.67,126.92,101.87,38.89
2017-01-01,四平,184.21,2.26,45.23,31.68,196.56,140.51,64.79
2017-01-01,延边州,147.41,1.9,47.11,21.59,131.96,113.05,42.79
2017-01-01,松原,215.89,3.27,51.38,21.46,222.0,172.24,35.59
2017-01-01,白城,78.06,1.04,24.37,32.06,78.86,56.49,19.23
2017-01-01,白山,155.74,2.05,47.09,35.32,151.77,118.94,114.24
2017-01-01,辽源,116.79,1.59,41.97,56.61,101.08,88.08,50.84
2017-01-01,通化,125.13,2.3,47.23,36.61,138.71,94.68,85.0
2017-01-01,长春,209.72,2.4,50.61,31.12,189.26,162.98,71.79
2017-01-02,吉林,113.07,1.42,35.46,57.19,115.45,83.18,34.85
2017-01-02,四平,108.35,1.75,41.1,35.27,114.83,80.7,38.63
2017-01-02,延边州,102.9,1.45,33.17,45.25,95.54,73.58,43.53
2017-01-02,松原,181.85,1.93,33.02,35.25,170.1,139.47,30.9
2017-01-02,白城,141.82,1.25,29.2,29.02,139.03,107.1,17.85
2017-01-02,白山,122.78,1.53,27.75,62.39,120.33,92.22,38.5
2017-01-02,辽源,81.78,1.18,37.6,56.25,71.22,59.9,33.48
2017-01-02,通化,90.21,1.48,28.63,51.21,94.55,66.61,42.95
2017-01-02,长春,103.3,1.77,47.97,35.96,95.94,76.17,59.66
2017-01-03,吉林,74.78,1.18,32.06,63.55,76.17,53.06,29.99
2017-01-03,四平,67.82,1.4,42.18,40.35,72.81,47.97,57.35
2017-01-03,延边州,113.72,1.48,47.83,37.94,92.16,86.35,39.65
2017-01-03,松原,73.83,1.14,22.17,39.04,78.35,51.52,38.67
2017-01-03,白城,50.32,0.68,19.2,37.11,53.0,32.93,14.2
2017-01-03,白山,117.27,1.79,41.73,37.19,118.23,88.4,83.08
2017-01-03,辽源,82.85,1.28,47.25,47.38,70.83,61.02,49.73
2017-01-03,通化,86.71,1.27,51.04,23.54,95.94,63.42,80.15
2017-01-03,长春,81.14,1.7,46.99,36.57,77.55,58.95,54.55
2017-01-04,吉林,104.54,1.36,44.49,47.34,105.05,77.04,39.2
2017-01-04,四平,78.33,1.53,49.12,34.54,82.46,53.39,40.43
2017-01-04,延边州,38.75,0.83,18.71,72.79,33.97,19.68,23.11
2017-01-04,松原,211.6,2.18,49.33,26.96,207.62,168.12,54.42
2017-01-04,白城,119.19,1.35,36.54,28.48,121.59,89.98,21.35
2017-01-04,白山,108.79,1.66,50.65,30.1,113.89,81.33,130.15
2017-01-04,辽源,77.98,1.24,52.06,40.06,71.21,56.94,50.33
2017-01-04,通化,106.54,2.23,71.69,9.89,130.52,78.44,122.06
2017-01-04,长春,104.21,1.78,67.97,22.6,98.52,74.55,72.52
2017-01-05,吉林,180.36,2.03,66.69,41.73,177.49,144.56,40.38
2017-01-05,四平,74.97,1.01,51.15,36.81,73.19,54.18,51.5
2017-01-05,延边州,81.51,1.23,43.36,44.56,67.77,58.68,33.96
2017-01-05,松原,120.56,1.35,43.08,31.77,124.31,90.56,74.77
2017-01-05,白城,130.38,1.49,31.56,23.49,132.85,99.54,17.08
2017-01-05,白山,98.25,1.41,52.08,22.98,97.21,72.88,140.73
2017-01-05,辽源,125.35,1.48,58.0,35.19,112.42,93.88,62.6
2017-01-05,通化,86.69,1.67,68.15,10.09,104.34,62.57,126.15
2017-01-05,长春,144.05,1.97,68.91,27.27,119.56,109.52,61.41
2017-01-06,吉林,143.38,1.87,56.48,46.52,150.22,112.49,46.26
2017-01-06,四平,103.17,1.87,72.39,26.58,104.86,76.17,87.33
