time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,四平,184.21,2.26,45.23,31.68,196.56,140.51,64.79
2017-01-02,四平,108.35,1.75,41.1,35.27,114.83,80.7,38.63
2017-01-03,四平,67.82,1.4,42.18,40.35,72.81,47.97,57.35
2017-01-04,四平,78.33,1.53,49.12,34.54,82.46,53.39,40.43
2017-01-05,四平,74.97,1.01,51.15,36.81,73.19,54.18,51.5
2017-01-06,四平,103.17,1.87,72.39,26.58,104.86,76.17,87.33
2017-01-07,四平,250.23,2.76,91.43,22.3,261.19,200.23,83.67
2017-01-08,四平,267.92,2.1,76.76,33.11,275.19,218.01,84.74
2017-01-09,四平,72.59,0.71,28.28,47.13,72.96,46.45,28.62
2017-01-10,四平,49.17,0.8,17.96,53.93,54.15,22.49,24.01
2017-01-11,四平,36.53,0.87,24.65,50.0,35.8,22.76,29.56
2017-01-12,四平,45.02,0.85,18.9,52.59,47.41,21.52,27.56
2017-01-13,四平,65.53,0.81,21.35,48.32,80.17,27.25,39.54
2017-01-14,四平,53.02,0.82,21.65,44.63,57.06,25.9,26.59
2017-01-15,四平,85.49,1.33,47.99,28.57,89.32,61.58,45.89
2017-01-16,四平,134.72,1.79,57.49,27.5,121.26,102.07,57.89
2017-01-17,四平,126.78,1.71,58.4,25.96,126.64,95.85,96.58
2017-01-18,四平,143.94,1.55,38.92,34.11,132.72,108.9,45.32
2017-01-19,四平,81.21,1.23,30.9,38.56,86.9,58.33,46.38
2017-01-20,四平,71.79,1.14,26.08,39.12,78.53,47.96,33.35
2017-01-21,四平,107.83,1.28,31.32,48.58,136.56,38.62,51.0
2017-01-22,四平,103.73,1.7,23.81,38.71,102.53,76.84,35.3
2017-01-23,四平,109.69,1.78,44.57,47.26,107.1,82.31,57.58
2017-01-24,四平,110.64,1.77,52.14,38.26,116.47,82.62,109.83
2017-01-25,四平,79.6,1.21,40.67,49.69,85.24,57.69,84.88
2017-01-26,四平,118.88,1.31,29.96,62.86,170.61,65.08,62.51
2017-01-27,四平,67.33,0.92,15.07,57.36,85.72,25.88,44.88
2017-01-28,四平,101.81,1.21,26.17,46.14,106.47,75.92,61.51
2017-01-29,四平,71.22,1.05,18.19,53.51,81.12,46.52,25.33
2017-01-30,四平,69.03,1.17,25.88,46.29,69.58,48.82,29.89
2017-01-31,四平,53.83,1.12,23.58,53.56,55.96,34.78,56.79
2017-02-01,四平,56.17,0.95,14.93,57.49,65.33,25.24,34.75
2017-02-02,四平,72.97,1.39,30.64,48.89,79.15,52.08,66.36
2017-02-03,四平,137.47,2.83,58.14,41.24,149.75,103.97,98.78
2017-02-04,四平,163.07,2.16,36.99,61.51,168.06,124.17,69.14
2017-02-05,四平,117.8,1.39,21.07,60.35,116.75,87.83,23.86
2017-02-06,四平,42.81,1.11,24.18,48.11,41.5,29.0,23.56
2017-02-07,四平,75.58,1.62,44.46,33.41,75.64,54.65,51.06
2017-02-08,四平,76.47,1.56,34.49,36.33,76.65,54.75,37.42
2017-02-09,四平,43.21,1.07,16.88,48.29,43.78,19.71,17.32
2017-02-10,四平,45.92,1.04,19.42,47.06,47.24,25.79,19.79
2017-02-11,四平,74.44,1.06,27.89,42.9,78.18,52.22,37.47
2017-02-12,四平,141.33,1.44,52.51,38.35,143.57,106.94,77.65
2017-02-13,四平,130.57,1.74,57.26,35.96,128.99,98.29,47.15
2017-02-14,四平,94.19,1.28,50.57,45.46,94.66,69.72,56.78
2017-02-15,四平,88.04,1.43,31.71,68.07,97.64,64.29,64.74
2017-02-16,四平,90.27,0.8,14.54,67.97,123.14,36.67,22.3
2017-02-17,四平,48.83,0.82,15.94,60.68,55.25,16.5,17.49
2017-02-18,四平,52.07,1.03,26.97,52.94,53.44,32.86,28.42
2017-02-19,四平,67.11,0.94,22.72,54.69,83.19,37.07,31.6
2017-02-20,四平,43.74,0.89,23.07,54.06,44.3,26.72,23.39
2017-02-21,四平,51.62,0.97,35.67,47.72,53.74,29.83,56.38
2017-02-22,四平,52.83,1.12,29.92,48.15,55.04,33.81,28.5
2017-02-23,四平,48.68,0.94,29.07,52.93,47.59,29.79,28.38
2017-02-24,四平,53.76,0.97,40.52,50.39,54.98,36.51,56.88
2017-02-25,四平,53.41,0.88,37.1,49.19,52.47,35.95,46.0
2017-02-26,四平,51.62,0.76,41.52,44.56,49.73,35.0,36.46
2017-02-27,四平,53.8,0.92,36.0,58.28,54.54,33.43,49.21
2017-02-28,四平,56.44,1.02,24.04,60.12,55.4,37.96,31.72
2017-03-01,四平,33.25,0.86,16.9,56.39,32.36,14.31,18.12
2017-03-02,四平,53.7,1.04,34.86,46.94,58.78,25.03,40.49
2017-03-03,四平,66.42,1.29,40.03,49.57,76.01,42.88,44.22
2017-03-04,四平,68.61,0.98,30.11,57.89,77.38,44.88,33.5
2017-03-05,四平,54.64,0.88,24.12,55.21,57.59,36.33,31.58
2017-03-06,四平,44.79,0.88,30.89,47.31,44.89,27.22,28.26
2017-03-07,四平,37.35,0.75,19.43,54.94,37.89,19.46,22.12
2017-03-08,四平,57.49,0.84,29.1,49.99,63.68,34.0,23.97
2017-03-09,四平,55.29,0.92,28.14,57.97,60.91,32.1,28.93
2017-03-10,四平,91.83,1.3,52.65,56.57,105.89,66.46,70.88
2017-03-11,四平,138.39,1.58,53.81,81.58,175.08,104.68,66.64
2017-03-12,四平,55.99,0.81,21.37,67.0,62.55,28.9,25.79
2017-03-13,四平,60.53,1.0,25.76,69.89,66.39,35.89,31.21
2017-03-14,四平,100.85,1.5,40.59,57.23,118.39,75.07,39.41
2017-03-15,四平,89.06,1.25,46.36,58.78,101.2,63.9,45.87
2017-03-16,四平,112.42,1.49,52.61,67.76,132.25,83.6,59.74
2017-03-17,四平,192.33,2.11,66.54,65.61,228.26,150.81,93.33
2017-03-18,四平,147.69,1.42,34.83,68.44,158.69,110.93,41.14
2017-03-19,四平,68.54,0.96,33.08,57.2,78.84,39.77,44.69
2017-03-20,四平,90.93,1.16,35.29,52.12,109.76,56.96,32.33
2017-03-21,四平,122.73,1.5,43.39,47.2,151.82,90.01,32.7
2017-03-22,四平,93.64,1.18,32.54,64.03,110.21,59.61,32.56
2017-03-23,四平,136.46,1.2,41.82,56.81,176.23,78.03,38.47
2017-03-24,四平,113.65,1.24,45.42,57.12,152.86,66.55,37.83
2017-03-25,四平,92.68,1.27,47.49,65.9,113.14,65.21,44.81
2017-03-26,四平,137.03,1.6,58.24,63.64,165.76,104.68,47.65
2017-03-27,四平,155.65,1.54,56.77,60.72,188.79,119.13,46.07
2017-03-28,四平,135.44,1.27,36.32,69.06,170.69,91.28,40.62
2017-03-29,四平,78.64,1.17,23.43,71.81,102.87,42.06,29.5
2017-03-30,四平,127.61,1.33,35.04,64.79,158.07,92.6,28.21
2017-03-31,四平,141.07,1.73,40.46,56.07,165.21,104.28,27.6
2017-04-01,四平,158.07,1.89,42.22,68.52,173.32,121.03,32.62
2017-04-02,四平,126.62,1.91,48.14,72.31,148.56,92.56,31.51
2017-04-03,四平,114.04,1.79,37.32,83.2,134.01,83.94,32.83
2017-04-04,四平,114.94,1.64,25.66,124.48,175.86,57.07,30.45
2017-04-05,四平,87.46,1.64,25.58,102.32,113.67,55.08,26.67
2017-04-06,四平,83.94,1.32,23.44,49.87,82.27,61.4,18.87
2017-04-07,四平,127.6,1.66,32.74,63.21,132.51,96.35,20.83
2017-04-08,四平,59.53,1.03,16.47,64.58,64.06,33.67,14.39
2017-04-09,四平,66.26,1.05,29.17,57.44,77.19,37.39,18.88
2017-04-10,四平,75.82,1.1,25.49,78.26,98.0,38.53,20.43
2017-04-11,四平,61.79,1.07,13.28,66.51,73.62,18.51,12.68
2017-04-12,四平,50.82,0.82,17.21,59.33,54.65,16.56,13.69
2017-04-13,四平,90.04,0.98,31.83,61.46,128.69,33.56,22.24
2017-04-14,四平,77.1,1.2,21.5,98.86,96.25,50.72,22.44
2017-04-15,四平,78.76,1.37,26.15,83.73,99.54,49.58,22.44
2017-04-16,四平,76.22,1.07,25.22,83.01,97.89,37.75,18.47
2017-04-17,四平,98.96,1.09,31.92,69.21,118.62,63.43,23.18
2017-04-18,四平,63.61,0.98,23.03,63.23,77.22,23.0,12.86
2017-04-19,四平,44.12,0.95,23.67,62.71,45.43,21.61,14.79
2017-04-20,四平,67.71,1.39,34.44,49.88,82.78,41.33,17.03
2017-04-21,四平,76.86,1.33,36.5,52.28,94.03,51.32,15.49
2017-04-22,四平,84.25,1.01,27.96,72.6,117.49,30.68,18.9
2017-04-23,四平,43.85,0.68,18.26,67.15,48.17,14.69,13.17
2017-04-24,四平,47.84,0.92,23.18,64.18,52.42,18.67,13.56
2017-04-25,四平,41.99,0.78,19.46,61.17,42.69,17.62,9.31
2017-04-26,四平,38.94,0.79,20.19,60.81,38.81,13.25,10.41
2017-04-27,四平,52.96,0.73,35.19,66.76,59.83,23.12,13.28
2017-04-28,四平,62.0,0.79,46.4,62.31,75.49,31.68,17.4
2017-04-29,四平,156.43,0.51,25.77,81.72,227.49,42.07,14.91
2017-04-30,四平,98.67,0.51,24.6,67.07,130.53,29.72,12.94
2017-05-01,四平,63.67,0.66,39.52,69.75,76.64,32.1,15.9
2017-05-02,四平,81.04,0.62,27.37,102.88,111.87,32.59,16.78
2017-05-03,四平,73.17,0.63,14.19,115.81,96.71,30.9,13.38
2017-05-04,四平,55.62,0.8,19.44,85.26,55.04,34.57,14.72
2017-05-05,四平,132.68,0.66,14.01,80.72,196.4,52.1,11.79
2017-05-06,四平,332.89,0.4,7.04,75.99,653.88,72.92,8.06
2017-05-07,四平,133.18,0.44,13.51,79.74,189.61,34.53,8.89
