time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,松原,215.89,3.27,51.38,21.46,222.0,172.24,35.59
2017-01-02,松原,181.85,1.93,33.02,35.25,170.1,139.47,30.9
2017-01-03,松原,73.83,1.14,22.17,39.04,78.35,51.52,38.67
2017-01-04,松原,211.6,2.18,49.33,26.96,207.62,168.12,54.42
2017-01-05,松原,120.56,1.35,43.08,31.77,124.31,90.56,74.77
2017-01-06,松原,157.02,1.89,50.17,27.77,157.04,120.75,78.19
2017-01-07,松原,253.38,2.36,65.27,25.96,250.36,203.56,72.4
2017-01-08,松原,281.69,2.55,68.79,29.71,288.4,234.85,76.9
2017-01-09,松原,54.93,0.83,13.59,45.33,57.35,28.48,13.85
2017-01-10,松原,34.0,0.79,10.6,41.44,33.77,12.42,12.88
2017-01-11,松原,34.96,0.84,17.19,33.65,34.98,17.58,16.17
2017-01-12,松原,47.75,0.9,15.02,35.08,46.15,25.35,18.02
2017-01-13,松原,40.92,0.75,8.42,35.31,41.65,15.25,8.4
2017-01-14,松原,38.19,0.75,6.96,35.19,40.07,15.4,9.65
2017-01-15,松原,48.53,1.12,20.4,29.66,49.74,30.72,17.17
2017-01-16,松原,163.19,1.97,47.29,18.33,169.17,126.96,50.0
2017-01-17,松原,173.21,2.02,51.46,22.52,172.23,132.58,60.54
2017-01-18,松原,151.31,1.39,28.4,26.56,145.91,114.58,27.33
2017-01-19,松原,73.48,1.1,20.08,29.98,75.77,52.19,23.48
2017-01-20,松原,64.27,0.98,20.83,28.88,65.87,44.96,24.71
2017-01-21,松原,90.48,1.15,30.08,27.23,92.89,66.6,60.98
2017-01-22,松原,85.08,1.28,19.52,31.27,80.08,61.94,22.83
2017-01-23,松原,66.08,1.09,19.4,30.75,65.15,46.98,22.94
2017-01-24,松原,69.98,1.06,17.9,29.54,68.13,49.79,22.94
2017-01-25,松原,108.1,1.46,25.19,32.85,110.19,81.08,50.19
2017-01-26,松原,108.0,1.46,19.68,34.71,139.0,76.88,26.15
2017-01-27,松原,45.62,0.83,9.23,40.83,45.58,24.81,23.38
2017-01-28,松原,195.55,1.16,22.52,32.74,193.28,160.33,69.1
2017-01-29,松原,61.43,0.84,10.26,38.72,57.52,41.91,30.04
2017-01-30,松原,41.0,0.88,8.4,34.23,39.55,24.71,17.48
2017-01-31,松原,50.75,0.88,9.52,38.54,52.27,31.96,20.38
2017-02-01,松原,37.02,0.7,5.69,51.73,39.04,11.96,14.6
2017-02-02,松原,46.08,0.87,13.25,43.85,45.17,23.77,25.06
2017-02-03,松原,67.26,1.03,15.29,43.14,75.0,40.69,26.33
2017-02-04,松原,212.09,2.6,35.35,47.74,212.13,167.07,43.26
2017-02-05,松原,117.83,1.1,17.35,60.62,115.85,88.54,23.08
2017-02-06,松原,36.5,0.89,16.15,49.33,38.18,20.77,17.08
2017-02-07,松原,79.17,1.17,32.28,30.41,84.74,56.22,25.15
2017-02-08,松原,74.44,1.05,27.79,35.77,79.46,50.71,25.4
2017-02-09,松原,38.44,0.69,10.96,50.48,37.47,18.94,15.12
2017-02-10,松原,34.56,0.72,8.17,56.79,34.46,15.62,15.08
2017-02-11,松原,42.9,0.84,11.69,52.67,44.22,26.36,19.93
2017-02-12,松原,86.35,1.05,24.85,43.17,98.23,62.79,29.81
2017-02-13,松原,99.67,1.3,33.48,47.31,99.62,73.27,37.4
