time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,辽源,116.79,1.59,41.97,56.61,101.08,88.08,50.84
2017-01-02,辽源,81.78,1.18,37.6,56.25,71.22,59.9,33.48
2017-01-03,辽源,82.85,1.28,47.25,47.38,70.83,61.02,49.73
2017-01-04,辽源,77.98,1.24,52.06,40.06,71.21,56.94,50.33
2017-01-05,辽源,125.35,1.48,58.0,35.19,112.42,93.88,62.6
2017-01-06,辽源,162.38,1.98,75.77,32.79,145.81,124.62,101.02
2017-01-07,辽源,260.98,2.97,81.67,23.48,242.22,211.3,77.78
2017-01-08,辽源,285.4,2.84,71.5,41.83,267.73,235.4,82.65
2017-01-09,辽源,79.41,0.91,22.13,74.26,67.85,55.48,35.15
2017-01-10,辽源,39.62,0.79,17.83,69.92,34.98,19.85,33.38
2017-01-11,辽源,61.88,1.03,29.52,54.3,57.58,43.65,38.15
2017-01-12,辽源,55.12,0.8,18.29,62.95,51.17,37.06,38.88
2017-01-13,辽源,52.35,0.77,15.06,61.15,52.27,27.65,31.77
2017-01-14,辽源,34.08,0.7,19.56,53.9,31.33,19.4,43.88
2017-01-15,辽源,60.35,1.06,34.1,40.29,52.48,42.35,52.08
2017-01-16,辽源,156.19,1.82,57.6,21.96,141.54,118.83,86.04
2017-01-17,辽源,162.02,1.78,60.19,28.73,145.04,124.42,91.48
2017-01-18,辽源,147.94,1.78,51.81,29.96,125.6,112.19,52.23
2017-01-19,辽源,132.63,1.57,44.63,36.7,113.84,100.58,48.05
2017-01-20,辽源,90.23,1.35,35.27,39.85,78.02,66.48,45.65
2017-01-21,辽源,115.75,1.32,40.5,37.46,108.62,82.46,45.21
2017-01-22,辽源,116.94,1.25,32.06,45.54,108.88,85.4,32.08
2017-01-23,辽源,133.42,1.52,42.92,38.54,116.5,101.02,53.23
2017-01-24,辽源,151.5,1.87,52.17,30.56,135.1,115.65,67.02
2017-01-25,辽源,160.19,1.91,55.44,36.65,140.81,123.1,64.88
2017-01-26,辽源,91.24,1.04,19.03,78.53,87.15,59.0,35.94
2017-01-27,辽源,50.33,0.68,10.39,69.85,52.8,21.52,23.74
2017-01-28,辽源,163.33,1.11,19.6,60.02,164.02,144.83,47.71
2017-01-29,辽源,52.7,0.92,12.85,67.72,45.3,37.7,22.89
2017-01-30,辽源,96.75,1.26,25.69,47.0,85.29,72.44,39.92
2017-01-31,辽源,91.88,1.32,23.98,55.48,81.81,68.17,43.81
2017-02-01,辽源,42.06,0.77,5.5,74.92,38.35,20.94,17.85
2017-02-02,辽源,62.31,1.42,24.46,56.1,54.67,44.23,35.73
2017-02-03,辽源,164.31,2.7,57.29,28.42,144.48,126.67,70.12
2017-02-04,辽源,169.5,2.08,48.78,54.7,144.65,128.89,63.41
2017-02-05,辽源,132.94,1.51,21.54,76.17,112.25,99.81,28.35
2017-02-06,辽源,47.77,1.09,22.35,58.71,39.75,33.71,28.46
2017-02-07,辽源,115.7,1.54,43.09,37.17,102.67,86.59,61.22
2017-02-08,辽源,96.21,1.35,32.54,42.4,83.5,70.35,39.96
2017-02-09,辽源,45.33,0.83,21.79,53.94,43.31,29.98,21.25
2017-02-10,辽源,45.42,0.81,17.83,57.6,46.0,28.25,24.35
2017-02-11,辽源,66.54,0.94,18.67,59.46,58.44,49.12,30.48
2017-02-12,辽源,149.46,1.58,45.33,46.77,131.48,114.08,49.25
2017-02-13,辽源,135.33,1.69,46.15,48.15,117.81,102.29,39.1
2017-02-14,辽源,141.67,1.56,52.69,51.9,122.71,107.62,45.56
2017-02-15,辽源,93.0,1.29,31.02,90.58,82.42,69.02,40.04
2017-02-16,辽源,69.17,0.87,14.89,83.52,75.42,39.38,17.62
2017-02-17,辽源,45.43,0.7,13.07,74.93,45.13,19.48,20.93
2017-02-18,辽源,66.02,0.94,33.69,50.98,58.77,47.06,32.48
2017-02-19,辽源,70.94,0.91,32.17,55.94,75.79,49.23,35.31
2017-02-20,辽源,48.77,0.9,23.38,67.79,43.23,33.69,25.25
2017-02-21,辽源,81.94,1.17,44.6,46.33,68.46,59.29,38.67
2017-02-22,辽源,41.35,0.91,20.46,69.88,34.21,28.02,19.06
2017-02-23,辽源,49.19,0.88,24.27,66.78,39.69,34.46,23.15
2017-02-24,辽源,50.37,0.97,24.5,71.65,42.35,35.5,25.91
2017-02-25,辽源,43.9,1.03,21.43,67.52,36.04,30.27,32.45
2017-02-26,辽源,66.88,1.36,19.62,44.52,56.1,48.35,28.23
2017-02-27,辽源,74.04,1.27,19.23,63.67,61.02,53.52,31.6
2017-02-28,辽源,59.88,1.1,10.71,97.71,50.25,42.71,23.52
2017-03-01,辽源,30.06,0.82,6.67,70.81,26.0,14.27,19.98
2017-03-02,辽源,41.72,1.06,15.39,57.76,34.98,26.46,23.24
2017-03-03,辽源,64.85,1.43,25.2,52.71,59.29,46.23,32.62
2017-03-04,辽源,64.71,1.09,24.63,61.96,57.88,46.0,27.0
2017-03-05,辽源,44.08,0.99,21.23,72.5,35.81,30.85,25.12
2017-03-06,辽源,50.67,1.09,22.85,57.33,41.83,35.25,24.71
2017-03-07,辽源,32.75,0.97,12.85,69.65,28.73,20.67,13.29
2017-03-08,辽源,56.5,1.01,19.91,74.22,49.89,38.83,17.48
2017-03-09,辽源,52.44,0.94,22.31,66.9,46.19,35.92,20.02
2017-03-10,辽源,76.92,1.38,44.23,46.94,68.08,55.81,36.92
2017-03-11,辽源,110.29,1.58,53.9,60.83,104.27,82.73,47.54
2017-03-12,辽源,57.9,0.86,17.62,70.46,59.17,36.73,14.38
2017-03-13,辽源,70.17,1.12,26.21,65.75,60.75,50.75,23.17
2017-03-14,辽源,78.81,1.47,35.38,56.4,67.48,57.73,23.38
2017-03-15,辽源,88.22,1.59,43.26,51.8,79.5,64.98,28.87
2017-03-16,辽源,94.6,1.72,46.06,58.21,85.9,70.27,33.02
2017-03-17,辽源,152.26,1.89,55.48,71.98,142.83,116.15,41.02
2017-03-18,辽源,171.75,1.54,40.98,91.31,152.85,131.56,32.6
2017-03-19,辽源,81.12,0.99,33.1,70.65,76.04,58.08,28.56
2017-03-20,辽源,80.96,1.12,31.46,57.67,76.25,57.38,18.46
2017-03-21,辽源,73.19,1.07,30.56,61.67,67.54,53.38,20.88
2017-03-22,辽源,78.48,1.04,32.85,74.0,68.81,57.4,19.73
2017-03-23,辽源,109.94,1.19,38.98,52.25,99.1,82.21,21.85
2017-03-24,辽源,103.06,1.19,40.75,50.27,94.88,76.79,22.92
2017-03-25,辽源,93.38,1.24,47.96,51.31,88.9,69.31,37.73
2017-03-26,辽源,116.35,1.27,43.38,62.33,108.06,87.4,31.31
