time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,通化,125.13,2.3,47.23,36.61,138.71,94.68,85.0
2017-01-02,通化,90.21,1.48,28.63,51.21,94.55,66.61,42.95
2017-01-03,通化,86.71,1.27,51.04,23.54,95.94,63.42,80.15
2017-01-04,通化,106.54,2.23,71.69,9.89,130.52,78.44,122.06
2017-01-05,通化,86.69,1.67,68.15,10.09,104.34,62.57,126.15
2017-01-06,通化,120.54,2.27,75.54,6.82,143.98,90.6,150.44
2017-01-07,通化,146.3,3.32,79.11,4.42,169.78,110.83,135.02
2017-01-08,通化,124.98,1.78,73.41,21.17,129.46,94.59,110.66
2017-01-09,通化,71.87,0.84,34.39,47.41,66.3,51.28,35.2
2017-01-10,通化,39.17,0.63,35.56,40.56,40.66,23.27,45.23
2017-01-11,通化,56.94,1.1,53.98,24.3,62.67,37.94,92.98
2017-01-12,通化,56.43,0.9,47.98,29.6,63.91,36.39,80.96
2017-01-13,通化,71.7,0.79,38.46,35.21,94.59,35.98,71.72
2017-01-14,通化,39.65,0.58,23.04,41.44,42.53,17.04,26.4
2017-01-15,通化,70.75,1.2,51.92,18.61,74.87,50.23,84.83
2017-01-16,通化,94.25,2.19,68.02,10.82,106.48,69.54,136.21
2017-01-17,通化,106.56,1.96,71.75,13.97,118.02,79.15,132.38
2017-01-18,通化,105.85,1.71,64.65,19.32,111.83,79.38,109.54
2017-01-19,通化,135.06,2.11,55.27,23.47,137.06,101.69,111.27
2017-01-20,通化,50.27,0.81,25.17,45.42,49.9,35.1,36.46
2017-01-21,通化,81.77,1.32,43.79,27.68,91.04,57.96,80.5
2017-01-22,通化,60.96,0.74,25.02,43.42,66.4,33.21,36.08
2017-01-23,通化,62.65,1.22,47.71,27.39,68.33,44.85,63.15
2017-01-24,通化,103.29,1.86,64.67,14.8,112.12,76.44,114.71
2017-01-25,通化,120.12,2.41,69.62,16.79,133.83,90.25,123.67
2017-01-26,通化,98.74,2.07,44.76,45.38,112.24,70.32,70.85
2017-01-27,通化,82.33,0.81,30.46,43.96,101.52,35.5,49.08
2017-01-28,通化,292.0,2.5,71.83,8.22,385.04,306.1,163.04
2017-01-29,通化,103.48,1.79,50.13,32.16,97.24,77.11,70.89
2017-01-30,通化,62.1,1.15,41.44,34.55,61.29,43.65,76.31
2017-01-31,通化,81.65,1.89,58.96,19.75,85.96,59.19,96.04
2017-02-01,通化,65.15,1.37,48.88,25.04,67.17,44.46,78.27
2017-02-02,通化,88.89,1.84,61.87,22.86,103.81,64.09,97.43
2017-02-03,通化,107.19,2.41,75.71,20.12,117.15,78.77,108.1
2017-02-04,通化,137.87,2.75,92.09,18.85,152.17,104.57,107.0
2017-02-05,通化,115.23,1.85,52.6,48.93,108.33,86.33,46.02
2017-02-06,通化,42.25,0.97,28.81,48.02,39.42,27.4,35.69
2017-02-07,通化,99.04,2.23,77.72,11.38,112.07,73.41,143.7
2017-02-08,通化,83.35,2.09,49.0,37.33,92.46,61.04,87.94
2017-02-09,通化,38.31,0.98,28.08,40.15,39.04,22.23,31.65
2017-02-10,通化,40.12,0.96,25.27,40.54,39.02,25.9,53.56
2017-02-11,通化,52.85,1.1,28.71,41.0,50.12,36.33,40.0
2017-02-12,通化,101.57,1.55,52.83,30.3,108.37,75.61,87.48
2017-02-13,通化,87.0,1.65,60.02,30.48,92.81,63.6,96.08
2017-02-14,通化,84.65,1.92,65.43,25.13,93.67,62.04,92.63
2017-02-15,通化,98.6,2.09,51.4,50.05,108.19,73.46,70.08
2017-02-16,通化,59.35,1.03,20.85,72.33,57.54,40.23,15.96
2017-02-17,通化,43.9,1.14,29.42,48.06,47.75,15.73,20.92
2017-02-18,通化,58.33,1.68,52.31,30.93,59.48,41.15,79.38
2017-02-19,通化,74.21,1.89,54.44,31.52,88.19,49.31,78.06
2017-02-20,通化,52.56,1.31,30.23,52.96,59.58,28.0,17.81
2017-02-21,通化,77.15,1.93,70.15,22.7,80.42,55.6,108.08
2017-02-22,通化,55.17,1.44,47.65,40.51,51.21,37.35,52.08
2017-02-23,通化,37.85,0.88,37.69,45.19,34.52,22.75,44.65
2017-02-24,通化,57.58,1.22,54.4,35.08,59.88,40.1,62.17
2017-02-25,通化,69.42,1.44,66.35,29.23,69.77,49.0,64.62
2017-02-26,通化,67.79,1.32,63.77,30.02,69.71,47.1,64.0
2017-02-27,通化,73.19,1.41,57.35,40.27,80.02,51.46,59.94
2017-02-28,通化,45.71,0.89,21.05,71.56,44.26,31.05,16.66
2017-03-01,通化,44.23,0.75,22.35,61.04,43.25,29.4,20.33
2017-03-02,通化,41.69,0.99,41.74,37.95,42.5,24.48,58.71
2017-03-03,通化,62.81,1.51,47.95,41.81,76.17,37.05,56.02
2017-03-04,通化,63.98,1.49,58.5,35.87,72.6,42.4,57.25
2017-03-05,通化,41.49,0.98,17.81,76.15,40.57,27.7,16.28
2017-03-06,通化,40.4,1.02,28.21,52.65,41.96,25.79,34.71
2017-03-07,通化,44.67,0.96,32.15,43.46,45.44,27.46,38.17
2017-03-08,通化,49.89,1.4,35.76,43.71,53.98,27.87,31.83
2017-03-09,通化,53.83,1.47,42.72,39.93,59.57,31.46,41.61
2017-03-10,通化,64.12,1.74,52.1,39.6,73.69,42.85,49.46
2017-03-11,通化,72.92,1.95,60.19,43.25,91.79,49.73,55.52
2017-03-12,通化,77.88,1.73,50.02,44.9,88.52,53.71,37.33
2017-03-13,通化,45.35,1.57,32.69,52.65,45.04,27.98,27.92
2017-03-14,通化,53.87,1.4,37.74,44.57,59.4,34.51,36.7
2017-03-15,通化,58.61,1.8,47.11,38.98,67.93,37.26,44.76
2017-03-16,通化,63.02,1.81,50.55,38.47,76.43,39.02,49.83
2017-03-17,通化,85.15,2.04,64.74,44.65,111.93,59.93,49.41
2017-03-18,通化,111.29,1.95,56.38,69.04,128.6,83.52,32.31
2017-03-19,通化,137.04,2.73,60.4,38.38,157.38,103.94,47.31
2017-03-20,通化,85.83,1.84,49.85,41.98,105.46,61.52,40.94
2017-03-21,通化,59.46,1.91,41.5,41.56,69.75,37.85,38.73
2017-03-22,通化,65.59,1.71,39.72,47.82,74.43,44.43,32.22
2017-03-23,通化,63.04,1.48,36.06,46.72,67.51,42.57,30.74
2017-03-24,通化,62.5,1.84,40.07,43.24,73.54,43.15,38.89
2017-03-25,通化,66.4,2.12,43.89,43.69,80.6,44.82,40.27
2017-03-26,通化,73.92,2.48,49.35,43.08,92.81,49.5,50.81
2017-03-27,通化,74.87,2.0,43.33,45.58,89.38,52.84,39.8
2017-03-28,通化,68.08,1.76,36.23,56.69,82.12,46.04,32.6
2017-03-29,通化,64.52,1.34,20.79,90.77,72.33,40.73,10.73
2017-03-30,通化,76.81,1.46,34.31,59.4,94.64,50.57,24.83
2017-03-31,通化,80.27,1.76,40.98,52.17,94.25,57.6,28.31
2017-04-01,通化,76.37,1.55,43.91,53.61,89.93,54.09,27.35
2017-04-02,通化,87.15,2.23,47.0,51.4,106.65,60.48,32.96
2017-04-03,通化,78.5,1.98,54.04,48.28,103.09,51.59,37.54
2017-04-04,通化,85.17,2.36,39.17,77.47,115.22,56.94,30.36
2017-04-05,通化,76.67,1.54,37.42,86.58,95.4,52.85,21.35
2017-04-06,通化,74.26,1.67,36.52,53.41,89.54,52.24,28.43
2017-04-07,通化,93.69,1.76,26.9,63.29,100.29,66.58,16.02
2017-04-08,通化,50.85,1.57,18.92,68.04,53.42,31.69,8.71
2017-04-09,通化,66.21,2.12,35.9,44.0,86.81,37.19,25.06
2017-04-10,通化,65.15,1.94,42.33,42.26,81.91,39.22,33.59
2017-04-11,通化,63.19,1.33,22.96,56.62,76.06,22.88,8.4
2017-04-12,通化,55.06,1.5,23.62,46.58,62.38,15.69,17.02
2017-04-13,通化,53.44,1.72,29.35,52.35,58.62,23.98,18.48
2017-04-14,通化,52.6,1.3,14.96,92.96,57.08,32.94,7.19
2017-04-15,通化,52.83,1.62,17.1,88.19,58.75,30.94,7.35
2017-04-16,通化,78.19,2.11,48.96,41.64,99.23,45.15,15.15
2017-04-17,通化,52.98,2.05,37.62,52.53,63.79,28.42,16.92
2017-04-18,通化,30.75,1.25,16.43,61.43,28.0,11.39,4.18
2017-04-19,通化,30.88,1.16,19.35,55.1,30.0,12.81,5.23
2017-04-20,通化,47.23,1.13,19.98,60.23,55.31,17.67,3.29
2017-04-21,通化,48.54,1.38,30.96,41.88,53.02,24.08,6.35
2017-04-22,通化,53.71,1.4,26.91,54.58,62.67,23.17,6.62
2017-04-23,通化,41.15,1.2,16.12,80.1,43.7,20.06,3.98
2017-04-24,通化,34.0,1.6,34.6,46.83,32.46,21.08,5.85
2017-04-25,通化,35.88,1.02,21.29,50.12,35.69,15.88,4.85
2017-04-26,通化,46.27,1.35,35.83,25.73,52.15,20.92,8.58
2017-04-27,通化,51.23,1.24,37.21,31.74,59.71,19.44,12.25
2017-04-28,通化,64.44,1.46,40.79,35.08,79.27,27.79,14.98
2017-04-29,通化,62.78,1.37,27.65,49.74,74.22,31.39,7.72
2017-04-30,通化,65.93,0.93,28.34,53.77,84.78,20.68,5.59
2017-05-01,通化,63.09,1.49,41.77,46.05,76.91,29.95,12.27
2017-05-02,通化,58.8,1.11,33.72,66.5,68.63,26.17,9.13
2017-05-03,通化,63.69,1.23,30.54,89.47,77.83,33.46,10.73
2017-05-04,通化,54.25,1.01,23.33,73.48,57.59,28.0,7.92
2017-05-05,通化,46.93,1.03,15.35,57.51,51.89,20.18,6.5
2017-05-06,通化,159.25,0.91,10.85,78.83,241.43,24.45,1.93
2017-05-07,通化,109.31,0.85,11.98,76.13,158.52,24.19,2.31
2017-05-08,通化,56.92,1.44,37.44,68.46,65.12,22.46,9.88
2017-05-09,通化,84.65,2.13,32.83,86.04,118.62,44.81,14.65
2017-05-10,通化,58.1,1.36,19.21,87.1,66.04,31.88,7.02
2017-05-11,通化,51.96,0.9,10.19,133.12,54.15,25.29,3.77
2017-05-12,通化,80.68,1.14,20.66,72.45,111.36,22.68,3.57
2017-05-13,通化,53.58,1.22,34.31,41.58,66.21,22.58,9.15
2017-05-14,通化,22.33,0.95,11.25,69.48,10.89,6.18,1.48
2017-05-15,通化,28.43,1.07,17.86,59.93,23.37,12.14,3.61
2017-05-16,通化,52.64,1.23,32.0,43.93,58.84,28.84,6.14
2017-05-17,通化,52.8,1.33,23.85,83.43,55.37,24.63,7.11
2017-05-18,通化,78.08,1.29,21.88,150.15,81.25,38.4,10.85
2017-05-19,通化,95.92,1.1,13.94,200.77,71.1,38.1,10.33
2017-05-20,通化,79.95,1.42,36.72,134.67,80.7,41.77,9.35
2017-05-21,通化,56.34,1.08,30.12,88.45,59.95,27.34,11.82
2017-05-22,通化,48.19,1.28,24.03,76.06,51.47,25.03,10.39
2017-05-23,通化,32.1,1.29,27.45,72.33,25.65,12.65,5.3
2017-05-24,通化,48.0,1.48,27.79,57.06,50.33,24.06,8.46
2017-05-25,通化,31.77,0.78,16.25,75.67,21.85,8.7,4.96
2017-05-26,通化,44.64,1.41,28.47,54.27,43.55,20.62,10.07
2017-05-27,通化,45.79,1.08,32.08,54.17,45.02,22.1,10.1
2017-05-28,通化,56.81,0.83,36.15,72.27,62.04,25.58,10.81
2017-05-29,通化,70.65,0.91,29.65,45.29,90.62,34.73,10.65
2017-05-30,通化,43.33,0.87,24.6,69.25,42.81,18.48,5.92
2017-05-31,通化,54.71,1.43,31.0,69.12,60.48,29.62,9.05
2017-06-01,通化,43.55,1.12,24.75,58.55,42.34,25.77,7.25
2017-06-02,通化,27.75,0.92,24.08,35.98,26.42,12.98,12.25
2017-06-03,通化,37.67,0.97,23.92,39.02,38.23,18.98,9.31
2017-06-04,通化,29.81,0.83,22.27,62.21,27.75,15.25,10.85
2017-06-05,通化,41.48,1.01,26.23,55.21,37.79,17.79,11.23
2017-06-06,通化,45.02,1.02,33.42,39.1,46.44,19.04,8.38
2017-06-07,通化,35.62,0.92,22.12,75.52,32.49,22.35,6.6
2017-06-08,通化,51.44,0.95,22.15,75.94,54.85,26.69,5.33
2017-06-09,通化,44.02,0.97,19.81,65.75,45.67,16.92,6.06
2017-06-10,通化,57.42,0.84,23.46,46.83,70.71,14.89,8.56
2017-06-11,通化,38.81,1.28,28.79,35.21,39.08,14.85,12.85
2017-06-12,通化,44.94,1.27,28.27,40.85,46.71,17.96,8.4
2017-06-13,通化,41.69,0.91,26.51,71.49,41.38,15.67,5.54
2017-06-14,通化,52.29,1.06,32.6,76.52,54.75,25.25,9.58
2017-06-15,通化,61.44,0.97,35.74,103.44,65.65,29.0,8.5
2017-06-16,通化,56.58,1.19,29.75,87.69,60.94,25.15,10.29
2017-06-17,通化,78.43,1.12,14.76,158.3,91.57,52.61,11.43
2017-06-18,通化,83.57,1.07,10.96,169.11,88.43,56.4,9.09
2017-06-19,通化,57.54,0.92,13.5,134.23,58.56,32.75,5.71
2017-06-20,通化,38.4,0.78,11.88,93.12,37.49,22.88,5.04
2017-06-21,通化,47.65,1.07,26.88,58.54,50.27,24.58,9.17
