time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,长春,209.72,2.4,50.61,31.12,189.26,162.98,71.79
2017-01-02,长春,103.3,1.77,47.97,35.96,95.94,76.17,59.66
2017-01-03,长春,81.14,1.7,46.99,36.57,77.55,58.95,54.55
2017-01-04,长春,104.21,1.78,67.97,22.6,98.52,74.55,72.52
2017-01-05,长春,144.05,1.97,68.91,27.27,119.56,109.52,61.41
2017-01-06,长春,147.78,2.26,75.97,31.32,133.23,113.96,91.52
2017-01-07,长春,267.09,3.03,92.19,21.38,244.72,219.74,87.21
2017-01-08,长春,332.07,3.18,106.73,31.81,309.73,284.01,114.04
2017-01-09,长春,70.63,1.34,36.95,50.44,65.92,47.43,43.49
2017-01-10,长春,52.05,1.12,25.46,54.49,61.22,22.92,36.45
2017-01-11,长春,50.08,1.21,36.24,45.97,49.62,30.05,50.79
2017-01-12,长春,46.66,1.17,33.56,45.31,44.71,30.15,47.73
2017-01-13,长春,51.63,1.05,27.4,45.71,56.08,25.99,39.17
2017-01-14,长春,37.94,0.96,26.95,46.0,35.95,23.4,36.66
2017-01-15,长春,70.25,1.28,38.89,35.2,69.53,50.53,55.8
2017-01-16,长春,170.45,2.25,71.32,23.45,165.72,131.84,90.2
2017-01-17,长春,206.66,2.43,78.58,29.0,189.32,163.37,74.4
2017-01-18,长春,198.22,2.13,60.69,24.77,178.58,159.71,63.17
2017-01-19,长春,119.53,1.58,53.66,29.32,113.86,90.16,54.44
2017-01-20,长春,95.56,1.35,44.49,32.42,90.67,70.99,51.18
2017-01-21,长春,87.94,1.39,41.75,39.94,80.14,64.95,56.15
2017-01-22,长春,122.34,1.5,45.89,36.59,113.48,91.17,57.01
2017-01-23,长春,150.66,1.74,54.32,32.64,150.5,109.18,67.44
2017-01-24,长春,146.32,1.91,61.17,32.62,137.86,110.27,77.61
2017-01-25,长春,115.5,1.79,49.77,51.53,106.92,86.92,86.14
2017-01-26,长春,94.24,1.35,26.34,71.37,100.81,60.76,67.63
2017-01-27,长春,55.5,1.0,18.43,65.93,61.5,27.54,41.31
2017-01-28,长春,101.81,1.45,32.8,54.86,101.21,75.61,70.67
2017-01-29,长春,93.56,1.34,28.07,62.7,84.07,68.6,44.73
2017-01-30,长春,75.62,1.3,30.18,53.51,68.29,54.83,61.71
2017-01-31,长春,68.73,1.28,27.31,63.88,71.35,44.4,63.54
2017-02-01,长春,48.35,1.04,18.34,66.5,47.66,28.17,43.21
2017-02-02,长春,82.28,1.4,39.05,54.88,87.34,59.51,63.67
2017-02-03,长春,154.17,2.49,62.95,44.0,141.23,118.03,77.49
2017-02-04,长春,198.06,2.46,54.09,57.92,178.3,154.11,69.12
2017-02-05,长春,137.1,1.69,34.9,64.14,132.8,105.28,39.62
2017-02-06,长春,49.99,1.18,33.48,49.73,48.48,33.37,38.28
2017-02-07,长春,97.76,1.76,52.32,32.02,94.83,72.68,54.18
2017-02-08,长春,103.03,1.74,48.99,33.96,99.58,75.94,43.85
2017-02-09,长春,59.46,1.26,35.07,44.99,53.39,41.1,31.94
2017-02-10,长春,43.99,1.06,27.71,51.95,42.33,26.13,33.59
2017-02-11,长春,63.12,1.18,29.81,49.61,68.67,42.74,47.02
2017-02-12,长春,161.77,1.65,56.19,47.96,154.49,124.21,70.96
2017-02-13,长春,174.84,1.99,68.2,41.87,158.19,134.53,58.83
2017-02-14,长春,142.85,1.86,55.2,60.66,127.66,108.85,45.33
2017-02-15,长春,100.5,1.56,38.07,87.54,92.36,74.71,61.46
2017-02-16,长春,100.71,1.07,20.58,80.84,134.62,37.43,31.02
2017-02-17,长春,55.74,1.02,22.15,67.4,69.35,19.38,31.4
2017-02-18,长春,45.66,1.12,30.17,57.97,46.49,25.66,32.92
2017-02-19,长春,61.63,1.27,28.82,67.86,67.37,38.05,31.3
2017-02-20,长春,46.57,1.15,31.61,67.42,43.57,30.41,33.7
2017-02-21,长春,68.29,1.37,46.38,54.31,66.95,47.83,58.02
2017-02-22,长春,49.8,1.23,32.66,64.74,42.65,34.26,42.72
2017-02-23,长春,51.89,1.19,42.23,62.78,47.21,35.98,41.38
2017-02-24,长春,53.53,1.2,41.5,63.52,49.1,36.82,50.93
2017-02-25,长春,51.86,1.22,41.14,58.38,47.58,34.73,48.18
2017-02-26,长春,81.02,1.54,57.94,46.39,73.41,59.48,45.27
2017-02-27,长春,64.8,1.41,40.78,71.28,58.77,46.14,49.11
2017-02-28,长春,55.56,1.21,32.21,71.9,49.46,37.09,34.26
2017-03-01,长春,34.1,1.04,25.44,58.63,33.26,16.89,23.51
2017-03-02,长春,50.93,1.19,39.5,49.66,54.21,26.95,40.6
2017-03-03,长春,62.15,1.35,47.19,53.52,65.99,42.02,39.55
2017-03-04,长春,44.69,1.12,27.64,66.69,44.39,27.08,32.38
2017-03-05,长春,66.38,1.34,42.23,52.64,65.27,47.18,42.47
2017-03-06,长春,60.26,1.34,43.82,49.2,60.51,41.63,29.08
2017-03-07,长春,39.57,1.1,26.96,56.75,39.74,22.22,27.8
2017-03-08,长春,48.45,1.17,32.83,54.7,51.03,27.2,33.85
2017-03-09,长春,66.01,1.4,46.89,45.17,75.95,41.86,38.51
2017-03-10,长春,86.72,1.58,56.33,48.52,100.34,63.23,40.87
2017-03-11,长春,105.13,1.67,53.65,77.45,117.17,76.06,45.25
2017-03-12,长春,69.2,1.13,28.32,51.95,90.15,33.88,24.08
2017-03-13,长春,46.56,1.19,37.07,57.93,46.49,29.52,27.31
2017-03-14,长春,71.22,1.39,54.57,41.47,82.06,48.08,30.67
2017-03-15,长春,73.56,1.4,47.9,62.06,86.01,48.98,29.18
2017-03-16,长春,104.02,1.62,62.35,76.03,115.3,77.0,41.67
