time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,乐山,200.23,1.64,48.69,12.35,211.55,154.55,24.38
2017-01-01,内江,181.74,1.02,44.54,23.04,188.81,145.06,31.68
2017-01-01,凉山州,37.98,0.88,24.81,62.51,36.52,23.07,17.13
2017-01-01,南充,142.55,1.24,41.61,33.81,158.66,108.21,10.0
2017-01-01,宜宾,128.74,1.19,38.57,22.22,116.99,97.08,27.96
2017-01-01,巴中,177.39,1.83,36.51,8.24,169.11,138.36,5.69
2017-01-01,广元,94.32,1.63,51.38,14.94,129.38,59.9,17.9
2017-01-01,广安,167.0,1.35,40.35,12.25,224.11,127.24,34.84
2017-01-01,德阳,146.23,1.16,47.87,19.35,171.51,110.7,12.72
2017-01-01,成都,234.74,1.73,88.39,17.13,301.99,183.89,24.68
2017-01-01,攀枝花,76.38,2.49,49.22,18.32,96.41,44.39,70.72
2017-01-01,泸州,162.42,0.41,41.18,17.38,174.21,126.03,33.31
2017-01-01,甘孜州,57.61,0.75,54.86,40.19,54.24,37.33,28.58
2017-01-01,眉山,208.3,1.07,59.75,12.66,221.82,160.62,24.86
2017-01-01,绵阳,126.72,1.24,51.22,16.8,133.93,95.77,13.72
2017-01-01,自贡,219.31,1.16,37.31,36.3,201.47,170.24,25.09
2017-01-01,资阳,112.19,1.16,33.23,23.87,166.45,78.42,12.76
2017-01-01,达州,215.55,1.74,42.63,43.02,224.72,168.0,14.08
2017-01-01,遂宁,108.51,0.89,27.92,37.54,130.51,79.63,23.26
2017-01-01,阿坝州,34.57,0.59,16.74,39.94,33.2,17.98,10.93
2017-01-01,雅安,147.75,1.24,29.23,39.68,158.82,114.74,15.63
2017-01-02,乐山,199.69,1.83,47.21,28.57,219.57,155.2,16.54
2017-01-02,内江,192.01,1.18,44.91,46.12,209.95,146.35,30.14
2017-01-02,凉山州,42.39,0.97,28.45,61.26,40.39,26.45,21.51
2017-01-02,南充,166.88,1.32,40.23,48.23,183.38,126.89,13.1
2017-01-02,宜宾,115.38,1.33,42.44,40.57,106.73,86.49,26.31
2017-01-02,巴中,109.75,1.61,34.65,11.39,117.12,79.31,4.29
2017-01-02,广元,60.2,1.3,43.11,28.77,73.15,30.49,17.24
