time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,乐山,200.23,1.64,48.69,12.35,211.55,154.55,24.38
2017-01-02,乐山,199.69,1.83,47.21,28.57,219.57,155.2,16.54
2017-01-03,乐山,224.53,1.68,49.17,23.88,229.89,174.83,19.4
2017-01-04,乐山,233.73,1.63,51.03,8.73,237.72,183.73,24.38
2017-01-05,乐山,224.09,1.55,42.9,34.38,236.71,179.35,20.54
2017-01-06,乐山,217.6,1.45,46.19,24.94,217.93,169.56,19.46
2017-01-07,乐山,213.34,1.77,57.26,17.43,227.16,171.12,26.77
2017-01-08,乐山,130.19,1.57,50.23,17.96,133.51,98.7,30.71
2017-01-09,乐山,140.29,1.46,48.52,17.28,151.84,106.32,19.68
2017-01-10,乐山,42.83,0.93,29.43,30.6,39.14,29.93,6.35
2017-01-11,乐山,59.11,0.73,29.89,38.27,60.38,40.59,9.91
2017-01-12,乐山,79.36,0.91,39.62,24.15,83.47,58.12,15.61
2017-01-13,乐山,77.34,0.68,34.86,52.71,78.71,56.57,17.45
2017-01-14,乐山,106.21,0.8,37.83,54.15,106.14,79.67,20.61
2017-01-15,乐山,151.24,1.01,45.03,43.51,154.96,115.1,23.52
2017-01-16,乐山,165.36,1.08,52.79,16.64,167.34,125.78,17.99
2017-01-17,乐山,120.86,0.98,38.84,17.97,120.58,91.03,18.16
2017-01-18,乐山,110.6,0.85,35.99,30.38,106.94,83.19,12.85
2017-01-19,乐山,123.82,1.03,49.74,12.62,125.53,93.72,17.58
2017-01-20,乐山,101.69,0.88,31.42,23.18,101.17,75.99,10.72
2017-01-21,乐山,118.61,1.01,32.88,40.73,120.31,89.24,16.74
2017-01-22,乐山,169.34,1.52,49.45,9.74,176.05,129.64,16.25
2017-01-23,乐山,223.43,1.67,37.26,31.6,225.34,173.96,19.53
2017-01-24,乐山,184.21,1.36,38.89,39.8,181.54,139.53,14.06
2017-01-25,乐山,218.71,1.59,42.27,30.17,207.04,172.25,14.74
2017-01-26,乐山,265.9,1.74,44.54,15.41,264.0,215.9,13.32
2017-01-27,乐山,224.54,1.46,37.46,31.71,231.33,177.84,14.96
2017-01-28,乐山,395.47,1.54,33.69,21.28,492.39,380.67,37.36
2017-01-29,乐山,133.09,1.05,25.85,52.23,152.5,96.08,11.32
2017-01-30,乐山,100.85,1.08,27.92,37.22,121.26,74.74,11.9
2017-01-31,乐山,87.75,1.13,21.65,39.01,89.91,64.9,9.76
2017-02-01,乐山,62.82,1.1,16.73,35.53,54.77,44.97,8.66
2017-02-02,乐山,83.38,1.25,19.25,26.01,73.38,61.4,7.45
2017-02-03,乐山,90.54,1.32,23.3,9.42,85.54,67.11,10.19
2017-02-04,乐山,118.77,1.26,24.08,20.52,111.11,89.7,9.75
2017-02-05,乐山,126.04,1.27,34.88,20.9,122.64,95.51,16.62
2017-02-06,乐山,137.28,1.4,41.18,12.99,131.99,104.36,14.29
2017-02-07,乐山,55.78,1.15,29.04,28.95,53.62,40.02,9.42
2017-02-08,乐山,46.01,0.9,29.93,43.66,48.67,29.9,14.14
2017-02-09,乐山,98.08,0.87,42.18,15.1,109.26,73.02,13.25
2017-02-10,乐山,151.94,1.14,37.02,21.46,158.39,115.69,19.38
2017-02-11,乐山,130.51,0.85,32.35,42.82,117.96,99.82,11.42
2017-02-12,乐山,134.46,1.04,34.12,40.65,130.79,101.94,12.46
2017-02-13,乐山,177.28,1.18,56.48,15.18,171.6,133.97,17.24
2017-02-14,乐山,136.55,1.1,43.74,31.58,139.23,103.03,13.54
2017-02-15,乐山,156.45,1.13,42.48,47.73,154.07,119.35,13.67
2017-02-16,乐山,175.56,1.07,44.65,63.81,163.34,132.93,17.29
2017-02-17,乐山,163.38,1.18,47.77,71.8,161.26,124.55,13.81
2017-02-18,乐山,188.23,1.38,62.78,38.31,204.19,142.7,20.29
2017-02-19,乐山,213.04,1.35,52.18,57.56,204.52,164.0,16.06
2017-02-20,乐山,222.51,1.34,61.32,52.0,217.78,173.96,20.09
2017-02-21,乐山,63.35,0.9,33.97,31.94,60.96,45.79,8.28
2017-02-22,乐山,90.0,0.87,38.35,23.68,109.17,63.72,11.35
2017-02-23,乐山,82.91,0.58,38.83,28.19,106.02,60.33,11.31
2017-02-24,乐山,77.53,0.59,34.25,39.55,83.94,56.71,21.7
2017-02-25,乐山,83.64,0.66,29.57,48.38,86.03,60.92,14.39
2017-02-26,乐山,107.51,0.67,41.96,44.31,112.95,80.36,17.52
2017-02-27,乐山,115.73,0.8,43.18,44.57,119.92,87.33,15.18
2017-02-28,乐山,119.43,0.92,43.86,52.11,116.86,90.18,15.71
2017-03-01,乐山,114.77,1.02,54.31,50.38,124.03,86.55,19.36
2017-03-02,乐山,109.66,1.13,50.23,33.97,127.76,82.4,17.51
2017-03-03,乐山,113.89,0.93,53.67,61.59,135.66,85.55,23.29
2017-03-04,乐山,134.59,0.9,36.43,84.52,139.73,101.85,15.74
2017-03-05,乐山,71.01,0.87,37.84,51.11,70.39,51.57,17.4
2017-03-06,乐山,67.84,0.95,45.54,46.45,66.74,49.01,23.64
2017-03-07,乐山,71.53,1.01,36.93,54.3,67.09,51.94,17.07
2017-03-08,乐山,90.48,1.07,37.21,52.38,84.73,67.02,13.95
2017-03-09,乐山,95.4,0.95,38.97,35.19,88.48,71.04,16.68
2017-03-10,乐山,81.24,0.92,37.92,38.73,71.69,59.69,14.96
2017-03-11,乐山,92.79,0.97,45.52,38.58,89.09,68.92,12.38
2017-03-12,乐山,72.74,0.96,46.12,26.66,77.14,50.82,15.53
2017-03-13,乐山,24.35,0.93,32.21,53.02,19.1,12.59,9.24
2017-03-14,乐山,65.93,1.07,40.92,34.91,68.17,45.78,18.75
2017-03-15,乐山,68.54,0.95,37.22,56.9,65.52,49.45,12.13
2017-03-16,乐山,91.48,1.02,38.41,45.43,88.23,68.14,12.94
2017-03-17,乐山,73.07,0.98,37.35,46.76,69.62,53.15,12.83
2017-03-18,乐山,98.14,1.14,37.56,49.32,99.07,73.14,21.4
2017-03-19,乐山,84.07,1.0,45.12,27.03,80.33,61.91,10.44
2017-03-20,乐山,64.6,1.1,35.98,61.09,60.48,45.17,12.77
2017-03-21,乐山,108.52,1.17,49.81,49.67,109.31,81.17,19.25
2017-03-22,乐山,83.4,0.94,33.76,36.46,78.72,61.61,14.75
2017-03-23,乐山,89.07,1.04,47.32,18.14,93.24,65.84,13.1
2017-03-24,乐山,41.86,0.7,36.35,41.18,42.29,25.69,13.85
2017-03-25,乐山,57.04,0.43,24.51,74.9,65.9,28.09,15.42
2017-03-26,乐山,87.5,0.68,36.53,47.95,105.65,63.7,18.49
2017-03-27,乐山,72.6,0.71,34.65,61.2,78.37,50.67,11.22
2017-03-28,乐山,108.26,0.92,48.41,48.64,125.68,81.26,21.85
2017-03-29,乐山,103.77,1.03,36.56,69.32,113.21,77.7,17.04
2017-03-30,乐山,57.09,0.74,35.35,69.46,53.08,38.33,11.86
2017-03-31,乐山,61.69,0.79,40.26,63.48,70.97,39.65,16.74
2017-04-01,乐山,92.71,0.88,49.27,65.31,116.11,68.59,30.54
2017-04-02,乐山,86.0,0.83,39.55,73.9,97.79,63.47,28.08
2017-04-03,乐山,74.35,0.79,30.91,66.68,80.92,53.33,19.1
2017-04-04,乐山,93.88,0.82,37.43,75.2,98.65,69.74,13.11
2017-04-05,乐山,95.99,0.83,29.88,65.39,92.74,71.48,14.16
2017-04-06,乐山,101.28,0.88,31.88,75.53,100.56,75.74,18.15
2017-04-07,乐山,90.64,0.88,34.0,69.65,96.34,67.11,18.74
2017-04-08,乐山,71.25,0.94,36.82,71.83,76.56,50.08,17.01
2017-04-09,乐山,36.59,0.68,25.51,44.74,35.72,23.04,7.15
2017-04-10,乐山,36.16,0.7,25.61,77.81,28.79,17.77,11.32
2017-04-11,乐山,36.48,0.6,25.76,69.14,34.79,22.22,9.06
2017-04-12,乐山,40.07,0.49,25.52,74.83,33.31,22.88,17.93
2017-04-13,乐山,58.04,0.7,37.48,68.02,61.97,36.05,13.34
2017-04-14,乐山,60.68,0.76,30.18,84.91,61.48,39.5,15.84
2017-04-15,乐山,103.23,0.99,50.27,120.58,114.88,68.05,19.28
2017-04-16,乐山,46.43,0.61,27.27,70.26,46.99,29.54,12.54
2017-04-17,乐山,54.11,0.57,29.33,58.29,61.07,29.52,9.81
2017-04-18,乐山,87.25,0.77,38.16,101.84,116.84,59.32,22.14
2017-04-19,乐山,112.28,0.98,45.54,119.38,150.88,79.33,21.15
2017-04-20,乐山,51.78,0.5,32.52,64.96,57.23,28.38,5.98
2017-04-21,乐山,33.52,0.47,21.96,81.1,30.24,17.08,6.56
2017-04-22,乐山,56.99,0.57,28.47,66.43,56.84,34.85,9.47
2017-04-23,乐山,51.31,0.6,24.53,86.2,47.38,29.72,8.1
2017-04-24,乐山,82.88,0.75,44.18,61.65,87.16,60.36,18.62
2017-04-25,乐山,43.21,0.69,37.58,53.83,39.67,29.0,8.76
2017-04-26,乐山,39.4,0.62,29.44,72.55,37.34,25.54,7.8
2017-04-27,乐山,37.95,0.71,35.59,66.03,35.94,22.47,20.67
2017-04-28,乐山,56.29,0.72,27.21,78.48,53.03,35.65,18.36
2017-04-29,乐山,79.23,0.75,34.84,90.08,73.67,53.45,20.51
2017-04-30,乐山,74.46,0.91,30.33,103.08,67.93,49.22,14.12
2017-05-01,乐山,80.62,0.85,27.53,108.39,69.9,53.37,15.18
2017-05-02,乐山,113.3,1.0,38.57,116.95,108.92,82.13,12.39
2017-05-03,乐山,46.43,0.59,18.91,87.62,35.54,23.27,6.99
2017-05-04,乐山,59.98,0.91,33.75,66.52,70.03,30.69,11.97
2017-05-05,乐山,72.66,0.85,32.39,41.55,90.29,46.46,8.44
2017-05-06,乐山,77.03,0.52,22.31,70.8,102.49,48.52,5.77
2017-05-07,乐山,96.65,0.69,24.34,66.53,112.08,70.53,7.34
2017-05-08,乐山,85.07,0.74,20.75,88.71,85.97,61.15,15.81
2017-05-09,乐山,103.22,0.81,28.6,104.77,100.22,74.52,14.54
2017-05-10,乐山,82.66,0.74,20.46,120.22,74.55,57.98,17.18
2017-05-11,乐山,45.39,0.74,26.57,76.99,42.96,29.97,15.89
2017-05-12,乐山,52.6,0.7,29.15,74.42,51.21,30.13,18.43
2017-05-13,乐山,99.22,1.04,48.1,100.6,107.49,60.76,18.18
2017-05-14,乐山,67.65,0.67,20.66,151.19,56.36,37.92,14.21
2017-05-15,乐山,49.24,0.6,23.27,104.05,46.59,30.08,6.45
2017-05-16,乐山,60.77,0.84,39.31,70.97,63.42,32.09,12.59
2017-05-17,乐山,79.67,0.83,36.96,106.38,77.02,42.91,13.72
2017-05-18,乐山,79.78,0.58,19.52,166.89,60.37,45.38,8.33
2017-05-19,乐山,108.38,0.79,20.77,150.31,97.54,76.45,10.61
2017-05-20,乐山,119.4,0.94,34.39,98.18,125.82,86.69,15.16
2017-05-21,乐山,36.53,0.65,21.64,61.12,29.77,24.1,6.28
2017-05-22,乐山,44.21,0.72,29.35,41.32,43.06,28.92,8.47
2017-05-23,乐山,41.66,0.76,30.41,70.95,42.18,22.5,18.14
2017-05-24,乐山,69.17,0.94,45.05,23.82,81.53,47.95,22.95
2017-05-25,乐山,41.74,0.59,26.83,84.2,34.18,20.84,18.46
2017-05-26,乐山,58.15,0.67,37.58,90.26,52.49,29.5,15.17
2017-05-27,乐山,76.43,0.9,50.38,97.18,68.92,43.86,19.74
2017-05-28,乐山,86.76,1.2,67.14,69.16,107.53,59.04,19.89
2017-05-29,乐山,82.97,0.82,48.54,94.78,93.2,55.45,26.31
2017-05-30,乐山,76.85,0.87,26.76,91.42,77.08,54.27,19.15
2017-05-31,乐山,72.69,0.85,29.86,75.86,69.84,52.75,12.91
2017-06-01,乐山,55.64,0.78,27.92,103.81,53.38,38.05,17.33
2017-06-02,乐山,63.91,0.73,27.74,85.4,61.33,42.84,23.11
2017-06-03,乐山,80.57,0.75,33.21,90.74,86.68,59.0,19.33
2017-06-04,乐山,39.67,0.64,26.3,67.92,38.3,26.02,11.49
2017-06-05,乐山,47.78,0.86,29.23,74.62,36.42,22.71,12.14
2017-06-06,乐山,52.71,0.67,31.55,102.53,35.83,22.09,18.32
2017-06-07,乐山,67.16,0.8,36.9,110.85,58.54,31.48,10.68
2017-06-08,乐山,58.72,0.82,22.99,133.08,49.96,34.02,7.54
2017-06-09,乐山,53.32,0.65,22.86,103.32,46.78,37.15,7.8
2017-06-10,乐山,48.95,0.84,31.29,76.81,43.11,27.66,13.44
2017-06-11,乐山,46.51,0.66,26.28,85.22,39.11,23.85,17.17
2017-06-12,乐山,54.47,0.68,30.51,73.85,51.78,36.67,7.21
2017-06-13,乐山,56.21,0.82,35.81,50.39,57.46,37.75,8.51
2017-06-14,乐山,29.11,0.63,23.88,55.46,24.96,17.28,6.65
2017-06-15,乐山,30.71,0.61,26.57,75.46,27.26,16.53,5.78
2017-06-16,乐山,42.22,0.69,24.27,72.6,35.55,22.7,10.24
2017-06-17,乐山,49.64,0.69,24.02,85.94,46.76,33.74,15.04
2017-06-18,乐山,67.08,0.84,23.97,81.67,61.74,46.58,20.06
2017-06-19,乐山,41.61,0.69,18.48,82.9,33.14,26.3,8.64
2017-06-20,乐山,55.07,0.68,19.87,114.89,45.17,35.93,7.67
2017-06-21,乐山,78.28,0.93,31.91,105.78,76.61,53.4,11.65
2017-06-22,乐山,73.24,0.96,34.88,73.86,71.85,53.06,8.93
2017-06-23,乐山,61.76,1.08,45.61,23.35,68.19,42.89,13.86
2017-06-24,乐山,40.5,0.76,30.18,61.41,41.52,23.0,10.77
2017-06-25,乐山,38.06,0.66,24.19,62.56,38.29,18.68,19.77
2017-06-26,乐山,36.99,0.65,20.89,68.32,28.18,17.77,14.04
2017-06-27,乐山,46.01,0.65,23.69,98.2,34.18,24.98,10.91
2017-06-28,乐山,58.9,0.78,35.21,97.46,55.92,36.24,23.1
2017-06-29,乐山,57.65,0.69,21.52,88.98,54.68,39.5,12.92
2017-06-30,乐山,63.26,0.71,24.44,96.41,62.09,41.64,14.94
2017-07-01,乐山,55.77,0.66,22.41,90.72,52.59,33.24,15.03
2017-07-02,乐山,66.22,0.8,33.97,95.94,66.84,44.51,23.27
2017-07-03,乐山,64.07,0.87,34.02,74.1,71.5,43.2,25.36
2017-07-04,乐山,75.88,1.03,33.04,72.91,83.68,51.97,19.79
2017-07-05,乐山,51.26,0.67,19.69,87.59,52.64,32.34,11.48
2017-07-06,乐山,32.89,0.66,22.79,70.88,24.71,14.67,6.95
2017-07-07,乐山,62.67,0.83,32.3,115.31,39.15,20.06,11.52
2017-07-08,乐山,61.65,0.83,26.45,102.7,58.85,36.39,14.47
2017-07-09,乐山,47.15,0.58,20.36,109.58,34.04,22.88,31.4
2017-07-10,乐山,71.39,0.83,28.12,106.89,53.01,32.98,17.22
2017-07-11,乐山,88.23,1.08,30.2,139.6,72.39,42.2,14.1
2017-07-12,乐山,79.65,0.81,28.28,130.97,73.58,47.72,9.98
2017-07-13,乐山,59.83,0.61,19.8,127.9,47.05,33.51,11.92
2017-07-14,乐山,44.47,0.6,13.88,106.28,31.47,25.18,4.62
2017-07-15,乐山,64.93,0.76,18.26,108.08,52.7,42.65,6.15
2017-07-16,乐山,57.24,0.74,21.53,106.88,40.7,27.75,5.68
2017-07-17,乐山,43.52,0.72,20.21,99.04,36.83,24.25,7.38
2017-07-18,乐山,39.59,0.62,14.82,98.34,27.43,18.2,3.46
2017-07-19,乐山,35.89,0.55,14.09,82.7,21.65,14.1,3.81
2017-07-20,乐山,39.34,0.75,23.59,70.58,33.4,22.83,8.78
2017-07-21,乐山,50.49,0.94,29.32,81.6,45.05,28.65,10.45
