time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,内江,181.74,1.02,44.54,23.04,188.81,145.06,31.68
2017-01-02,内江,192.01,1.18,44.91,46.12,209.95,146.35,30.14
2017-01-03,内江,189.71,1.06,37.73,36.25,204.18,142.83,22.49
2017-01-04,内江,179.01,0.99,39.64,28.22,173.8,135.39,27.32
2017-01-05,内江,204.45,1.18,40.68,42.0,211.24,156.76,36.79
2017-01-06,内江,164.33,1.09,30.22,36.21,163.73,124.47,21.74
2017-01-07,内江,133.67,1.06,28.33,28.22,130.17,100.49,21.88
2017-01-08,内江,97.42,1.28,32.77,23.89,101.77,72.04,32.37
2017-01-09,内江,127.74,1.25,31.72,28.86,127.05,96.6,19.46
2017-01-10,内江,45.41,0.63,16.31,33.21,37.35,30.77,11.22
2017-01-11,内江,49.2,0.4,16.27,44.26,42.87,33.21,11.07
2017-01-12,内江,70.97,0.54,33.11,34.25,77.88,49.75,22.22
2017-01-13,内江,90.51,0.76,37.62,39.72,91.3,66.33,22.83
2017-01-14,内江,93.65,0.83,41.68,27.92,93.1,69.03,24.31
2017-01-15,内江,111.29,1.01,42.69,29.22,111.55,83.61,25.09
2017-01-16,内江,103.24,0.72,30.35,44.47,103.66,77.24,19.55
2017-01-17,内江,128.98,0.88,41.95,29.78,126.26,97.51,26.46
2017-01-18,内江,146.39,0.81,34.81,45.86,141.53,111.07,25.11
2017-01-19,内江,135.22,0.82,29.38,37.11,128.87,102.79,30.31
2017-01-20,内江,157.35,1.03,34.52,17.85,156.24,120.12,33.19
2017-01-21,内江,153.18,1.04,35.98,40.26,149.37,116.97,26.22
2017-01-22,内江,162.53,1.25,40.51,43.28,167.37,122.89,20.81
2017-01-23,内江,211.55,1.3,42.11,21.73,208.52,163.73,26.07
2017-01-24,内江,172.8,1.27,39.2,34.55,170.78,132.21,26.31
2017-01-25,内江,217.32,1.83,47.3,22.04,217.51,169.38,26.7
2017-01-26,内江,227.34,1.7,52.71,16.87,219.75,178.59,29.94
2017-01-27,内江,283.83,1.81,41.34,21.7,284.08,233.83,27.95
2017-01-28,内江,254.01,1.18,25.73,25.34,257.65,214.64,33.93
2017-01-29,内江,80.15,0.73,24.28,48.69,90.36,51.91,19.97
2017-01-30,内江,78.39,0.88,23.04,27.49,73.44,57.37,15.09
2017-01-31,内江,71.12,0.88,19.99,31.88,65.14,51.08,14.07
2017-02-01,内江,83.22,0.86,17.47,32.44,71.81,61.12,13.02
2017-02-02,内江,116.43,1.06,18.92,20.04,110.99,87.84,14.45
2017-02-03,内江,85.11,1.09,22.45,24.51,78.94,62.42,14.23
2017-02-04,内江,89.83,1.22,31.38,28.98,87.5,66.18,17.63
2017-02-05,内江,91.08,0.98,25.28,44.14,85.14,67.53,15.21
2017-02-06,内江,95.79,0.92,23.31,43.58,89.2,71.3,14.42
2017-02-07,内江,59.95,0.93,18.78,31.84,60.43,43.6,11.63
2017-02-08,内江,50.95,0.56,22.01,61.35,54.76,27.16,14.44
2017-02-09,内江,79.86,0.69,30.08,34.46,85.06,56.78,15.26
2017-02-10,内江,120.61,0.88,32.11,23.85,121.38,91.11,19.84
2017-02-11,内江,110.95,0.76,28.74,44.2,109.9,83.2,19.4
2017-02-12,内江,109.62,0.9,29.88,46.48,100.78,81.98,15.84
2017-02-13,内江,104.11,0.78,29.52,48.52,93.56,77.99,17.54
2017-02-14,内江,140.81,0.89,37.1,41.19,138.21,107.54,20.24
2017-02-15,内江,165.87,1.03,40.1,55.6,160.08,125.89,20.46
2017-02-16,内江,154.99,1.13,34.84,65.06,149.05,117.45,21.79
2017-02-17,内江,146.16,1.07,43.98,70.91,146.74,110.76,24.69
2017-02-18,内江,171.45,1.15,41.4,40.6,163.23,129.67,25.08
2017-02-19,内江,170.14,1.1,34.28,63.04,163.92,129.28,23.08
2017-02-20,内江,145.14,0.99,32.19,68.42,142.29,109.77,24.16
2017-02-21,内江,98.4,0.81,17.52,38.85,88.97,71.94,14.53
2017-02-22,内江,69.57,0.53,23.23,54.61,85.93,40.76,14.12
2017-02-23,内江,65.84,0.5,21.06,40.14,71.49,44.31,12.26
2017-02-24,内江,55.5,0.46,21.91,40.37,55.77,34.92,11.72
2017-02-25,内江,76.12,0.55,27.03,44.95,75.75,54.2,16.74
2017-02-26,内江,76.85,0.67,31.4,32.76,73.51,55.0,13.04
