time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,南充,142.55,1.24,41.61,33.81,158.66,108.21,10.0
2017-01-02,南充,166.88,1.32,40.23,48.23,183.38,126.89,13.1
2017-01-03,南充,153.94,1.35,42.06,37.9,166.66,116.64,8.44
2017-01-04,南充,152.29,1.41,50.77,30.08,170.12,115.41,10.93
2017-01-05,南充,183.03,1.34,46.06,27.89,194.42,139.22,22.54
2017-01-06,南充,170.81,1.28,33.42,29.88,173.33,129.22,6.19
2017-01-07,南充,54.31,1.37,34.54,41.8,58.77,34.99,6.11
2017-01-08,南充,77.48,1.52,38.93,42.61,84.18,55.89,6.6
2017-01-09,南充,86.43,1.41,33.39,32.24,91.1,63.33,10.97
2017-01-10,南充,44.03,0.7,20.53,46.12,42.16,27.12,10.01
2017-01-11,南充,47.37,0.59,22.19,48.0,45.36,29.0,10.06
2017-01-12,南充,59.4,0.68,35.33,53.47,64.86,38.61,10.79
2017-01-13,南充,84.77,0.91,44.91,54.89,99.6,60.37,16.46
2017-01-14,南充,92.24,0.97,39.31,50.1,108.27,67.01,8.13
2017-01-15,南充,95.99,1.03,35.35,52.13,111.69,71.02,9.68
2017-01-16,南充,95.1,0.92,39.31,50.27,111.9,70.31,7.64
2017-01-17,南充,94.36,0.87,41.69,51.51,111.56,69.45,13.26
2017-01-18,南充,95.28,0.83,33.1,60.88,108.37,69.94,9.92
2017-01-19,南充,116.35,1.04,41.06,37.62,131.92,87.77,8.66
2017-01-20,南充,136.78,1.15,38.25,37.14,153.72,103.73,8.19
2017-01-21,南充,121.69,1.1,36.44,50.38,137.47,91.48,5.66
2017-01-22,南充,119.92,1.14,43.85,53.77,141.09,90.47,7.38
2017-01-23,南充,143.99,1.3,43.9,35.33,160.01,109.08,5.61
2017-01-24,南充,181.93,1.4,38.1,56.33,191.03,137.62,7.34
2017-01-25,南充,184.19,1.5,47.6,55.23,194.8,140.05,12.71
2017-01-26,南充,163.13,1.39,45.13,47.9,169.1,123.78,8.89
2017-01-27,南充,202.51,1.4,30.62,59.49,207.36,154.8,8.28
2017-01-28,南充,102.38,0.98,19.31,46.62,105.52,75.37,14.48
2017-01-29,南充,66.02,0.73,24.7,73.86,81.79,35.15,9.23
2017-01-30,南充,69.51,0.98,25.23,43.51,75.88,47.86,8.28
2017-01-31,南充,63.86,0.91,19.99,53.8,67.41,43.63,11.41
2017-02-01,南充,71.17,0.97,20.69,48.65,73.05,50.66,7.68
2017-02-02,南充,67.47,1.06,24.81,37.65,71.25,46.4,6.17
2017-02-03,南充,77.83,1.13,35.04,38.53,80.82,56.02,7.67
2017-02-04,南充,80.04,1.28,40.31,48.49,86.03,57.41,12.34
2017-02-05,南充,78.83,1.14,29.57,56.68,82.06,56.74,12.14
2017-02-06,南充,75.42,1.07,31.13,43.87,79.91,53.51,10.76
2017-02-07,南充,37.58,1.08,25.66,50.01,35.98,21.2,14.21
2017-02-08,南充,49.16,0.61,29.4,68.76,52.65,26.09,7.03
2017-02-09,南充,64.46,0.66,40.16,54.57,74.29,40.36,7.64
2017-02-10,南充,82.5,0.81,46.42,44.3,96.16,59.18,11.12
2017-02-11,南充,59.56,0.76,35.62,64.42,63.31,39.42,7.51
2017-02-12,南充,74.59,0.92,38.74,52.58,82.02,52.76,9.58
2017-02-13,南充,82.83,0.95,38.83,42.65,89.02,60.22,7.38
2017-02-14,南充,110.42,1.09,46.05,39.38,118.37,82.96,16.88
2017-02-15,南充,121.94,1.21,49.41,60.93,130.68,92.2,9.12
2017-02-16,南充,124.74,1.1,40.83,84.85,129.83,94.28,10.24
2017-02-17,南充,120.01,1.12,42.87,77.19,125.11,90.68,9.17
2017-02-18,南充,126.94,1.16,39.99,55.82,134.65,96.08,10.15
2017-02-19,南充,127.71,1.22,40.78,66.25,137.09,96.76,12.71
2017-02-20,南充,130.62,1.31,38.42,50.58,139.03,99.0,14.6
2017-02-21,南充,47.2,0.86,23.28,60.02,44.95,30.52,13.57
2017-02-22,南充,60.7,0.54,28.99,67.12,70.22,34.26,11.71
2017-02-23,南充,46.34,0.46,26.65,69.92,45.26,27.7,9.37
2017-02-24,南充,42.17,0.54,29.01,55.5,39.3,26.61,6.56
2017-02-25,南充,56.73,0.72,39.33,56.58,57.65,37.89,24.4
2017-02-26,南充,69.51,0.77,41.76,63.19,69.27,49.17,14.23
2017-02-27,南充,74.33,0.88,49.58,51.85,82.62,52.08,17.28
2017-02-28,南充,83.38,0.9,46.08,67.27,91.61,60.57,17.8
2017-03-01,南充,97.12,0.78,46.71,68.38,128.8,58.25,13.22
2017-03-02,南充,114.72,0.98,64.41,44.09,174.47,73.43,35.22
2017-03-03,南充,89.9,0.72,40.65,64.81,118.46,63.62,12.99
2017-03-04,南充,97.03,0.75,43.15,60.01,106.69,72.24,10.45
2017-03-05,南充,71.83,0.76,40.39,63.1,74.72,50.07,8.34
2017-03-06,南充,51.59,0.59,33.3,72.78,50.21,32.86,7.05
2017-03-07,南充,58.19,0.65,38.97,58.31,55.87,40.12,8.35
2017-03-08,南充,66.79,0.75,39.41,51.58,63.64,47.51,12.49
2017-03-09,南充,73.33,0.83,38.21,46.13,74.48,52.7,10.32
2017-03-10,南充,87.43,0.99,48.16,56.14,91.78,64.45,14.99
2017-03-11,南充,100.19,1.0,49.86,55.03,109.22,74.51,16.99
2017-03-12,南充,61.42,0.78,29.99,43.54,64.21,42.56,9.2
2017-03-13,南充,31.1,0.73,25.45,81.99,21.19,13.5,8.72
2017-03-14,南充,33.78,0.63,24.2,68.91,30.27,19.83,5.86
2017-03-15,南充,40.22,0.66,31.24,45.38,37.05,25.74,7.68
2017-03-16,南充,51.66,0.73,32.48,52.42,49.37,34.25,5.99
2017-03-17,南充,53.32,0.82,40.21,66.89,52.78,34.5,6.69
2017-03-18,南充,66.78,0.91,41.13,75.38,72.48,44.99,12.76
2017-03-19,南充,57.03,0.76,33.1,73.17,57.47,38.18,7.84
2017-03-20,南充,61.68,0.96,41.5,79.86,65.61,40.92,9.29
2017-03-21,南充,66.71,0.93,44.06,63.87,76.4,46.06,12.92
2017-03-22,南充,54.15,0.74,26.83,69.88,53.54,35.69,8.92
2017-03-23,南充,56.47,0.82,29.45,62.17,55.85,37.82,7.04
2017-03-24,南充,42.51,0.52,23.83,93.4,39.96,20.7,7.83
2017-03-25,南充,58.37,0.44,29.56,89.92,66.77,29.69,10.52
2017-03-26,南充,58.4,0.6,37.27,88.73,63.53,34.5,13.33
2017-03-27,南充,75.14,0.78,49.22,75.73,92.62,50.08,17.55
2017-03-28,南充,72.75,0.74,41.13,83.2,87.33,49.62,11.65
2017-03-29,南充,79.92,0.83,44.74,59.5,93.74,57.15,14.75
2017-03-30,南充,45.4,0.63,26.82,78.2,41.33,24.98,10.21
2017-03-31,南充,49.63,0.69,40.24,72.54,49.38,27.64,10.29
2017-04-01,南充,56.06,0.67,39.71,72.33,60.93,32.96,11.83
2017-04-02,南充,67.55,0.74,37.08,55.68,79.03,44.94,12.23
2017-04-03,南充,62.72,0.67,25.96,52.69,62.67,43.52,8.07
2017-04-04,南充,59.94,0.59,21.82,71.17,59.51,40.75,7.01
2017-04-05,南充,62.56,0.69,23.15,55.38,59.59,43.61,7.05
