time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,宜宾,128.74,1.19,38.57,22.22,116.99,97.08,27.96
2017-01-02,宜宾,115.38,1.33,42.44,40.57,106.73,86.49,26.31
2017-01-03,宜宾,236.68,1.73,51.58,12.14,218.22,188.72,32.19
2017-01-04,宜宾,285.78,1.87,45.2,8.9,264.47,235.78,33.08
2017-01-05,宜宾,208.89,1.61,42.96,34.59,193.23,166.77,28.07
2017-01-06,宜宾,197.33,1.66,50.02,29.57,184.94,152.22,33.53
2017-01-07,宜宾,230.1,1.73,43.12,25.03,210.19,181.97,26.04
2017-01-08,宜宾,125.22,1.79,43.06,20.01,109.32,94.67,23.06
2017-01-09,宜宾,134.05,1.51,36.78,37.21,119.18,101.56,24.52
2017-01-10,宜宾,48.9,1.15,23.99,27.86,39.08,34.78,13.25
2017-01-11,宜宾,45.42,0.83,21.69,42.88,38.34,31.35,14.0
2017-01-12,宜宾,57.85,0.85,32.74,38.52,55.52,40.51,19.55
2017-01-13,宜宾,74.12,1.02,42.0,29.35,72.24,53.6,33.42
2017-01-14,宜宾,105.84,1.21,52.55,18.06,100.98,79.3,34.49
2017-01-15,宜宾,114.23,1.26,49.22,32.12,108.27,85.89,34.45
2017-01-16,宜宾,158.88,1.28,49.53,26.1,141.63,120.77,27.96
2017-01-17,宜宾,166.76,1.27,51.97,16.99,147.11,126.71,25.7
2017-01-18,宜宾,111.02,1.19,42.35,26.21,96.37,83.22,18.73
2017-01-19,宜宾,136.65,1.18,41.72,33.37,114.99,103.45,17.5
2017-01-20,宜宾,110.96,1.17,40.28,24.28,96.49,83.24,17.06
2017-01-21,宜宾,84.05,1.19,38.21,38.85,73.84,61.77,18.02
2017-01-22,宜宾,146.97,1.58,49.96,11.28,137.78,112.76,21.16
2017-01-23,宜宾,198.78,1.62,45.57,28.68,177.33,154.02,25.1
2017-01-24,宜宾,240.07,1.89,43.71,31.27,218.46,191.76,27.39
2017-01-25,宜宾,217.01,1.96,44.53,25.03,196.79,169.22,29.31
2017-01-26,宜宾,265.43,2.09,46.49,12.41,242.46,216.27,23.76
2017-01-27,宜宾,238.01,1.73,35.01,41.74,206.9,190.92,22.35
2017-01-28,宜宾,322.69,1.82,34.02,22.91,314.72,275.44,34.89
2017-01-29,宜宾,104.67,1.35,24.75,46.17,99.0,74.25,14.07
2017-01-30,宜宾,99.71,1.42,30.41,19.35,91.3,74.4,19.72
2017-01-31,宜宾,74.17,1.46,24.17,28.6,62.0,54.04,13.23
