time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,巴中,177.39,1.83,36.51,8.24,169.11,138.36,5.69
2017-01-02,巴中,109.75,1.61,34.65,11.39,117.12,79.31,4.29
2017-01-03,巴中,100.21,1.58,34.45,19.97,97.4,74.65,5.16
2017-01-04,巴中,132.33,1.56,42.41,10.66,127.1,101.07,4.91
2017-01-05,巴中,166.53,1.88,38.95,4.4,161.71,127.05,5.12
2017-01-06,巴中,76.73,1.72,32.64,6.95,75.32,54.27,4.88
2017-01-07,巴中,47.57,1.7,30.53,19.74,48.11,32.11,4.59
2017-01-08,巴中,69.55,1.83,36.8,22.42,72.52,49.48,4.79
2017-01-09,巴中,67.29,1.63,32.57,19.17,71.81,48.23,5.14
2017-01-10,巴中,32.08,1.06,22.8,42.05,28.84,20.96,4.55
2017-01-11,巴中,35.68,0.96,25.48,38.83,30.54,24.46,4.97
2017-01-12,巴中,55.93,0.92,32.42,30.54,57.98,38.25,4.45
2017-01-13,巴中,68.53,0.83,34.55,34.31,75.79,48.19,3.91
2017-01-14,巴中,87.09,0.88,35.61,24.46,92.32,63.93,3.57
2017-01-15,巴中,87.83,0.93,36.28,27.2,95.8,64.34,4.34
2017-01-16,巴中,78.32,0.88,37.08,27.69,88.81,56.4,4.15
2017-01-17,巴中,73.92,0.78,33.26,30.96,79.88,53.68,3.38
2017-01-18,巴中,79.27,0.67,35.02,28.48,83.54,58.02,3.49
2017-01-19,巴中,97.78,0.73,38.55,27.4,105.23,71.5,4.25
2017-01-20,巴中,100.72,0.64,30.66,34.18,98.72,74.9,3.57
2017-01-21,巴中,101.57,0.78,36.7,29.02,104.51,75.89,4.06
2017-01-22,巴中,112.2,0.9,36.48,30.84,113.06,84.26,4.02
2017-01-23,巴中,129.51,1.1,41.03,26.34,129.41,97.96,4.18
2017-01-24,巴中,127.69,1.26,39.19,29.41,129.28,96.48,4.19
2017-01-25,巴中,144.26,1.37,37.07,31.89,140.94,109.42,5.42
2017-01-26,巴中,159.6,1.37,29.31,24.46,151.84,122.0,3.9
2017-01-27,巴中,131.1,1.13,22.97,30.48,148.95,98.64,6.28
2017-01-28,巴中,73.15,0.92,18.97,26.71,78.51,52.87,4.92
2017-01-29,巴中,59.74,0.61,19.07,58.38,72.98,28.14,4.32
2017-01-30,巴中,66.58,0.93,22.77,27.26,81.12,42.38,3.64
2017-01-31,巴中,42.32,0.96,17.67,30.17,41.45,27.37,2.78
2017-02-01,巴中,55.09,1.22,21.08,11.92,48.36,38.85,3.14
