time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,广元,94.32,1.63,51.38,14.94,129.38,59.9,17.9
2017-01-02,广元,60.2,1.3,43.11,28.77,73.15,30.49,17.24
2017-01-03,广元,84.68,1.61,50.77,11.72,112.9,55.81,25.96
2017-01-04,广元,78.5,1.81,58.05,8.91,105.57,45.22,27.9
2017-01-05,广元,74.38,1.7,52.66,10.23,97.43,41.92,29.11
2017-01-06,广元,40.29,1.47,41.64,18.71,43.49,17.73,11.79
2017-01-07,广元,54.27,1.37,30.73,50.26,63.17,26.72,16.62
2017-01-08,广元,62.42,1.62,45.18,38.71,73.44,29.78,16.86
2017-01-09,广元,35.84,1.23,24.75,58.68,36.52,12.99,13.62
2017-01-10,广元,40.19,0.88,16.74,66.6,41.29,11.05,18.22
2017-01-11,广元,41.08,0.86,21.6,62.35,41.72,10.77,14.44
2017-01-12,广元,58.93,1.13,50.04,29.47,70.91,18.67,21.54
2017-01-13,广元,66.68,1.15,52.27,36.07,85.72,24.17,21.78
2017-01-14,广元,95.06,1.53,73.6,12.34,137.04,59.55,23.51
2017-01-15,广元,93.68,1.55,64.44,5.44,135.57,60.29,25.03
2017-01-16,广元,77.83,1.24,46.17,29.22,101.24,49.47,20.62
2017-01-17,广元,66.18,1.16,44.13,32.02,82.76,34.13,17.18
2017-01-18,广元,98.88,1.32,50.57,27.09,126.24,71.21,17.19
2017-01-19,广元,81.76,1.25,43.98,43.39,110.32,51.05,17.69
2017-01-20,广元,95.28,1.46,66.48,10.35,129.33,62.01,21.27
2017-01-21,广元,90.26,1.47,48.47,24.05,120.65,58.31,19.84
2017-01-22,广元,89.78,1.39,48.53,32.21,123.71,57.89,18.42
2017-01-23,广元,114.53,1.66,60.85,12.32,152.32,84.59,23.72
2017-01-24,广元,144.83,1.96,63.09,19.93,192.06,108.42,29.51
2017-01-25,广元,118.89,1.69,54.1,27.9,157.91,86.65,22.9
2017-01-26,广元,215.53,1.44,39.19,30.93,278.13,97.76,18.57
2017-01-27,广元,190.16,1.15,30.55,40.53,290.46,65.82,21.21
2017-01-28,广元,136.61,1.03,17.84,48.22,181.0,87.48,22.11
2017-01-29,广元,100.5,0.77,12.62,74.55,150.42,17.13,13.01
2017-01-30,广元,74.91,1.0,26.21,32.73,99.25,23.66,15.79
2017-01-31,广元,31.03,1.18,16.78,37.53,30.67,10.07,10.79
2017-02-01,广元,49.56,1.19,19.02,38.56,54.39,24.31,10.02
2017-02-02,广元,58.12,1.07,21.39,42.67,65.51,31.73,9.88
2017-02-03,广元,71.75,1.13,31.39,33.55,84.43,46.48,12.15
2017-02-04,广元,75.38,1.38,46.85,16.59,92.65,48.39,18.27
2017-02-05,广元,70.39,1.41,45.79,12.66,88.52,43.39,20.84
2017-02-06,广元,56.96,1.43,40.14,11.68,68.12,33.07,14.42
2017-02-07,广元,30.27,1.09,16.74,60.61,29.37,7.65,9.26
2017-02-08,广元,53.42,0.68,16.61,75.27,60.09,6.82,9.49
2017-02-09,广元,50.01,0.91,39.79,36.57,54.42,12.71,15.59
2017-02-10,广元,57.51,0.96,38.03,39.97,66.64,18.17,19.91
2017-02-11,广元,53.38,0.8,30.12,46.91,59.5,18.64,11.6
2017-02-12,广元,56.16,0.9,32.89,37.97,64.35,26.3,16.82
2017-02-13,广元,76.69,1.17,50.78,19.57,98.17,47.67,25.8
2017-02-14,广元,67.26,1.05,52.31,29.2,85.35,30.72,20.49
2017-02-15,广元,83.04,1.06,36.51,35.69,106.1,54.84,15.05
2017-02-16,广元,103.97,1.25,48.32,34.35,133.8,74.79,20.0
2017-02-17,广元,105.95,1.36,48.6,35.3,147.95,60.75,22.67
2017-02-18,广元,101.41,1.42,59.14,19.26,144.43,62.46,24.22
2017-02-19,广元,113.85,1.5,54.24,27.55,158.51,80.14,22.34
2017-02-20,广元,99.01,1.6,64.43,7.64,128.55,69.7,23.9
2017-02-21,广元,54.15,0.84,16.92,64.32,75.99,17.93,11.3
2017-02-22,广元,92.15,0.72,13.63,87.76,133.75,21.02,10.96
2017-02-23,广元,55.83,0.86,28.99,60.99,65.38,10.47,16.74
2017-02-24,广元,50.07,0.97,27.27,42.99,54.71,14.57,15.31
2017-02-25,广元,53.99,0.99,28.92,45.98,60.23,19.85,20.01
2017-02-26,广元,59.98,1.02,34.72,43.0,70.77,26.46,24.73
2017-02-27,广元,71.42,1.1,34.5,42.68,87.89,39.92,18.45
2017-02-28,广元,64.52,1.12,39.72,50.06,78.91,30.63,21.82
2017-03-01,广元,146.52,1.03,38.26,51.11,209.65,28.23,15.33
2017-03-02,广元,81.82,1.11,53.82,36.21,113.46,20.71,25.85
2017-03-03,广元,83.3,1.0,44.07,60.89,115.91,32.14,21.68
2017-03-04,广元,69.29,1.06,45.82,35.03,88.27,33.11,20.39
2017-03-05,广元,61.35,0.94,33.61,66.59,73.16,21.83,15.94
2017-03-06,广元,60.2,1.08,42.78,47.41,71.28,21.77,17.52
2017-03-07,广元,59.39,0.98,36.45,41.64,67.23,30.0,18.91
2017-03-08,广元,54.84,0.9,31.75,40.71,58.84,28.63,15.72
2017-03-09,广元,77.16,1.27,49.93,9.57,97.93,44.69,26.61
2017-03-10,广元,72.91,1.22,52.43,13.85,91.07,36.95,28.74
2017-03-11,广元,68.43,1.12,53.64,13.28,77.56,37.58,19.85
2017-03-12,广元,25.45,0.82,22.93,61.65,16.25,10.18,14.36
2017-03-13,广元,31.34,0.93,17.88,82.29,23.92,9.78,14.9
2017-03-14,广元,33.58,0.89,26.49,73.0,29.44,12.21,13.04
2017-03-15,广元,27.3,0.78,27.52,53.24,20.34,11.63,11.33
2017-03-16,广元,40.61,1.02,41.97,25.78,41.84,17.54,12.69
2017-03-17,广元,49.38,1.16,42.09,31.73,49.38,21.75,14.91
2017-03-18,广元,54.3,1.33,46.33,13.48,60.3,24.75,17.59
2017-03-19,广元,42.41,1.23,43.35,21.65,41.58,21.05,14.99
2017-03-20,广元,44.27,1.21,33.71,56.02,41.53,17.5,18.02
2017-03-21,广元,51.23,1.16,50.72,31.1,55.21,20.21,14.86
2017-03-22,广元,45.66,1.07,51.57,17.59,48.34,22.12,17.79
2017-03-23,广元,56.51,1.14,39.59,28.47,63.97,27.17,16.71
2017-03-24,广元,89.4,0.89,24.25,74.44,132.55,22.38,14.86
2017-03-25,广元,104.26,0.87,35.51,50.54,158.02,33.09,21.05
2017-03-26,广元,81.32,0.88,36.28,59.21,112.1,28.72,17.55
2017-03-27,广元,58.13,0.95,32.57,65.9,67.8,21.01,19.34
2017-03-28,广元,71.01,0.98,39.04,64.86,87.57,34.99,22.49
2017-03-29,广元,56.77,0.99,53.45,24.74,63.2,30.14,19.99
2017-03-30,广元,37.17,0.71,22.48,80.02,33.47,12.65,14.78
2017-03-31,广元,57.39,0.83,46.17,37.32,67.97,19.58,29.56
2017-04-01,广元,57.1,0.77,41.24,42.94,65.21,17.76,23.99
2017-04-02,广元,77.61,1.01,61.79,14.39,106.17,31.66,28.77
2017-04-03,广元,54.16,0.88,48.59,18.89,60.04,30.07,23.48
2017-04-04,广元,40.68,0.74,28.91,51.68,38.52,20.07,19.58
2017-04-05,广元,47.17,0.7,26.16,54.51,50.69,17.97,21.55
2017-04-06,广元,49.95,0.77,32.34,37.07,54.8,23.78,20.03
2017-04-07,广元,49.57,0.96,45.65,18.14,56.47,16.36,19.2
2017-04-08,广元,28.45,0.61,19.41,65.91,26.06,8.22,13.46
2017-04-09,广元,25.48,0.5,17.15,74.67,16.26,6.69,14.03
2017-04-10,广元,38.83,0.56,19.95,96.29,27.76,11.33,14.31
2017-04-11,广元,38.98,0.47,28.07,66.2,38.93,13.55,14.01
2017-04-12,广元,37.11,0.55,28.97,59.12,36.27,11.16,13.85
2017-04-13,广元,53.12,0.67,30.8,74.7,57.71,20.0,17.84
2017-04-14,广元,62.45,0.71,38.91,83.7,72.27,22.97,19.3
2017-04-15,广元,71.47,0.74,45.38,60.93,92.1,28.88,19.01
2017-04-16,广元,63.54,0.46,19.0,90.29,83.07,15.78,10.35
2017-04-17,广元,99.91,0.56,29.3,65.83,148.8,36.98,14.31
2017-04-18,广元,69.57,0.59,25.77,77.78,87.62,25.12,18.12
2017-04-19,广元,70.86,0.73,32.86,67.67,91.39,21.73,18.86
2017-04-20,广元,43.2,0.77,26.6,76.22,43.19,6.92,9.54
2017-04-21,广元,56.51,0.88,39.52,51.75,68.02,13.02,18.61
2017-04-22,广元,44.61,0.76,26.8,80.19,44.56,9.81,14.75
2017-04-23,广元,47.41,0.77,34.8,70.73,49.77,12.26,13.16
2017-04-24,广元,60.55,0.96,53.99,27.05,74.39,21.99,20.68
2017-04-25,广元,55.8,0.9,42.11,45.34,63.19,17.73,12.85
2017-04-26,广元,49.25,0.78,39.5,59.61,52.04,15.4,11.23
2017-04-27,广元,35.35,0.62,27.49,82.01,30.36,7.59,10.49
2017-04-28,广元,43.59,0.68,25.99,84.88,43.86,14.04,14.65
2017-04-29,广元,48.67,0.73,29.99,82.89,50.15,14.26,15.25
2017-04-30,广元,52.77,0.77,34.68,88.28,54.73,16.36,18.32
2017-05-01,广元,52.75,0.79,34.58,88.76,56.12,16.4,16.35
2017-05-02,广元,49.51,0.89,40.22,50.71,53.74,21.36,16.49
2017-05-03,广元,49.1,0.65,17.19,93.26,52.2,10.86,10.02
2017-05-04,广元,93.73,0.74,39.39,51.01,136.82,28.26,17.65
2017-05-05,广元,117.75,0.71,37.21,49.42,184.92,49.61,12.43
2017-05-06,广元,61.65,0.65,18.6,85.54,73.59,18.31,12.45
2017-05-07,广元,36.1,0.69,23.86,54.68,36.53,9.95,12.28
2017-05-08,广元,48.66,0.79,28.81,57.31,50.42,10.99,13.02
2017-05-09,广元,58.82,0.86,34.71,69.06,68.18,21.17,18.69
2017-05-10,广元,57.26,0.96,49.24,44.41,67.4,19.22,20.96
2017-05-11,广元,39.5,0.77,29.97,75.29,39.68,9.66,12.96
2017-05-12,广元,52.11,0.87,36.59,74.72,56.49,14.45,16.86
2017-05-13,广元,63.85,0.92,37.7,88.33,74.08,27.42,20.05
2017-05-14,广元,46.5,0.77,29.71,93.97,45.43,11.05,13.53
2017-05-15,广元,36.91,0.66,26.88,74.23,32.97,7.57,13.83
2017-05-16,广元,42.45,0.87,35.53,75.18,37.71,9.04,15.05
2017-05-17,广元,55.22,0.94,48.22,76.38,60.89,18.33,17.41
2017-05-18,广元,51.49,0.95,44.21,58.38,50.72,22.42,11.5
2017-05-19,广元,43.4,0.85,36.74,55.88,45.48,13.87,13.3
2017-05-20,广元,70.55,1.16,54.22,17.84,82.46,41.48,16.95
2017-05-21,广元,48.64,1.15,36.93,20.16,51.89,16.24,18.25
2017-05-22,广元,43.72,0.88,25.62,36.28,33.94,23.23,11.25
2017-05-23,广元,39.45,0.75,22.23,79.38,36.81,10.61,11.09
2017-05-24,广元,52.36,0.88,34.76,56.3,56.34,18.11,13.64
2017-05-25,广元,70.38,0.94,35.09,77.34,75.88,36.92,20.22
2017-05-26,广元,70.26,0.87,39.58,86.25,77.03,38.65,13.75
2017-05-27,广元,53.89,0.6,37.63,85.8,53.3,19.57,23.8
2017-05-28,广元,83.54,0.73,41.96,93.6,104.43,54.43,18.69
2017-05-29,广元,89.06,0.76,52.12,38.19,103.47,61.7,16.65
2017-05-30,广元,62.38,0.76,27.32,67.96,70.26,35.92,20.25
2017-05-31,广元,70.64,0.77,32.06,66.86,79.07,42.46,17.26
2017-06-01,广元,48.9,0.5,30.18,61.82,51.8,16.8,19.1
2017-06-02,广元,66.82,0.67,35.02,52.28,77.24,37.96,23.05
2017-06-03,广元,72.56,0.78,44.54,35.35,90.33,44.38,19.56
2017-06-04,广元,26.81,0.65,28.99,70.5,19.34,5.32,12.69
2017-06-05,广元,31.74,0.64,24.93,78.05,28.39,6.21,17.07
2017-06-06,广元,37.93,0.47,31.07,79.61,34.75,7.9,21.54
2017-06-07,广元,58.7,0.51,42.9,67.69,69.55,21.16,24.75
2017-06-08,广元,45.0,0.43,33.22,64.75,47.38,15.48,16.68
2017-06-09,广元,33.85,0.52,32.33,36.81,31.3,10.71,15.45
2017-06-10,广元,38.82,0.46,34.43,68.01,39.01,8.22,15.49
2017-06-11,广元,41.21,0.51,35.47,52.97,41.76,10.81,15.97
2017-06-12,广元,34.09,0.48,25.44,84.2,32.23,9.92,14.68
2017-06-13,广元,39.64,0.62,23.01,66.04,38.96,17.78,18.83
2017-06-14,广元,34.67,0.6,29.29,65.4,32.04,13.67,15.43
2017-06-15,广元,42.04,0.58,25.31,69.94,42.95,12.9,17.87
2017-06-16,广元,38.75,0.51,21.51,64.86,38.67,13.4,18.9
2017-06-17,广元,45.8,0.51,23.72,66.09,47.66,15.57,20.89
2017-06-18,广元,49.69,0.46,26.05,64.78,52.07,17.47,23.8
2017-06-19,广元,51.73,0.52,22.39,83.44,55.58,22.48,24.27
