time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,广安,167.0,1.35,40.35,12.25,224.11,127.24,34.84
2017-01-02,广安,200.34,1.47,43.63,15.73,257.05,145.8,37.25
2017-01-03,广安,157.15,1.56,41.94,15.06,201.54,115.06,17.03
2017-01-04,广安,177.93,1.61,47.41,8.84,227.23,130.9,37.55
2017-01-05,广安,191.53,1.48,41.74,11.45,236.61,143.29,33.54
2017-01-06,广安,117.86,1.33,29.38,17.79,146.97,84.09,28.62
2017-01-07,广安,88.2,1.5,31.84,16.87,106.25,55.49,29.83
2017-01-08,广安,69.96,1.67,38.61,21.3,89.52,37.98,28.01
2017-01-09,广安,96.14,1.7,33.55,12.3,118.31,66.83,31.64
2017-01-10,广安,39.24,1.0,13.65,36.76,40.36,19.8,11.52
2017-01-11,广安,30.38,0.77,13.22,43.01,29.46,15.65,5.42
2017-01-12,广安,54.31,0.86,26.52,41.83,65.08,29.33,18.6
2017-01-13,广安,75.71,1.05,37.22,25.3,98.9,44.16,19.78
2017-01-14,广安,99.46,1.19,40.99,15.48,133.57,63.45,21.8
2017-01-15,广安,90.77,1.17,35.83,32.55,121.43,54.01,21.61
2017-01-16,广安,94.57,1.06,36.82,35.08,127.2,61.02,12.25
2017-01-17,广安,94.68,1.09,31.53,35.44,124.92,62.34,15.62
2017-01-18,广安,92.98,1.07,30.08,47.44,120.26,60.99,17.38
2017-01-19,广安,118.33,1.34,44.52,17.87,165.26,80.13,21.53
2017-01-20,广安,130.72,1.33,33.67,22.56,170.02,95.68,15.51
2017-01-21,广安,122.28,1.36,32.58,34.83,158.35,87.68,12.22
2017-01-22,广安,131.57,1.51,34.38,38.0,174.08,95.76,9.7
2017-01-23,广安,139.62,1.55,35.58,21.92,181.34,101.24,7.18
2017-01-24,广安,179.03,1.78,41.64,26.09,223.25,133.87,12.83
2017-01-25,广安,140.62,1.63,37.37,40.14,178.11,102.28,13.96
2017-01-26,广安,147.68,1.65,42.05,23.92,183.0,108.32,8.35
2017-01-27,广安,202.94,1.66,30.97,31.72,243.88,153.38,15.68
2017-01-28,广安,124.07,1.31,21.06,31.65,157.73,88.88,13.41
2017-01-29,广安,57.02,1.14,15.84,46.54,64.29,30.67,5.9
2017-01-30,广安,59.8,1.32,23.43,26.43,69.43,32.83,5.99
2017-01-31,广安,69.03,1.13,16.38,46.3,84.44,41.15,7.33
2017-02-01,广安,76.31,1.17,15.28,35.58,86.03,51.97,7.88
2017-02-02,广安,56.07,1.18,16.92,32.07,62.47,31.47,7.64
2017-02-03,广安,64.85,1.31,24.83,32.8,75.28,39.9,8.42
2017-02-04,广安,80.28,1.36,25.71,41.96,97.27,53.95,9.68
2017-02-05,广安,78.6,1.38,27.13,34.03,95.12,52.84,8.9
2017-02-06,广安,102.54,1.46,26.85,20.88,128.72,73.16,10.13
2017-02-07,广安,56.48,1.28,17.52,28.78,63.79,35.67,5.7
2017-02-08,广安,47.77,1.02,20.44,60.11,51.86,23.2,9.78
2017-02-09,广安,77.88,0.92,36.08,25.85,97.1,45.85,16.16
2017-02-10,广安,114.12,1.11,37.4,25.53,144.39,84.37,20.47
2017-02-11,广安,74.67,0.96,31.07,46.37,89.3,46.59,11.98
2017-02-12,广安,78.43,1.01,29.46,44.15,93.93,49.81,12.74
2017-02-13,广安,82.79,1.01,34.15,29.7,103.9,51.49,11.52
2017-02-14,广安,124.95,1.25,41.36,16.26,162.55,89.18,15.18
2017-02-15,广安,132.69,1.33,43.98,33.33,177.82,93.39,17.84
2017-02-16,广安,105.31,1.05,31.35,60.58,133.37,70.69,15.23
2017-02-17,广安,108.77,1.06,35.23,51.08,137.5,73.55,20.77
2017-02-18,广安,132.97,1.33,34.26,24.9,162.7,95.1,16.61
2017-02-19,广安,150.02,1.36,32.88,42.63,177.31,104.39,27.85
2017-02-20,广安,126.54,1.32,35.56,30.5,148.11,94.46,28.34
2017-02-21,广安,49.93,0.92,16.89,43.83,49.86,30.42,10.19
