time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,德阳,146.23,1.16,47.87,19.35,171.51,110.7,12.72
2017-01-02,德阳,185.41,1.32,55.75,45.99,211.68,142.96,17.19
2017-01-03,德阳,161.07,1.19,56.39,26.36,185.24,121.65,12.12
2017-01-04,德阳,230.49,1.54,67.08,15.29,266.83,181.12,15.77
2017-01-05,德阳,268.13,1.96,83.22,33.14,313.14,221.86,16.68
2017-01-06,德阳,180.88,1.36,43.81,20.84,196.9,141.31,9.69
2017-01-07,德阳,69.85,1.18,31.51,38.97,79.13,47.69,9.23
2017-01-08,德阳,103.49,1.27,42.82,30.41,119.73,75.99,12.42
2017-01-09,德阳,83.95,1.04,33.66,36.26,94.48,59.91,8.32
2017-01-10,德阳,47.18,0.6,17.77,57.57,48.32,28.64,5.99
2017-01-11,德阳,59.81,0.59,31.05,40.02,63.8,35.91,9.19
2017-01-12,德阳,92.97,0.85,54.76,29.22,113.72,66.7,14.01
2017-01-13,德阳,100.93,0.79,44.7,48.09,118.89,73.35,13.94
2017-01-14,德阳,140.71,1.06,56.67,29.03,155.94,106.3,13.77
2017-01-15,德阳,125.79,0.97,38.32,26.12,133.27,94.76,9.45
2017-01-16,德阳,100.83,0.88,33.58,34.26,105.15,74.96,6.47
2017-01-17,德阳,119.68,1.11,39.48,25.99,131.18,89.5,9.68
2017-01-18,德阳,107.06,0.76,31.62,40.42,123.29,79.81,6.57
2017-01-19,德阳,118.25,0.91,36.83,25.73,131.43,87.92,10.58
2017-01-20,德阳,130.97,1.09,43.94,22.59,144.16,99.85,11.72
2017-01-21,德阳,137.44,1.01,39.49,40.97,152.43,102.99,10.66
2017-01-22,德阳,183.46,1.29,49.85,31.67,196.6,138.14,9.99
2017-01-23,德阳,225.79,1.51,43.84,32.88,244.78,177.59,11.1
2017-01-24,德阳,203.83,1.25,41.3,45.73,214.64,157.53,11.28
2017-01-25,德阳,212.84,1.33,45.11,51.64,232.09,166.18,12.48
2017-01-26,德阳,214.6,1.33,37.94,53.18,222.91,166.4,8.28
2017-01-27,德阳,244.4,1.47,40.32,34.34,286.08,191.96,11.65
2017-01-28,德阳,227.66,1.22,20.51,38.45,279.67,177.47,12.09
2017-01-29,德阳,126.14,0.94,23.01,50.3,177.71,85.95,8.97
2017-01-30,德阳,102.97,0.94,21.72,45.75,138.73,72.43,6.47
2017-01-31,德阳,67.29,0.99,14.32,34.69,77.39,45.74,4.73
2017-02-01,德阳,71.76,0.96,14.85,31.12,66.76,50.71,3.98
2017-02-02,德阳,81.86,0.87,10.99,35.29,87.76,59.07,4.0
2017-02-03,德阳,69.82,0.93,18.12,34.45,69.72,48.62,5.19
2017-02-04,德阳,121.84,1.22,36.71,18.42,127.2,91.7,10.95
2017-02-05,德阳,125.16,1.16,29.33,29.54,130.73,94.24,7.8
2017-02-06,德阳,130.14,1.15,33.02,24.76,143.94,98.36,14.31
2017-02-07,德阳,32.26,0.97,14.21,50.08,35.28,14.62,4.34
2017-02-08,德阳,62.82,0.75,31.62,38.48,73.15,32.54,7.17
2017-02-09,德阳,87.09,0.79,37.07,35.27,110.16,59.01,10.5
2017-02-10,德阳,120.06,0.99,52.57,28.69,147.75,89.54,14.49
2017-02-11,德阳,85.53,0.7,25.52,50.0,88.3,62.56,8.06
2017-02-12,德阳,118.88,0.89,35.11,37.49,124.33,88.54,8.02
2017-02-13,德阳,151.32,0.99,38.18,32.82,159.91,111.2,7.57
2017-02-14,德阳,134.69,1.01,48.34,30.05,149.42,101.12,13.72
2017-02-15,德阳,148.84,1.02,38.19,52.01,156.26,111.64,10.29
2017-02-16,德阳,186.85,1.11,41.67,53.95,197.58,142.57,9.71
2017-02-17,德阳,168.58,1.06,44.82,54.98,188.85,125.81,13.2
2017-02-18,德阳,136.76,1.12,47.84,37.91,156.82,103.42,10.98
2017-02-19,德阳,188.15,1.31,42.54,62.4,201.86,143.81,11.96
2017-02-20,德阳,143.95,1.09,39.27,46.37,154.67,108.83,8.42
2017-02-21,德阳,53.28,0.82,20.34,43.04,63.64,28.95,5.27
2017-02-22,德阳,90.81,0.6,31.57,43.32,130.57,48.66,14.2
2017-02-23,德阳,73.47,0.5,25.75,52.09,95.44,40.55,8.91
2017-02-24,德阳,82.38,0.63,35.0,40.56,96.43,56.89,8.72
2017-02-25,德阳,86.34,0.58,32.16,55.55,99.82,61.15,9.55
2017-02-26,德阳,81.46,0.67,34.04,48.27,90.15,56.67,9.17
2017-02-27,德阳,110.18,0.82,42.0,45.76,118.53,81.16,15.68
2017-02-28,德阳,112.16,0.79,39.09,60.07,129.01,81.46,13.64
2017-03-01,德阳,160.21,0.86,46.66,50.96,210.8,99.95,18.23
2017-03-02,德阳,120.11,0.87,63.97,16.0,173.32,81.1,17.2
2017-03-03,德阳,95.14,0.75,38.25,56.02,120.84,66.47,14.18
2017-03-04,德阳,95.99,0.74,28.21,61.38,98.78,69.52,9.9
2017-03-05,德阳,65.41,0.64,27.91,60.18,72.74,42.08,10.19
2017-03-06,德阳,76.75,0.72,31.79,50.51,77.54,54.6,8.88
2017-03-07,德阳,74.66,0.71,26.49,57.25,77.05,52.27,8.33
2017-03-08,德阳,79.73,0.78,30.7,47.94,86.93,57.02,8.64
2017-03-09,德阳,88.89,0.85,33.47,22.99,91.44,64.93,6.59
2017-03-10,德阳,88.44,0.95,44.46,29.7,93.22,63.78,13.86
2017-03-11,德阳,97.18,1.05,39.42,31.55,108.18,71.0,10.6
2017-03-12,德阳,38.5,0.75,18.92,56.96,37.43,21.59,4.04
2017-03-13,德阳,30.21,0.78,18.93,73.98,21.05,10.19,5.75
2017-03-14,德阳,44.57,0.74,20.77,80.26,40.96,24.67,6.24
2017-03-15,德阳,46.71,0.74,20.47,51.47,47.57,27.53,9.51
2017-03-16,德阳,52.16,0.9,28.93,34.86,56.41,33.57,6.11
2017-03-17,德阳,64.98,0.84,28.46,48.76,67.07,43.39,8.23
2017-03-18,德阳,84.0,1.04,40.89,34.48,96.01,58.71,10.19
2017-03-19,德阳,46.89,0.81,18.72,49.14,44.84,28.69,4.5
2017-03-20,德阳,71.42,0.98,29.58,56.82,73.85,48.71,9.29
2017-03-21,德阳,82.67,0.94,34.97,43.42,86.88,59.16,7.68
2017-03-22,德阳,53.85,0.74,17.2,29.64,50.44,34.51,3.81
2017-03-23,德阳,53.76,0.83,24.74,32.6,52.2,33.57,5.27
2017-03-24,德阳,73.56,0.6,30.51,51.8,104.16,31.89,6.38
2017-03-25,德阳,81.41,0.45,29.74,71.65,111.96,35.79,7.34
2017-03-26,德阳,63.46,0.67,39.43,61.36,74.08,33.39,8.28
2017-03-27,德阳,74.82,0.7,38.24,68.47,90.42,47.53,9.86
2017-03-28,德阳,98.96,0.82,44.33,77.58,124.18,69.86,11.2
2017-03-29,德阳,141.42,0.92,45.93,53.1,166.15,107.12,11.25
2017-03-30,德阳,59.25,0.64,22.14,74.0,57.21,39.11,7.02
2017-03-31,德阳,64.77,0.63,27.18,77.07,66.0,41.06,11.73
2017-04-01,德阳,72.88,0.69,35.49,59.92,82.03,46.9,16.27
2017-04-02,德阳,80.24,0.75,38.12,53.47,93.92,53.9,13.8
2017-04-03,德阳,65.08,0.63,16.58,81.32,63.48,43.82,5.13
2017-04-04,德阳,70.88,0.69,19.26,76.57,68.28,49.1,5.66
2017-04-05,德阳,70.65,0.69,20.9,76.48,73.16,48.25,7.61
2017-04-06,德阳,117.65,0.98,41.36,40.84,131.72,87.71,10.73
2017-04-07,德阳,81.4,0.83,29.33,61.51,91.46,56.08,12.38
2017-04-08,德阳,52.8,0.75,23.42,55.26,54.32,29.88,9.82
2017-04-09,德阳,32.06,0.65,12.85,69.6,28.9,12.22,6.64
2017-04-10,德阳,42.38,0.81,19.88,88.41,40.93,20.72,8.27
2017-04-11,德阳,52.24,0.6,29.47,61.77,55.73,28.79,11.77
2017-04-12,德阳,62.75,0.58,39.35,66.01,72.85,36.97,10.92
2017-04-13,德阳,85.3,0.74,43.48,89.85,101.68,55.16,14.39
2017-04-14,德阳,102.12,0.83,40.86,114.68,109.41,62.96,16.9
2017-04-15,德阳,80.21,0.68,24.75,113.0,93.14,51.74,14.02
2017-04-16,德阳,52.05,0.49,18.66,74.66,56.05,26.69,8.55
2017-04-17,德阳,72.78,0.56,41.1,53.33,100.09,32.97,12.89
2017-04-18,德阳,104.57,0.67,35.55,79.45,156.89,58.03,13.99
2017-04-19,德阳,91.65,0.57,26.6,90.24,129.26,46.93,10.77
2017-04-20,德阳,48.09,0.44,24.64,67.73,53.06,20.01,8.7
2017-04-21,德阳,54.09,0.47,27.77,72.95,59.26,21.52,9.45
2017-04-22,德阳,57.19,0.53,32.91,78.68,62.52,26.61,10.77
2017-04-23,德阳,95.58,0.72,38.04,100.81,109.6,62.8,32.16
2017-04-24,德阳,100.34,0.78,35.61,75.09,112.35,72.93,16.32
2017-04-25,德阳,62.36,0.69,25.19,67.75,64.18,40.83,7.42
2017-04-26,德阳,55.24,0.62,27.18,55.38,54.65,34.2,6.5
2017-04-27,德阳,56.64,0.55,29.19,75.25,57.08,33.6,10.77
2017-04-28,德阳,56.66,0.52,32.64,92.94,61.8,29.27,12.03
2017-04-29,德阳,75.26,0.71,37.63,90.73,80.6,49.07,10.07
2017-04-30,德阳,94.67,0.79,37.46,88.36,104.35,65.0,12.25
2017-05-01,德阳,130.07,0.86,35.75,111.26,136.21,93.49,12.54
2017-05-02,德阳,81.71,0.82,22.38,83.17,86.23,57.17,9.0
2017-05-03,德阳,40.57,0.54,17.14,100.16,33.23,14.5,7.42
