time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,攀枝花,76.38,2.49,49.22,18.32,96.41,44.39,70.72
2017-01-02,攀枝花,63.85,1.82,48.36,28.16,78.18,36.12,43.55
2017-01-03,攀枝花,79.48,2.53,57.52,11.39,107.06,49.71,73.74
2017-01-04,攀枝花,42.27,1.15,40.02,21.96,45.56,20.77,38.01
2017-01-05,攀枝花,46.22,1.51,39.47,20.07,47.78,26.52,35.49
2017-01-06,攀枝花,59.29,2.0,43.45,16.98,68.33,34.82,52.08
2017-01-07,攀枝花,54.33,1.58,42.17,24.27,61.93,29.18,52.77
2017-01-08,攀枝花,69.76,2.21,46.17,24.87,88.27,41.92,69.67
2017-01-09,攀枝花,71.83,2.18,48.96,24.08,92.51,42.55,69.69
2017-01-10,攀枝花,56.95,1.89,42.04,36.26,66.94,30.99,57.35
2017-01-11,攀枝花,66.94,2.43,49.74,28.26,80.18,40.51,45.34
2017-01-12,攀枝花,71.46,2.83,53.72,32.89,88.47,44.54,54.88
2017-01-13,攀枝花,80.26,2.54,57.43,25.27,100.18,50.17,44.38
2017-01-14,攀枝花,74.43,2.25,52.64,30.86,94.08,33.97,61.94
2017-01-15,攀枝花,80.66,2.64,53.77,31.93,104.06,47.24,68.59
2017-01-16,攀枝花,87.95,2.87,57.83,28.02,112.44,47.81,66.7
2017-01-17,攀枝花,76.9,2.24,52.5,33.35,94.3,43.04,64.15
2017-01-18,攀枝花,66.09,1.76,47.66,37.17,76.43,36.1,44.08
2017-01-19,攀枝花,78.67,2.38,53.56,31.0,98.34,49.17,65.34
2017-01-20,攀枝花,76.08,1.98,56.3,28.62,97.87,49.53,53.28
2017-01-21,攀枝花,71.5,1.33,46.23,36.46,87.03,47.94,34.87
2017-01-22,攀枝花,95.05,1.67,51.77,34.88,101.19,70.58,39.89
2017-01-23,攀枝花,89.7,2.21,53.36,29.79,100.83,65.03,37.71
2017-01-24,攀枝花,74.05,2.91,49.41,33.03,92.01,50.85,56.25
2017-01-25,攀枝花,72.32,1.84,47.39,34.16,79.36,51.15,38.95
2017-01-26,攀枝花,78.94,1.63,44.92,19.27,81.78,56.6,24.47
2017-01-27,攀枝花,70.53,1.82,35.42,30.77,82.46,49.18,32.76
2017-01-28,攀枝花,87.73,1.57,28.78,37.24,95.98,59.38,47.85
2017-01-29,攀枝花,41.87,1.05,25.53,44.95,43.65,23.83,18.89
2017-01-30,攀枝花,58.03,1.77,34.31,42.84,64.38,39.09,41.76
2017-01-31,攀枝花,57.95,1.85,36.39,37.12,66.92,37.06,32.43
2017-02-01,攀枝花,64.04,2.67,37.9,34.3,73.81,42.74,55.51
2017-02-02,攀枝花,65.27,2.79,35.93,47.61,78.04,40.39,63.09
2017-02-03,攀枝花,59.25,1.83,36.1,43.08,70.31,34.99,41.37
2017-02-04,攀枝花,65.41,2.32,43.17,37.54,81.46,34.27,51.72
2017-02-05,攀枝花,75.34,2.35,47.02,36.72,97.4,49.75,54.65
2017-02-06,攀枝花,87.59,2.8,55.76,37.17,116.78,59.95,58.57
2017-02-07,攀枝花,78.12,2.18,43.88,58.78,99.78,52.26,48.79
2017-02-08,攀枝花,60.93,0.83,35.36,45.55,72.78,31.33,31.97
2017-02-09,攀枝花,73.31,1.15,39.67,40.56,93.54,43.84,38.96
2017-02-10,攀枝花,75.88,1.17,40.98,45.18,100.0,46.84,38.59
2017-02-11,攀枝花,71.44,1.18,31.41,50.78,93.62,36.99,38.58
2017-02-12,攀枝花,70.33,1.27,41.22,47.01,89.05,47.35,51.97
2017-02-13,攀枝花,77.17,1.29,43.48,42.08,102.41,46.08,39.77
2017-02-14,攀枝花,69.91,1.19,46.53,42.83,89.78,39.87,31.16
2017-02-15,攀枝花,83.64,1.94,50.04,37.75,117.34,46.93,55.5
2017-02-16,攀枝花,61.75,1.1,38.61,43.52,73.57,33.25,45.05
2017-02-17,攀枝花,77.64,1.5,49.27,38.23,103.0,46.29,67.6
2017-02-18,攀枝花,70.65,1.27,44.38,43.32,89.92,40.92,53.21
2017-02-19,攀枝花,66.53,1.16,43.39,43.11,83.01,37.35,42.4
2017-02-20,攀枝花,68.07,1.41,41.54,42.02,88.06,39.0,33.59
2017-02-21,攀枝花,53.21,1.03,32.0,51.83,60.12,32.07,23.34
2017-02-22,攀枝花,74.9,1.48,45.7,38.82,86.65,52.45,40.26
2017-02-23,攀枝花,80.81,1.66,47.05,22.84,97.39,58.18,41.81
2017-02-24,攀枝花,70.09,1.51,39.88,31.99,80.56,47.65,53.2
2017-02-25,攀枝花,61.23,1.18,36.14,45.77,74.37,33.36,34.92
2017-02-26,攀枝花,64.18,0.95,25.82,54.99,77.1,37.71,31.69
2017-02-27,攀枝花,61.88,1.15,28.07,46.21,72.09,40.62,37.8
2017-02-28,攀枝花,64.46,1.19,34.55,44.74,77.12,42.29,50.5
2017-03-01,攀枝花,75.16,1.01,36.95,42.95,99.01,47.17,39.72
