time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,泸州,162.42,0.41,41.18,17.38,174.21,126.03,33.31
2017-01-02,泸州,154.09,0.43,39.4,41.89,164.93,116.88,31.26
2017-01-03,泸州,218.38,0.72,56.32,10.17,233.05,169.27,32.84
2017-01-04,泸州,245.56,0.68,44.6,8.21,258.37,195.89,42.56
2017-01-05,泸州,201.71,0.34,37.81,30.89,207.24,157.04,38.26
2017-01-06,泸州,198.5,0.61,60.84,15.45,224.81,153.73,35.58
2017-01-07,泸州,144.12,0.41,34.61,23.16,148.2,109.07,27.09
2017-01-08,泸州,105.19,0.62,34.75,10.91,117.01,78.36,25.65
2017-01-09,泸州,99.79,0.57,33.55,22.64,108.91,74.33,20.26
2017-01-10,泸州,47.83,0.31,21.49,22.6,47.88,30.36,7.3
2017-01-11,泸州,38.72,0.26,21.91,30.78,36.82,24.45,11.49
2017-01-12,泸州,59.98,0.34,28.79,34.12,58.24,41.9,19.03
2017-01-13,泸州,69.17,0.49,40.18,26.96,73.59,48.61,20.47
2017-01-14,泸州,98.29,0.67,52.09,7.98,104.95,73.08,26.9
2017-01-15,泸州,102.09,0.65,39.78,27.64,107.65,75.93,31.2
2017-01-16,泸州,112.6,0.66,52.14,9.01,123.01,84.61,32.76
2017-01-17,泸州,133.66,0.66,48.34,13.55,137.04,101.05,28.24
2017-01-18,泸州,156.92,0.67,42.92,16.46,159.07,118.97,23.41
2017-01-19,泸州,161.75,0.64,44.2,25.28,166.62,123.32,26.44
2017-01-20,泸州,159.31,0.65,41.64,12.84,163.93,121.31,26.7
2017-01-21,泸州,149.84,0.59,40.07,31.8,149.91,113.31,25.92
2017-01-22,泸州,174.36,0.84,51.65,11.4,189.2,134.21,30.65
2017-01-23,泸州,200.88,0.81,44.51,15.15,200.68,154.58,37.12
2017-01-24,泸州,249.51,0.98,42.28,18.82,257.09,199.88,22.59
2017-01-25,泸州,171.23,0.86,37.7,19.56,195.93,130.02,21.88
2017-01-26,泸州,226.68,1.15,43.74,5.0,235.5,178.01,19.76
2017-01-27,泸州,212.48,0.68,29.95,33.68,210.72,165.22,22.32
2017-01-28,泸州,159.92,0.5,24.55,30.1,167.98,122.78,19.09
2017-01-29,泸州,102.99,0.38,17.57,40.28,109.18,75.51,12.65
2017-01-30,泸州,77.25,0.43,24.39,12.75,78.75,55.84,12.9
2017-01-31,泸州,68.25,0.48,20.93,22.07,64.0,48.83,11.02
2017-02-01,泸州,110.43,0.49,25.86,23.62,114.11,82.44,16.15
2017-02-02,泸州,93.59,0.55,24.49,11.92,92.33,69.25,10.82
2017-02-03,泸州,79.98,0.64,29.2,12.33,88.53,57.93,14.22
2017-02-04,泸州,92.71,0.59,29.76,35.2,94.31,68.52,18.32
2017-02-05,泸州,91.82,0.54,31.38,38.55,88.99,67.91,18.38
2017-02-06,泸州,100.93,0.52,27.73,35.56,104.51,75.1,13.0
2017-02-07,泸州,65.73,0.46,23.13,28.83,67.78,46.54,13.36
2017-02-08,泸州,47.0,0.29,21.69,56.65,46.87,29.4,13.02
2017-02-09,泸州,78.53,0.31,37.49,28.73,85.02,56.01,19.76
2017-02-10,泸州,106.79,0.49,35.79,14.56,111.82,79.41,27.08
2017-02-11,泸州,99.88,0.4,28.93,36.62,102.09,74.49,16.43
2017-02-12,泸州,90.07,0.43,33.03,41.23,88.94,66.38,19.0
2017-02-13,泸州,119.28,0.55,43.61,26.03,122.53,88.89,24.35
2017-02-14,泸州,159.19,0.59,38.23,32.15,161.04,120.54,27.93
2017-02-15,泸州,160.1,0.63,45.79,37.18,162.89,121.43,30.18
2017-02-16,泸州,164.88,0.78,48.47,41.28,173.63,124.85,24.04
2017-02-17,泸州,155.8,0.76,49.04,47.25,164.23,118.2,31.67
2017-02-18,泸州,178.65,0.72,47.51,32.3,188.72,134.97,31.91
2017-02-19,泸州,148.49,0.6,35.16,63.89,156.4,111.98,25.59
2017-02-20,泸州,163.95,0.74,43.55,49.4,170.05,125.17,27.45
2017-02-21,泸州,95.65,0.57,30.54,30.69,107.55,69.44,16.07
2017-02-22,泸州,55.3,0.28,26.76,43.38,61.86,30.98,14.41
2017-02-23,泸州,59.14,0.29,38.27,23.73,66.6,36.19,20.98
2017-02-24,泸州,66.81,0.35,33.46,22.48,75.54,46.03,23.68
2017-02-25,泸州,70.52,0.42,36.72,25.26,74.17,50.24,24.26
2017-02-26,泸州,70.0,0.52,35.97,28.54,72.74,49.42,21.85
2017-02-27,泸州,74.76,0.5,36.6,36.18,74.92,54.14,25.39
2017-02-28,泸州,93.28,0.61,40.58,46.97,101.84,68.51,22.25
2017-03-01,泸州,98.16,0.67,45.81,47.0,113.09,70.18,32.7
2017-03-02,泸州,129.6,0.76,57.37,16.72,147.78,97.75,40.95
2017-03-03,泸州,130.62,0.6,42.75,38.85,155.85,98.65,35.14
2017-03-04,泸州,142.35,0.65,48.62,52.66,169.59,107.27,29.58
2017-03-05,泸州,106.6,0.53,35.99,34.12,116.3,79.85,18.42
