time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,甘孜州,57.61,0.75,54.86,40.19,54.24,37.33,28.58
2017-01-02,甘孜州,48.12,0.58,29.7,49.02,46.03,29.52,23.07
2017-01-03,甘孜州,52.92,0.75,56.58,43.88,52.84,34.08,25.65
2017-01-04,甘孜州,49.94,0.7,47.96,45.06,52.2,30.79,26.92
2017-01-05,甘孜州,46.63,0.62,46.63,46.41,44.51,27.61,24.74
2017-01-06,甘孜州,48.04,0.68,50.04,46.71,49.13,28.88,25.23
2017-01-07,甘孜州,50.65,0.65,50.02,46.48,50.23,31.0,24.87
2017-01-08,甘孜州,44.59,0.85,28.59,49.26,41.25,27.98,22.48
2017-01-09,甘孜州,37.95,1.01,27.59,49.7,37.08,22.39,26.07
2017-01-10,甘孜州,30.08,0.9,22.5,49.06,29.6,16.73,28.44
2017-01-11,甘孜州,26.67,0.72,23.1,44.33,24.11,16.42,22.15
2017-01-12,甘孜州,42.56,0.49,19.17,52.52,43.94,26.17,21.48
2017-01-13,甘孜州,45.0,0.45,25.69,51.83,44.05,25.83,21.83
2017-01-14,甘孜州,51.88,0.48,27.96,51.96,46.55,34.73,21.85
2017-01-15,甘孜州,64.6,0.67,45.9,49.96,61.65,45.31,25.73
2017-01-16,甘孜州,53.12,0.68,28.19,51.17,51.6,35.42,22.23
2017-01-17,甘孜州,34.38,0.84,23.65,53.25,30.94,21.92,21.04
2017-01-18,甘孜州,43.98,0.74,23.74,54.47,39.63,27.96,22.0
2017-01-19,甘孜州,38.96,0.75,27.21,53.83,36.0,24.62,22.33
2017-01-20,甘孜州,31.04,0.71,21.0,52.35,27.41,19.08,20.35
2017-01-21,甘孜州,44.9,0.68,27.96,48.44,45.59,25.88,21.9
2017-01-22,甘孜州,48.44,0.62,31.08,49.52,51.16,27.0,20.85
2017-01-23,甘孜州,50.06,0.59,22.44,55.71,50.85,28.71,21.33
2017-01-24,甘孜州,59.31,0.8,28.79,42.94,55.0,41.62,22.44
2017-01-25,甘孜州,46.46,0.73,38.65,44.19,46.58,28.44,23.42
2017-01-26,甘孜州,37.85,0.7,18.08,42.73,38.96,22.0,20.77
2017-01-27,甘孜州,51.69,0.8,17.04,52.88,50.9,34.15,18.73
2017-01-28,甘孜州,120.46,0.59,25.02,48.69,148.55,105.33,35.1
2017-01-29,甘孜州,43.59,0.77,18.24,51.13,40.36,25.57,17.76
2017-01-30,甘孜州,44.04,0.72,17.21,44.06,45.33,25.88,19.48
2017-01-31,甘孜州,52.17,0.72,17.02,44.6,51.93,33.21,18.25
2017-02-01,甘孜州,29.94,0.63,14.92,55.06,28.6,16.0,15.75
2017-02-02,甘孜州,32.06,0.66,23.25,49.69,31.23,19.17,18.88
2017-02-03,甘孜州,30.6,0.53,23.88,52.15,29.73,14.19,23.42
2017-02-04,甘孜州,30.17,0.5,30.7,51.65,28.8,13.54,23.26
2017-02-05,甘孜州,30.65,0.54,34.48,52.63,29.79,12.24,25.91
2017-02-06,甘孜州,36.92,0.57,34.23,54.23,35.67,14.96,24.17
2017-02-07,甘孜州,27.05,0.83,13.05,53.82,26.24,14.18,20.05
2017-02-08,甘孜州,23.26,0.79,13.65,46.13,22.91,10.7,19.26
2017-02-09,甘孜州,34.75,0.6,16.52,49.46,34.18,18.81,19.71
2017-02-10,甘孜州,29.69,0.56,14.54,59.79,28.14,15.23,19.44
2017-02-11,甘孜州,35.73,0.58,22.56,64.52,32.33,22.31,23.69
