time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,绵阳,126.72,1.24,51.22,16.8,133.93,95.77,13.72
2017-01-02,绵阳,154.88,1.47,53.6,28.56,158.62,117.49,17.89
2017-01-03,绵阳,171.33,1.59,62.29,14.61,172.62,129.79,15.42
2017-01-04,绵阳,210.98,1.76,66.95,10.92,219.46,162.29,16.97
2017-01-05,绵阳,187.67,1.54,47.47,21.32,196.56,146.56,14.47
2017-01-06,绵阳,98.33,1.18,33.2,19.86,95.03,73.39,8.95
2017-01-07,绵阳,53.86,1.22,35.25,39.74,52.13,38.68,10.5
2017-01-08,绵阳,90.07,1.27,51.25,26.12,98.93,65.46,13.26
2017-01-09,绵阳,77.72,1.08,35.46,36.33,75.47,57.1,10.14
2017-01-10,绵阳,40.23,0.78,24.31,53.65,35.72,26.83,9.56
2017-01-11,绵阳,45.68,0.7,32.34,46.19,44.04,31.23,9.75
2017-01-12,绵阳,89.53,1.13,55.19,24.86,99.73,66.02,16.39
2017-01-13,绵阳,113.45,1.25,51.44,33.8,123.65,85.14,15.95
2017-01-14,绵阳,147.12,1.26,59.06,27.58,150.84,111.23,15.49
2017-01-15,绵阳,114.31,1.18,44.57,20.94,113.0,86.04,12.05
2017-01-16,绵阳,97.57,1.09,44.98,25.84,90.96,72.78,10.5
2017-01-17,绵阳,93.86,1.17,41.09,23.58,95.1,69.82,13.23
2017-01-18,绵阳,113.22,1.11,50.72,14.29,115.83,85.07,13.16
2017-01-19,绵阳,113.34,1.2,48.68,20.06,116.36,85.32,14.27
2017-01-20,绵阳,121.6,1.29,44.6,23.39,125.08,91.98,13.94
2017-01-21,绵阳,128.8,1.4,50.68,27.6,126.85,97.46,14.59
2017-01-22,绵阳,178.61,1.57,60.72,19.45,171.99,136.14,14.92
2017-01-23,绵阳,222.39,1.74,47.2,22.46,205.9,173.9,14.44
2017-01-24,绵阳,200.4,1.71,57.79,28.27,185.09,154.97,13.72
2017-01-25,绵阳,205.31,1.6,49.31,40.9,189.69,160.65,14.65
2017-01-26,绵阳,194.62,1.53,59.06,26.09,171.33,147.19,13.4
2017-01-27,绵阳,203.65,1.4,44.65,28.49,215.09,158.29,14.78
2017-01-28,绵阳,213.29,1.32,32.8,25.76,233.66,169.58,16.15
2017-01-29,绵阳,136.75,1.01,31.02,35.05,156.4,99.32,12.87
2017-01-30,绵阳,107.28,1.04,33.95,30.61,126.07,80.18,11.04
2017-01-31,绵阳,54.66,0.98,20.36,33.82,52.33,38.01,9.9
2017-02-01,绵阳,64.98,1.07,22.95,24.38,55.14,46.69,8.9
2017-02-02,绵阳,64.76,1.01,18.0,31.81,56.79,46.51,8.11
2017-02-03,绵阳,56.68,1.07,25.92,30.18,47.4,39.96,8.9
2017-02-04,绵阳,117.34,1.39,40.48,16.39,105.03,88.59,13.18
2017-02-05,绵阳,127.97,1.45,41.01,17.72,113.15,96.94,12.36
2017-02-06,绵阳,98.07,1.33,36.16,21.18,92.4,73.09,13.59
2017-02-07,绵阳,28.38,1.04,17.72,49.3,26.77,14.48,9.51
2017-02-08,绵阳,57.94,0.71,38.22,39.97,65.36,32.24,10.54
2017-02-09,绵阳,76.62,0.9,39.54,33.27,87.99,54.92,12.51
2017-02-10,绵阳,102.68,0.94,50.18,28.2,111.15,76.77,18.33
2017-02-11,绵阳,73.35,0.73,27.92,49.75,67.26,53.36,10.86
2017-02-12,绵阳,98.36,1.07,44.71,24.7,91.0,73.33,11.34
2017-02-13,绵阳,151.96,1.22,50.19,19.88,142.24,114.77,12.07
2017-02-14,绵阳,115.57,1.34,50.35,19.73,110.39,87.03,16.76
2017-02-15,绵阳,109.16,1.22,37.6,40.28,101.71,81.94,13.18
2017-02-16,绵阳,138.26,1.31,45.16,43.71,127.6,104.77,13.24
2017-02-17,绵阳,142.16,1.48,52.44,32.6,143.81,106.68,16.55
2017-02-18,绵阳,110.7,1.51,51.46,24.19,119.67,83.98,16.35
2017-02-19,绵阳,139.62,1.51,48.96,38.52,141.81,105.73,14.01
2017-02-20,绵阳,126.95,1.41,49.4,26.3,123.9,95.41,9.62
2017-02-21,绵阳,52.51,1.0,19.98,49.24,80.18,32.07,5.25
2017-02-22,绵阳,85.16,0.84,38.75,42.69,119.71,52.16,7.39
2017-02-23,绵阳,72.52,0.83,36.86,37.49,93.41,47.46,8.03
2017-02-24,绵阳,66.26,0.86,36.0,37.73,73.6,46.43,6.52
2017-02-25,绵阳,92.04,1.07,41.83,42.57,97.93,68.32,9.44
2017-02-26,绵阳,77.32,1.15,36.64,47.0,74.14,56.56,9.28
2017-02-27,绵阳,116.16,1.38,47.52,33.86,115.79,87.59,10.38
2017-02-28,绵阳,120.56,1.45,53.71,34.54,121.69,90.76,11.71
2017-03-01,绵阳,127.47,1.19,54.98,34.41,162.59,82.46,12.03
2017-03-02,绵阳,123.1,1.22,65.75,7.95,182.36,87.62,17.38
2017-03-03,绵阳,78.55,0.94,42.01,46.51,92.56,55.95,10.65
2017-03-04,绵阳,73.83,1.01,37.76,40.48,77.58,53.53,10.27
2017-03-05,绵阳,56.39,0.97,42.69,47.62,58.43,38.55,10.09
2017-03-06,绵阳,65.9,0.94,33.11,48.98,64.78,46.98,10.62
2017-03-07,绵阳,59.95,0.94,33.98,48.42,60.59,42.1,10.45
2017-03-08,绵阳,60.96,0.86,37.45,37.8,57.69,43.14,7.9
2017-03-09,绵阳,70.25,0.95,36.7,23.01,63.24,51.07,6.07
2017-03-10,绵阳,64.1,1.16,49.96,16.72,66.69,45.45,11.23
2017-03-11,绵阳,82.14,1.18,43.6,21.65,93.48,60.25,9.22
2017-03-12,绵阳,31.32,0.89,21.5,50.19,25.65,18.4,4.9
2017-03-13,绵阳,26.65,0.87,19.32,80.29,13.46,7.91,6.79
2017-03-14,绵阳,32.35,0.94,25.76,77.57,28.56,20.59,7.55
2017-03-15,绵阳,32.52,0.94,19.31,53.48,28.48,21.41,4.95
2017-03-16,绵阳,45.47,1.12,27.88,35.36,41.78,30.38,6.52
2017-03-17,绵阳,47.37,1.22,37.45,40.69,47.57,29.36,5.43
2017-03-18,绵阳,62.32,1.34,39.19,29.08,66.36,43.89,8.62
2017-03-19,绵阳,41.89,1.21,26.18,42.32,38.14,28.93,4.53
2017-03-20,绵阳,57.04,1.38,38.74,38.67,59.08,39.71,8.92
2017-03-21,绵阳,76.29,1.34,46.3,30.04,80.42,55.31,8.33
2017-03-22,绵阳,43.55,1.11,22.75,34.41,36.87,29.82,4.71
2017-03-23,绵阳,45.8,1.07,30.37,28.17,43.49,31.3,5.69
2017-03-24,绵阳,65.21,0.82,41.04,38.52,84.99,33.65,5.97
2017-03-25,绵阳,77.32,0.57,27.48,72.34,104.09,40.98,6.94
2017-03-26,绵阳,65.84,0.79,39.48,54.98,80.26,41.61,8.9
2017-03-27,绵阳,79.11,0.96,42.89,47.72,97.61,56.61,9.82
2017-03-28,绵阳,74.76,0.91,36.86,64.29,87.33,52.8,7.44
2017-03-29,绵阳,96.06,0.96,40.93,45.85,107.82,70.35,10.29
2017-03-30,绵阳,40.27,0.81,31.5,60.5,36.49,24.43,5.08
2017-03-31,绵阳,52.85,0.89,38.45,53.59,53.7,34.05,7.93
2017-04-01,绵阳,57.51,0.88,49.21,38.91,64.68,35.99,6.2
2017-04-02,绵阳,67.33,0.97,49.66,41.17,77.92,46.74,8.31
2017-04-03,绵阳,44.09,0.75,18.44,72.23,39.51,30.42,4.67
2017-04-04,绵阳,52.05,0.77,24.09,64.4,47.21,36.32,4.79
