time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,自贡,219.31,1.16,37.31,36.3,201.47,170.24,25.09
2017-01-02,自贡,240.43,1.48,47.65,50.62,234.58,192.18,29.4
2017-01-03,自贡,254.99,1.52,58.07,27.11,244.49,204.99,36.14
2017-01-04,自贡,243.47,1.43,53.94,25.5,227.13,193.93,32.02
2017-01-05,自贡,254.27,1.53,53.59,52.51,247.57,206.41,34.89
2017-01-06,自贡,240.61,1.56,49.66,42.48,228.2,191.49,33.8
2017-01-07,自贡,221.61,1.54,45.58,31.13,208.0,175.23,31.25
2017-01-08,自贡,141.64,1.62,49.97,29.77,133.3,106.79,28.28
2017-01-09,自贡,143.97,1.48,36.34,35.02,140.44,108.89,23.55
2017-01-10,自贡,45.69,0.98,23.41,24.07,40.92,30.58,13.25
2017-01-11,自贡,48.83,0.72,22.27,37.21,41.77,32.71,13.66
2017-01-12,自贡,77.71,0.72,32.8,46.53,73.71,56.43,22.95
2017-01-13,自贡,115.66,0.99,47.35,57.21,113.49,86.97,34.09
2017-01-14,自贡,138.94,1.2,55.0,39.81,126.74,105.14,37.25
2017-01-15,自贡,167.76,1.31,51.27,47.1,157.96,127.57,30.3
2017-01-16,自贡,140.19,1.02,46.74,36.39,132.24,106.31,34.57
2017-01-17,自贡,184.79,1.17,49.74,34.99,169.55,140.35,29.15
2017-01-18,自贡,163.93,1.07,35.62,33.03,153.25,124.44,25.67
2017-01-19,自贡,160.94,1.09,31.43,39.9,148.77,122.14,30.67
2017-01-20,自贡,170.57,1.15,54.44,23.65,160.66,130.26,26.15
2017-01-21,自贡,158.85,1.07,47.22,45.88,149.77,120.47,24.96
2017-01-22,自贡,236.62,1.58,56.19,41.51,221.91,186.62,28.24
2017-01-23,自贡,265.9,1.49,49.04,25.17,254.53,215.9,24.82
2017-01-24,自贡,188.43,1.31,46.88,44.58,173.84,144.53,21.9
2017-01-25,自贡,245.26,1.85,68.33,34.04,224.53,195.46,19.62
2017-01-26,自贡,266.43,1.88,79.9,30.47,251.57,216.43,26.29
2017-01-27,自贡,286.5,1.72,56.56,37.29,271.07,236.5,19.22
2017-01-28,自贡,320.12,1.53,35.08,26.36,324.59,279.75,33.6
2017-01-29,自贡,102.25,1.01,35.54,50.72,113.86,73.39,17.04
2017-01-30,自贡,100.43,1.13,40.31,26.39,95.9,74.99,15.03
2017-01-31,自贡,56.97,1.14,22.49,27.6,50.15,39.49,14.36
2017-02-01,自贡,71.53,1.05,19.58,35.33,63.67,51.78,14.54
2017-02-02,自贡,128.74,1.23,21.56,23.97,120.79,97.67,14.75
2017-02-03,自贡,99.26,1.28,26.78,33.36,93.36,74.01,16.07
2017-02-04,自贡,113.93,1.48,35.46,41.7,105.46,85.78,18.8
2017-02-05,自贡,105.75,1.33,30.81,44.12,96.17,79.1,20.58
2017-02-06,自贡,109.15,1.21,24.93,55.86,110.37,81.89,16.35
2017-02-07,自贡,90.94,1.32,24.64,34.39,87.63,66.65,15.68
2017-02-08,自贡,55.99,0.9,29.33,58.75,57.61,34.86,17.43
2017-02-09,自贡,96.68,0.96,47.77,32.44,98.73,71.21,28.83
2017-02-10,自贡,173.89,1.2,47.53,27.24,166.81,131.74,26.24
2017-02-11,自贡,116.64,0.83,37.01,53.63,109.77,87.81,19.63
2017-02-12,自贡,131.54,1.05,46.12,53.06,116.72,99.42,20.96
2017-02-13,自贡,114.72,0.94,47.88,59.94,107.93,86.36,23.43
2017-02-14,自贡,158.02,0.95,53.14,64.31,145.62,119.85,19.62
2017-02-15,自贡,180.04,1.15,61.53,77.21,165.92,136.56,19.84
2017-02-16,自贡,211.86,1.35,59.28,76.85,197.57,164.86,20.33
2017-02-17,自贡,166.74,1.12,40.45,76.67,148.19,126.81,16.2
2017-02-18,自贡,223.17,1.45,56.32,42.95,208.12,173.27,21.7
2017-02-19,自贡,221.8,1.36,46.41,65.93,204.01,172.55,19.68
2017-02-20,自贡,172.75,1.22,36.83,65.3,165.05,131.01,19.24
2017-02-21,自贡,122.35,0.98,25.8,38.96,113.07,89.19,14.84
2017-02-22,自贡,69.41,0.66,28.64,48.05,77.16,46.65,13.54
2017-02-23,自贡,94.59,0.74,45.7,28.35,102.6,69.7,14.41
2017-02-24,自贡,78.46,0.62,36.69,39.9,77.17,55.71,16.93
2017-02-25,自贡,95.47,0.7,33.56,56.99,93.95,70.78,14.81
2017-02-26,自贡,102.34,0.8,36.8,56.69,94.48,76.28,27.05
2017-02-27,自贡,123.58,0.95,47.59,48.04,118.27,93.41,31.86
2017-02-28,自贡,139.43,1.01,44.51,68.42,133.27,105.57,34.61
2017-03-01,自贡,118.71,0.88,46.06,73.91,119.48,89.46,23.15
2017-03-02,自贡,136.75,0.91,43.17,45.17,139.97,103.86,32.53
2017-03-03,自贡,137.98,0.86,38.06,42.51,159.39,104.32,28.57
2017-03-04,自贡,148.96,0.81,37.93,55.3,163.2,112.52,27.61
2017-03-05,自贡,88.86,0.68,28.41,50.46,88.55,65.41,21.09
2017-03-06,自贡,78.85,0.69,36.84,47.52,82.98,55.47,18.41
2017-03-07,自贡,75.87,0.66,44.44,52.57,75.98,52.92,24.25
2017-03-08,自贡,89.49,0.8,46.72,46.86,91.09,65.96,18.83
2017-03-09,自贡,89.89,0.8,39.62,33.25,93.0,66.09,19.96
2017-03-10,自贡,109.36,0.88,37.5,40.01,117.54,81.46,18.22
2017-03-11,自贡,137.12,1.02,44.91,31.95,138.76,103.67,19.78
2017-03-12,自贡,99.05,1.04,45.15,25.0,97.81,72.48,14.46
2017-03-13,自贡,33.07,0.84,32.16,53.98,29.23,16.54,10.78
2017-03-14,自贡,50.91,1.01,34.72,56.97,49.19,30.22,12.69
2017-03-15,自贡,49.55,0.8,33.23,52.99,44.7,32.95,12.56
2017-03-16,自贡,60.09,0.9,35.41,49.12,59.61,40.41,14.19
2017-03-17,自贡,74.54,0.83,29.15,55.92,74.05,53.41,18.87
2017-03-18,自贡,118.67,1.02,46.32,49.82,119.01,89.52,19.25
2017-03-19,自贡,108.15,0.96,41.98,41.43,109.47,80.52,20.91
2017-03-20,自贡,103.15,1.01,43.97,59.7,103.08,76.89,13.12
2017-03-21,自贡,120.41,1.25,55.63,33.21,124.69,90.05,18.68
2017-03-22,自贡,73.27,0.9,25.24,43.49,78.28,50.19,12.72
2017-03-23,自贡,67.85,0.87,21.15,61.12,71.34,45.79,15.19
2017-03-24,自贡,50.4,0.67,20.2,55.04,54.8,25.61,11.56
2017-03-25,自贡,58.76,0.53,23.49,52.72,66.8,31.33,11.67
2017-03-26,自贡,75.11,0.77,31.01,55.28,83.91,50.96,14.5
2017-03-27,自贡,89.88,0.82,29.9,70.03,97.45,64.86,17.02
2017-03-28,自贡,107.0,0.99,43.09,63.47,123.69,79.01,26.51
2017-03-29,自贡,127.25,0.9,36.71,62.8,135.05,96.32,22.66
2017-03-30,自贡,69.55,0.79,32.53,63.32,69.75,44.81,8.02
2017-03-31,自贡,63.47,0.76,38.55,76.17,68.83,38.51,12.33
2017-04-01,自贡,85.13,0.93,46.84,88.74,93.47,59.09,27.64
