time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,资阳,112.19,1.16,33.23,23.87,166.45,78.42,12.76
2017-01-02,资阳,162.33,1.38,42.42,56.26,242.66,121.48,18.85
2017-01-03,资阳,151.64,1.35,39.95,32.4,214.15,113.12,10.54
2017-01-04,资阳,150.85,1.27,43.61,18.14,212.23,112.78,12.29
2017-01-05,资阳,192.93,1.33,42.04,40.77,269.52,147.17,20.21
2017-01-06,资阳,157.11,1.25,33.99,22.71,217.18,115.73,10.75
2017-01-07,资阳,87.52,1.21,27.81,30.03,110.68,54.48,12.03
2017-01-08,资阳,79.84,1.21,35.58,30.16,107.76,45.68,18.77
2017-01-09,资阳,76.17,1.08,29.41,33.43,100.41,46.83,16.04
2017-01-10,资阳,27.1,0.53,14.4,53.36,27.04,12.02,8.51
2017-01-11,资阳,35.52,0.47,16.23,58.75,35.53,14.18,8.69
2017-01-12,资阳,52.56,0.56,24.27,53.55,59.16,21.08,14.1
2017-01-13,资阳,73.03,0.63,24.73,62.91,95.5,37.97,20.67
2017-01-14,资阳,76.62,0.82,31.02,58.38,100.45,44.92,8.72
2017-01-15,资阳,88.93,0.86,27.53,63.04,125.79,56.8,13.24
2017-01-16,资阳,83.82,0.78,22.15,59.45,113.09,53.21,6.63
2017-01-17,资阳,84.74,0.85,28.29,38.02,117.37,52.96,9.87
2017-01-18,资阳,92.63,0.76,23.09,57.28,132.33,61.47,8.48
2017-01-19,资阳,100.32,0.96,35.35,25.63,143.69,67.36,9.48
2017-01-20,资阳,114.97,1.07,33.83,23.86,164.29,82.56,9.62
2017-01-21,资阳,104.89,1.02,31.88,50.48,151.64,73.75,11.4
2017-01-22,资阳,119.47,1.23,32.54,51.63,174.68,84.76,10.4
2017-01-23,资阳,134.0,1.17,32.18,41.62,197.4,97.31,9.82
2017-01-24,资阳,121.93,1.21,34.8,47.44,179.23,87.66,12.18
2017-01-25,资阳,141.09,1.47,34.25,43.98,205.54,103.17,15.38
2017-01-26,资阳,168.48,1.54,42.85,27.45,249.92,125.36,15.66
2017-01-27,资阳,190.32,1.34,31.72,49.45,287.78,128.94,15.47
2017-01-28,资阳,251.38,1.24,24.2,35.82,350.07,184.71,22.71
2017-01-29,资阳,91.68,0.74,17.82,65.93,132.97,25.09,9.11
2017-01-30,资阳,80.92,0.85,19.77,47.11,111.26,31.01,9.86
2017-01-31,资阳,53.38,0.87,13.18,39.07,62.36,17.62,7.28
2017-02-01,资阳,58.56,0.83,12.52,46.29,68.19,20.2,7.22
2017-02-02,资阳,70.59,0.95,13.21,40.67,89.75,35.84,8.07
2017-02-03,资阳,67.46,1.01,16.65,37.3,84.68,30.52,7.92
2017-02-04,资阳,83.45,1.17,22.12,38.14,115.75,46.18,11.93
2017-02-05,资阳,89.11,1.16,22.22,41.16,125.33,50.52,10.09
2017-02-06,资阳,95.22,1.18,26.19,35.67,136.02,59.49,13.96
2017-02-07,资阳,48.87,1.06,17.29,41.44,60.04,23.66,7.82
2017-02-08,资阳,57.95,0.71,19.37,56.54,67.21,14.06,8.64
2017-02-09,资阳,77.03,0.83,30.63,31.52,103.56,31.46,12.72
2017-02-10,资阳,109.67,1.07,36.71,25.07,163.53,72.83,15.27
2017-02-11,资阳,84.75,0.85,26.31,46.62,115.38,53.31,8.62
2017-02-12,资阳,83.26,0.98,24.92,47.1,111.53,49.54,10.28
2017-02-13,资阳,83.39,0.95,33.56,39.62,114.24,51.83,10.87
2017-02-14,资阳,127.66,1.15,42.77,25.26,181.68,92.57,13.09
2017-02-15,资阳,123.93,1.15,28.58,60.64,178.98,89.03,15.23
2017-02-16,资阳,110.4,0.99,25.21,82.12,156.34,78.41,15.57
2017-02-17,资阳,118.33,0.99,26.2,89.28,171.22,83.77,16.12
2017-02-18,资阳,119.98,1.1,33.98,50.92,170.46,85.29,17.48
2017-02-19,资阳,131.07,1.14,26.38,71.73,183.93,96.51,17.77
2017-02-20,资阳,115.17,1.09,27.24,73.24,162.78,81.11,17.68
2017-02-21,资阳,61.38,0.83,17.6,42.72,75.25,33.78,13.0
2017-02-22,资阳,81.68,0.55,23.43,53.19,112.86,23.53,10.78
2017-02-23,资阳,69.75,0.49,20.66,58.27,88.99,22.0,9.47
2017-02-24,资阳,58.82,0.47,17.44,60.77,68.37,20.49,7.78
2017-02-25,资阳,73.39,0.53,18.72,70.89,95.93,36.58,10.58
2017-02-26,资阳,69.69,0.67,22.53,60.22,87.93,37.98,11.72
2017-02-27,资阳,76.48,0.77,34.0,44.94,101.53,43.43,12.38
2017-02-28,资阳,73.97,0.76,29.25,59.9,95.45,39.68,13.32
2017-03-01,资阳,96.06,0.77,37.77,56.63,141.47,45.0,14.58
2017-03-02,资阳,111.75,0.84,48.2,29.0,172.1,60.34,25.66
2017-03-03,资阳,96.62,0.6,29.22,69.83,142.24,51.02,15.94
2017-03-04,资阳,75.04,0.56,19.85,93.88,98.35,38.47,13.17
2017-03-05,资阳,67.3,0.65,23.48,61.26,82.22,35.24,12.43
2017-03-06,资阳,62.63,0.6,23.31,64.98,75.49,29.64,12.06
2017-03-07,资阳,56.3,0.58,21.48,58.08,65.12,24.18,10.03
2017-03-08,资阳,62.78,0.68,21.02,52.9,76.04,28.95,9.78
2017-03-09,资阳,62.24,0.7,20.01,58.73,74.52,31.24,11.75
2017-03-10,资阳,80.46,0.85,31.46,38.31,109.41,46.62,14.22
2017-03-11,资阳,86.62,0.88,31.52,51.78,119.99,54.63,11.25
2017-03-12,资阳,65.28,0.75,21.07,42.36,84.78,38.62,9.07
2017-03-13,资阳,33.98,0.71,15.84,78.96,32.32,11.03,6.96
2017-03-14,资阳,46.28,0.81,21.3,51.86,49.02,14.63,6.6
2017-03-15,资阳,41.64,0.67,14.34,61.61,42.79,12.65,8.82
2017-03-16,资阳,42.12,0.72,18.68,53.88,44.06,14.68,8.22
2017-03-17,资阳,54.9,0.77,22.37,65.18,62.2,20.9,9.68
2017-03-18,资阳,78.47,0.84,30.23,61.61,105.97,40.41,16.44
2017-03-19,资阳,63.81,0.69,19.07,60.03,77.49,26.95,12.62
2017-03-20,资阳,70.71,0.77,25.45,71.79,90.69,34.86,16.69
2017-03-21,资阳,73.44,0.88,29.06,54.08,96.15,38.67,17.43
2017-03-22,资阳,51.89,0.73,15.59,54.19,57.72,20.98,10.01
2017-03-23,资阳,59.99,0.75,17.9,52.16,72.72,26.1,9.2
2017-03-24,资阳,49.65,0.53,16.44,71.84,55.34,13.68,6.51
2017-03-25,资阳,58.46,0.42,15.4,79.92,69.33,14.89,6.21
2017-03-26,资阳,61.02,0.6,24.44,56.46,73.28,23.19,11.66
2017-03-27,资阳,65.1,0.59,19.83,86.1,79.52,27.8,12.17
2017-03-28,资阳,80.06,0.77,34.56,66.41,110.71,40.42,16.0
2017-03-29,资阳,89.63,0.78,30.4,65.28,123.14,55.71,16.71
2017-03-30,资阳,55.43,0.58,20.27,77.96,62.56,21.1,9.32
2017-03-31,资阳,68.97,0.62,29.11,84.52,87.42,23.26,13.86
2017-04-01,资阳,68.41,0.62,28.11,103.45,81.4,23.76,17.63
2017-04-02,资阳,69.14,0.6,26.93,75.93,88.2,28.71,18.42
2017-04-03,资阳,63.65,0.57,19.62,80.2,76.47,29.93,16.1
2017-04-04,资阳,73.37,0.67,21.16,80.39,94.62,42.11,14.67
2017-04-05,资阳,63.33,0.65,16.71,84.88,75.04,33.3,13.0
2017-04-06,资阳,65.59,0.69,18.05,91.57,80.49,32.53,12.71
2017-04-07,资阳,63.22,0.69,19.07,95.57,75.03,26.63,11.36
2017-04-08,资阳,53.5,0.63,17.03,72.22,60.67,18.69,11.73
2017-04-09,资阳,38.12,0.6,12.23,70.82,38.97,12.53,9.7
2017-04-10,资阳,37.88,0.7,12.78,100.23,32.78,11.57,10.42
2017-04-11,资阳,48.11,0.58,19.09,82.22,51.9,16.89,11.78
2017-04-12,资阳,49.11,0.49,16.88,90.7,53.35,16.38,13.91
2017-04-13,资阳,62.91,0.63,28.72,86.28,74.21,24.1,13.75
2017-04-14,资阳,67.64,0.68,23.53,116.21,77.56,24.93,15.89
2017-04-15,资阳,72.35,0.69,23.53,128.81,80.66,28.36,17.71
2017-04-16,资阳,52.73,0.52,17.71,87.84,58.91,20.13,11.06
2017-04-17,资阳,68.77,0.49,21.5,89.53,90.39,21.5,15.47
2017-04-18,资阳,88.88,0.65,27.79,86.39,128.15,35.69,18.06
2017-04-19,资阳,85.43,0.67,29.5,98.0,119.34,35.32,16.91
2017-04-20,资阳,47.49,0.4,16.25,93.7,50.96,14.07,4.72
2017-04-21,资阳,41.27,0.41,17.32,90.54,39.52,15.95,5.74
2017-04-22,资阳,52.22,0.44,20.22,90.4,54.92,18.02,11.11
2017-04-23,资阳,66.72,0.55,27.01,107.28,71.27,26.95,15.28
2017-04-24,资阳,64.9,0.65,24.65,81.24,74.34,35.62,9.44
2017-04-25,资阳,44.21,0.54,17.35,84.38,42.69,20.87,6.31
2017-04-26,资阳,39.78,0.54,16.98,78.61,38.98,16.11,5.33
2017-04-27,资阳,39.58,0.53,12.58,108.18,35.66,15.96,6.03
2017-04-28,资阳,55.27,0.66,16.97,91.04,59.16,25.25,12.3
2017-04-29,资阳,58.31,0.7,21.04,102.42,64.93,26.89,13.86
2017-04-30,资阳,63.92,0.71,25.02,116.57,72.88,27.6,14.58
2017-05-01,资阳,85.13,0.82,27.6,118.6,102.49,44.58,14.9
2017-05-02,资阳,63.6,0.76,16.79,115.54,72.17,34.19,13.21
2017-05-03,资阳,41.49,0.5,12.32,101.88,38.51,13.77,8.24
2017-05-04,资阳,71.88,0.66,23.49,87.74,95.16,22.84,13.11
2017-05-05,资阳,71.57,0.51,14.11,87.74,93.76,27.44,7.46
2017-05-06,资阳,72.92,0.41,11.38,102.07,94.6,25.15,5.5
2017-05-07,资阳,52.35,0.46,11.78,74.05,55.7,21.03,6.96
2017-05-08,资阳,62.09,0.62,18.62,84.3,74.82,29.91,15.53
2017-05-09,资阳,57.17,0.58,19.79,95.92,65.13,20.22,13.07
2017-05-10,资阳,62.37,0.69,22.18,92.68,72.78,30.42,14.19
2017-05-11,资阳,45.64,0.5,16.2,103.65,45.49,18.71,8.12
2017-05-12,资阳,64.09,0.65,25.04,91.59,76.48,28.35,19.11
2017-05-13,资阳,81.3,0.78,26.43,116.87,100.24,37.32,17.02
2017-05-14,资阳,59.55,0.54,13.47,146.19,55.12,17.98,13.17
2017-05-15,资阳,49.65,0.63,19.67,96.11,52.96,20.32,12.14
2017-05-16,资阳,50.45,0.6,23.57,97.16,49.02,18.25,13.69
2017-05-17,资阳,73.11,0.72,23.6,124.75,70.01,29.41,17.84
2017-05-18,资阳,61.82,0.68,19.73,135.96,70.29,27.67,9.93
2017-05-19,资阳,66.95,0.7,19.74,116.38,73.67,31.91,6.38
2017-05-20,资阳,66.25,0.85,28.69,78.87,77.85,38.02,9.8
2017-05-21,资阳,45.4,0.68,18.46,59.75,44.69,21.16,5.66
2017-05-22,资阳,41.86,0.72,18.42,42.74,38.84,18.37,6.67
2017-05-23,资阳,38.7,0.48,16.71,102.9,33.66,13.31,6.99
2017-05-24,资阳,45.23,0.65,27.64,72.93,47.8,15.06,10.26
2017-05-25,资阳,51.43,0.6,18.04,104.27,50.62,17.49,10.84
2017-05-26,资阳,58.28,0.64,23.03,109.63,59.96,18.73,14.64
2017-05-27,资阳,71.46,0.57,33.23,115.05,71.92,24.46,18.99
2017-05-28,资阳,82.57,0.63,32.39,133.76,92.38,34.31,17.51
2017-05-29,资阳,75.41,0.58,26.07,132.26,92.66,38.32,14.39
2017-05-30,资阳,69.84,0.56,19.79,124.62,81.95,38.06,17.7
2017-05-31,资阳,66.75,0.57,18.61,101.12,76.98,37.3,14.81
2017-06-01,资阳,62.8,0.48,19.75,104.5,72.31,30.56,9.0
2017-06-02,资阳,69.59,0.57,22.93,91.79,86.24,34.52,13.27
2017-06-03,资阳,66.83,0.61,28.77,82.75,81.17,32.82,10.66
2017-06-04,资阳,36.77,0.57,17.95,56.58,35.62,18.03,6.38
2017-06-05,资阳,37.9,0.66,20.48,80.88,31.87,15.28,9.04
2017-06-06,资阳,54.42,0.69,25.77,97.81,52.08,18.49,12.55
2017-06-07,资阳,54.48,0.61,20.29,124.29,50.43,19.41,12.31
2017-06-08,资阳,46.38,0.49,16.77,97.54,45.62,18.6,8.73
2017-06-09,资阳,35.54,0.44,15.0,78.12,33.25,15.7,5.11
2017-06-10,资阳,42.44,0.52,24.29,75.42,42.1,17.52,10.53
2017-06-11,资阳,47.77,0.4,19.9,96.78,45.51,15.47,10.09
2017-06-12,资阳,38.33,0.47,17.39,77.96,35.2,17.21,7.5
2017-06-13,资阳,52.04,0.59,23.07,48.62,55.82,23.49,8.68
2017-06-14,资阳,31.64,0.52,15.72,45.71,29.39,14.71,6.54
2017-06-15,资阳,28.34,0.47,16.35,66.24,27.18,12.69,7.19
2017-06-16,资阳,44.8,0.57,19.03,70.07,45.41,19.59,10.58
2017-06-17,资阳,42.22,0.55,15.98,73.71,40.8,16.6,13.96
2017-06-18,资阳,51.72,0.61,18.72,80.36,55.93,21.72,10.93
2017-06-19,资阳,43.86,0.49,12.47,91.59,40.23,18.69,8.35
2017-06-20,资阳,44.59,0.54,18.54,88.24,42.91,19.49,10.03
2017-06-21,资阳,55.97,0.66,23.15,89.83,61.08,23.98,10.3
2017-06-22,资阳,72.72,0.89,37.88,56.28,91.03,39.27,10.88
2017-06-23,资阳,69.98,0.82,25.23,67.76,83.88,38.89,16.87
2017-06-24,资阳,49.64,0.53,19.19,64.64,50.05,19.88,5.77
2017-06-25,资阳,42.05,0.41,16.3,81.37,42.17,14.34,7.33
2017-06-26,资阳,41.33,0.44,14.26,87.49,37.47,14.41,13.33
2017-06-27,资阳,40.6,0.48,15.25,88.28,37.69,14.88,14.11
2017-06-28,资阳,52.83,0.57,19.13,111.26,55.83,20.5,10.47
2017-06-29,资阳,55.1,0.59,17.11,104.29,57.21,22.5,8.27
2017-06-30,资阳,51.72,0.62,20.86,93.0,53.31,19.93,12.55
2017-07-01,资阳,51.1,0.59,16.43,103.82,52.14,19.78,14.66
2017-07-02,资阳,59.39,0.68,19.58,108.36,66.35,24.74,15.0
2017-07-03,资阳,55.77,0.66,19.97,98.83,58.42,24.82,10.07
2017-07-04,资阳,62.69,0.73,23.65,94.94,70.18,29.94,15.12
2017-07-05,资阳,39.53,0.65,14.4,72.17,37.96,17.83,6.28
2017-07-06,资阳,31.02,0.55,14.32,64.4,29.21,13.59,7.63
2017-07-07,资阳,41.72,0.64,19.97,75.67,37.29,15.22,8.56
2017-07-08,资阳,43.64,0.66,15.93,62.88,43.01,18.2,7.39
2017-07-09,资阳,50.13,0.5,17.94,106.08,43.38,18.52,11.84
2017-07-10,资阳,63.33,0.6,22.53,119.61,53.9,18.54,17.4
2017-07-11,资阳,75.69,0.71,26.4,132.32,70.76,22.07,11.26
2017-07-12,资阳,55.02,0.61,21.68,94.44,61.09,23.47,9.47
2017-07-13,资阳,48.73,0.56,19.82,105.69,48.66,19.13,10.29
2017-07-14,资阳,38.82,0.56,18.11,86.25,36.63,16.23,9.29
2017-07-15,资阳,41.22,0.59,15.22,84.1,38.92,16.22,8.29
2017-07-16,资阳,45.1,0.61,15.23,95.15,42.99,19.02,7.4
2017-07-17,资阳,41.33,0.59,18.46,80.63,40.27,17.26,11.58
2017-07-18,资阳,40.03,0.63,17.36,72.97,41.21,17.84,9.52
2017-07-19,资阳,41.77,0.71,17.47,92.46,40.11,16.45,8.5
2017-07-20,资阳,48.16,0.83,22.19,84.3,50.4,18.27,17.18
2017-07-21,资阳,55.61,0.81,19.06,88.88,62.42,18.58,12.16
2017-07-22,资阳,43.41,0.65,13.22,88.03,43.96,15.63,6.76
2017-07-23,资阳,50.78,0.74,19.52,93.13,55.04,16.38,6.29
2017-07-24,资阳,45.84,0.53,19.86,112.11,43.7,13.14,5.99
2017-07-25,资阳,52.79,0.64,19.14,113.54,55.31,15.4,5.54
2017-07-26,资阳,58.34,0.62,21.23,89.44,66.72,20.32,5.35
2017-07-27,资阳,57.4,0.72,25.52,101.24,64.11,19.23,8.86
2017-07-28,资阳,53.43,0.59,22.53,105.18,56.25,16.31,7.81
2017-07-29,资阳,51.08,0.47,20.46,83.33,55.77,16.05,7.07
2017-07-30,资阳,44.94,0.53,22.38,84.44,47.12,14.1,8.31
2017-07-31,资阳,51.44,0.56,25.75,89.9,55.48,15.51,9.11
2017-08-01,资阳,47.47,0.56,24.64,98.22,48.86,14.65,7.15
2017-08-02,资阳,54.41,0.61,23.06,102.36,57.75,16.13,9.94
2017-08-03,资阳,48.62,0.58,17.48,119.59,47.38,15.07,7.57
2017-08-04,资阳,47.25,0.6,18.48,96.83,48.86,12.97,8.71
2017-08-05,资阳,48.0,0.6,15.62,97.71,50.92,14.68,8.22
2017-08-06,资阳,54.61,0.66,20.03,81.09,61.38,18.61,5.99
2017-08-07,资阳,52.06,0.64,17.98,72.24,57.34,15.93,5.4
2017-08-08,资阳,37.12,0.41,13.84,102.81,33.47,11.59,5.05
2017-08-09,资阳,53.07,0.57,16.88,108.22,46.62,13.18,8.62
2017-08-10,资阳,53.14,0.63,22.78,101.05,56.5,15.39,7.54
2017-08-11,资阳,45.23,0.45,18.65,83.5,46.73,14.1,5.84
2017-08-12,资阳,42.01,0.39,13.97,86.76,40.72,12.82,6.92
2017-08-13,资阳,48.4,0.52,17.96,88.42,50.83,14.48,7.67
2017-08-14,资阳,54.51,0.63,24.82,96.34,56.68,16.43,6.97
2017-08-15,资阳,52.1,0.61,23.54,86.35,57.6,17.07,5.83
2017-08-16,资阳,43.86,0.55,20.06,67.54,44.84,15.19,6.24
2017-08-17,资阳,47.1,0.54,17.25,83.92,48.85,15.93,7.13
2017-08-18,资阳,52.08,0.56,18.89,86.53,57.02,19.57,7.71
2017-08-19,资阳,54.31,0.55,20.71,84.53,60.71,16.83,7.26
2017-08-20,资阳,50.91,0.52,21.0,75.15,56.18,17.37,9.13
2017-08-21,资阳,45.64,0.49,17.4,67.84,47.74,13.98,7.41
2017-08-22,资阳,49.28,0.54,20.97,88.09,52.6,15.9,9.21
2017-08-23,资阳,45.13,0.41,15.47,116.09,41.44,11.94,7.02
2017-08-24,资阳,43.46,0.42,16.4,84.77,43.78,13.39,6.55
2017-08-25,资阳,36.66,0.41,15.53,54.46,37.39,11.54,6.72
2017-08-26,资阳,36.34,0.49,15.58,59.98,36.33,13.0,7.9
2017-08-27,资阳,46.04,0.52,19.04,79.18,47.61,16.46,9.65
2017-08-28,资阳,52.64,0.51,18.43,85.57,57.11,18.82,6.97
2017-08-29,资阳,34.83,0.44,14.47,46.48,35.07,12.09,6.79
2017-08-30,资阳,31.62,0.51,14.55,39.13,31.42,10.9,7.32
2017-08-31,资阳,33.66,0.56,18.22,46.33,33.52,10.92,7.19
2017-09-01,资阳,31.93,0.48,17.74,61.1,31.33,11.37,5.67
2017-09-02,资阳,36.94,0.59,22.73,53.99,36.55,11.83,6.78
2017-09-03,资阳,35.24,0.57,17.87,50.84,35.18,11.57,6.63
2017-09-04,资阳,35.06,0.61,17.82,40.09,35.41,12.53,6.15
2017-09-05,资阳,34.28,0.53,18.57,39.86,34.48,12.11,5.47
2017-09-06,资阳,40.51,0.48,18.72,66.83,39.64,12.99,7.26
2017-09-07,资阳,43.04,0.53,19.99,72.82,43.03,12.8,6.16
2017-09-08,资阳,41.89,0.62,28.89,41.51,42.89,13.36,7.44
2017-09-09,资阳,38.14,0.5,18.89,65.63,38.2,11.91,5.8
2017-09-10,资阳,38.95,0.42,17.29,74.43,39.4,11.01,5.46
2017-09-11,资阳,51.73,0.48,24.79,72.21,56.62,13.76,7.67
2017-09-12,资阳,60.87,0.57,25.63,102.67,70.66,16.28,8.01
2017-09-13,资阳,62.57,0.58,24.91,83.18,74.94,21.78,6.73
2017-09-14,资阳,64.87,0.65,34.11,50.05,79.11,29.02,5.79
2017-09-15,资阳,41.59,0.56,23.28,37.68,43.55,15.76,5.87
2017-09-16,资阳,52.07,0.62,22.81,40.19,57.58,18.74,9.24
2017-09-17,资阳,38.65,0.6,21.35,46.42,39.71,15.18,7.65
2017-09-18,资阳,48.04,0.71,24.89,41.34,51.07,16.49,9.43
2017-09-19,资阳,42.36,0.55,20.84,56.1,43.78,14.15,8.84
2017-09-20,资阳,43.0,0.57,27.88,67.54,44.55,13.1,9.16
2017-09-21,资阳,43.51,0.56,17.68,79.14,44.21,13.87,7.83
