time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,达州,215.55,1.74,42.63,43.02,224.72,168.0,14.08
2017-01-02,达州,184.87,1.61,36.34,38.23,186.68,142.21,11.88
2017-01-03,达州,203.11,2.22,53.01,42.88,219.37,157.44,27.98
2017-01-04,达州,275.18,3.14,63.41,45.96,312.06,226.32,18.14
2017-01-05,达州,205.34,2.25,42.38,41.87,202.34,163.94,10.87
2017-01-06,达州,73.29,1.27,31.18,30.33,59.42,52.83,8.28
2017-01-07,达州,50.72,1.41,37.0,35.43,55.64,31.54,7.58
2017-01-08,达州,82.74,1.74,46.53,46.43,93.34,58.9,15.22
2017-01-09,达州,105.04,1.7,43.09,35.48,114.66,78.12,15.01
2017-01-10,达州,41.87,0.65,25.03,52.45,37.51,27.06,18.29
2017-01-11,达州,47.73,0.5,31.96,42.28,40.24,32.33,16.1
2017-01-12,达州,76.97,0.77,39.12,42.42,84.57,55.37,14.41
2017-01-13,达州,92.87,0.96,35.56,46.36,97.89,68.7,12.18
2017-01-14,达州,115.1,1.13,48.44,34.96,125.72,86.55,12.25
2017-01-15,达州,103.88,1.09,46.53,44.12,121.55,77.04,13.0
2017-01-16,达州,107.05,1.01,52.36,34.13,118.04,80.1,12.93
2017-01-17,达州,98.05,0.99,41.04,38.94,106.08,72.96,10.54
2017-01-18,达州,102.47,1.07,43.73,44.21,112.99,76.09,9.4
2017-01-19,达州,115.6,1.2,45.58,37.87,130.51,86.63,11.74
2017-01-20,达州,127.67,1.2,46.67,33.33,129.24,96.58,13.61
2017-01-21,达州,149.28,1.62,44.42,44.33,156.97,112.97,20.11
2017-01-22,达州,169.39,1.76,44.67,48.31,176.74,128.97,14.24
2017-01-23,达州,172.86,1.96,50.18,43.79,185.55,132.72,22.48
2017-01-24,达州,203.38,2.19,48.46,40.52,210.77,156.28,19.55
2017-01-25,达州,168.22,1.77,38.84,49.02,172.03,128.24,14.68
2017-01-26,达州,151.52,1.56,38.39,32.55,148.06,115.21,18.14
2017-01-27,达州,194.78,1.72,27.63,37.56,182.47,149.62,16.85
2017-01-28,达州,128.42,1.08,21.21,40.95,136.49,99.2,17.44
2017-01-29,达州,46.33,0.9,14.92,56.9,44.05,30.74,12.52
2017-01-30,达州,58.72,1.09,28.44,36.75,61.6,38.9,14.14
2017-01-31,达州,70.12,1.0,20.88,42.99,65.45,50.22,12.86
2017-02-01,达州,65.65,1.05,19.34,35.89,59.36,46.65,16.14
2017-02-02,达州,64.38,1.04,24.93,38.23,59.06,45.51,13.82
2017-02-03,达州,66.9,1.22,28.65,39.22,66.33,47.16,11.51
2017-02-04,达州,113.18,2.08,40.12,39.63,120.21,85.32,17.14
2017-02-05,达州,91.86,1.4,30.92,41.02,87.36,67.97,13.06
2017-02-06,达州,119.35,1.77,40.24,30.91,126.94,89.51,17.86
2017-02-07,达州,29.34,1.15,20.21,48.02,25.64,17.85,11.59
2017-02-08,达州,52.7,1.01,30.94,55.38,54.84,34.52,10.78
2017-02-09,达州,65.08,0.88,37.52,51.16,68.73,44.56,12.89
2017-02-10,达州,91.82,1.09,40.53,41.51,97.25,67.7,14.72
2017-02-11,达州,97.42,1.13,37.98,45.04,95.08,72.42,13.8
2017-02-12,达州,86.67,1.1,34.35,45.72,86.93,64.09,13.78
2017-02-13,达州,109.91,1.39,55.14,35.47,122.81,81.88,16.89
2017-02-14,达州,172.46,1.84,49.47,35.33,169.01,130.82,15.55
2017-02-15,达州,178.56,1.71,47.48,37.67,170.59,135.93,11.83
2017-02-16,达州,134.28,1.33,43.46,46.17,136.04,100.67,11.03
2017-02-17,达州,127.11,1.21,47.56,29.0,130.6,96.25,12.12
2017-02-18,达州,132.36,1.31,36.86,33.44,131.5,100.33,9.07
2017-02-19,达州,137.86,1.59,40.76,38.61,141.83,104.35,10.57
2017-02-20,达州,101.27,1.58,44.13,34.59,112.71,75.17,8.32
2017-02-21,达州,36.8,0.76,17.6,50.52,31.97,23.69,9.53
2017-02-22,达州,60.54,0.98,33.56,46.14,65.9,41.22,15.1
2017-02-23,达州,42.62,0.5,31.23,45.38,41.67,26.21,13.09
2017-02-24,达州,53.26,0.72,37.91,34.17,56.85,35.06,10.37
2017-02-25,达州,72.92,1.14,30.38,38.31,78.86,51.25,12.72
