time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,阿坝州,34.57,0.59,16.74,39.94,33.2,17.98,10.93
2017-01-02,阿坝州,34.65,0.62,17.63,44.23,31.89,18.54,11.4
2017-01-03,阿坝州,34.57,0.63,18.0,48.81,31.35,16.49,13.62
2017-01-04,阿坝州,39.28,0.71,20.9,41.72,38.78,19.54,14.39
2017-01-05,阿坝州,29.03,0.59,14.07,51.06,25.59,11.39,11.6
2017-01-06,阿坝州,25.64,0.61,12.06,50.5,21.5,11.54,12.99
2017-01-07,阿坝州,28.09,0.57,13.64,48.75,23.48,13.16,11.01
2017-01-08,阿坝州,30.44,0.58,14.81,50.11,27.17,12.28,10.86
2017-01-09,阿坝州,31.46,0.74,16.99,42.16,29.38,12.23,10.17
2017-01-10,阿坝州,31.51,0.66,17.72,43.62,28.32,12.03,9.85
2017-01-11,阿坝州,29.26,0.59,13.12,56.53,25.36,13.28,7.83
2017-01-12,阿坝州,34.68,0.61,9.36,69.72,29.3,17.93,8.04
2017-01-13,阿坝州,28.88,0.66,13.5,52.97,25.65,13.35,8.47
2017-01-14,阿坝州,27.99,0.54,12.81,54.92,21.44,11.76,9.0
2017-01-15,阿坝州,26.32,0.49,11.78,56.92,20.36,11.03,8.76
2017-01-16,阿坝州,26.82,0.51,10.6,59.11,23.5,10.65,8.53
2017-01-17,阿坝州,34.94,0.7,14.35,57.25,33.8,14.1,13.5
2017-01-18,阿坝州,26.54,0.62,11.18,56.14,21.15,11.42,10.68
2017-01-19,阿坝州,26.5,0.53,10.65,54.12,22.36,10.86,9.61
2017-01-20,阿坝州,32.25,0.49,8.74,57.75,27.03,15.99,6.47
2017-01-21,阿坝州,46.04,0.46,9.26,59.41,46.02,16.81,8.9
2017-01-22,阿坝州,30.3,0.45,9.59,53.8,23.52,14.71,8.55
2017-01-23,阿坝州,27.64,0.51,9.94,53.68,22.7,12.99,11.08
2017-01-24,阿坝州,28.9,0.52,7.42,63.1,23.18,12.81,8.9
2017-01-25,阿坝州,25.44,0.44,9.61,52.47,20.34,11.42,9.31
2017-01-26,阿坝州,25.02,0.55,10.37,36.98,24.24,15.51,9.43
2017-01-27,阿坝州,28.06,0.47,7.18,49.94,24.89,12.69,10.15
2017-01-28,阿坝州,39.55,0.38,5.05,57.91,33.86,21.3,8.86
2017-01-29,阿坝州,34.72,0.46,4.33,75.35,31.19,12.8,7.78
2017-01-30,阿坝州,24.0,0.39,5.35,65.18,18.99,7.03,7.51
2017-01-31,阿坝州,24.67,0.47,5.67,67.84,16.08,8.69,6.94
2017-02-01,阿坝州,23.0,0.51,5.02,63.58,16.97,8.4,9.4
2017-02-02,阿坝州,24.83,0.49,4.07,66.97,18.58,8.56,6.97
2017-02-03,阿坝州,22.24,0.34,4.33,66.19,11.81,7.25,6.19
2017-02-04,阿坝州,22.67,0.38,5.52,61.2,14.51,8.13,7.97
2017-02-05,阿坝州,22.83,0.42,7.32,55.79,15.44,9.47,8.58
2017-02-06,阿坝州,22.96,0.41,8.26,61.04,15.2,7.14,9.1
2017-02-07,阿坝州,28.8,0.48,6.26,64.49,24.12,12.32,6.58
2017-02-08,阿坝州,37.32,0.63,6.08,62.01,35.04,16.86,9.61
2017-02-09,阿坝州,25.93,0.44,7.64,57.26,22.7,9.64,5.93
2017-02-10,阿坝州,33.11,0.55,5.69,65.49,30.23,14.93,6.86
2017-02-11,阿坝州,33.01,0.56,4.47,67.75,31.62,15.64,6.78
2017-02-12,阿坝州,28.22,0.41,5.31,64.81,22.14,12.07,5.75
2017-02-13,阿坝州,27.07,0.39,7.57,64.33,19.55,10.75,7.29
2017-02-14,阿坝州,26.21,0.41,7.54,63.69,21.75,10.83,8.22
2017-02-15,阿坝州,27.5,0.4,5.88,68.75,21.01,10.61,5.81
2017-02-16,阿坝州,28.76,0.48,8.13,63.0,23.17,10.99,7.17
2017-02-17,阿坝州,29.88,0.45,9.5,55.59,26.6,12.47,7.3
2017-02-18,阿坝州,29.11,0.49,8.07,62.2,26.17,12.44,9.41
2017-02-19,阿坝州,28.49,0.47,8.36,58.71,23.13,10.48,7.68
2017-02-20,阿坝州,32.59,0.42,7.84,66.42,30.04,13.42,7.87
2017-02-21,阿坝州,37.43,0.69,6.33,55.36,32.41,21.83,5.75
2017-02-22,阿坝州,26.78,0.63,5.68,62.28,20.02,12.72,4.9
2017-02-23,阿坝州,45.31,0.44,5.11,81.06,45.68,23.01,4.79
2017-02-24,阿坝州,37.76,0.35,4.74,87.19,34.69,18.65,6.08
2017-02-25,阿坝州,39.9,0.41,5.14,84.16,38.69,20.2,5.33
2017-02-26,阿坝州,29.03,0.3,4.04,82.31,21.78,9.72,4.72
2017-02-27,阿坝州,32.93,0.39,5.64,80.22,29.97,14.48,5.25
2017-02-28,阿坝州,48.15,0.34,7.57,63.51,56.49,19.5,6.43
2017-03-01,阿坝州,59.64,0.37,7.62,65.68,69.0,21.75,7.32
2017-03-02,阿坝州,38.26,0.45,7.0,72.42,34.45,15.8,5.74
2017-03-03,阿坝州,25.21,0.45,5.18,68.57,17.88,10.67,6.24
2017-03-04,阿坝州,25.89,0.42,6.18,63.6,17.95,9.79,5.33
2017-03-05,阿坝州,27.54,0.51,7.79,72.08,21.82,12.9,7.93
2017-03-06,阿坝州,29.1,0.52,8.44,81.31,21.38,10.96,9.03
2017-03-07,阿坝州,26.12,0.43,6.54,77.33,17.29,10.79,7.32
2017-03-08,阿坝州,31.86,0.39,5.43,83.49,18.82,14.04,7.84
2017-03-09,阿坝州,32.58,0.38,9.89,74.54,24.45,12.65,7.74
2017-03-10,阿坝州,35.54,0.55,9.53,79.86,26.78,15.82,6.57
2017-03-11,阿坝州,33.57,0.46,9.61,77.81,23.5,14.2,7.04
2017-03-12,阿坝州,33.96,0.41,6.92,79.42,25.5,14.38,7.04
2017-03-13,阿坝州,33.93,0.49,5.79,103.07,19.76,13.6,7.33
2017-03-14,阿坝州,32.11,0.42,8.81,76.93,23.82,13.1,8.03
2017-03-15,阿坝州,35.71,0.59,7.32,91.88,26.31,16.11,7.31
2017-03-16,阿坝州,35.61,0.35,7.4,78.65,29.88,15.36,7.97
2017-03-17,阿坝州,36.93,0.37,7.01,77.94,31.95,16.33,8.12
2017-03-18,阿坝州,35.4,0.44,6.0,86.29,27.57,12.94,7.4
2017-03-19,阿坝州,45.46,0.4,6.81,98.15,35.09,21.99,6.72
2017-03-20,阿坝州,32.07,0.42,4.68,89.78,18.14,10.04,6.18
2017-03-21,阿坝州,33.88,0.4,6.82,96.75,23.23,10.19,6.62
2017-03-22,阿坝州,37.72,0.35,7.33,84.26,35.76,11.81,6.43
2017-03-23,阿坝州,50.49,0.45,11.17,61.58,55.54,17.88,7.88
2017-03-24,阿坝州,41.53,0.46,6.9,71.36,42.56,15.38,6.67
2017-03-25,阿坝州,33.65,0.48,5.82,80.56,31.36,10.03,5.93
