time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,雅安,147.75,1.24,29.23,39.68,158.82,114.74,15.63
2017-01-02,雅安,116.69,1.15,28.36,52.9,128.7,87.62,16.62
2017-01-03,雅安,178.19,1.47,42.59,37.34,201.62,137.52,17.66
2017-01-04,雅安,261.44,1.68,51.28,50.01,317.24,211.64,20.05
2017-01-05,雅安,198.33,1.39,33.49,50.11,218.44,152.85,17.75
2017-01-06,雅安,235.53,1.74,54.45,42.72,276.29,186.96,15.25
2017-01-07,雅安,183.91,1.71,43.86,51.05,210.04,144.1,14.48
2017-01-08,雅安,97.47,1.32,31.33,44.75,98.87,72.6,14.91
2017-01-09,雅安,101.33,1.23,37.06,40.03,107.94,75.69,17.92
2017-01-10,雅安,57.1,0.89,32.47,52.08,60.41,39.65,15.47
2017-01-11,雅安,78.14,0.73,34.95,49.07,78.17,56.79,17.71
2017-01-12,雅安,62.49,0.6,32.58,46.45,65.09,43.2,13.31
2017-01-13,雅安,75.29,0.7,36.14,44.59,86.63,54.04,17.85
2017-01-14,雅安,122.28,0.92,47.37,40.75,133.26,92.22,18.1
2017-01-15,雅安,167.04,1.11,48.55,49.12,178.86,127.43,17.66
2017-01-16,雅安,123.96,1.07,38.63,55.93,128.44,93.28,15.33
2017-01-17,雅安,91.34,0.87,33.9,56.82,93.95,67.58,19.25
2017-01-18,雅安,119.56,0.82,35.36,58.14,125.29,90.28,20.19
2017-01-19,雅安,123.83,0.89,34.49,64.08,130.35,93.61,16.4
2017-01-20,雅安,102.06,0.82,28.22,57.88,108.14,76.52,16.78
2017-01-21,雅安,101.83,0.84,28.45,69.51,106.89,75.77,14.3
2017-01-22,雅安,176.14,1.27,38.64,68.45,194.73,135.1,19.69
2017-01-23,雅安,171.21,1.24,30.08,74.34,184.68,131.15,15.04
2017-01-24,雅安,205.14,1.31,34.27,72.88,222.2,157.14,14.56
2017-01-25,雅安,164.07,1.41,31.33,62.46,170.76,123.86,14.53
