time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,中卫,54.25,0.82,24.4,30.37,59.46,25.32,25.02
2017-01-02,中卫,84.88,1.2,33.23,25.22,96.15,59.15,54.95
2017-01-03,中卫,85.97,1.27,40.03,21.81,100.38,58.71,74.24
2017-01-04,中卫,175.21,2.0,49.11,17.42,170.09,133.15,102.81
2017-01-05,中卫,141.15,1.47,31.1,30.15,135.56,105.71,63.76
2017-01-06,中卫,35.93,0.73,15.24,45.67,37.81,17.11,14.64
2017-01-07,中卫,33.04,0.7,19.8,36.16,30.36,17.93,30.13
2017-01-08,中卫,30.28,0.8,20.29,34.86,28.45,16.64,21.51
2017-01-09,中卫,28.88,0.89,19.68,31.78,27.97,15.99,20.28
2017-01-10,中卫,31.92,0.69,14.1,37.12,31.01,15.56,11.47
2017-01-11,中卫,55.51,0.72,15.17,39.99,64.42,21.69,13.07
2017-01-12,中卫,70.11,0.8,22.15,36.25,96.19,31.94,29.72
2017-01-13,中卫,90.55,1.11,35.2,24.7,108.48,61.64,74.23
2017-01-14,中卫,79.06,1.04,28.64,29.49,75.9,57.65,42.82
2017-01-15,中卫,68.29,1.09,28.63,30.13,63.95,49.06,51.02
2017-01-16,中卫,56.85,0.88,18.9,37.79,70.71,27.42,22.12
2017-01-17,中卫,106.67,1.06,33.76,26.53,158.53,55.62,48.56
2017-01-18,中卫,112.5,1.0,29.12,29.33,147.03,53.54,44.4
2017-01-19,中卫,59.61,0.67,15.4,41.83,70.25,25.62,21.92
2017-01-20,中卫,72.54,0.97,26.46,30.64,91.78,38.89,49.49
2017-01-21,中卫,75.86,0.79,24.64,41.89,99.56,36.79,48.86
2017-01-22,中卫,60.22,0.84,27.77,43.01,63.97,31.19,66.36
2017-01-23,中卫,96.29,1.32,40.23,28.38,101.53,69.82,73.61
2017-01-24,中卫,136.82,1.67,44.81,27.79,139.31,103.96,93.65
2017-01-25,中卫,296.86,1.26,26.92,38.15,790.39,172.72,59.0
2017-01-26,中卫,309.14,0.67,10.82,52.98,551.84,110.33,10.2
2017-01-27,中卫,144.36,0.95,19.43,37.22,222.03,82.0,66.72
2017-01-28,中卫,108.21,0.69,9.28,51.54,165.58,45.28,15.9
2017-01-29,中卫,94.68,0.73,11.57,46.64,138.14,30.39,41.35
2017-01-30,中卫,61.92,0.91,17.18,36.36,67.7,29.76,70.35
2017-01-31,中卫,73.56,1.11,21.35,32.89,83.62,47.0,71.55
2017-02-01,中卫,117.78,1.5,29.82,30.38,138.55,85.06,99.9
2017-02-02,中卫,112.43,1.29,27.32,32.75,114.8,83.18,69.97
2017-02-03,中卫,92.49,1.0,24.64,41.61,101.57,61.51,30.56
2017-02-04,中卫,96.14,1.12,29.26,40.48,110.94,69.64,58.22
2017-02-05,中卫,134.07,1.39,36.71,39.58,168.67,94.79,88.75
2017-02-06,中卫,115.83,0.89,19.04,40.96,177.38,62.08,31.5
2017-02-07,中卫,85.49,0.6,9.8,45.17,119.71,32.36,17.04
2017-02-08,中卫,34.47,0.57,11.9,47.36,33.7,12.38,17.75
2017-02-09,中卫,35.88,0.65,20.12,46.86,35.02,19.83,39.94
2017-02-10,中卫,46.42,0.63,25.14,44.62,41.33,28.8,43.51
2017-02-11,中卫,64.83,0.8,31.7,37.21,68.0,44.92,59.56
2017-02-12,中卫,104.82,1.08,34.76,48.89,114.65,77.92,65.82
2017-02-13,中卫,113.76,1.21,42.15,48.61,111.04,85.4,76.24
2017-02-14,中卫,114.26,1.06,35.52,71.14,111.92,85.99,61.29
2017-02-15,中卫,151.67,1.36,40.8,61.37,190.13,100.04,59.25
2017-02-16,中卫,125.03,0.53,11.99,75.24,199.57,45.44,12.43
2017-02-17,中卫,83.31,0.76,26.89,52.96,111.6,43.19,27.31
2017-02-18,中卫,103.23,0.85,26.17,57.0,142.88,55.05,35.27
2017-02-19,中卫,177.62,0.81,20.65,73.99,286.41,71.51,37.75
2017-02-20,中卫,128.09,0.62,18.99,57.87,197.32,54.96,42.58
2017-02-21,中卫,152.38,0.5,9.16,84.93,241.09,51.97,9.25
2017-02-22,中卫,52.9,0.48,10.14,82.26,66.38,24.25,14.29
2017-02-23,中卫,50.6,0.7,23.86,54.76,51.18,33.14,44.71
2017-02-24,中卫,64.15,0.76,27.26,52.26,59.12,44.78,62.96
2017-02-25,中卫,40.9,0.67,21.77,57.71,34.73,23.43,30.81
2017-02-26,中卫,63.43,0.69,20.14,67.37,76.87,30.67,27.56
2017-02-27,中卫,56.78,0.71,22.44,63.46,61.96,26.24,41.14
2017-02-28,中卫,89.71,0.53,11.54,80.9,131.93,31.64,13.93
2017-03-01,中卫,61.26,0.51,14.7,80.42,72.32,27.32,24.51
2017-03-02,中卫,67.57,0.59,25.09,60.61,81.14,34.0,41.35
2017-03-03,中卫,56.19,0.53,22.33,73.65,61.7,26.81,32.48
2017-03-04,中卫,47.65,0.5,20.28,74.94,47.7,19.83,20.29
2017-03-05,中卫,46.94,0.59,21.03,73.68,47.42,24.17,38.64
2017-03-06,中卫,39.75,0.6,20.85,72.56,37.71,24.07,36.18
2017-03-07,中卫,29.72,0.46,15.46,71.53,22.22,11.44,20.26
2017-03-08,中卫,53.16,0.61,22.59,64.09,60.0,23.78,56.07
2017-03-09,中卫,71.12,0.98,37.86,44.49,80.75,49.16,63.7
2017-03-10,中卫,81.61,1.02,34.29,60.28,80.58,59.06,45.39
2017-03-11,中卫,40.72,0.65,24.07,72.78,39.85,21.35,39.86
2017-03-12,中卫,61.37,0.65,22.99,62.68,72.62,26.35,49.32
2017-03-13,中卫,60.88,0.72,24.68,59.46,68.7,34.01,50.75
2017-03-14,中卫,59.71,0.79,19.28,82.26,64.34,37.4,30.67
2017-03-15,中卫,67.51,0.87,25.86,68.23,62.89,48.67,33.45
2017-03-16,中卫,78.1,0.92,27.62,68.78,78.36,55.42,31.15
2017-03-17,中卫,61.48,0.53,15.09,98.65,72.43,26.36,13.58
2017-03-18,中卫,85.35,0.74,25.75,69.86,117.24,48.47,32.74
2017-03-19,中卫,69.91,0.86,19.87,71.91,66.04,49.33,29.41
2017-03-20,中卫,114.07,1.01,26.28,64.26,106.58,85.69,32.79
2017-03-21,中卫,92.99,0.89,24.64,64.76,94.92,64.1,28.88
2017-03-22,中卫,63.48,0.73,17.99,76.87,73.33,36.43,16.58
2017-03-23,中卫,150.43,0.43,10.57,92.49,265.31,56.79,7.87
2017-03-24,中卫,180.31,0.36,9.69,92.53,310.0,60.08,4.47
2017-03-25,中卫,68.22,0.53,20.49,65.71,84.6,31.14,13.14
2017-03-26,中卫,60.58,0.6,23.83,62.41,70.83,30.62,15.54
2017-03-27,中卫,118.64,0.71,26.01,62.06,176.59,59.68,21.32
2017-03-28,中卫,81.57,0.57,17.85,91.86,111.6,44.32,29.81
2017-03-29,中卫,61.62,0.66,20.6,84.07,73.51,34.0,22.6
2017-03-30,中卫,45.81,0.56,12.36,91.9,47.24,18.15,10.54
2017-03-31,中卫,48.22,0.68,21.12,74.78,48.38,24.79,17.76
2017-04-01,中卫,65.64,0.67,23.09,79.11,79.5,31.64,16.0
2017-04-02,中卫,61.41,0.7,24.21,96.75,72.46,34.11,20.54
2017-04-03,中卫,54.39,0.78,17.97,91.74,56.52,29.75,10.51
2017-04-04,中卫,55.55,0.73,17.65,90.35,51.93,35.76,18.36
2017-04-05,中卫,69.9,0.59,20.36,97.79,72.29,41.27,15.9
2017-04-06,中卫,92.38,0.48,12.35,103.11,122.82,50.61,7.03
2017-04-07,中卫,85.47,0.29,7.29,110.1,121.77,40.03,5.46
2017-04-08,中卫,48.35,0.38,14.5,98.19,41.15,30.24,15.65
2017-04-09,中卫,40.68,0.39,12.62,101.12,39.06,15.65,11.4
2017-04-10,中卫,47.21,0.36,10.17,113.37,46.81,11.04,7.62
2017-04-11,中卫,38.58,0.41,13.39,97.75,34.06,10.5,8.57
2017-04-12,中卫,56.21,0.43,21.58,83.04,63.19,24.79,10.51
2017-04-13,中卫,65.21,0.39,18.43,108.6,80.08,22.03,10.9
2017-04-14,中卫,67.03,0.37,19.83,100.68,83.79,24.9,12.62
2017-04-15,中卫,44.29,0.36,14.5,114.58,37.86,16.12,11.15
2017-04-16,中卫,189.17,0.31,8.78,119.26,282.54,58.33,6.65
2017-04-17,中卫,247.61,0.34,11.14,115.6,636.29,113.15,9.12
2017-04-18,中卫,95.93,0.42,12.0,112.2,141.54,44.7,13.64
2017-04-19,中卫,72.94,0.41,7.44,126.08,95.35,22.96,11.26
2017-04-20,中卫,169.67,0.4,8.88,119.35,236.08,49.92,7.22
2017-04-21,中卫,62.24,0.52,22.13,87.01,73.94,28.38,17.32
2017-04-22,中卫,63.17,0.57,28.61,89.47,65.29,27.39,24.46
2017-04-23,中卫,57.42,0.53,23.58,104.35,60.28,27.42,22.93
2017-04-24,中卫,59.22,0.55,16.62,108.92,65.68,22.86,24.26
2017-04-25,中卫,59.9,0.44,7.63,122.71,64.0,17.53,8.4
2017-04-26,中卫,57.67,0.61,21.74,102.97,64.87,24.42,38.36
2017-04-27,中卫,69.54,0.59,25.79,104.38,81.33,31.23,23.01
2017-04-28,中卫,68.96,0.66,26.06,110.6,69.72,32.04,32.54
2017-04-29,中卫,79.23,0.69,32.42,101.22,92.32,42.22,22.41
2017-04-30,中卫,63.38,0.76,19.65,134.21,71.02,27.35,21.95
2017-05-01,中卫,70.68,0.76,19.06,111.76,81.49,30.93,20.74
2017-05-02,中卫,154.06,0.73,10.03,113.94,226.77,74.78,13.05
2017-05-03,中卫,361.71,0.59,6.9,105.21,765.36,193.33,8.72
