time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,吴忠,119.82,1.72,53.18,19.82,141.4,87.05,89.04
2017-01-02,吴忠,100.22,1.37,35.77,37.7,119.2,70.63,80.07
2017-01-03,吴忠,118.17,1.5,51.29,28.96,125.2,87.88,114.5
2017-01-04,吴忠,248.25,3.22,77.36,21.15,257.38,200.65,125.36
2017-01-05,吴忠,219.15,1.91,63.38,27.56,229.56,172.71,108.08
2017-01-06,吴忠,81.39,1.1,29.07,47.96,95.95,52.12,60.71
2017-01-07,吴忠,110.64,1.5,54.78,27.62,115.17,82.49,99.71
2017-01-08,吴忠,77.82,1.38,44.53,37.35,78.72,55.01,63.89
2017-01-09,吴忠,72.7,1.23,46.29,28.93,81.58,50.42,66.78
2017-01-10,吴忠,63.88,1.1,33.62,39.52,69.11,41.67,59.09
2017-01-11,吴忠,55.4,0.72,22.43,61.39,63.15,21.36,21.69
2017-01-12,吴忠,68.99,0.79,28.28,59.33,88.11,29.14,39.99
2017-01-13,吴忠,86.49,1.23,52.19,36.49,97.79,61.0,104.33
2017-01-14,吴忠,136.38,1.72,59.29,26.99,141.02,102.65,99.03
2017-01-15,吴忠,88.56,1.18,43.32,39.22,92.55,61.69,106.68
2017-01-16,吴忠,50.62,0.71,23.86,64.8,54.12,24.64,29.03
2017-01-17,吴忠,112.0,1.21,43.35,46.17,168.74,59.58,98.01
2017-01-18,吴忠,113.58,1.59,42.93,36.01,140.54,75.49,77.68
2017-01-19,吴忠,66.11,0.86,19.69,56.76,83.44,24.32,19.57
2017-01-20,吴忠,75.82,1.1,34.79,39.28,93.21,42.51,60.61
2017-01-21,吴忠,85.81,1.22,38.43,44.96,108.21,48.26,66.17
2017-01-22,吴忠,76.81,1.19,39.75,49.42,86.75,44.68,71.39
2017-01-23,吴忠,116.61,1.82,61.78,26.61,116.98,86.43,127.03
2017-01-24,吴忠,178.93,2.52,70.33,27.85,186.55,138.47,131.92
2017-01-25,吴忠,330.24,1.97,58.39,38.96,648.49,160.4,60.12
2017-01-26,吴忠,399.43,1.12,25.33,54.67,765.63,115.94,21.31
2017-01-27,吴忠,146.72,1.15,29.08,46.29,243.0,68.72,38.46
2017-01-28,吴忠,120.05,1.08,19.77,54.48,180.53,56.41,45.41
2017-01-29,吴忠,88.08,1.1,12.79,57.74,120.89,24.55,33.73
2017-01-30,吴忠,47.97,1.03,23.14,44.57,53.07,21.35,37.18
2017-01-31,吴忠,79.07,1.6,33.51,37.5,96.58,53.47,91.15
2017-02-01,吴忠,81.08,1.47,33.83,42.19,101.31,53.53,51.85
2017-02-02,吴忠,116.25,1.81,50.85,34.38,123.91,86.65,54.08
2017-02-03,吴忠,129.28,1.53,28.81,51.29,136.76,91.29,50.68
2017-02-04,吴忠,124.73,1.6,44.98,51.09,136.85,92.64,91.45
2017-02-05,吴忠,92.38,1.27,38.62,49.67,119.13,62.94,66.0
2017-02-06,吴忠,86.75,1.19,35.4,39.39,116.25,49.81,59.79
2017-02-07,吴忠,95.52,0.82,15.23,61.92,140.52,23.91,15.27
2017-02-08,吴忠,69.01,1.14,28.32,51.65,64.58,39.93,43.89
2017-02-09,吴忠,75.94,1.47,42.68,42.44,76.49,54.38,46.28
2017-02-10,吴忠,108.9,1.62,49.19,38.12,105.85,81.06,82.85
2017-02-11,吴忠,99.99,1.4,48.71,36.84,105.78,72.96,77.46
