time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,固原,88.82,1.77,46.11,16.69,102.06,60.13,21.13
2017-01-02,固原,74.72,1.81,43.17,24.95,85.25,48.12,23.07
2017-01-03,固原,64.68,1.7,41.88,26.31,69.25,38.39,19.5
2017-01-04,固原,81.64,1.83,37.48,21.13,84.97,57.32,17.1
2017-01-05,固原,132.26,1.98,36.5,28.6,128.48,99.18,19.1
2017-01-06,固原,84.99,1.19,17.93,38.43,87.24,54.83,13.35
2017-01-07,固原,46.94,1.08,24.77,32.76,46.05,27.64,14.3
2017-01-08,固原,55.68,1.31,31.61,24.82,61.69,29.44,15.46
2017-01-09,固原,50.38,1.05,24.9,26.35,51.28,29.65,25.28
2017-01-10,固原,40.62,0.83,14.69,30.61,36.89,24.43,11.62
2017-01-11,固原,53.33,0.65,18.06,32.06,55.08,22.31,8.44
2017-01-12,固原,64.99,0.92,31.6,27.74,70.26,34.58,15.43
2017-01-13,固原,72.14,1.24,37.76,23.15,89.64,39.78,17.79
2017-01-14,固原,63.65,0.97,34.35,28.57,69.79,40.61,17.78
2017-01-15,固原,77.22,1.16,33.74,24.28,93.3,51.4,24.33
2017-01-16,固原,64.82,0.96,30.21,29.83,74.99,34.19,15.22
2017-01-17,固原,58.58,1.1,35.38,26.35,68.96,27.93,14.22
2017-01-18,固原,62.62,1.14,26.65,30.14,73.5,35.18,15.21
2017-01-19,固原,86.81,0.95,13.89,40.21,114.38,27.03,7.96
2017-01-20,固原,74.5,1.25,26.46,29.26,96.5,36.1,13.54
2017-01-21,固原,62.35,1.09,19.01,41.91,72.55,27.97,12.59
2017-01-22,固原,64.32,1.63,35.16,31.42,71.91,36.57,18.55
2017-01-23,固原,74.5,1.71,42.88,28.39,82.69,47.35,20.65
2017-01-24,固原,100.26,1.51,38.82,30.74,112.74,74.36,21.82
2017-01-25,固原,167.49,1.38,29.71,39.44,244.85,111.43,16.85
2017-01-26,固原,346.86,0.57,10.75,39.37,956.1,135.25,7.24
2017-01-27,固原,119.71,0.73,12.28,38.07,182.65,40.86,11.74
2017-01-28,固原,124.76,0.79,10.44,37.77,191.24,56.03,13.58
2017-01-29,固原,77.13,0.68,7.36,37.04,103.84,24.67,10.86
2017-01-30,固原,75.68,0.82,12.15,30.18,99.99,27.11,14.1
2017-01-31,固原,80.78,1.24,23.29,23.61,102.97,48.36,21.03
2017-02-01,固原,86.42,1.08,19.82,29.88,117.86,55.9,15.4
2017-02-02,固原,145.44,1.16,19.62,36.92,137.89,110.11,17.18
2017-02-03,固原,107.97,1.18,26.75,28.4,106.14,78.97,12.35
2017-02-04,固原,81.39,1.18,30.22,31.58,96.37,56.48,17.1
2017-02-05,固原,96.24,1.38,22.82,41.43,109.92,67.29,14.64
2017-02-06,固原,140.6,1.52,22.08,40.15,125.17,103.19,16.21
2017-02-07,固原,85.46,0.64,6.86,39.96,121.12,23.61,6.86
2017-02-08,固原,49.01,0.76,10.24,38.14,47.24,18.4,10.4
2017-02-09,固原,50.1,1.19,25.3,38.03,50.89,28.14,15.62
2017-02-10,固原,60.82,1.27,25.92,49.36,55.31,39.97,18.33
2017-02-11,固原,69.18,1.37,31.35,51.04,72.1,47.43,20.93
2017-02-12,固原,78.4,1.4,30.44,56.71,80.42,52.96,18.99
2017-02-13,固原,78.25,1.18,28.99,65.2,77.45,56.46,17.87
2017-02-14,固原,94.71,1.35,38.86,57.93,88.91,68.22,15.44
2017-02-15,固原,83.15,1.25,35.75,49.84,93.96,52.74,14.54
2017-02-16,固原,115.26,0.87,18.9,62.93,150.17,59.18,11.08
2017-02-17,固原,79.65,0.93,28.44,51.48,103.82,41.58,13.56
2017-02-18,固原,97.86,0.95,36.62,61.25,124.35,57.33,14.1
2017-02-19,固原,128.58,0.87,24.31,75.92,184.62,53.32,14.07
2017-02-20,固原,87.07,0.98,25.33,51.61,124.97,40.81,12.83
2017-02-21,固原,94.57,0.76,9.58,71.46,143.5,30.97,6.28
2017-02-22,固原,63.51,0.78,11.56,75.78,83.86,23.57,6.89
2017-02-23,固原,43.9,1.07,29.3,47.77,39.15,24.33,12.36
2017-02-24,固原,52.64,1.23,29.79,46.81,56.17,26.57,12.83
2017-02-25,固原,50.64,1.15,32.89,43.3,52.61,25.7,13.76
2017-02-26,固原,56.92,1.1,31.73,54.17,63.72,27.48,12.54
2017-02-27,固原,64.78,1.18,30.86,55.06,77.17,36.59,12.35
2017-02-28,固原,77.28,0.75,18.57,67.28,105.57,25.35,7.81
2017-03-01,固原,76.62,0.63,12.68,75.68,94.96,23.46,6.04
2017-03-02,固原,77.48,0.76,29.19,58.86,98.3,27.51,9.96
2017-03-03,固原,76.65,0.97,35.99,52.18,99.64,35.82,12.9
2017-03-04,固原,87.14,1.11,41.57,45.5,122.54,40.83,14.35
2017-03-05,固原,53.06,0.79,25.41,58.33,59.58,23.42,12.3
2017-03-06,固原,61.65,0.9,36.95,45.35,72.66,31.29,11.84
2017-03-07,固原,76.99,1.03,34.99,52.81,78.05,48.71,15.0
2017-03-08,固原,65.74,1.08,34.38,55.58,81.72,26.19,13.16
2017-03-09,固原,72.88,1.16,37.46,64.65,87.37,46.46,14.53
2017-03-10,固原,72.49,1.13,26.56,83.11,59.47,52.56,13.19
2017-03-11,固原,69.22,1.15,26.17,72.22,55.27,49.62,12.29
2017-03-12,固原,41.46,0.95,11.06,90.89,31.81,25.67,9.65
2017-03-13,固原,35.54,0.87,11.12,93.24,25.86,23.17,8.46
2017-03-14,固原,43.08,0.83,14.99,96.44,33.06,29.19,6.99
2017-03-15,固原,42.84,0.9,19.64,74.14,31.47,29.83,6.25
2017-03-16,固原,64.35,0.95,23.29,64.96,47.46,45.97,6.19
2017-03-17,固原,65.01,0.86,23.7,77.94,61.21,37.43,7.39
2017-03-18,固原,64.15,0.96,34.35,81.94,73.9,37.04,8.74
2017-03-19,固原,53.62,1.15,22.89,72.28,29.37,38.38,6.01
