time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,石嘴山,183.86,3.66,80.88,17.63,223.89,142.92,190.0
2017-01-02,石嘴山,223.79,3.53,79.33,24.72,227.97,180.95,166.93
2017-01-03,石嘴山,206.75,3.38,82.5,21.51,240.1,162.72,170.92
2017-01-04,石嘴山,133.04,2.23,60.69,30.05,158.24,97.31,120.38
2017-01-05,石嘴山,243.38,3.37,63.03,19.35,283.01,189.09,145.28
2017-01-06,石嘴山,121.45,1.6,41.07,34.38,154.89,80.11,84.6
2017-01-07,石嘴山,86.57,1.53,37.39,28.96,110.01,56.5,69.01
2017-01-08,石嘴山,123.42,1.83,43.94,35.08,131.4,87.74,97.13
2017-01-09,石嘴山,62.99,1.11,33.13,48.89,62.78,37.34,58.62
2017-01-10,石嘴山,89.54,1.41,44.92,37.54,99.26,62.24,120.96
2017-01-11,石嘴山,108.39,1.64,47.11,34.91,117.75,77.69,87.28
2017-01-12,石嘴山,121.09,2.15,53.36,29.76,145.88,86.74,122.25
2017-01-13,石嘴山,114.49,2.07,54.52,26.24,139.32,79.02,123.96
2017-01-14,石嘴山,97.32,1.74,46.61,31.25,124.61,63.53,122.45
2017-01-15,石嘴山,153.33,2.55,58.65,22.48,203.74,107.14,187.15
2017-01-16,石嘴山,89.83,1.22,30.69,61.35,126.63,45.5,79.29
2017-01-17,石嘴山,93.03,1.62,42.23,45.82,115.6,60.56,137.08
2017-01-18,石嘴山,114.8,1.45,35.42,47.24,141.5,56.89,86.28
2017-01-19,石嘴山,89.11,0.8,22.42,62.39,121.07,32.11,59.49
2017-01-20,石嘴山,94.07,1.47,44.88,31.36,109.38,63.19,119.4
2017-01-21,石嘴山,102.36,1.46,39.93,42.72,137.15,60.64,121.67
2017-01-22,石嘴山,142.85,2.6,54.27,24.19,169.76,103.59,164.38
2017-01-23,石嘴山,119.81,2.22,53.51,28.48,141.47,84.51,168.56
2017-01-24,石嘴山,109.97,1.96,50.12,37.17,121.16,81.23,136.99
2017-01-25,石嘴山,177.41,2.4,48.47,48.1,237.09,110.07,114.1
2017-01-26,石嘴山,245.76,0.8,19.18,69.82,362.51,63.57,46.76
2017-01-27,石嘴山,132.39,1.32,29.89,46.66,207.67,70.96,79.11
2017-01-28,石嘴山,145.0,1.29,28.0,54.19,206.4,77.76,97.69
2017-01-29,石嘴山,74.07,0.91,16.99,64.34,98.83,21.25,65.28
2017-01-30,石嘴山,51.72,1.14,23.8,49.79,57.87,29.27,91.59
2017-01-31,石嘴山,108.52,1.94,42.31,31.19,134.42,76.75,157.31
2017-02-01,石嘴山,73.1,1.35,29.81,56.56,79.74,44.73,75.36
2017-02-02,石嘴山,128.68,2.19,45.75,54.73,152.54,93.27,120.86
2017-02-03,石嘴山,206.69,2.74,52.73,47.81,212.23,164.15,125.3
2017-02-04,石嘴山,172.19,2.57,53.08,53.0,186.41,130.6,130.02
2017-02-05,石嘴山,66.78,1.45,30.82,71.75,78.09,40.96,54.57
2017-02-06,石嘴山,77.49,1.42,39.69,52.14,92.86,50.68,76.0
2017-02-07,石嘴山,91.64,1.04,20.58,66.86,129.02,36.4,44.06
2017-02-08,石嘴山,60.99,0.89,22.26,68.62,67.89,33.1,65.35
2017-02-09,石嘴山,68.74,1.08,25.67,60.06,70.05,45.51,60.05
2017-02-10,石嘴山,83.88,1.29,38.86,47.95,92.39,58.0,80.54
2017-02-11,石嘴山,120.54,1.61,44.61,52.74,133.19,88.18,119.66
2017-02-12,石嘴山,121.82,1.86,46.92,52.14,124.68,91.18,113.77
2017-02-13,石嘴山,82.27,1.43,41.47,54.57,98.52,54.51,100.06
2017-02-14,石嘴山,142.39,1.84,55.08,54.72,162.18,105.21,156.97
2017-02-15,石嘴山,198.38,2.19,55.97,60.7,229.28,153.03,124.55
2017-02-16,石嘴山,136.0,1.23,35.48,64.52,202.82,71.66,80.32
2017-02-17,石嘴山,69.74,1.0,29.46,67.8,83.28,42.35,72.6
2017-02-18,石嘴山,156.66,2.21,55.34,49.11,197.92,115.33,127.92
2017-02-19,石嘴山,207.65,1.73,40.78,61.05,284.43,85.37,113.37
2017-02-20,石嘴山,52.12,0.74,18.14,78.58,56.92,23.13,30.87
2017-02-21,石嘴山,76.11,0.86,17.2,79.84,86.82,39.66,31.24
2017-02-22,石嘴山,75.89,0.82,24.11,84.77,96.12,40.13,49.3
2017-02-23,石嘴山,121.5,1.19,32.36,80.99,132.25,86.75,52.28
2017-02-24,石嘴山,112.55,1.35,39.83,75.97,103.75,85.46,61.29
2017-02-25,石嘴山,124.31,1.35,40.88,66.16,101.15,94.88,71.17
2017-02-26,石嘴山,63.69,0.94,26.47,72.59,67.85,39.91,37.74
2017-02-27,石嘴山,77.0,1.15,34.57,64.88,89.5,47.78,43.32
2017-02-28,石嘴山,81.86,0.94,24.09,76.27,108.36,33.35,60.17
2017-03-01,石嘴山,46.73,0.67,18.24,96.82,39.52,20.2,44.58
2017-03-02,石嘴山,68.23,1.26,37.27,63.13,74.2,44.32,70.53
2017-03-03,石嘴山,103.48,1.84,47.17,57.71,117.63,70.55,82.05
2017-03-04,石嘴山,75.77,1.47,35.38,70.55,95.85,40.74,66.84
2017-03-05,石嘴山,51.11,1.04,21.83,83.1,54.92,21.31,51.87
2017-03-06,石嘴山,52.83,1.23,26.47,71.5,54.35,26.55,55.93
2017-03-07,石嘴山,50.86,0.99,19.52,77.33,54.84,19.71,44.0
2017-03-08,石嘴山,50.25,1.2,23.65,73.38,53.41,28.52,58.99
2017-03-09,石嘴山,76.61,1.55,33.83,62.83,73.25,52.51,79.47
2017-03-10,石嘴山,76.75,1.52,35.59,64.86,84.09,48.51,105.75
2017-03-11,石嘴山,64.22,1.27,27.53,69.51,77.99,30.61,61.35
2017-03-12,石嘴山,51.51,1.02,20.9,82.41,58.96,19.6,46.32
2017-03-13,石嘴山,52.57,0.99,23.79,82.17,47.48,27.51,43.13
2017-03-14,石嘴山,71.14,1.12,24.63,69.34,67.21,46.79,31.81
2017-03-15,石嘴山,74.84,1.05,25.52,88.27,71.41,51.77,30.31
2017-03-16,石嘴山,100.31,1.38,36.49,63.38,93.07,74.51,42.94
2017-03-17,石嘴山,100.77,1.24,33.62,75.4,127.88,59.2,42.77
2017-03-18,石嘴山,81.5,1.03,32.03,86.01,107.28,46.74,47.66
2017-03-19,石嘴山,96.06,1.18,30.84,79.45,96.22,69.55,24.46
2017-03-20,石嘴山,93.71,1.12,24.04,98.14,79.64,69.66,14.58
2017-03-21,石嘴山,98.53,1.21,27.2,81.93,89.36,72.88,21.85
2017-03-22,石嘴山,66.28,0.81,23.56,86.31,58.25,46.44,17.6
2017-03-23,石嘴山,113.83,0.4,13.62,94.02,151.82,32.78,17.37
2017-03-24,石嘴山,115.39,0.22,8.96,97.45,155.21,23.39,14.02
2017-03-25,石嘴山,50.08,0.57,20.48,81.98,48.58,27.42,43.43
2017-03-26,石嘴山,56.43,0.59,32.23,74.54,52.46,34.12,44.11
2017-03-27,石嘴山,93.48,0.88,37.61,65.99,112.84,53.35,60.67
2017-03-28,石嘴山,69.28,0.83,33.28,82.89,80.01,45.49,46.04
2017-03-29,石嘴山,84.27,1.06,44.05,66.28,94.65,51.93,65.2
2017-03-30,石嘴山,67.24,0.84,36.66,67.8,72.99,37.12,49.66
2017-03-31,石嘴山,50.42,0.57,30.5,87.2,46.79,24.76,29.51
2017-04-01,石嘴山,64.97,0.84,43.02,80.9,67.39,39.9,39.07
2017-04-02,石嘴山,68.75,0.94,44.56,93.11,77.22,40.2,42.92
2017-04-03,石嘴山,98.22,1.12,44.26,90.8,108.76,63.59,62.01
2017-04-04,石嘴山,45.06,0.71,21.28,91.35,29.52,23.98,22.7
2017-04-05,石嘴山,70.68,0.95,29.07,99.11,75.77,42.42,34.54
2017-04-06,石嘴山,90.17,0.76,24.97,98.17,112.83,44.82,26.0
2017-04-07,石嘴山,118.81,0.59,24.48,100.57,175.61,34.34,34.94
2017-04-08,石嘴山,42.48,0.61,19.77,88.28,42.96,15.77,33.72
2017-04-09,石嘴山,50.83,0.6,20.35,98.34,56.49,19.18,33.28
2017-04-10,石嘴山,43.76,0.45,12.35,97.68,44.4,11.07,16.54
2017-04-11,石嘴山,49.61,0.51,18.14,92.17,53.57,14.04,31.44
2017-04-12,石嘴山,65.14,0.81,31.32,70.19,77.0,32.32,36.62
2017-04-13,石嘴山,71.82,0.58,19.72,98.61,93.7,24.79,27.73
2017-04-14,石嘴山,72.23,0.77,24.67,88.7,94.04,25.54,39.62
2017-04-15,石嘴山,67.62,0.9,32.84,76.08,83.77,31.86,33.15
2017-04-16,石嘴山,143.83,0.49,12.3,106.91,208.9,38.09,19.5
2017-04-17,石嘴山,246.77,0.62,16.3,95.9,454.01,80.77,26.9
2017-04-18,石嘴山,90.28,0.65,19.06,84.28,127.6,37.79,34.62
2017-04-19,石嘴山,135.35,0.35,8.33,116.07,189.25,32.96,15.35
2017-04-20,石嘴山,106.86,0.27,9.09,103.11,157.47,26.72,12.19
2017-04-21,石嘴山,54.24,0.55,25.65,74.58,58.4,25.45,30.18
2017-04-22,石嘴山,60.33,0.61,30.83,91.62,66.08,25.1,32.6
2017-04-23,石嘴山,72.65,0.58,21.26,88.18,94.67,24.0,34.65
2017-04-24,石嘴山,52.9,0.49,18.27,97.64,58.43,18.51,32.57
2017-04-25,石嘴山,55.89,0.43,17.3,101.99,64.87,23.72,35.83
2017-04-26,石嘴山,50.83,0.51,21.67,98.95,53.8,19.92,40.61
2017-04-27,石嘴山,50.14,0.55,24.38,94.11,51.18,22.73,30.72
2017-04-28,石嘴山,61.75,0.7,33.71,87.93,68.61,30.21,50.0
2017-04-29,石嘴山,76.35,0.84,39.32,83.2,95.64,42.14,56.61
2017-04-30,石嘴山,82.72,0.95,35.21,81.19,107.99,44.41,57.26
2017-05-01,石嘴山,71.62,0.42,15.21,127.61,87.2,28.58,23.05
2017-05-02,石嘴山,66.73,0.58,18.78,110.97,80.68,38.26,24.83
2017-05-03,石嘴山,175.64,0.38,13.18,90.12,334.13,75.6,20.22
2017-05-04,石嘴山,434.69,0.39,13.31,83.84,1018.56,239.38,19.94
2017-05-05,石嘴山,208.45,0.31,14.25,106.23,551.9,113.78,19.34
2017-05-06,石嘴山,101.62,0.67,37.82,82.3,141.98,59.61,34.46
2017-05-07,石嘴山,87.55,0.88,40.83,79.12,110.82,49.89,45.24
2017-05-08,石嘴山,86.61,0.67,32.04,87.96,115.89,47.0,38.74
2017-05-09,石嘴山,92.51,0.22,10.03,107.72,127.44,29.33,14.19
2017-05-10,石嘴山,78.74,0.47,26.35,79.43,94.06,42.98,27.67
2017-05-11,石嘴山,73.38,0.48,17.5,96.01,94.6,28.25,23.93
2017-05-12,石嘴山,86.41,0.63,28.63,90.29,121.45,38.52,36.1
2017-05-13,石嘴山,57.24,0.5,21.97,90.04,64.41,22.93,28.7
2017-05-14,石嘴山,59.96,0.42,17.31,106.24,71.22,23.86,29.2
2017-05-15,石嘴山,56.82,0.5,21.36,114.55,48.16,24.18,31.27
2017-05-16,石嘴山,53.0,0.54,26.96,104.2,51.24,20.42,31.21
2017-05-17,石嘴山,73.22,0.66,37.53,101.0,71.99,34.76,29.73
2017-05-18,石嘴山,77.91,0.61,26.57,97.8,92.91,39.72,36.57
2017-05-19,石嘴山,59.4,0.47,19.74,104.57,59.9,28.2,20.78
2017-05-20,石嘴山,64.86,0.55,18.22,123.69,56.83,33.39,23.08
2017-05-21,石嘴山,242.71,0.43,17.23,82.2,534.34,172.89,19.35
2017-05-22,石嘴山,93.89,0.36,13.47,78.14,122.88,61.12,22.39
2017-05-23,石嘴山,44.73,0.35,18.51,106.73,37.19,15.87,20.23
2017-05-24,石嘴山,53.43,0.54,27.63,86.96,55.66,19.66,30.35
2017-05-25,石嘴山,62.69,0.58,32.58,87.66,74.07,24.36,27.79
2017-05-26,石嘴山,71.2,0.81,32.48,94.12,86.82,29.63,39.75
2017-05-27,石嘴山,78.2,0.8,39.03,100.52,96.18,35.18,37.11
2017-05-28,石嘴山,79.51,0.82,41.23,97.7,101.03,36.88,40.9
2017-05-29,石嘴山,114.4,0.92,34.56,116.22,166.06,50.78,68.24
2017-05-30,石嘴山,91.8,0.6,24.06,97.52,124.63,50.36,37.4
