time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,银川,183.03,3.0,68.69,26.89,214.34,139.93,158.97
2017-01-02,银川,179.33,2.38,65.87,32.5,215.36,136.55,134.34
2017-01-03,银川,222.34,3.19,68.7,33.73,262.65,177.99,155.55
2017-01-04,银川,124.83,2.4,55.14,38.47,158.98,89.7,127.63
2017-01-05,银川,202.05,2.95,74.09,35.65,242.45,156.81,153.79
2017-01-06,银川,163.05,2.22,59.86,34.32,196.84,122.46,118.23
2017-01-07,银川,122.52,1.75,59.49,30.94,147.41,88.8,96.21
2017-01-08,银川,123.62,1.73,54.76,37.17,147.0,89.8,116.24
2017-01-09,银川,68.48,1.2,41.69,40.07,77.34,40.33,89.38
2017-01-10,银川,90.32,1.49,53.04,34.08,107.47,60.98,110.17
2017-01-11,银川,96.45,1.52,56.48,31.4,116.9,66.43,99.87
2017-01-12,银川,102.84,1.73,54.99,36.38,126.91,71.24,95.32
2017-01-13,银川,111.24,2.08,53.99,37.04,139.84,78.95,106.86
2017-01-14,银川,104.66,2.34,54.11,32.38,134.82,72.49,135.97
2017-01-15,银川,120.55,2.11,66.45,25.42,151.87,86.53,159.23
2017-01-16,银川,89.02,1.35,41.73,52.15,110.44,54.92,108.24
2017-01-17,银川,78.13,1.15,33.48,56.1,103.83,38.68,84.01
2017-01-18,银川,95.15,1.77,41.67,52.2,120.34,59.46,95.91
2017-01-19,银川,84.25,0.91,26.87,61.52,117.25,29.66,78.71
2017-01-20,银川,83.74,1.57,44.34,37.15,107.49,51.89,103.7
2017-01-21,银川,81.44,1.36,42.86,46.46,102.35,45.6,118.55
2017-01-22,银川,100.44,1.96,50.75,39.25,128.05,68.71,113.47
2017-01-23,银川,124.97,2.65,54.29,39.73,148.83,89.55,140.11
2017-01-24,银川,99.45,2.3,57.68,39.25,121.67,69.58,144.55
2017-01-25,银川,172.3,2.53,58.39,50.73,226.26,98.14,138.08
2017-01-26,银川,298.03,1.21,36.05,51.04,424.81,70.26,92.18
2017-01-27,银川,125.03,1.4,32.97,54.12,197.9,57.18,82.08
2017-01-28,银川,157.15,13.58,37.12,56.18,242.28,97.57,115.38
2017-01-29,银川,91.98,0.88,15.32,68.51,124.38,23.9,43.87
2017-01-30,银川,58.37,1.28,25.25,51.61,66.54,29.61,77.94
2017-01-31,银川,85.19,1.72,36.72,40.53,105.49,55.63,115.52
2017-02-01,银川,78.87,1.49,30.98,53.3,97.97,46.07,96.89
2017-02-02,银川,113.63,2.16,47.2,46.26,147.35,78.26,124.72
2017-02-03,银川,156.08,2.09,47.47,41.69,176.66,115.21,90.64
2017-02-04,银川,165.52,2.17,44.18,56.88,187.42,124.3,87.07
2017-02-05,银川,91.06,1.59,42.5,61.54,116.48,57.99,83.0
2017-02-06,银川,89.32,1.61,48.3,40.46,120.44,55.07,101.68
2017-02-07,银川,94.6,1.19,39.58,46.39,132.64,55.2,93.46
2017-02-08,银川,67.73,0.85,34.64,54.22,78.99,32.49,84.69
2017-02-09,银川,75.22,1.01,40.64,50.68,85.84,48.53,78.27
2017-02-10,银川,94.67,1.26,48.99,49.77,108.49,66.38,82.95
2017-02-11,银川,111.67,1.5,52.56,53.75,128.16,80.1,103.12
2017-02-12,银川,119.65,1.58,49.76,57.01,139.08,86.49,94.91
2017-02-13,银川,91.72,1.47,47.45,54.44,110.31,62.1,86.64
2017-02-14,银川,129.09,1.65,59.74,60.17,152.35,93.83,111.42
2017-02-15,银川,157.25,1.63,62.63,61.8,192.3,112.26,106.39
2017-02-16,银川,128.14,1.25,41.77,58.78,177.55,82.98,90.41
2017-02-17,银川,71.71,1.01,37.04,60.01,90.16,38.98,70.44
2017-02-18,银川,106.16,1.51,47.57,56.43,140.39,65.66,96.43
2017-02-19,银川,139.75,1.04,26.65,69.37,209.16,46.88,57.67
2017-02-20,银川,55.9,0.83,21.16,67.55,64.11,23.45,42.02
2017-02-21,银川,69.09,0.77,26.04,68.73,85.2,38.72,41.37
2017-02-22,银川,74.41,0.91,37.56,67.73,96.62,40.31,87.11
2017-02-23,银川,103.31,1.2,44.03,57.95,132.77,71.51,75.86
2017-02-24,银川,99.81,1.24,48.88,54.7,115.85,69.73,72.77
2017-02-25,银川,87.19,1.16,48.14,51.93,97.37,59.04,96.95
2017-02-26,银川,66.18,0.91,37.86,58.42,77.02,38.4,63.4
2017-02-27,银川,80.26,1.18,47.12,52.97,102.69,48.9,76.81
2017-02-28,银川,75.86,1.05,35.12,60.86,95.38,40.21,61.79
2017-03-01,银川,51.42,0.78,28.34,76.44,56.71,21.23,53.99
2017-03-02,银川,72.57,1.08,47.68,59.43,90.49,41.29,76.46
2017-03-03,银川,77.4,1.13,47.78,62.23,96.83,45.87,72.12
2017-03-04,银川,75.84,1.26,43.26,63.69,93.64,44.14,58.65
2017-03-05,银川,49.13,0.81,23.38,77.86,54.61,23.4,45.78
2017-03-06,银川,61.62,1.1,38.04,62.67,71.12,35.78,62.39
2017-03-07,银川,61.84,1.09,34.34,60.52,71.04,36.11,51.66
2017-03-08,银川,54.92,0.9,33.89,68.26,61.41,28.21,73.31
2017-03-09,银川,71.85,1.15,44.13,58.24,84.82,43.94,63.25
2017-03-10,银川,81.71,1.29,44.87,65.53,95.82,53.07,79.84
2017-03-11,银川,61.08,1.05,36.33,64.11,69.14,32.57,60.12
2017-03-12,银川,54.19,0.88,24.1,74.18,62.81,26.22,40.88
2017-03-13,银川,51.3,0.86,25.65,76.59,56.24,25.18,43.18
2017-03-14,银川,70.52,0.97,32.57,78.84,78.58,45.72,68.67
2017-03-15,银川,79.88,0.97,36.68,77.18,89.09,54.11,60.78
