time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,亳州,226.47,1.73,68.82,38.39,239.68,177.03,59.92
2017-01-01,六安,137.14,1.55,101.63,26.88,158.95,103.88,24.61
2017-01-01,合肥,198.76,2.51,111.6,23.46,185.77,152.16,31.36
2017-01-01,安庆,182.34,1.29,84.97,44.51,173.24,138.05,37.55
2017-01-01,宣城,160.89,1.24,52.09,32.86,146.8,122.07,23.43
2017-01-01,宿州,257.83,1.7,57.39,30.22,215.53,208.04,31.52
2017-01-01,池州,164.48,1.47,55.36,20.64,176.38,122.95,12.3
2017-01-01,淮北,227.37,1.96,91.33,18.35,220.26,178.49,44.84
2017-01-01,淮南,217.58,1.89,97.36,18.85,258.34,169.82,31.96
2017-01-01,滁州,191.62,2.18,109.89,37.56,182.94,147.31,22.42
2017-01-01,芜湖,134.2,1.77,92.14,50.12,164.51,101.89,26.57
2017-01-01,蚌埠,215.34,1.94,92.93,26.86,217.84,167.7,48.79
2017-01-01,铜陵,167.91,1.8,104.33,20.9,190.89,131.77,69.4
2017-01-01,阜阳,218.13,1.85,95.66,12.98,249.55,168.77,30.32
2017-01-01,马鞍山,198.2,2.1,96.41,27.12,213.45,150.85,31.2
2017-01-01,黄山,71.49,0.96,25.86,34.47,74.46,47.77,10.35
2017-01-02,亳州,286.3,2.59,61.23,42.67,307.95,236.93,40.12
2017-01-02,六安,189.21,1.82,79.78,43.0,196.11,143.29,27.55
2017-01-02,合肥,226.14,2.01,84.63,22.71,177.76,178.25,15.91
2017-01-02,安庆,214.15,1.29,40.06,72.25,191.33,166.69,15.74
2017-01-02,宣城,246.77,1.97,89.18,25.75,226.43,197.1,35.85
2017-01-02,宿州,306.48,4.35,102.1,30.54,294.5,254.6,81.86
2017-01-02,池州,261.22,1.7,62.62,29.22,283.3,213.15,34.63
2017-01-02,淮北,293.54,2.72,90.26,29.39,278.79,245.12,55.04
2017-01-02,淮南,249.7,2.08,68.35,31.53,266.46,196.22,26.96
2017-01-02,滁州,184.32,1.67,69.1,46.63,166.81,139.88,16.13
2017-01-02,芜湖,152.1,2.34,113.04,50.5,195.74,115.29,24.82
2017-01-02,蚌埠,181.86,1.85,69.71,45.32,179.72,139.72,25.06
2017-01-02,铜陵,252.89,1.8,86.04,32.3,250.89,203.3,51.98
2017-01-02,阜阳,336.15,2.58,90.38,24.18,385.73,280.73,32.7
2017-01-02,马鞍山,186.79,2.34,87.73,21.63,206.26,142.61,30.04
2017-01-02,黄山,92.88,1.17,27.15,35.07,107.53,67.58,15.47
2017-01-03,亳州,177.08,2.57,48.62,24.69,203.07,132.77,24.94
2017-01-03,六安,108.19,1.7,58.68,26.01,117.95,76.56,17.48
2017-01-03,合肥,120.33,2.25,73.37,15.54,149.09,91.77,18.77
2017-01-03,安庆,250.76,1.64,64.28,44.02,227.83,201.64,20.36
2017-01-03,宣城,190.79,1.92,51.12,31.64,177.73,148.11,19.96
2017-01-03,宿州,312.65,3.85,93.75,12.67,298.32,263.04,46.37
2017-01-03,池州,287.69,2.02,62.85,12.62,345.31,233.74,30.1
2017-01-03,淮北,255.22,3.25,94.19,16.92,267.53,208.57,35.5
2017-01-03,淮南,189.83,2.08,59.58,21.61,198.34,147.16,23.92
2017-01-03,滁州,211.32,2.11,97.36,53.06,205.38,163.72,20.54
2017-01-03,芜湖,125.79,2.02,81.74,46.77,152.43,94.91,17.85
2017-01-03,蚌埠,237.97,2.27,96.24,42.85,241.73,188.83,33.81
2017-01-03,铜陵,211.97,2.35,75.41,19.61,224.77,168.49,52.56
2017-01-03,阜阳,267.6,2.99,44.83,16.0,308.26,217.12,19.44
2017-01-03,马鞍山,188.45,2.3,70.85,43.0,202.96,143.77,23.82
2017-01-03,黄山,137.1,1.47,32.08,33.51,149.15,102.93,13.88
2017-01-04,亳州,171.81,2.58,41.98,26.4,177.68,130.04,20.65
2017-01-04,六安,161.65,1.91,85.32,23.56,168.15,122.39,15.26
2017-01-04,合肥,251.09,2.85,117.19,14.5,238.06,202.13,14.89
2017-01-04,安庆,279.31,1.9,88.56,39.85,258.2,229.31,38.71
2017-01-04,宣城,220.04,1.62,75.22,26.36,193.51,170.89,22.06
2017-01-04,宿州,228.81,1.36,55.87,32.9,179.62,182.12,19.19
2017-01-04,池州,292.58,2.19,80.5,7.71,315.75,242.39,33.57
2017-01-04,淮北,236.74,2.32,75.35,29.71,223.29,191.36,25.06
2017-01-04,淮南,254.9,2.25,81.65,9.41,274.93,203.64,24.3
2017-01-04,滁州,214.42,1.81,86.47,36.18,218.78,168.46,20.1
2017-01-04,芜湖,156.94,2.46,105.1,36.43,181.16,118.82,18.34
2017-01-04,蚌埠,225.97,2.09,73.56,23.75,224.67,177.94,35.49
2017-01-04,铜陵,242.8,2.24,96.79,18.93,243.0,193.4,48.99
2017-01-04,阜阳,214.22,2.28,40.65,12.59,255.57,164.33,23.54
2017-01-04,马鞍山,211.46,2.39,92.17,15.87,217.51,163.98,20.82
2017-01-04,黄山,149.39,1.66,36.5,33.71,160.8,113.25,13.07
2017-01-05,亳州,135.44,1.69,24.08,61.62,123.97,103.5,13.58
2017-01-05,六安,48.31,1.4,35.73,47.03,44.92,31.54,13.79
2017-01-05,合肥,52.15,1.34,59.2,39.2,24.0,35.34,13.21
2017-01-05,安庆,81.32,1.51,71.04,48.91,63.36,58.11,12.68
2017-01-05,宣城,68.78,1.03,37.62,39.69,50.29,49.15,19.93
2017-01-05,宿州,101.47,0.63,24.8,70.68,74.41,74.83,19.97
2017-01-05,池州,106.67,1.72,71.04,13.92,95.9,79.24,18.19
2017-01-05,淮北,82.8,1.14,27.03,70.25,50.43,60.93,12.98
2017-01-05,淮南,75.44,1.18,33.16,50.62,49.51,55.16,12.54
2017-01-05,滁州,51.75,0.77,27.93,87.28,33.07,35.1,8.38
2017-01-05,芜湖,41.91,1.43,55.74,46.5,43.34,19.72,16.26
