time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,六安,137.14,1.55,101.63,26.88,158.95,103.88,24.61
2017-01-02,六安,189.21,1.82,79.78,43.0,196.11,143.29,27.55
2017-01-03,六安,108.19,1.7,58.68,26.01,117.95,76.56,17.48
2017-01-04,六安,161.65,1.91,85.32,23.56,168.15,122.39,15.26
2017-01-05,六安,48.31,1.4,35.73,47.03,44.92,31.54,13.79
2017-01-06,六安,25.51,0.61,30.7,51.59,22.86,12.2,12.46
2017-01-07,六安,51.46,1.36,39.61,32.79,50.62,34.6,9.61
2017-01-08,六安,113.05,1.44,35.9,48.18,107.94,85.0,13.58
2017-01-09,六安,114.86,1.66,51.71,54.17,111.94,85.39,21.23
2017-01-10,六安,124.2,1.3,57.13,37.94,123.92,93.92,20.22
2017-01-11,六安,94.25,0.99,53.44,65.9,102.64,69.97,20.64
2017-01-12,六安,100.18,1.03,63.58,53.6,112.8,74.08,19.66
2017-01-13,六安,79.15,0.8,61.07,52.23,92.56,55.34,22.25
2017-01-14,六安,100.41,1.03,55.13,45.5,109.02,73.2,20.87
2017-01-15,六安,53.62,0.62,55.7,40.34,56.68,33.72,15.31
2017-01-16,六安,62.62,0.75,66.63,32.63,70.56,42.13,14.5
2017-01-17,六安,74.27,0.74,72.47,27.91,86.17,52.14,15.95
2017-01-18,六安,86.15,0.87,62.71,28.85,99.87,62.92,16.65
2017-01-19,六安,87.44,0.78,35.54,55.7,95.43,62.74,13.58
2017-01-20,六安,88.39,0.63,39.77,54.64,105.41,52.11,18.37
2017-01-21,六安,73.56,0.59,41.06,51.03,92.71,47.45,17.42
2017-01-22,六安,100.21,0.83,59.41,42.2,125.88,73.71,21.69
2017-01-23,六安,90.41,0.88,45.21,52.04,107.26,65.75,19.79
2017-01-24,六安,69.79,0.76,41.83,54.08,73.85,49.46,17.05
2017-01-25,六安,74.92,0.85,43.95,63.98,80.21,53.57,16.5
2017-01-26,六安,94.13,0.95,36.94,70.15,94.37,69.62,12.21
2017-01-27,六安,141.28,1.19,21.04,74.5,160.28,108.69,21.22
2017-01-28,六安,143.02,0.92,21.95,55.19,148.75,108.03,20.95
2017-01-29,六安,111.28,0.95,17.53,37.07,118.74,83.12,10.11
2017-01-30,六安,96.07,1.06,22.39,61.4,93.63,70.5,15.31
2017-01-31,六安,51.77,0.6,24.06,60.57,52.7,33.04,11.9
2017-02-01,六安,57.3,0.58,24.75,55.2,54.9,39.52,13.46
2017-02-02,六安,100.93,1.07,33.76,69.15,103.13,75.46,14.53
2017-02-03,六安,98.18,1.2,34.35,53.54,98.65,73.24,9.69
2017-02-04,六安,83.6,1.11,26.12,51.93,81.01,61.32,10.65
2017-02-05,六安,71.03,1.19,27.73,47.06,72.18,50.52,14.64
2017-02-06,六安,106.43,1.14,38.11,67.28,108.75,79.59,14.12
2017-02-07,六安,53.18,0.65,31.07,59.76,54.16,34.72,15.04
2017-02-08,六安,90.32,0.8,25.62,47.62,87.44,66.65,17.85
2017-02-09,六安,111.21,0.94,23.55,66.39,112.28,83.49,13.78
2017-02-10,六安,112.08,1.05,39.5,57.24,114.65,83.18,19.2
2017-02-11,六安,84.98,0.89,45.09,62.25,89.57,61.35,19.82
2017-02-12,六安,85.39,0.81,41.17,76.73,88.36,62.29,16.72
2017-02-13,六安,76.25,0.9,63.08,59.88,87.82,52.49,15.91
2017-02-14,六安,85.99,0.92,49.38,83.61,97.16,61.67,21.57
2017-02-15,六安,89.12,0.9,44.41,79.13,105.93,63.22,16.56
2017-02-16,六安,83.7,1.01,58.97,97.58,100.99,58.46,13.49
2017-02-17,六安,138.06,0.98,44.13,49.74,178.07,104.0,14.96
2017-02-18,六安,83.38,0.66,48.21,61.42,100.52,53.0,11.17
2017-02-19,六安,101.9,0.88,52.47,75.39,122.52,74.51,12.89
2017-02-20,六安,94.31,0.73,44.47,54.89,115.95,60.74,11.76
2017-02-21,六安,47.51,0.4,30.97,69.36,49.62,20.9,12.9
2017-02-22,六安,74.69,0.65,37.75,57.2,72.52,54.18,10.09
2017-02-23,六安,107.41,0.89,51.68,63.28,112.54,80.58,17.06
2017-02-24,六安,72.62,0.63,40.44,72.68,81.6,51.15,10.89
2017-02-25,六安,75.96,0.68,41.7,81.71,92.14,52.94,12.77
2017-02-26,六安,86.26,0.71,50.04,79.66,108.82,60.17,24.86
2017-02-27,六安,91.85,0.76,57.09,86.29,123.23,63.03,15.53
2017-02-28,六安,90.4,0.75,35.54,103.03,107.42,64.26,18.63
2017-03-01,六安,87.43,0.52,30.48,84.04,125.04,41.62,12.81
2017-03-02,六安,60.54,0.52,29.49,75.75,70.96,29.1,9.66
2017-03-03,六安,69.07,0.61,43.58,69.77,85.5,41.9,13.02
2017-03-04,六安,94.18,0.82,72.8,59.42,134.35,60.29,12.52
2017-03-05,六安,76.19,0.68,43.22,68.51,85.04,53.61,10.28
2017-03-06,六安,99.53,0.69,32.2,81.72,118.07,70.35,15.01
2017-03-07,六安,98.58,0.75,55.43,74.82,134.07,63.23,15.77
2017-03-08,六安,87.95,0.85,62.15,78.05,109.49,62.28,17.4
2017-03-09,六安,88.42,0.73,72.85,85.95,115.22,58.97,14.83
