time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,合肥,198.76,2.51,111.6,23.46,185.77,152.16,31.36
2017-01-02,合肥,226.14,2.01,84.63,22.71,177.76,178.25,15.91
2017-01-03,合肥,120.33,2.25,73.37,15.54,149.09,91.77,18.77
2017-01-04,合肥,251.09,2.85,117.19,14.5,238.06,202.13,14.89
2017-01-05,合肥,52.15,1.34,59.2,39.2,24.0,35.34,13.21
2017-01-06,合肥,27.4,0.79,43.0,42.35,17.63,16.27,11.64
2017-01-07,合肥,69.97,1.43,44.82,27.51,83.49,50.87,8.99
2017-01-08,合肥,140.05,1.47,35.2,50.55,110.53,107.15,8.37
2017-01-09,合肥,156.45,1.64,64.29,42.61,132.85,118.56,13.47
2017-01-10,合肥,153.82,1.53,56.84,42.42,124.3,116.77,16.56
2017-01-11,合肥,140.34,1.37,66.63,49.46,125.11,106.32,17.09
2017-01-12,合肥,139.4,1.33,67.82,44.13,130.77,105.56,14.38
2017-01-13,合肥,104.53,1.12,71.4,38.9,109.27,77.76,18.3
2017-01-14,合肥,102.94,0.9,52.86,46.87,79.1,74.46,14.95
2017-01-15,合肥,51.84,0.58,48.35,42.63,50.18,34.17,11.67
2017-01-16,合肥,66.07,0.81,61.53,30.67,66.23,46.46,13.55
2017-01-17,合肥,70.76,0.95,71.62,23.45,74.54,50.26,13.63
2017-01-18,合肥,113.08,1.08,60.72,22.32,108.39,85.05,12.89
2017-01-19,合肥,107.81,0.97,45.82,38.35,113.39,81.05,11.54
2017-01-20,合肥,86.24,0.77,51.92,46.3,100.23,52.84,19.29
2017-01-21,合肥,74.89,0.74,62.37,49.05,91.2,49.28,17.84
2017-01-22,合肥,125.39,1.14,84.48,32.8,132.09,94.58,27.19
2017-01-23,合肥,101.45,1.13,70.0,43.48,90.85,75.82,22.32
2017-01-24,合肥,74.73,0.92,54.7,49.1,67.2,54.12,17.29
2017-01-25,合肥,92.82,1.0,58.18,45.61,76.32,68.95,18.33
2017-01-26,合肥,129.98,1.14,50.82,47.05,89.35,97.94,17.75
2017-01-27,合肥,165.91,1.16,30.03,69.07,158.2,127.21,22.6
2017-01-28,合肥,161.88,0.97,29.85,55.86,158.72,124.08,27.27
2017-01-29,合肥,124.36,1.04,24.76,27.25,124.63,93.91,13.32
2017-01-30,合肥,74.47,0.79,17.84,61.9,52.81,54.08,13.22
2017-01-31,合肥,53.51,0.67,21.96,61.58,45.95,37.37,12.42
2017-02-01,合肥,50.2,0.58,19.9,67.54,41.75,35.57,13.62
2017-02-02,合肥,124.9,1.2,36.21,75.44,75.65,94.3,15.94
2017-02-03,合肥,105.04,1.2,48.83,35.78,78.48,79.19,12.99
