time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,安庆,182.34,1.29,84.97,44.51,173.24,138.05,37.55
2017-01-02,安庆,214.15,1.29,40.06,72.25,191.33,166.69,15.74
2017-01-03,安庆,250.76,1.64,64.28,44.02,227.83,201.64,20.36
2017-01-04,安庆,279.31,1.9,88.56,39.85,258.2,229.31,38.71
2017-01-05,安庆,81.32,1.51,71.04,48.91,63.36,58.11,12.68
2017-01-06,安庆,35.46,0.51,28.17,65.68,23.75,20.85,12.3
2017-01-07,安庆,35.57,0.65,31.8,44.68,22.87,22.64,15.4
2017-01-08,安庆,95.15,1.08,27.34,70.34,83.25,70.64,10.5
2017-01-09,安庆,148.09,1.0,20.12,91.11,122.28,112.76,13.1
2017-01-10,安庆,163.2,1.31,44.77,49.6,136.9,123.82,27.58
2017-01-11,安庆,140.32,1.01,33.49,66.86,121.36,106.17,21.07
2017-01-12,安庆,95.29,0.7,34.75,81.8,78.24,70.94,16.15
2017-01-13,安庆,137.56,1.07,55.88,49.26,127.78,104.47,15.92
2017-01-14,安庆,111.61,0.74,44.07,66.48,105.56,83.72,21.62
2017-01-15,安庆,73.14,0.52,30.34,65.75,68.01,53.09,17.47
2017-01-16,安庆,90.27,0.59,43.31,55.84,81.22,66.93,21.88
2017-01-17,安庆,109.12,0.75,51.79,36.49,99.67,82.03,17.56
2017-01-18,安庆,126.11,0.97,72.57,24.67,118.8,95.05,12.05
2017-01-19,安庆,68.26,0.7,30.07,50.7,52.25,49.35,9.57
2017-01-20,安庆,120.66,0.55,24.75,79.32,127.69,86.83,14.57
2017-01-21,安庆,109.53,0.75,50.59,59.36,121.38,82.29,29.93
2017-01-22,安庆,128.55,0.84,53.31,63.86,126.88,97.16,22.12
2017-01-23,安庆,124.88,0.86,50.68,64.81,118.66,94.5,37.94
2017-01-24,安庆,98.68,0.75,39.02,68.89,89.54,73.6,23.93
2017-01-25,安庆,97.94,0.68,32.32,77.42,84.71,73.05,14.19
2017-01-26,安庆,128.91,0.84,47.62,54.71,110.0,97.34,11.93
2017-01-27,安庆,165.26,1.03,27.57,70.57,162.15,128.23,20.81
2017-01-28,安庆,208.23,0.98,35.93,63.21,192.41,162.8,54.57
2017-01-29,安庆,163.24,0.91,21.64,52.98,155.84,123.95,14.02
2017-01-30,安庆,93.89,0.64,13.85,77.72,81.15,69.73,9.73
2017-01-31,安庆,74.28,0.48,20.68,66.06,63.95,54.14,14.44
2017-02-01,安庆,77.61,0.41,14.31,63.78,61.12,56.77,10.72
2017-02-02,安庆,123.1,0.82,22.65,73.49,104.46,92.89,13.04
2017-02-03,安庆,116.98,1.03,32.4,49.91,101.57,88.21,12.34
2017-02-04,安庆,97.52,1.08,34.52,37.28,79.11,72.64,15.49
2017-02-05,安庆,115.07,1.12,37.47,36.29,93.7,86.64,11.85
2017-02-06,安庆,146.88,1.0,27.08,67.4,115.84,110.95,17.6
2017-02-07,安庆,71.27,0.43,20.33,65.64,58.37,51.65,9.42
2017-02-08,安庆,67.21,0.44,20.25,52.86,50.48,50.05,13.47
2017-02-09,安庆,119.28,0.59,24.67,87.53,93.68,90.01,10.71
