time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,宣城,160.89,1.24,52.09,32.86,146.8,122.07,23.43
2017-01-02,宣城,246.77,1.97,89.18,25.75,226.43,197.1,35.85
2017-01-03,宣城,190.79,1.92,51.12,31.64,177.73,148.11,19.96
2017-01-04,宣城,220.04,1.62,75.22,26.36,193.51,170.89,22.06
2017-01-05,宣城,68.78,1.03,37.62,39.69,50.29,49.15,19.93
2017-01-06,宣城,48.17,1.07,33.0,43.79,39.4,32.83,18.46
2017-01-07,宣城,44.36,1.23,37.3,30.28,34.0,28.83,18.94
2017-01-08,宣城,115.21,1.37,18.56,33.14,96.23,86.82,17.18
2017-01-09,宣城,121.07,1.16,24.64,35.75,106.83,91.49,23.26
2017-01-10,宣城,166.08,1.55,39.6,28.53,137.82,125.97,23.4
2017-01-11,宣城,148.44,1.41,40.35,31.03,129.66,112.49,21.89
2017-01-12,宣城,75.74,0.97,22.96,33.4,63.06,55.03,18.82
2017-01-13,宣城,79.9,1.11,27.17,41.69,79.76,58.31,20.5
2017-01-14,宣城,104.75,1.15,37.75,42.96,100.03,77.81,17.89
2017-01-15,宣城,65.18,0.8,27.83,42.78,62.92,44.64,16.97
2017-01-16,宣城,77.0,0.84,39.39,39.16,75.0,56.09,17.68
2017-01-17,宣城,80.78,0.77,54.78,29.45,77.33,59.16,18.22
2017-01-18,宣城,93.37,1.05,52.1,35.69,83.82,68.6,16.48
2017-01-19,宣城,99.75,1.02,24.82,40.28,89.27,74.32,16.1
2017-01-20,宣城,86.43,0.9,22.08,45.17,98.07,55.39,23.08
2017-01-21,宣城,72.72,0.89,31.43,39.18,79.86,48.68,23.88
2017-01-22,宣城,109.85,1.22,40.36,33.78,116.38,81.86,22.11
2017-01-23,宣城,100.89,1.09,32.39,38.97,105.36,73.74,19.11
2017-01-24,宣城,70.14,0.79,22.06,44.67,68.36,49.65,17.32
2017-01-25,宣城,80.19,0.83,18.68,48.92,73.88,58.69,18.81
2017-01-26,宣城,101.12,1.0,27.59,31.04,92.37,75.55,17.73
2017-01-27,宣城,137.0,1.26,17.36,36.72,133.16,104.62,18.19
2017-01-28,宣城,159.68,0.99,15.38,41.32,151.47,124.08,26.59
2017-01-29,宣城,137.45,1.12,15.81,28.55,128.27,103.75,18.14
2017-01-30,宣城,76.75,0.98,14.44,43.83,70.3,55.97,15.74
2017-01-31,宣城,50.38,0.68,13.92,51.72,48.84,32.14,16.32
2017-02-01,宣城,72.17,0.77,13.29,45.58,58.94,52.35,15.4
2017-02-02,宣城,89.97,0.97,14.43,51.72,78.71,66.65,15.39
2017-02-03,宣城,81.88,0.94,17.53,37.47,67.13,60.18,17.35
2017-02-04,宣城,83.03,1.19,27.65,30.55,72.58,60.77,18.54
2017-02-05,宣城,116.79,1.53,30.49,30.15,100.85,87.99,16.9
2017-02-06,宣城,143.53,1.3,22.01,45.56,135.81,102.4,17.33
2017-02-07,宣城,50.62,0.68,15.28,53.22,52.1,31.52,16.48
2017-02-08,宣城,58.22,0.85,18.43,52.46,55.88,40.21,17.33
2017-02-09,宣城,135.42,1.1,18.67,69.03,137.4,102.3,18.48
2017-02-10,宣城,128.31,1.01,21.67,62.61,153.76,77.14,17.76
2017-02-11,宣城,92.47,0.95,26.83,50.21,102.56,66.81,21.18
2017-02-12,宣城,82.93,0.87,24.99,53.58,87.29,60.29,20.88
2017-02-13,宣城,85.4,0.9,35.58,50.64,91.87,61.08,21.58
2017-02-14,宣城,104.37,0.97,45.25,65.54,104.08,78.15,21.41
2017-02-15,宣城,101.2,1.02,48.13,78.35,99.29,75.47,23.32
2017-02-16,宣城,93.32,1.14,48.01,72.27,95.72,68.54,19.18
2017-02-17,宣城,112.94,1.12,47.38,47.92,97.39,84.35,19.5
2017-02-18,宣城,86.88,0.99,35.06,51.61,87.04,63.32,18.6
2017-02-19,宣城,102.15,1.15,39.21,61.26,100.42,75.19,18.64
2017-02-20,宣城,105.57,1.14,36.33,57.51,103.23,73.08,20.18
2017-02-21,宣城,59.89,0.79,23.67,61.58,66.86,35.92,19.01
2017-02-22,宣城,68.79,1.12,27.82,43.28,53.31,49.96,18.35
2017-02-23,宣城,140.04,1.31,29.29,55.81,119.16,105.85,23.81
2017-02-24,宣城,110.44,1.21,40.94,65.47,97.63,83.01,18.89
2017-02-25,宣城,114.44,1.15,44.64,75.72,101.72,86.21,21.18
2017-02-26,宣城,122.81,1.23,56.0,65.64,112.11,92.89,19.85
2017-02-27,宣城,137.19,1.27,53.31,72.43,130.18,103.88,26.57
2017-02-28,宣城,152.36,1.16,42.62,81.35,135.3,115.17,27.32
2017-03-01,宣城,95.78,0.97,34.38,65.5,113.72,62.6,21.82
2017-03-02,宣城,83.26,0.88,29.67,54.13,83.63,58.99,23.54
2017-03-03,宣城,88.92,0.7,42.74,50.49,87.84,65.54,25.39
2017-03-04,宣城,96.97,0.81,46.71,52.29,93.81,71.9,23.04
2017-03-05,宣城,102.65,0.91,29.21,79.17,87.0,76.97,20.61
2017-03-06,宣城,112.4,0.84,27.1,71.96,87.33,84.11,17.65
2017-03-07,宣城,99.18,0.92,49.18,60.88,93.31,73.31,22.28
2017-03-08,宣城,129.45,1.13,40.51,61.14,122.55,96.81,25.64
2017-03-09,宣城,98.65,0.92,56.29,60.83,97.21,73.26,20.4
2017-03-10,宣城,125.31,1.0,68.46,46.47,129.27,94.12,26.25
2017-03-11,宣城,84.94,0.78,42.28,53.59,72.1,62.06,17.33
2017-03-12,宣城,107.6,0.96,41.09,42.7,91.79,80.71,19.88
2017-03-13,宣城,67.2,0.74,21.31,79.56,48.1,48.55,20.46
2017-03-14,宣城,69.26,0.78,31.14,57.85,60.37,49.22,20.37
2017-03-15,宣城,85.7,0.8,39.72,71.52,82.44,62.57,24.48
2017-03-16,宣城,84.5,0.74,25.76,69.21,68.03,62.28,19.01
2017-03-17,宣城,86.61,0.8,47.14,51.22,79.31,63.88,18.91
2017-03-18,宣城,114.94,0.86,44.2,34.52,103.84,86.86,23.25
2017-03-19,宣城,99.06,0.85,49.81,38.1,90.9,73.79,23.07
2017-03-20,宣城,67.03,0.89,26.93,48.83,53.19,48.38,19.62
2017-03-21,宣城,80.92,0.85,21.07,81.24,70.93,59.06,19.07
2017-03-22,宣城,111.75,0.92,33.29,61.24,98.08,83.4,17.57
2017-03-23,宣城,69.74,0.95,33.12,42.21,61.6,49.78,19.92
2017-03-24,宣城,84.36,0.98,37.18,40.93,72.86,61.86,19.65
2017-03-25,宣城,91.79,1.08,28.03,59.77,95.55,67.58,16.56
2017-03-26,宣城,71.57,0.85,20.68,73.78,77.79,48.78,17.33
2017-03-27,宣城,63.03,0.9,45.29,56.91,71.91,37.62,21.62
2017-03-28,宣城,64.34,0.84,37.25,49.34,68.52,40.72,26.34
2017-03-29,宣城,143.78,1.04,29.97,70.94,143.8,108.11,25.89
2017-03-30,宣城,131.99,1.11,46.6,74.85,128.81,98.43,23.89
2017-03-31,宣城,68.08,0.8,21.99,88.09,65.36,47.88,20.76
2017-04-01,宣城,117.93,1.11,33.09,76.48,104.68,88.58,20.38
2017-04-02,宣城,81.81,0.92,38.08,75.51,82.28,58.11,19.46
2017-04-03,宣城,77.81,0.82,34.77,93.16,93.77,52.32,22.09
2017-04-04,宣城,80.57,0.92,35.71,75.55,94.52,56.46,23.43
2017-04-05,宣城,134.51,1.43,46.03,58.42,143.95,101.92,29.93
2017-04-06,宣城,122.72,1.79,46.07,60.77,131.29,92.58,21.58
2017-04-07,宣城,96.57,1.53,41.14,62.18,104.89,70.94,20.61
2017-04-08,宣城,110.82,1.29,33.6,81.89,125.61,80.5,20.0
2017-04-09,宣城,58.9,0.83,23.28,91.89,67.27,38.38,21.69
2017-04-10,宣城,50.07,0.54,24.14,73.0,48.5,30.82,20.6
2017-04-11,宣城,73.81,0.76,28.74,53.67,74.11,51.88,21.18
2017-04-12,宣城,84.78,0.87,31.42,90.26,92.56,60.71,21.33
2017-04-13,宣城,81.38,0.75,40.97,95.26,91.26,53.71,23.65
2017-04-14,宣城,70.42,0.76,39.53,97.53,76.9,46.17,20.15
2017-04-15,宣城,78.58,0.84,41.07,85.24,92.82,49.82,20.42
2017-04-16,宣城,83.82,0.9,46.56,75.47,101.91,56.18,22.79
2017-04-17,宣城,68.61,0.86,20.08,104.82,76.32,41.12,18.42
2017-04-18,宣城,95.97,0.65,24.25,107.04,140.1,46.64,19.49
2017-04-19,宣城,95.03,0.71,39.49,99.57,134.69,56.38,20.22
2017-04-20,宣城,88.81,0.9,21.86,95.18,100.94,63.1,17.93
2017-04-21,宣城,92.4,0.88,23.47,96.19,112.37,58.4,18.75
2017-04-22,宣城,74.96,0.7,33.25,113.44,83.62,43.36,20.22
2017-04-23,宣城,77.04,0.64,32.58,123.14,77.18,45.65,21.07
2017-04-24,宣城,89.01,0.73,33.67,113.57,99.4,60.51,20.87
2017-04-25,宣城,116.18,0.97,45.07,95.25,135.41,87.1,23.78
2017-04-26,宣城,61.25,0.64,21.44,111.89,60.3,41.19,18.18
2017-04-27,宣城,64.83,0.75,33.74,108.18,63.26,37.12,18.61
2017-04-28,宣城,68.52,0.67,29.82,125.2,62.6,37.97,18.67
2017-04-29,宣城,65.17,0.65,35.05,110.03,59.44,34.91,20.06
2017-04-30,宣城,70.79,0.65,40.31,100.54,68.66,43.19,20.17
2017-05-01,宣城,78.74,0.78,41.28,66.36,84.35,56.07,24.54
2017-05-02,宣城,59.28,0.63,22.12,90.33,55.08,40.51,17.94
2017-05-03,宣城,57.58,0.58,20.11,80.88,53.46,37.28,17.79
2017-05-04,宣城,55.19,0.73,22.53,45.51,51.64,34.81,17.29
2017-05-05,宣城,71.32,0.88,25.73,56.56,70.49,47.36,17.2
2017-05-06,宣城,97.43,0.82,25.74,54.35,107.24,70.61,22.15
2017-05-07,宣城,122.49,0.87,32.28,46.71,155.11,89.5,22.94
2017-05-08,宣城,93.36,0.87,29.03,50.49,107.3,67.07,19.17
2017-05-09,宣城,47.82,0.66,23.47,95.75,45.91,27.14,16.96
2017-05-10,宣城,60.46,0.59,29.07,85.16,58.47,38.94,19.13
2017-05-11,宣城,62.38,0.64,24.46,84.11,63.28,40.25,18.82
2017-05-12,宣城,49.14,0.58,19.04,97.61,39.5,28.11,15.83
2017-05-13,宣城,43.94,0.59,24.69,64.26,44.88,23.12,21.24
2017-05-14,宣城,88.12,0.98,23.62,102.42,102.37,59.93,21.11
2017-05-15,宣城,86.86,0.66,21.83,66.92,96.85,60.92,20.33
2017-05-16,宣城,60.12,0.6,21.36,79.4,63.0,37.19,21.49
2017-05-17,宣城,59.62,0.64,22.23,77.06,60.89,36.09,22.61
2017-05-18,宣城,72.74,0.65,20.74,98.82,81.37,46.44,20.5
2017-05-19,宣城,97.51,0.79,24.11,85.11,111.56,71.19,23.42
2017-05-20,宣城,99.39,0.89,27.47,71.05,102.56,74.14,17.35
2017-05-21,宣城,87.52,0.77,22.82,91.67,94.34,63.61,17.79
2017-05-22,宣城,79.3,0.68,19.31,83.65,90.18,56.0,17.44
2017-05-23,宣城,57.73,0.69,17.95,68.0,53.23,39.59,14.25
2017-05-24,宣城,61.89,0.66,16.93,111.04,56.0,36.53,15.81
2017-05-25,宣城,77.63,0.77,31.24,136.63,65.41,42.1,17.85
2017-05-26,宣城,69.33,0.65,30.08,142.89,64.21,34.89,20.59
2017-05-27,宣城,88.47,0.72,39.4,143.83,93.48,50.04,23.88
2017-05-28,宣城,94.47,0.68,30.57,163.15,104.54,54.19,18.78
2017-05-29,宣城,96.49,0.64,23.47,182.33,110.64,55.86,19.03
2017-05-30,宣城,85.06,0.72,22.21,154.4,94.66,53.04,17.64
2017-05-31,宣城,95.14,0.84,21.64,115.46,99.19,69.94,17.28
2017-06-01,宣城,97.38,0.76,21.87,88.97,107.19,71.41,20.67
2017-06-02,宣城,114.68,0.79,23.42,118.88,135.57,82.21,16.75
2017-06-03,宣城,96.36,0.63,20.74,113.67,117.26,66.43,15.94
2017-06-04,宣城,68.61,0.47,20.64,106.24,86.48,31.26,18.54
2017-06-05,宣城,43.44,0.45,20.1,87.99,43.87,20.17,15.01
2017-06-06,宣城,55.99,0.74,25.33,74.56,58.87,33.83,15.76
