time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,宿州,257.83,1.7,57.39,30.22,215.53,208.04,31.52
2017-01-02,宿州,306.48,4.35,102.1,30.54,294.5,254.6,81.86
2017-01-03,宿州,312.65,3.85,93.75,12.67,298.32,263.04,46.37
2017-01-04,宿州,228.81,1.36,55.87,32.9,179.62,182.12,19.19
2017-01-05,宿州,101.47,0.63,24.8,70.68,74.41,74.83,19.97
2017-01-06,宿州,93.56,0.83,43.99,26.14,76.58,68.53,16.62
2017-01-07,宿州,87.82,1.11,59.25,14.72,61.83,63.57,23.37
2017-01-08,宿州,143.4,1.19,47.69,26.76,104.65,108.65,28.92
2017-01-09,宿州,211.98,2.35,59.24,18.49,189.81,165.49,34.47
2017-01-10,宿州,223.97,1.98,67.32,21.85,198.06,176.39,38.14
2017-01-11,宿州,188.76,1.33,58.81,35.72,158.76,143.18,25.83
2017-01-12,宿州,215.18,1.68,62.85,25.18,190.44,166.36,27.94
2017-01-13,宿州,203.28,1.71,75.18,19.97,187.06,158.29,40.56
2017-01-14,宿州,131.18,1.07,60.82,32.33,117.75,100.61,18.12
2017-01-15,宿州,84.21,0.64,34.18,36.9,78.48,60.36,15.47
2017-01-16,宿州,102.97,0.6,35.69,34.11,94.95,76.6,20.15
2017-01-17,宿州,110.28,0.7,54.38,33.12,100.44,82.79,22.31
2017-01-18,宿州,153.64,0.93,52.18,38.43,135.71,116.51,19.56
2017-01-19,宿州,188.38,1.26,56.74,31.58,184.06,144.81,23.62
2017-01-20,宿州,74.59,0.54,38.66,45.5,93.78,42.2,23.99
2017-01-21,宿州,103.18,0.77,55.53,37.9,128.04,76.28,33.82
2017-01-22,宿州,140.97,1.15,69.99,30.01,166.83,101.28,40.1
2017-01-23,宿州,106.38,0.79,48.94,44.58,121.46,79.01,34.22
2017-01-24,宿州,95.45,0.72,37.37,45.54,98.3,70.03,16.24
2017-01-25,宿州,138.32,0.96,44.04,54.31,135.69,104.71,20.65
2017-01-26,宿州,174.2,1.04,36.69,46.12,168.91,131.94,21.41
2017-01-27,宿州,178.83,1.14,22.26,72.54,187.61,136.67,20.6
2017-01-28,宿州,105.32,0.55,19.43,39.94,111.06,78.07,21.99
2017-01-29,宿州,121.41,1.09,27.54,17.36,119.81,91.58,18.82
2017-01-30,宿州,86.49,0.71,22.24,53.94,88.29,62.62,12.31
2017-01-31,宿州,67.82,0.47,23.04,56.47,63.93,47.49,22.76
2017-02-01,宿州,137.1,1.04,39.65,49.07,151.39,104.39,21.06
2017-02-02,宿州,172.05,1.17,33.71,72.19,154.64,132.94,16.33
2017-02-03,宿州,101.5,0.74,30.65,53.24,96.25,75.83,17.14
2017-02-04,宿州,141.72,1.29,43.8,18.7,125.44,107.57,15.62
2017-02-05,宿州,177.1,2.25,60.46,26.68,167.37,136.04,26.24
2017-02-06,宿州,171.03,1.3,39.94,50.9,148.23,130.33,13.42
2017-02-07,宿州,88.57,0.68,30.81,42.62,83.29,65.42,13.01
2017-02-08,宿州,159.42,0.99,42.7,30.21,136.61,121.19,20.76
2017-02-09,宿州,141.5,1.08,40.75,45.64,126.8,106.49,20.42
2017-02-10,宿州,103.96,1.13,43.42,45.72,107.07,77.4,24.25
2017-02-11,宿州,144.25,1.43,59.11,52.81,141.09,110.04,34.46
2017-02-12,宿州,126.18,1.08,48.18,73.96,117.91,95.39,24.79
2017-02-13,宿州,167.01,1.62,82.07,46.4,162.67,127.19,38.33
2017-02-14,宿州,189.22,1.47,70.22,62.58,180.99,144.65,39.03
2017-02-15,宿州,185.14,1.36,54.39,68.92,168.68,140.89,29.47
2017-02-16,宿州,145.97,1.32,47.35,57.24,140.88,110.42,19.83
2017-02-17,宿州,105.14,0.71,25.1,58.54,117.29,75.17,13.54
2017-02-18,宿州,104.26,0.82,37.1,41.81,112.44,77.24,19.62
2017-02-19,宿州,187.79,1.46,52.24,39.48,174.18,142.42,22.5
2017-02-20,宿州,136.14,0.89,28.38,53.75,166.83,88.39,16.86
2017-02-21,宿州,63.86,0.52,23.61,43.36,61.76,40.38,14.36
2017-02-22,宿州,147.79,1.01,29.99,43.03,120.91,112.08,20.17
2017-02-23,宿州,154.88,1.2,42.5,51.92,134.37,119.83,33.42
2017-02-24,宿州,115.43,1.34,65.49,56.28,117.43,86.42,41.38
2017-02-25,宿州,137.74,1.32,54.42,73.53,133.68,104.28,28.31
2017-02-26,宿州,185.89,1.75,79.08,38.47,187.22,142.0,51.46
2017-02-27,宿州,144.85,1.02,41.81,74.82,136.03,109.79,36.81
2017-02-28,宿州,157.38,1.14,37.99,98.32,149.38,119.42,32.37
2017-03-01,宿州,116.53,0.87,25.85,54.43,139.5,74.61,15.17
2017-03-02,宿州,86.9,0.93,42.0,49.44,93.74,62.9,20.79
2017-03-03,宿州,110.72,1.09,56.49,47.9,122.18,82.44,30.79
2017-03-04,宿州,155.06,1.26,61.41,47.46,160.99,117.44,29.5
2017-03-05,宿州,196.58,1.44,55.42,53.18,201.12,152.81,26.94
2017-03-06,宿州,62.47,0.78,32.36,63.22,68.71,38.47,21.12
2017-03-07,宿州,117.21,1.13,55.79,41.39,132.21,87.18,31.68
2017-03-08,宿州,84.75,0.98,56.59,47.75,100.07,60.16,23.26
2017-03-09,宿州,130.13,1.37,71.51,53.17,147.77,97.72,28.55
2017-03-10,宿州,149.57,1.03,57.86,73.79,153.13,113.29,31.57
2017-03-11,宿州,184.86,0.98,44.42,86.57,178.84,144.39,25.57
2017-03-12,宿州,157.62,0.81,32.11,68.17,156.84,120.81,26.29
2017-03-13,宿州,75.88,0.46,28.94,64.53,98.71,41.49,16.21
2017-03-14,宿州,83.04,0.71,49.65,54.06,105.01,58.17,25.51
2017-03-15,宿州,96.91,0.68,44.19,74.62,101.41,71.78,24.45
2017-03-16,宿州,84.4,0.55,31.51,83.29,86.42,61.96,14.07
2017-03-17,宿州,139.07,0.74,37.33,88.78,133.05,105.26,37.84
2017-03-18,宿州,117.24,0.61,29.82,86.07,107.0,88.49,27.73
2017-03-19,宿州,81.5,0.37,27.14,82.12,77.29,58.47,16.56
2017-03-20,宿州,80.54,0.56,27.54,81.72,67.56,56.36,12.69
2017-03-21,宿州,164.4,1.01,44.62,62.79,145.04,124.72,19.26
2017-03-22,宿州,70.3,0.34,29.76,57.85,64.89,48.64,14.89
2017-03-23,宿州,56.61,0.34,24.43,67.61,49.89,38.61,11.47
2017-03-24,宿州,81.47,0.54,38.46,55.86,78.81,58.61,17.6
2017-03-25,宿州,121.04,0.92,41.12,51.94,127.17,91.31,12.57
2017-03-26,宿州,133.82,1.3,58.32,47.46,163.01,98.85,21.06
2017-03-27,宿州,86.84,0.66,36.13,74.41,99.17,61.3,26.1
