time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,池州,164.48,1.47,55.36,20.64,176.38,122.95,12.3
2017-01-02,池州,261.22,1.7,62.62,29.22,283.3,213.15,34.63
2017-01-03,池州,287.69,2.02,62.85,12.62,345.31,233.74,30.1
2017-01-04,池州,292.58,2.19,80.5,7.71,315.75,242.39,33.57
2017-01-05,池州,106.67,1.72,71.04,13.92,95.9,79.24,18.19
2017-01-06,池州,61.69,0.86,40.71,15.47,54.51,44.14,20.06
2017-01-07,池州,45.97,0.84,27.52,16.2,33.26,32.06,17.41
2017-01-08,池州,113.06,1.13,22.4,45.21,100.41,84.68,12.44
2017-01-09,池州,159.99,1.16,36.72,38.94,146.91,121.46,22.93
2017-01-10,池州,167.36,1.29,35.99,30.97,154.22,127.04,22.14
2017-01-11,池州,162.92,1.25,38.44,31.21,159.09,123.71,32.19
2017-01-12,池州,97.26,0.83,30.43,45.32,88.52,72.5,22.01
2017-01-13,池州,107.65,1.31,42.26,23.0,108.34,80.67,27.74
2017-01-14,池州,111.86,1.07,37.89,39.94,115.88,84.03,17.51
2017-01-15,池州,82.94,0.68,30.92,40.17,80.32,60.86,13.9
2017-01-16,池州,99.19,0.81,41.01,27.31,95.48,73.15,18.33
2017-01-17,池州,118.04,0.8,51.35,17.68,116.06,88.96,27.15
2017-01-18,池州,126.82,1.06,60.51,8.1,133.63,95.61,20.68
2017-01-19,池州,88.74,0.79,28.75,30.07,72.84,65.67,14.68
2017-01-20,池州,135.81,0.86,28.16,43.56,149.81,100.54,18.01
2017-01-21,池州,102.28,0.96,38.28,35.88,111.82,76.56,25.39
2017-01-22,池州,118.35,0.93,43.26,37.93,127.97,88.71,20.49
2017-01-23,池州,125.17,0.91,24.05,54.02,121.65,94.63,15.38
2017-01-24,池州,99.19,0.72,26.15,51.71,90.81,74.06,20.06
2017-01-25,池州,117.88,0.83,38.18,40.18,111.97,89.83,29.62
2017-01-26,池州,124.02,0.95,34.35,24.33,109.45,93.78,14.08
2017-01-27,池州,161.26,1.14,21.83,41.78,167.86,125.26,26.78
2017-01-28,池州,231.4,1.32,20.03,45.89,234.22,186.05,29.75
2017-01-29,池州,159.42,1.15,14.59,23.94,148.57,120.75,16.51
2017-01-30,池州,107.44,0.97,17.58,48.83,100.39,80.64,16.99
2017-01-31,池州,77.75,0.58,18.94,50.07,71.16,56.69,19.42
2017-02-01,池州,102.17,0.75,23.44,40.32,85.97,76.44,18.25
2017-02-02,池州,115.56,0.74,17.07,59.44,100.65,87.04,19.36
2017-02-03,池州,120.9,1.02,41.82,19.73,104.18,91.43,18.74
2017-02-04,池州,102.0,1.27,38.99,11.52,85.98,76.28,20.16
2017-02-05,池州,101.12,1.11,27.29,22.31,87.98,75.57,15.61
2017-02-06,池州,149.11,1.06,16.92,61.82,131.06,112.78,11.21
2017-02-07,池州,73.75,0.57,19.54,53.06,67.11,53.58,13.28
2017-02-08,池州,86.52,0.66,20.0,34.91,63.5,63.94,20.75
2017-02-09,池州,137.46,0.74,20.1,66.67,117.93,103.85,11.74
2017-02-10,池州,113.51,0.78,36.08,53.36,105.47,85.35,17.07
2017-02-11,池州,112.5,0.79,45.92,39.53,108.64,84.61,17.99
2017-02-12,池州,96.89,1.06,47.89,42.94,95.09,72.19,20.24
2017-02-13,池州,89.83,1.01,43.38,48.08,90.16,66.38,15.07
2017-02-14,池州,98.78,0.84,32.29,67.31,95.73,73.6,21.22
2017-02-15,池州,124.0,1.24,56.69,48.83,127.51,93.76,21.51
2017-02-16,池州,106.24,1.61,48.6,48.91,117.7,79.09,72.01
2017-02-17,池州,160.07,0.92,45.58,31.21,170.9,123.01,11.65
2017-02-18,池州,111.03,0.87,43.76,31.47,121.32,83.31,19.0
2017-02-19,池州,134.38,1.15,36.57,28.04,135.5,101.89,35.01
2017-02-20,池州,141.56,1.32,32.88,33.68,143.71,105.1,45.35
2017-02-21,池州,71.01,0.45,26.18,48.32,80.21,49.08,18.14
2017-02-22,池州,66.78,0.58,18.47,41.82,51.27,48.46,15.49
2017-02-23,池州,161.99,0.89,23.35,49.58,134.42,122.6,13.36
2017-02-24,池州,134.89,0.86,43.94,44.78,129.32,102.38,17.24
2017-02-25,池州,118.72,1.05,42.21,57.97,117.46,89.62,27.88
2017-02-26,池州,118.24,1.0,44.93,62.89,119.89,89.32,20.62
2017-02-27,池州,116.92,0.88,53.69,62.97,123.72,88.17,21.9
2017-02-28,池州,123.04,0.92,41.62,67.3,126.27,92.59,17.87
2017-03-01,池州,91.25,0.62,42.49,49.83,111.17,61.53,14.43
2017-03-02,池州,91.48,0.66,31.42,48.7,106.83,61.62,13.78
2017-03-03,池州,81.58,0.79,61.49,31.19,98.12,58.81,17.29
2017-03-04,池州,96.85,1.06,70.35,17.15,108.3,71.79,16.19
2017-03-05,池州,120.07,0.98,43.67,30.86,111.01,90.65,20.74
2017-03-06,池州,144.26,0.92,33.62,53.89,142.2,109.44,20.92
2017-03-07,池州,94.21,0.89,48.22,43.0,106.44,69.92,16.64
2017-03-08,池州,127.23,0.94,40.94,63.48,140.48,91.32,18.12
2017-03-09,池州,99.85,0.98,60.96,59.72,113.65,74.33,9.54
2017-03-10,池州,108.01,0.95,57.24,56.14,118.17,80.99,19.26
2017-03-11,池州,116.1,1.09,47.25,65.75,119.24,87.53,19.25
2017-03-12,池州,121.99,1.07,45.99,28.36,107.49,91.33,19.36
2017-03-13,池州,80.58,0.75,31.24,77.64,64.66,58.72,11.56
2017-03-14,池州,77.72,0.6,30.18,74.44,79.13,55.69,16.72
2017-03-15,池州,75.59,0.63,22.75,93.45,72.09,55.01,12.03
2017-03-16,池州,87.54,0.68,31.01,73.86,81.44,64.47,22.85
2017-03-17,池州,72.25,0.71,29.13,52.94,63.5,52.38,12.68
2017-03-18,池州,95.79,0.88,44.04,32.99,94.1,71.35,22.44
2017-03-19,池州,91.49,0.8,35.11,29.03,84.78,67.9,13.61
2017-03-20,池州,51.12,0.74,24.71,48.22,44.35,35.28,16.81
2017-03-21,池州,72.58,0.79,23.38,71.97,72.68,51.58,16.5
2017-03-22,池州,85.15,0.91,20.89,74.9,80.58,62.46,15.37
2017-03-23,池州,72.1,0.85,30.42,41.43,66.14,52.1,14.06
2017-03-24,池州,85.57,0.98,43.4,26.04,76.27,63.19,21.97
2017-03-25,池州,68.38,0.86,31.65,54.88,73.27,49.15,22.76
2017-03-26,池州,80.26,0.88,34.85,71.1,100.62,56.17,23.01
2017-03-27,池州,84.3,0.84,48.58,63.17,109.2,58.72,20.1
2017-03-28,池州,77.74,0.73,42.56,60.99,95.76,54.25,22.86
2017-03-29,池州,136.92,1.16,36.04,76.74,146.54,103.35,29.71
2017-03-30,池州,116.72,0.96,26.24,66.17,122.45,87.67,13.35
2017-03-31,池州,70.25,0.67,28.15,86.99,62.44,50.92,9.75
2017-04-01,池州,91.13,0.77,38.22,79.0,87.99,67.55,28.8
2017-04-02,池州,84.12,0.79,42.9,83.21,90.56,61.76,9.93
2017-04-03,池州,82.8,0.83,49.14,71.04,92.15,60.48,12.84
2017-04-04,池州,84.9,0.91,44.51,67.09,98.41,62.22,16.67
2017-04-05,池州,118.36,1.22,44.36,43.35,123.12,88.96,25.23
2017-04-06,池州,105.93,1.69,54.0,28.64,94.69,79.17,26.77
2017-04-07,池州,102.54,1.93,55.76,39.94,97.65,76.53,21.47
2017-04-08,池州,105.67,1.72,37.53,64.92,114.99,78.81,28.08
2017-04-09,池州,71.33,1.09,33.51,73.03,60.75,51.8,18.68
2017-04-10,池州,50.12,0.62,23.97,73.47,43.63,34.69,13.82
2017-04-11,池州,62.14,0.58,19.68,68.64,56.33,44.25,14.44
2017-04-12,池州,91.0,0.81,33.96,70.32,94.39,67.33,24.26
2017-04-13,池州,81.44,0.85,34.81,82.58,92.07,59.54,22.96
2017-04-14,池州,69.97,0.67,22.18,98.78,72.03,50.12,12.49
2017-04-15,池州,75.1,0.85,42.31,70.06,91.67,53.31,13.85
2017-04-16,池州,78.51,0.88,38.22,55.58,92.61,56.15,19.65
2017-04-17,池州,55.29,0.63,14.21,91.69,57.15,36.56,19.47
2017-04-18,池州,97.12,0.48,18.94,92.12,143.7,54.9,19.2
2017-04-19,池州,93.51,0.68,34.86,69.28,133.42,58.88,11.11
2017-04-20,池州,68.69,0.44,15.76,91.93,78.91,49.18,10.75
2017-04-21,池州,82.35,0.52,38.14,60.49,107.17,53.54,12.88
2017-04-22,池州,71.58,0.55,31.21,85.04,88.21,45.88,10.43
2017-04-23,池州,67.19,0.45,40.44,82.58,81.22,43.89,14.03
2017-04-24,池州,81.74,0.65,37.72,84.06,104.96,57.49,24.51
2017-04-25,池州,87.29,0.8,44.64,52.89,98.94,63.42,14.62
2017-04-26,池州,72.01,0.57,25.43,88.6,67.49,52.24,15.21
2017-04-27,池州,59.12,0.45,23.93,108.57,62.17,38.71,12.12
2017-04-28,池州,65.78,0.55,28.31,113.28,74.64,42.82,8.67
2017-04-29,池州,73.36,0.5,24.35,130.48,85.22,51.04,8.77
2017-04-30,池州,75.08,0.5,32.68,106.31,83.87,52.75,8.07
2017-05-01,池州,81.78,0.64,35.71,67.86,85.83,59.9,12.66
2017-05-02,池州,61.91,0.53,20.83,81.84,55.55,43.99,11.68
2017-05-03,池州,59.85,0.4,14.82,74.07,54.1,42.07,14.39
2017-05-04,池州,43.96,0.43,20.64,63.39,41.55,30.0,17.36
2017-05-05,池州,65.95,0.54,28.29,71.87,66.95,45.52,13.75
2017-05-06,池州,105.29,0.7,37.24,91.06,153.83,73.19,23.0
2017-05-07,池州,148.1,0.67,29.28,75.18,230.62,106.42,9.9
2017-05-08,池州,76.97,0.63,26.28,56.71,78.61,55.67,14.61
2017-05-09,池州,62.56,0.35,21.15,88.99,64.65,43.31,8.88
2017-05-10,池州,68.69,0.45,20.49,105.61,77.28,48.17,7.36
2017-05-11,池州,77.82,0.62,25.11,87.88,80.94,56.69,13.44
2017-05-12,池州,51.18,0.45,17.18,101.54,40.75,32.96,10.99
2017-05-13,池州,52.21,0.43,21.08,90.94,55.49,31.97,11.32
2017-05-14,池州,75.62,0.63,21.79,110.32,87.46,50.06,11.9
2017-05-15,池州,93.85,0.98,39.77,77.51,119.72,66.4,19.71
2017-05-16,池州,89.6,0.94,37.17,102.4,108.29,64.17,20.04
2017-05-17,池州,84.91,0.68,28.22,125.84,80.74,52.64,8.32
2017-05-18,池州,80.29,0.64,32.03,113.82,86.07,55.0,8.17
2017-05-19,池州,89.42,0.81,35.94,109.0,102.38,65.64,8.9
2017-05-20,池州,68.71,0.61,23.47,93.94,72.25,48.85,9.88
2017-05-21,池州,63.32,0.56,23.62,106.29,60.47,41.15,12.4
2017-05-22,池州,84.65,0.68,16.72,114.3,88.96,62.26,8.33
2017-05-23,池州,55.14,0.64,22.05,87.74,49.32,38.0,14.12
2017-05-24,池州,58.4,0.45,13.46,105.47,54.3,40.4,12.5
2017-05-25,池州,76.18,0.63,28.22,108.74,74.31,52.32,13.62
2017-05-26,池州,78.74,0.7,29.17,127.14,73.3,48.36,12.16
2017-05-27,池州,75.78,0.7,28.22,122.6,75.6,50.72,14.14
2017-05-28,池州,81.17,0.7,28.83,122.71,79.78,52.58,12.61
2017-05-29,池州,84.21,0.65,26.22,124.76,77.49,55.93,13.49
2017-05-30,池州,83.74,0.64,23.17,120.26,86.78,61.01,11.46
2017-05-31,池州,104.39,0.68,17.54,123.22,99.7,78.21,9.36
2017-06-01,池州,97.48,0.63,15.21,103.79,90.94,72.64,12.26
2017-06-02,池州,91.31,0.62,18.24,131.42,93.21,67.31,12.04
2017-06-03,池州,110.5,0.74,18.38,149.46,109.21,81.79,12.58
2017-06-04,池州,68.08,0.38,13.28,124.92,70.62,48.0,11.72
2017-06-05,池州,46.26,0.3,13.62,81.35,43.59,31.93,19.83
2017-06-06,池州,44.18,0.55,19.28,58.06,37.25,29.53,18.96
2017-06-07,池州,59.43,0.62,20.33,90.83,53.05,41.17,16.14
2017-06-08,池州,58.14,0.67,16.71,94.4,54.07,40.38,18.51
2017-06-09,池州,61.38,0.59,21.04,55.56,55.98,43.83,19.93
2017-06-10,池州,50.01,0.45,17.96,50.89,41.33,34.69,20.18
2017-06-11,池州,45.6,0.63,17.19,57.53,35.33,31.72,19.31
2017-06-12,池州,45.11,0.4,12.94,77.36,35.45,31.11,18.4
2017-06-13,池州,49.68,0.6,21.03,71.76,37.28,33.92,16.9
2017-06-14,池州,62.56,0.61,21.93,95.28,58.07,44.62,15.31
2017-06-15,池州,93.82,0.74,21.65,120.39,91.5,69.65,17.06
2017-06-16,池州,91.0,0.69,24.32,116.49,88.42,65.94,17.32
2017-06-17,池州,81.16,0.57,27.28,106.42,84.73,59.88,10.78
2017-06-18,池州,44.97,0.41,23.88,71.28,44.21,24.53,17.76
2017-06-19,池州,36.07,0.38,18.43,58.44,33.57,20.06,16.6
2017-06-20,池州,49.49,0.6,19.62,74.96,49.29,30.25,15.01
2017-06-21,池州,56.25,0.53,26.29,62.78,55.06,35.68,20.28
2017-06-22,池州,43.72,0.56,27.46,60.49,41.88,24.83,16.97
2017-06-23,池州,46.33,0.51,21.6,46.32,42.54,28.08,20.67
2017-06-24,池州,46.62,0.48,21.57,69.26,44.31,28.19,16.44
2017-06-25,池州,51.68,0.63,22.12,54.31,47.84,32.51,11.97
2017-06-26,池州,58.86,0.68,17.78,87.9,56.26,40.06,22.81
2017-06-27,池州,64.11,0.61,16.65,103.08,62.17,43.82,16.26
2017-06-28,池州,61.75,0.66,17.13,94.95,61.46,40.92,18.32
2017-06-29,池州,43.91,0.57,16.3,69.38,40.77,25.55,18.97
2017-06-30,池州,32.83,0.49,19.67,46.12,29.04,18.63,21.79
2017-07-01,池州,27.9,0.52,18.81,44.17,24.5,15.36,20.22
2017-07-02,池州,32.61,0.44,18.14,65.7,25.96,16.15,21.87
