time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,淮北,227.37,1.96,91.33,18.35,220.26,178.49,44.84
2017-01-02,淮北,293.54,2.72,90.26,29.39,278.79,245.12,55.04
2017-01-03,淮北,255.22,3.25,94.19,16.92,267.53,208.57,35.5
2017-01-04,淮北,236.74,2.32,75.35,29.71,223.29,191.36,25.06
2017-01-05,淮北,82.8,1.14,27.03,70.25,50.43,60.93,12.98
2017-01-06,淮北,84.82,1.39,60.67,15.94,86.05,62.49,23.44
2017-01-07,淮北,116.09,1.73,57.79,16.01,117.59,86.91,16.32
2017-01-08,淮北,133.43,1.56,43.14,30.15,122.19,100.79,20.19
2017-01-09,淮北,198.01,2.39,67.22,20.0,190.89,152.01,31.94
2017-01-10,淮北,234.72,2.3,69.61,21.08,231.46,187.26,34.54
2017-01-11,淮北,198.97,1.64,60.56,36.97,192.0,153.79,30.0
2017-01-12,淮北,218.64,2.11,67.53,25.39,213.76,169.54,36.92
2017-01-13,淮北,213.04,1.94,78.44,19.0,222.94,166.79,41.44
2017-01-14,淮北,117.74,1.32,65.57,29.62,128.17,89.51,26.08
2017-01-15,淮北,74.14,1.07,42.54,37.01,82.11,53.04,16.94
2017-01-16,淮北,78.92,0.96,40.4,43.04,82.67,57.69,17.32
2017-01-17,淮北,82.18,1.01,43.86,39.28,86.34,60.27,16.63
2017-01-18,淮北,134.88,1.36,55.01,35.99,131.96,102.39,19.93
2017-01-19,淮北,178.81,1.54,54.43,35.29,199.54,131.28,25.31
2017-01-20,淮北,64.6,0.61,31.9,50.31,78.29,30.99,19.86
2017-01-21,淮北,89.22,0.96,46.43,39.15,117.39,63.29,32.65
2017-01-22,淮北,111.61,1.37,59.92,28.65,141.62,83.11,38.5
2017-01-23,淮北,92.78,1.03,38.38,51.43,107.81,68.5,28.38
2017-01-24,淮北,81.01,1.06,33.21,52.13,79.66,59.2,20.68
2017-01-25,淮北,110.32,1.21,39.9,61.83,109.31,82.94,28.89
2017-01-26,淮北,163.37,1.46,38.98,60.35,148.6,123.59,34.2
2017-01-27,淮北,127.81,1.38,27.39,79.99,143.08,96.31,22.17
2017-01-28,淮北,84.94,0.91,12.0,49.24,100.77,60.7,14.78
2017-01-29,淮北,115.53,1.45,21.86,24.62,115.19,87.02,14.42
2017-01-30,淮北,80.24,1.18,27.69,47.85,92.78,57.21,26.83
2017-01-31,淮北,55.97,0.84,21.32,60.99,51.84,38.96,15.88
2017-02-01,淮北,134.29,1.11,37.38,43.89,137.98,101.85,16.53
2017-02-02,淮北,162.86,1.46,38.03,65.68,149.79,124.97,20.57
2017-02-03,淮北,87.26,0.84,30.62,63.18,85.02,64.36,37.92
