time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,淮南,217.58,1.89,97.36,18.85,258.34,169.82,31.96
2017-01-02,淮南,249.7,2.08,68.35,31.53,266.46,196.22,26.96
2017-01-03,淮南,189.83,2.08,59.58,21.61,198.34,147.16,23.92
2017-01-04,淮南,254.9,2.25,81.65,9.41,274.93,203.64,24.3
2017-01-05,淮南,75.44,1.18,33.16,50.62,49.51,55.16,12.54
2017-01-06,淮南,50.87,0.9,33.76,29.38,41.08,32.85,14.21
2017-01-07,淮南,85.47,1.62,43.19,21.59,79.84,62.42,14.45
2017-01-08,淮南,145.84,1.51,34.53,39.47,132.41,110.58,15.47
2017-01-09,淮南,177.19,2.04,53.18,23.77,175.42,135.36,23.48
2017-01-10,淮南,201.08,1.77,68.51,21.65,202.21,155.15,25.81
2017-01-11,淮南,184.33,1.66,46.41,45.81,184.71,140.38,21.54
2017-01-12,淮南,155.27,1.43,40.36,48.31,171.05,117.08,25.3
2017-01-13,淮南,135.0,1.32,48.12,39.43,161.34,100.65,30.03
2017-01-14,淮南,126.44,1.24,47.47,31.83,142.14,91.81,21.68
2017-01-15,淮南,68.6,0.83,34.29,37.65,79.1,42.8,19.95
2017-01-16,淮南,76.83,0.86,31.73,35.97,88.68,49.61,17.4
2017-01-17,淮南,84.76,0.93,41.0,34.27,99.7,58.64,18.03
2017-01-18,淮南,124.03,1.08,43.37,30.2,139.19,93.31,20.86
2017-01-19,淮南,143.18,1.12,33.53,45.45,154.24,109.32,18.91
2017-01-20,淮南,78.53,0.76,30.99,46.88,100.41,43.67,22.83
2017-01-21,淮南,87.4,0.86,39.01,46.9,109.76,59.1,21.96
2017-01-22,淮南,139.07,1.21,58.56,31.23,163.51,105.23,37.62
2017-01-23,淮南,99.73,1.18,42.15,42.8,114.61,73.13,22.73
2017-01-24,淮南,94.86,1.04,41.09,41.99,104.04,70.1,20.34
2017-01-25,淮南,115.44,0.99,42.53,53.94,123.66,86.53,20.56
2017-01-26,淮南,149.65,1.15,36.67,51.69,155.29,113.03,19.08
2017-01-27,淮南,155.51,1.14,18.71,68.36,178.6,117.76,22.8
