time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,滁州,191.62,2.18,109.89,37.56,182.94,147.31,22.42
2017-01-02,滁州,184.32,1.67,69.1,46.63,166.81,139.88,16.13
2017-01-03,滁州,211.32,2.11,97.36,53.06,205.38,163.72,20.54
2017-01-04,滁州,214.42,1.81,86.47,36.18,218.78,168.46,20.1
2017-01-05,滁州,51.75,0.77,27.93,87.28,33.07,35.1,8.38
2017-01-06,滁州,32.29,0.56,29.89,70.08,25.77,19.89,8.07
2017-01-07,滁州,46.84,1.13,38.28,41.2,33.2,32.29,12.9
2017-01-08,滁州,121.36,1.24,36.17,47.6,105.09,91.56,11.25
2017-01-09,滁州,140.32,1.35,36.26,67.06,129.48,106.17,13.83
2017-01-10,滁州,161.63,1.37,46.15,59.07,153.46,122.71,17.4
2017-01-11,滁州,133.57,1.33,62.59,59.8,124.58,100.62,16.67
2017-01-12,滁州,123.08,1.29,56.32,61.08,120.91,92.89,14.07
2017-01-13,滁州,116.14,1.16,51.87,57.06,127.2,87.21,20.23
2017-01-14,滁州,76.26,0.82,43.49,60.26,78.1,53.18,13.67
2017-01-15,滁州,44.75,0.53,32.53,63.78,40.67,27.46,8.94
2017-01-16,滁州,57.51,0.63,43.93,50.17,54.78,39.06,11.11
2017-01-17,滁州,71.19,0.76,58.44,38.6,73.88,51.15,13.88
2017-01-18,滁州,107.11,0.87,37.31,56.89,100.69,80.38,8.5
2017-01-19,滁州,115.17,0.93,32.89,62.39,111.66,86.71,9.32
2017-01-20,滁州,67.6,0.57,30.35,72.64,81.71,37.24,9.36
2017-01-21,滁州,64.5,0.78,51.44,55.85,70.25,42.79,12.38
2017-01-22,滁州,94.56,0.95,53.53,49.11,103.21,69.03,18.1
2017-01-23,滁州,81.69,1.01,54.82,50.83,84.97,59.08,20.04
2017-01-24,滁州,81.62,1.06,58.89,51.15,86.46,58.06,17.99
2017-01-25,滁州,128.76,1.35,60.69,65.42,127.82,97.38,17.96
2017-01-26,滁州,136.2,1.54,66.1,45.86,128.27,102.98,13.33
2017-01-27,滁州,135.92,1.08,32.56,73.29,145.07,101.72,13.93
2017-01-28,滁州,115.61,0.95,37.94,56.59,128.97,85.81,16.91
2017-01-29,滁州,110.83,1.05,28.53,39.53,108.7,83.0,6.05
2017-01-30,滁州,66.21,0.66,17.34,79.66,66.38,45.29,6.32
