time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,芜湖,134.2,1.77,92.14,50.12,164.51,101.89,26.57
2017-01-02,芜湖,152.1,2.34,113.04,50.5,195.74,115.29,24.82
2017-01-03,芜湖,125.79,2.02,81.74,46.77,152.43,94.91,17.85
2017-01-04,芜湖,156.94,2.46,105.1,36.43,181.16,118.82,18.34
2017-01-05,芜湖,41.91,1.43,55.74,46.5,43.34,19.72,16.26
2017-01-06,芜湖,31.69,1.12,46.1,44.26,30.05,15.59,16.09
2017-01-07,芜湖,48.55,1.44,51.75,33.07,38.94,32.14,16.75
2017-01-08,芜湖,88.69,1.53,44.23,42.08,88.88,65.39,16.47
2017-01-09,芜湖,91.67,1.73,65.13,43.13,93.96,68.03,21.3
2017-01-10,芜湖,99.81,1.6,57.36,43.56,106.78,74.49,17.29
2017-01-11,芜湖,67.64,1.33,53.81,49.61,75.31,44.95,16.8
2017-01-12,芜湖,74.61,1.38,70.83,38.51,85.14,51.83,34.85
2017-01-13,芜湖,87.61,1.51,69.27,42.42,105.14,60.64,31.8
2017-01-14,芜湖,68.33,1.24,51.31,46.76,79.01,41.43,17.72
2017-01-15,芜湖,46.8,0.91,38.76,48.86,48.61,19.88,13.97
2017-01-16,芜湖,54.18,1.09,46.94,44.29,57.74,31.32,15.11
2017-01-17,芜湖,60.79,1.16,69.34,39.08,70.03,35.44,13.81
2017-01-18,芜湖,67.15,1.32,64.29,40.26,82.05,44.84,15.97
2017-01-19,芜湖,71.74,1.3,57.21,43.71,74.41,51.79,15.96
2017-01-20,芜湖,68.0,1.0,54.33,49.59,85.94,26.75,16.44
2017-01-21,芜湖,61.35,1.15,64.84,45.91,73.77,29.32,20.19
2017-01-22,芜湖,86.82,1.34,72.81,47.26,118.55,57.53,22.51
2017-01-23,芜湖,62.69,1.26,50.92,53.48,74.85,36.8,17.26
2017-01-24,芜湖,47.2,1.04,39.09,61.2,49.28,24.16,15.51
2017-01-25,芜湖,74.04,1.23,47.52,59.55,76.89,50.45,16.83
2017-01-26,芜湖,98.22,1.42,66.16,44.59,107.63,72.56,17.15
2017-01-27,芜湖,111.79,1.28,51.9,49.67,121.57,76.99,18.2
2017-01-28,芜湖,88.67,0.87,27.43,54.8,115.92,51.79,13.6
2017-01-29,芜湖,101.1,1.23,41.95,38.6,113.79,74.62,12.21
2017-01-30,芜湖,66.85,1.21,32.54,42.99,65.54,41.29,17.96
2017-01-31,芜湖,37.01,0.86,32.72,47.94,36.99,15.89,19.41
2017-02-01,芜湖,53.18,0.91,34.36,46.76,51.52,34.32,18.85
2017-02-02,芜湖,72.26,1.12,31.98,64.68,77.42,47.78,20.11
2017-02-03,芜湖,62.6,0.95,53.91,50.43,57.55,42.09,19.52
2017-02-04,芜湖,94.59,1.36,62.58,36.46,91.64,70.21,21.55
2017-02-05,芜湖,105.89,1.27,52.5,44.36,102.34,79.0,14.05
2017-02-06,芜湖,112.34,1.0,42.19,59.22,101.56,81.99,13.51
