time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,蚌埠,215.34,1.94,92.93,26.86,217.84,167.7,48.79
2017-01-02,蚌埠,181.86,1.85,69.71,45.32,179.72,139.72,25.06
2017-01-03,蚌埠,237.97,2.27,96.24,42.85,241.73,188.83,33.81
2017-01-04,蚌埠,225.97,2.09,73.56,23.75,224.67,177.94,35.49
2017-01-05,蚌埠,63.98,1.17,29.3,72.81,53.17,45.48,13.51
2017-01-06,蚌埠,42.92,0.9,32.69,37.95,37.63,27.4,12.25
2017-01-07,蚌埠,71.18,1.48,42.93,21.33,74.54,50.88,12.82
2017-01-08,蚌埠,122.04,1.46,39.97,35.69,111.51,91.42,16.78
2017-01-09,蚌埠,166.86,2.0,64.57,28.54,157.53,126.8,27.14
2017-01-10,蚌埠,185.09,1.97,73.94,28.85,177.2,140.41,27.0
2017-01-11,蚌埠,162.72,1.51,62.4,50.83,159.08,123.28,27.1
2017-01-12,蚌埠,166.8,1.36,72.24,34.93,184.54,126.83,29.69
2017-01-13,蚌埠,144.81,1.29,66.62,34.3,165.51,108.36,37.38
2017-01-14,蚌埠,101.61,1.02,51.04,40.72,103.29,71.44,27.66
2017-01-15,蚌埠,58.76,0.7,38.89,42.07,61.32,39.29,26.43
2017-01-16,蚌埠,56.23,0.63,42.41,41.29,55.73,38.34,27.82
2017-01-17,蚌埠,72.1,0.77,52.83,39.88,74.83,51.41,35.51
2017-01-18,蚌埠,125.71,1.0,46.66,40.98,119.4,94.95,28.38
2017-01-19,蚌埠,153.53,1.1,47.18,42.33,151.27,116.85,22.49
2017-01-20,蚌埠,76.2,0.65,34.3,52.08,99.12,38.85,20.52
2017-01-21,蚌埠,87.82,0.76,42.44,46.26,109.68,56.67,22.27
2017-01-22,蚌埠,111.58,1.01,55.03,37.73,131.69,83.24,43.72
2017-01-23,蚌埠,96.1,1.01,55.07,46.96,106.26,71.35,51.44
2017-01-24,蚌埠,91.37,0.98,50.61,39.88,93.1,67.5,41.96
2017-01-25,蚌埠,116.68,1.05,49.3,53.1,112.16,87.69,31.09
2017-01-26,蚌埠,144.61,1.17,40.98,59.04,140.07,109.6,22.9
2017-01-27,蚌埠,139.35,1.2,26.1,66.32,155.6,104.67,25.92
2017-01-28,蚌埠,112.34,0.91,31.42,39.25,123.93,83.79,33.38
2017-01-29,蚌埠,116.44,1.16,20.84,22.43,124.3,87.6,12.54
2017-01-30,蚌埠,82.09,0.85,17.76,56.3,76.22,57.29,23.01
2017-01-31,蚌埠,53.36,0.63,27.55,50.7,52.12,34.84,27.59
2017-02-01,蚌埠,85.5,0.84,24.29,69.49,86.09,62.4,21.44
2017-02-02,蚌埠,110.23,1.0,35.58,70.68,102.96,82.13,29.39
2017-02-03,蚌埠,84.94,0.77,39.27,35.03,85.89,62.11,22.57
2017-02-04,蚌埠,128.46,1.1,40.75,33.2,125.76,97.21,18.29
2017-02-05,蚌埠,165.63,1.52,58.49,38.15,158.82,126.51,25.81
2017-02-06,蚌埠,142.1,1.06,48.54,59.15,136.13,107.08,31.03
2017-02-07,蚌埠,62.52,0.63,27.83,51.11,63.71,41.92,18.83
2017-02-08,蚌埠,134.25,0.93,37.4,37.33,117.48,101.34,18.85
2017-02-09,蚌埠,186.67,1.29,44.72,45.81,176.81,142.17,26.78
2017-02-10,蚌埠,85.97,0.81,47.25,54.89,95.82,60.96,24.6
2017-02-11,蚌埠,100.66,0.9,56.42,56.36,112.38,74.71,32.4
2017-02-12,蚌埠,106.44,0.9,41.76,82.01,110.65,79.77,26.71
2017-02-13,蚌埠,110.34,1.04,60.22,74.38,118.85,82.74,33.94
2017-02-14,蚌埠,137.74,1.17,64.13,75.19,141.81,104.33,36.27
2017-02-15,蚌埠,135.44,1.09,68.28,70.78,147.28,102.41,34.44
2017-02-16,蚌埠,122.93,1.03,51.27,74.2,131.08,92.67,19.61
2017-02-17,蚌埠,101.92,0.71,31.33,52.8,114.25,69.04,15.1
2017-02-18,蚌埠,88.33,0.76,36.35,57.7,106.01,59.93,17.29
2017-02-19,蚌埠,144.97,1.18,43.98,60.77,160.02,109.85,20.11
2017-02-20,蚌埠,135.6,0.9,29.1,57.07,159.92,85.66,13.91
2017-02-21,蚌埠,55.26,0.56,22.0,62.69,58.78,28.35,13.87
2017-02-22,蚌埠,119.83,1.03,37.31,45.9,108.19,90.16,15.31
2017-02-23,蚌埠,161.16,1.19,45.72,60.93,148.95,123.6,28.28
2017-02-24,蚌埠,124.71,0.98,72.28,49.19,136.08,93.54,27.04
2017-02-25,蚌埠,114.69,0.98,62.84,75.49,134.46,86.13,28.17
2017-02-26,蚌埠,136.68,1.06,73.1,62.88,161.35,102.42,35.95
2017-02-27,蚌埠,126.01,0.9,47.03,85.49,140.07,94.91,25.93
2017-02-28,蚌埠,131.97,0.99,40.52,112.44,152.79,99.38,27.43
2017-03-01,蚌埠,121.48,0.82,34.39,62.13,155.06,74.48,17.37
2017-03-02,蚌埠,81.99,0.79,45.09,45.84,103.93,53.8,19.58
2017-03-03,蚌埠,85.51,0.83,45.25,61.03,112.62,55.54,24.53
2017-03-04,蚌埠,122.34,1.15,76.14,52.22,155.99,89.65,34.38
2017-03-05,蚌埠,133.13,0.93,49.39,67.81,160.69,100.67,22.95
2017-03-06,蚌埠,70.11,0.71,35.15,64.48,83.34,40.76,19.25
2017-03-07,蚌埠,99.64,1.06,58.56,54.13,135.87,68.64,30.99
2017-03-08,蚌埠,79.52,0.78,44.28,59.45,99.84,48.86,26.19
2017-03-09,蚌埠,116.15,1.02,68.35,67.4,157.56,81.97,27.95
2017-03-10,蚌埠,155.17,1.11,77.83,81.04,189.18,117.61,38.24
2017-03-11,蚌埠,127.22,0.92,53.1,88.74,147.55,93.36,25.46
2017-03-12,蚌埠,133.31,0.94,40.15,80.52,151.01,100.85,24.57
